id,name,brief,desc
34,Arenaticket,Arenaticket,"Wird verwendet, um an Kämpfen in der Arena teilzunehmen"
35,Lottoschein,Lottogutschein für Glücksautomat,Jeder Zug am Glücksautomaten kostet 1 Lottoschein
36,Super Kapselmünze,Beschwörungsitem,"Verwende es, um Mädchen aus der Super Kapsel zu beschwören"
37,Kekse,Tauschmaterial,"Item, das während den entsprechenden Events gegen Belohnungen eingetauscht werden kann."
38,Mondkuchen,Tauschmaterial,"Item, das während den entsprechenden Events gegen Belohnungen eingetauscht werden kann."
39,Handgemachte Batterie,Eventmaterial,"Die Mädchen haben die Batterien eigenhändig im Unterricht angefertigt. Sie waren nicht besonders ordentlich dabei, aber die Batterie kann dem BOSS einen großen Schaden zufügen."
40,Energie,Eventmaterial,"Kann im Puzzelevent genutzt werden, um Puzzelteile zu bewegen"
41,Schneemann,Eventmaterial,"Exklusives Item, das während Events gegen Belohnungen eingetauscht werden kann. Nach dem Ende des entsprechenden Events wird das Item ungültig. Bitte verwende das Item rechtzeitig."
42,Weihnachtssocke,Eventmaterial,"Exklusives Item, das während Events gegen Belohnungen eingetauscht werden kann. Nach dem Ende des entsprechenden Events wird das Item ungültig. Bitte verwende das Item rechtzeitig."
43,Geschenkbox,Geschenkebox,Mystische Kiste. Nach dem Öffnen erhält man 1 zufälliges Geschenk und einige Geschenkfragmente.
44,Geschenkfragment,Geschenkmaterial,"Ein mystisches Kristallfragment, das aus der Geschenkbox erhalten werden kann und zu verschiedenen Geschenken syntethisiert werden kann."
45,Ehering,Eid-Item,"Kann während eines Dates mit einem Mädchen, dessen Intimität 100 erreicht hat, verwendet werden, um einen Eid zu leisten."
46,Feuerwerkskörper,Eventmaterial,"Material, das während des entsprechenden Events gegen Belohnungen eingetauscht werden kann."
47,Diplom,Spezielles Material,"Wird verwendet, um 10-Sterne Mädchen auszutauschen oder einen Tausch rückgängig zu machen"
48,Herz-Ballon,Tauschmaterial,"Material, das während des entsprechenden Events gegen Belohnungen eingetauscht werden kann."
49,Knochen-Keks,Eventmaterial,"Verwende es, um die Intimität deines Dieners zu erhöhen."
50,Osterhäschen,Eventmaterial,"Material, das während des entsprechenden Events gegen Belohnungen eingetauscht werden kann."
51,Stimmzettel,Eventmaterial,"Verwende das Ticket, um im Event ""Wahre Liebe"" abzustimmen"
52,Dekorationsbudget,Eventmaterial,"Hilft den Mädchen dabei, ihr Wohnheim zu dekorieren. Kann gegen Items eingetauscht werden"
53,Orientierungsgutschein,Eventmaterial,"Tausche ihn gegen Items zum Schulstart ein. Wenn das Event vorbei ist, kann er nicht mehr eingetauscht werden. Bitte denke daran, ihn während des Events einzutauschen!"
54,Ausrüstungskarte,Eventmaterial,Kann während des Events gegen seltene Ausrüstung eingetauscht werden
1001,1. Kampf der Arena (limitierter Avatar),Spezieller Avatar,"Sepzial-Avatar, den man als Belohnung für das Erledigen aller Aufgaben im Event ""Arenakampf"" erhält."
1002,Sonnen-Avatar,Spezieller Avatar,Champion-Avatar der Elite-Liga
1003,Mond Avatar,Spezieller Avatar,Finalisten-Avatar der Elite-Liga
1004,Gold Avatar,Spezieller Avatar,Gold-Avatar der Elite-Liga
1005,Silberner Avatar,Spezieller Avatar,Rang 4-10 Avatar der Elite-Liga
1006,Bronze Avatar,Spezieller Avatar,Rang 11-20 Avatar der Elite-Liga
1007,Avatar zu Halloween,Spezieller Avatar,"Spezieller Avatar, den man als Belohnung nach der Erledigung aller Aufgaben des Events Halloween-Arena erhält."
1008,Puzzel Avatar,Spezieller Avatar,"Spezieller Avatar, den man als Belohnung nach der Erledigung aller Aufgaben des Puzzel Events erhält."
1009,Avatar zum Neujahr,Spezieller Avatar,Limitierter Neujahrs-Avatar
1010,Limitierter Schneeflocken-Avatar,Spezieller Avatar,"Spezieller Avatar, den man als Belohnung nach der Erledigung aller Aufgaben des Events Arena-Kampf erhält."
1013,Limitierter Avatar,Spezieller Avatar,"Spezieller Avatar, den man als Belohnung nach der Erledigung aller Aufgaben des Events Arena-Kampf erhält."
1014,Avatar zum Frühlingsfest,Spezieller Avatar,Besonderer Avatar zum Frühlingsfest
1015,Pech,Spezieller Avatar,Kein 5-Sterne-Mädchen nach 200 aufeinanderfolgenden Super Kapseln erhalten
1016,Großes Pech,Spezieller Avatar,Kein 5-Sterne-Mädchen nach 300 aufeinanderfolgenden Super Kapseln erhalten
1017,Extrem großes Pech,Spezieller Avatar,Kein 5-Sterne-Mädchen nach 400 aufeinanderfolgenden Super Kapseln erhalten
1018,Avatar zum Frühlingsbeginn,Spezieller Avatar,"Spezieller Avatar, den man als Belohnung nach der Erledigung aller Aufgaben des Events Arena-Kampf erhält."
1019,Eid-Avatar,Spezieller Avatar,"Spezieller Avatar, den man als Belohnung nach der Erledigung aller Aufgaben des Events Arena-Kampf erhält."
1020,Avatar zu Ostern,Spezieller Avatar,Limitierter Avatar zu Ostern
1023,Avatar zum Muttertag,Spezieller Avatar,Limitierter Avatar zum Muttertag
1024,Avatar zur Eröffnungszeremonie,Spezieller Avatar,Limitierter Avatar zur Eröffnungszeremonie
1025,Avatar zum Drachenbootfest,Spezieller Avatar,"Spezieller Avatar, den man als Belohnung nach der Erledigung aller Aufgaben des Events Arena-Kampf erhält."
2001,Reiskloß (einfach),Item,Heilt 20% der maximalen HP
2002,Jujube Reiskloß,Item,Heilt 50% der maximalen HP & fügt 300 Energie hinzu
2003,Lachs-Reiskloß,Item,Heilt 100% der maximalen HP
2004,Stift,Item,"Erhöht den Angriff um 1,5%"
2005,Radiergummi,Item,Erhöht den kritischen Schaden um 2%
2006,Geodreieck,Item,Erhöht die Krit. Rate um 2%
930000,1-Sterne Skarivine,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930001,1-Sterne Cayla,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930002,1-Sterne Vanessa,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930003,1-Sterne Madam,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930004,1-Sterne Agesia,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930005,1-Sterne Handana,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930006,1-Sterne Lin Al,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930007,1-Sterne Hexe,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930008,1-Sterne Stella,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930009,1-Sterne Elloi,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930010,1-Sterne Vella,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930011,1-Sterne Yuri,Mädchen beschwören,"Sammle 5 Fragmente, um das Mädchen zu beschwören."
930012,2-Sterne Talia,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930013,2-Sterne Nasha,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930014,2-Sterne Hani,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930015,2-Sterne Nono,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930016,2-Sterne Roselle,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930017,2-Sterne Hynel,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930018,2-Sterne Fleur,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930019,2-Sterne Meimi,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930020,2-Sterne Boro,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930021,2-Sterne Lana,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930022,2-Sterne Sasuke,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930023,2-Sterne Schamane,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930024,2-Sterne Pyra,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930025,2-Sterne Oktia,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930026,2-Sterne Aeris,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930027,2-Sterne Puny,Mädchen beschwören,"Sammle 10 Fragmente, um das Mädchen zu beschwören."
930028,3-Sterne Poppi,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930029,3-Sterne Jade,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930030,3-Sterne Ursula,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930031,3-Sterne Kitty,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930032,3-Sterne Samurai,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930033,3-Sterne Tula,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930034,3-Sterne Edward,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930035,3-Sterne King,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930036,3-Sterne Donna,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930037,3-Sterne Nobuna,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930038,3-Sterne Annabella,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930039,3-Sterne Harley,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930040,3-Sterne Zauberin,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930041,3-Sterne Caitlin,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930042,3-Sterne Lesia,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930043,3-Sterne Robin,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930044,3-Sterne Sisha,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930045,3-Sterne Mythra,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930046,3-Sterne Athena,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930047,3-Sterne Kenshin,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930048,3-Sterne Reo,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930049,3-Sterne Luna,Mädchen beschwören,"Sammle 20 Fragmente, um das Mädchen zu beschwören."
930050,4-Sterne Zombia,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930051,4-Sterne Blitz,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930052,4-Sterne Werwolf,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930053,4-Sterne Nona,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930054,4-Sterne Kitsune,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930055,4-Sterne Ashely,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930056,4-Sterne Miya,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930057,4-Sterne Bidenty,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930058,4-Sterne Boxer,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930059,4-Sterne Lily,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930060,4-Sterne Nagia,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930061,4-Sterne Jessica,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930062,4-Sterne Nun,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930063,4-Sterne Diva,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930064,4-Sterne Liz,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930065,4-Sterne Anna,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930066,4-Sterne Omega,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930067,4-Sterne Lightin,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930068,4-Sterne Beary,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930069,4-Sterne Litana,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930070,4-Sterne Jelly,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930071,4-Sterne Wandy,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930072,4-Sterne Zwerga,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930073,4-Sterne Panpan,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930074,4-Sterne Pann,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930075,4-Sterne Lisa,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930076,4-Sterne Androi,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930077,4-Sterne Calista,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930078,5-Sterne Saphira,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930079,5-Sterne Bunny,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930080,5-Sterne Succubus,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930081,5-Sterne Dracula,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930082,5-Sterne Wu Kong,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930083,5-Sterne Fencer,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930084,5-Sterne Diana,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930085,5-Sterne Sakura,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930086,5-Sterne Giana,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930087,5-Sterne Minos,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930088,5-Sterne Hottie,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930089,5-Sterne Aurora,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930090,5-Sterne Chevalier,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930091,5-Sterne Historia,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930092,5-Sterne Javelin,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930093,5-Sterne Geisha,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930094,5-Sterne Sonya,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930095,5-Sterne Misty,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930096,5-Sterne Guan Yin,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930097,5-Sterne Librarian,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930098,5-Sterne Priesterin,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930099,5-Sterne Alice,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930100,5-Sterne Nia,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930101,5-Sterne Puppe,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930102,5-Sterne Odanna,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930103,5-Sterne Silvia,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930104,5-Sterne Turin,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930105,5-Sterne Toyo,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930106,5-Sterne Zoro,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930107,5-Sterne Hexa,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930108,5-Sterne Amazone,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930109,5-Sterne Knospe,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930110,5-Sterne Himoto,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930111,5-Sterne Nani,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930112,5-Sterne Lavia,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930113,5-Sterne Susan,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930114,5-Sterne Aquaris,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930115,5-Sterne KongMing,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930116,5-Sterne Pandaria,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930117,5-Sterne Leila,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930118,5-Sterne Valasaki,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930119,5-Sterne Amelia,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930120,5-Sterne Reika,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930121,5-Sterne Angel,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930122,5-Sterne Gabriel,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930123,5-Sterne Michaela,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930125,4-Sterne Ninja,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930126,4-Sterne Cynthia,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930127,4-Sterne Quinie,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930128,4-Sterne Haxie,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930129,4-Sterne Iron Fist,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930130,4-Sterne Ada,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930131,4-Sterne Medusa,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930132,4-Sterne Zoe,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930133,5-Sterne Zombia,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930134,5-Sterne Blitz,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930135,5-Sterne Miya,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930136,5-Sterne Bidenty,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930137,5-Sterne Nun,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930138,5-Sterne Diva,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930139,5-Sterne Beary,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930140,5-Sterne Litana,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930141,5-Sterne Pann,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930142,5-Sterne Lisa,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930143,5-Sterne Androi,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930144,5-Sterne Calista,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930145,5-Sterne Boxer,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930146,5-Sterne Lily,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930147,5-Sterne Liz,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930148,5-Sterne Jelly,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930149,5-Sterne Wandy,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930150,5-Sterne Werwolf,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930151,5-Sterne Ashely,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930152,5-Sterne Nagia,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930153,5-Sterne Omega,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930154,5-Sterne Nona,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930155,5-Sterne Kitsune,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930156,5-Sterne Jessica,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930157,5-Sterne Anna,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930158,5-Sterne Lightin,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930159,5-Sterne Zwerga,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930160,5-Sterne Panpan,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930161,5-Sterne Ninja,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930162,5-Sterne Cynthia,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930163,5-Sterne Quinie,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930164,5-Sterne Haxie,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930165,5-Sterne Iron Fist,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930166,5-Sterne Ada,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930167,5-Sterne Medusa,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930168,5-Sterne Zoe,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930169,5-Sterne Sensina,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930170,4-Sterne Selene,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930171,4-Sterne Annie,Mädchen beschwören,"Sammle 30 Fragmente, um das Mädchen zu beschwören."
930172,5-Sterne Selene,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930173,5-Sterne Annie,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930174,5-Sterne Lucifer,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930175,5-Sterne Maska,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
930176,5-Sterne Phönix,Mädchen beschwören,"Sammle 50 Fragmente, um das Mädchen zu beschwören."
940001,4-Sterne Mädchen-Fragment,Mädchen beschwören,"Sammle 30 Fragmente, um ein 4-Sterne Mädchen zu beschwören."
940002,5-Sterne Mädchen-Fragment,Mädchen beschwören,"Sammle 50 Fragmente, um ein 5-Sterne Mädchen zu beschwören."
