id,res,length,loops,is_play_self,delay,type,desc,volume,destroy,pause_bg,is_ogg
1033,local_sound/sound_zhurong_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1034,battle_sound_web/sound_zhurong_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1035,battle_sound_web/sound_zuoci_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1036,battle_sound_web/sound_ailier_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1037,battle_sound_web/sound_caiwenji_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1038,battle_sound_web/sound_caiwenji_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1039,battle_sound_web/sound_daqiao_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1040,battle_sound_web/sound_diaochan_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1041,battle_sound_web/sound_fangtianhuaji_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1042,battle_sound_web/sound_ganfuren_attack,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1043,battle_sound_web/sound_ganfuren_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1044,battle_sound_web/sound_guanyu_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1045,battle_sound_web/sound_guanyu_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1046,battle_sound_web/sound_hanlingdi_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1047,battle_sound_web/sound_jiabailie_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1048,battle_sound_web/sound_jiangwei_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1049,battle_sound_web/sound_jiangwei_skill,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1050,battle_sound_web/sound_menghuo_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1051,battle_sound_web/sound_menghuo_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1052,battle_sound_web/sound_shuijing_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1053,battle_sound_web/sound_shuijing_skill,3.0,1.0,,0.0,1.0,,30.0,1.0,,
1054,battle_sound_web/sound_simayi_skill,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1055,battle_sound_web/sound_simazhao_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1056,battle_sound_web/sound_sunshangxiang_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1057,battle_sound_web/sound_xiahoudun_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1058,battle_sound_web/sound_xiahoudun_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1059,battle_sound_web/sound_xunyu_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1060,battle_sound_web/sound_yanyue_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1061,battle_sound_web/sound_yidazhengzong_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1062,battle_sound_web/sound_yidazhengzong_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1063,battle_sound_web/sound_yuji_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1064,battle_sound_web/sound_yuji_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1065,battle_sound_web/sound_zhangchunhua_skill,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1066,battle_sound_web/sound_zhanghe_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1067,battle_sound_web/sound_zhouyu_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1068,battle_sound_web/sound_zuoci_skill,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1069,battle_sound_web/sound_mijiale_pifu03_skill,5.0,1.0,,0.0,1.0,,100.0,1.0,,
1070,battle_sound_web/sound_caocao_pifu03_skill,5.0,1.0,,0.0,1.0,,100.0,1.0,,
1071,battle_sound_web/sound_fangtian_pifu01_skill,3.0,1.0,,0.0,1.0,,30.0,1.0,,
1072,battle_sound_web/sound_zuoci_pifu02_skill,5.0,1.0,,0.0,1.0,,100.0,1.0,,
1073,battle_sound_web/sound_caiwenji_pifu01_attack,1.0,1.0,,0.0,1.0,,100.0,1.0,,
1074,battle_sound_web/sound_caiwenji_pifu01_skill,2.0,1.0,,0.0,1.0,,100.0,1.0,,
1075,battle_sound_web/sound_fangtian_pifu03_attack,1.0,1.0,,0.0,1.0,,100.0,1.0,,
1076,battle_sound_web/sound_fangtian_pifu03_skill,1.0,1.0,,0.3,1.0,,100.0,1.0,,
1077,battle_sound_web/sound_huangzhong_pifu03_attack,1.0,1.0,,0.0,1.0,,100.0,1.0,,
1078,battle_sound_web/sound_huangzhong_pifu03_skill,2.0,1.0,,0.0,1.0,,100.0,1.0,,
1079,battle_sound_web/sound_luxifa_pifu04_attack,1.0,1.0,,0.1,1.0,,100.0,1.0,,
1080,battle_sound_web/sound_luxifa_pifu04_skill,2.0,1.0,,0.3,1.0,,100.0,1.0,,
1081,battle_sound_web/sound_fenlier_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1082,battle_sound_web/sound_fenlier_skill,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1083,battle_sound_web/sound_spcaocao_attack,1.0,1.0,1.0,0.45,1.0,,30.0,1.0,,
1084,battle_sound_web/sound_spcaocao_skill,3.0,1.0,1.0,0.25,1.0,,30.0,1.0,,
1085,battle_sound_web/sound_ailier_skill,2.0,1.0,,2.0,1.0,,30.0,1.0,,
1086,battle_sound_web/sound_lvbu_attack,1.0,1.0,1.0,0.5,1.0,,30.0,1.0,,
1087,battle_sound_web/sound_lvbu_skill,5.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1088,battle_sound_web/sound_luxifeier_attack,1.0,1.0,1.0,0.5,1.0,,30.0,1.0,,
1089,battle_sound_web/sound_luxifeier_skill,7.0,1.0,1.0,0.2,1.0,,30.0,1.0,,
1090,battle_sound_web/sound_guanyu_attack,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1091,battle_sound_web/sound_xunyu_attack,1.0,1.0,,3.4,1.0,,30.0,1.0,,
1092,battle_sound_web/sound_keruisi_attack,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1093,battle_sound_web/sound_keruisi_skill,5.0,1.0,1.0,0.0,1.0,,50.0,1.0,,
1094,battle_sound_web/sound_wangyi_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1095,battle_sound_web/sound_wangyi_skill,4.0,1.0,,0.0,1.0,,30.0,1.0,,
1096,battle_sound_web/sound_banbenlongma_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1097,battle_sound_web/sound_banbenlongma_skill,4.0,1.0,,0.0,1.0,,30.0,1.0,,
1098,battle_sound_web/sound_weiweian_attack,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1099,battle_sound_web/sound_weiweian_skill,6.0,1.0,,0.0,1.0,,30.0,1.0,,
1100,battle_sound_web/sound_liubei_attack,1.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1101,battle_sound_web/sound_liubei_skill,5.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1102,battle_sound_web/sound_liubei_skill01,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1103,battle_sound_web/sound_yixienamei_attack,2.0,1.0,1.0,0.0,1.0,,60.0,1.0,,
1104,battle_sound_web/sound_yixienamei_skill,5.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1105,battle_sound_web/sound_wulieer_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1106,battle_sound_web/sound_wulieer_attack01,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1107,battle_sound_web/sound_wulieer_skill,4.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1108,battle_sound_web/sound_wulieer_skill01,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1109,battle_sound_web/sound_weila_attack,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1110,battle_sound_web/sound_weila_skill,4.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1111,battle_sound_web/sound_weila_buff,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1112,battle_sound_web/sound_xifeng_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1113,battle_sound_web/sound_xifeng_skill,5.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1114,battle_sound_web/sound_apate_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1115,battle_sound_web/sound_apate_skill,7.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1116,battle_sound_web/sound_apate_buff_hurt,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1117,battle_sound_web/sound_apate_revival,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1118,battle_sound_web/sound_yunmu_attack,1.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1119,battle_sound_web/sound_yunmu_skill,4.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1120,sound_fanhexin_persue_mp3,1.0,1.0,,0.0,1.0,,30.0,1.0,,
1121,battle_sound_web/sound_fanhexin_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1122,battle_sound_web/sound_fanhexin_skill,5.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1123,battle_sound_web/apate_pidu01_attack,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1124,battle_sound_web/apate_pifu01_skill,8.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1125,battle_sound_web/apate_pifu01_buff_hurt,3.0,1.0,,0.0,1.0,,30.0,1.0,,
1126,battle_sound_web/apate_pifu01_revival_hurt-001,3.0,1.0,,0.0,1.0,,30.0,1.0,,
1127,battle_sound_web/apate_pifu01_revival_hurt-002,3.0,1.0,,0.0,1.0,,30.0,1.0,,
1128,battle_sound_web/luxun_pifu03_attack,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1129,battle_sound_web/luxun_pifu03_skill,3.0,1.0,,0.0,1.0,,30.0,1.0,,
1130,battle_sound_web/luxun_pifu03_skill_bag,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1131,battle_sound_web/lvmeng_pifu03_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1132,battle_sound_web/lvmeng_pifu03_skill,4.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1133,battle_sound_web/sound_pipiluo_attack,1.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1134,battle_sound_web/sound_pipiluo_skill,9.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1135,battle_sound_web/sound_anyue_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1136,battle_sound_web/sound_anyue_skill,4.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1137,battle_sound_web/sound_hujisheng_attack,1.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1138,battle_sound_web/sound_hujisheng_skill,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1139,battle_sound_web/sound_teleisha_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1140,battle_sound_web/sound_teleisha_skill,4.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1141,battle_sound_web/sound_houyi_skill,6.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1142,battle_sound_web/sound_houyi_skill_hurt,3.0,1.0,,0.0,1.0,,30.0,1.0,,
1143,battle_sound_web/sound_houyi_attack,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1144,battle_sound_web/sound_feisina_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1145,battle_sound_web/sound_feisina_skill,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1146,battle_sound_web/sound_kaixi_attack,1.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1147,battle_sound_web/sound_kaixi_skill,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1148,battle_sound_web/sound_daianna_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1149,battle_sound_web/sound_daianna_skill,4.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1150,battle_sound_web/sound_monika_attack,1.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1151,battle_sound_web/sound_monika_skill,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1152,battle_sound_web/sound_monika_skill_hurt,2.0,1.0,,0.0,1.0,,30.0,1.0,,
1153,battle_sound_web/sound_monika_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1154,battle_sound_web/sound_monika_skill,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1155,battle_sound_web/sound_nuolisi_skill,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1156,battle_sound_web/sound_nuolisi_skill_hit,1.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1157,battle_sound_web/sound_nuolisi_attack,1.0,1.0,0.0,0.9,1.0,,30.0,1.0,,
1158,battle_sound_web/sound_nuolisi_buff01,1.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1159,battle_sound_web/sound_nuolisi_buff02,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1160,battle_sound_web/sound_nuolisi_buff03,1.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1161,battle_sound_web/sound_luobi_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1162,battle_sound_web/sound_luobi_skill,4.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1163,battle_sound_web/sound_shuangbeng_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1164,battle_sound_web/sound_shuangbeng_skill,4.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1165,battle_sound_web/sound_kawenbodi_attack,2.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1166,battle_sound_web/sound_kawenbodi_skill,5.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1167,battle_sound_web/sound_maya_attack,3.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1168,battle_sound_web/sound_maya_skill,5.0,1.0,1.0,0.0,1.0,,30.0,1.0,,
1169,battle_sound_web/sound_heermosi_attack,1.0,1.0,1.0,0.0,1.0,,30.0,1.0,,1.0
1170,battle_sound_web/sound_heermosi_skill,4.0,1.0,1.0,0.0,1.0,,30.0,1.0,,1.0
2001,ui_sound_web/campaign_bg_music,30.0,0.0,,0.0,2.0,-1.0,100.0,0.0,,
2002,ui_sound/battle_bg_music_1,21.0,0.0,,0.0,2.0,-1.0,30.0,0.0,,
2003,ui_sound_web/campaign_bg_music,30.0,0.0,,0.0,2.0,-1.0,100.0,0.0,,
2004,ui_sound_web/bell_ring,10.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2005,ui_sound_web/old_home_bg_music,56.0,0.0,,0.0,2.0,-1.0,28.0,0.0,,
2006,ui_sound/tab_button,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2007,ui_sound/hero_equip_on,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2008,ui_sound/ui_close_window,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2009,ui_sound_web/ui_switch_page,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2010,ui_sound_web/ui_tips,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2011,ui_sound_web/hero_combine_equip,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2012,ui_sound_web/hero_equip_off,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2013,ui_sound/hero_equip_on,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2014,hero_upgrade_mp3,,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2015,ui_sound_web/hero_upstart,2.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2016,hero_upskill_mp3,,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2017,ui_sound_web/hero_combine_equip,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2018,ui_sound_web/train_level_up,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2019,train_exp_max,,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2020,ui_sound_web/battle_win,2.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2021,ui_sound_web/battle_lose,3.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2022,ui_sound_web/battle_card_reward,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2023,ui_sound_web/fight_start_button,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2024,ui_sound_web/train_exp_up,2.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2025,ui_sound_web/map_unlock,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2026,ui_sound_web/team_upgrade,2.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2027,,,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2028,ui_sound_web/shop_sell,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2029,ui_sound_web/casino_1,8.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2030,ui_sound_web/casino_10,4.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2031,ui_sound_web/casino_get_common,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2032,ui_sound_web/casino_get_nb,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2033,ui_sound_web/tree_move,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2034,ui_sound_web/egg_machine_start,3.0,1.0,,0.3,1.0,-1.0,100.0,0.0,,
2035,ui_sound_web/down_egg_open,1.0,1.0,,0.2,1.0,-1.0,100.0,0.0,,
2036,ui_sound_web/up_egg_open,1.0,1.0,,0.9,1.0,-1.0,100.0,0.0,,
2037,ui_sound_web/girl_select,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2038,ui_sound_web/girl_cancel,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2039,ui_sound_web/girl_resolve,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2040,ui_sound_web/girl_enrol,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2041,ui_sound_web/girl_convert_get,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2042,ui_sound_web/girl_convert_start,1.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2043,ui_sound_web/girl_compose,2.0,1.0,,0.0,1.0,-1.0,100.0,1.0,,
2044,ui_sound_web/gain_window_sound,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2045,ui_sound_web/egg_get_common,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2046,ui_sound_web/egg_star_1,2.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2047,ui_sound_web/casino_get_common,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2048,ui_sound_web/casino_get_nb,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2049,ui_sound_web/battle_card_reward,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2050,ui_sound_web/egg_bomb,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2051,ui_sound_web/kaixue_tiemen_effect,4.0,1.0,,0.0,1.0,-1.0,100.0,1.0,0.8,
2052,ui_sound_web/keyboard_1,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2053,ui_sound_web/keyboard_2,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2054,ui_sound_web/keyboard_3,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2055,ui_sound_web/keyboard_4,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2056,ui_sound_web/keyboard_5,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2057,ui_sound_web/keyboard_6,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2058,ui_sound_web/keyboard_7,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2059,ui_sound_web/keyboard_8,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2060,ui_sound_web/keyboard_9,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2061,ui_sound_web/drift_rotate,2.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2062,ui_sound_web/drift_smoke,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2063,ui_sound_web/camera_cut,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2064,ui_sound_web/paper_unfold,4.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,
2101,ui_sound/ui_click,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2102,ui_sound/ui_slidedown_submenu,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2103,ui_sound/ui_click_reward_float1,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2104,ui_sound/ui_click_reward_float2,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2105,ui_sound/ui_click_reward_float3,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2106,ui_sound/ui_click_reward_expand,4.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2107,ui_sound/ui_click_reward_expand_object,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2108,ui_sound/ui_click_back,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2109,ui_sound/ui_wipe_black1,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2110,ui_sound/ui_wipe_black2,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2111,ui_sound/ui_gain_hero_left,2.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2112,ui_sound/ui_gain_hero_right,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2113,ui_sound/ui_gain_hero_3star,2.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2114,ui_sound/ui_gain_hero_4star,3.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2115,ui_sound/ui_gain_hero_5star,3.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2116,ui_sound/ui_main,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2117,ui_sound/ui_slide_submenu,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2118,ui_sound/ui_main_letter,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2119,ui_sound/ui_main_letter_close,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2120,ui_sound/ui_main_letter_delete,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2121,ui_sound/ui_main_handbook,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2122,ui_sound/ui_main_test,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2123,ui_sound/ui_main_school,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2124,ui_sound/ui_main_plot,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2125,ui_sound/ui_window_udslide,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2126,ui_sound/ui_main_challenge,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2127,ui_sound/ui_hero,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2128,ui_sound/ui_hero_skin,2.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2129,ui_sound/ui_bag,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2130,ui_sound/ui_egg,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2131,ui_sound/ui_menu,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2132,ui_sound/ui_main_close,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2133,ui_sound/ui_gain_hero_5star_bg,2.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2134,ui_sound/ui_main_plot_ready,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
2135,ui_sound/ui_window_long,1.0,1.0,,0.0,1.0,-1.0,100.0,0.0,,1.0
