id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
51,讓我們開始新的戰鬥吧~,buttoncrop_17,0|0,,
52,點擊戰姬頭像，選擇出戰的戰姬囉~,buttoncrop_3,0|0,,
53,[c][d76500]拖曳[-][/c]頭像可以交換位置喔~,buttoncrop_22,0|-62,,
54,,buttoncrop_5,0|0,,
55,,,,,
56,哇！又有新的戰利品了~\n點擊領取吧~,buttoncrop_21,0|2,,
57,開心~\n又可以去新的區域啦~,buttoncrop_20,-16|0,,
58,,,,,
59,哇~學長真棒！不過學長要記得定時來領取掛機戰利品喔，掛機[c][d76500]12小時[-][/c]後就無法獲得更多的戰利品了呢~,,,,
60,[c][d76500]首頁[-][/c]好像發生了好事情\n學長我們去看看吧~,buttoncrop_1,0|0,,
61,點擊[c][d76500]入學活動[-][/c]去領取[c][d76500]在線獎勵[-][/c]吧~,buttoncrop_15,0|0,buttoncrop_14_h5,0|0
62,在這裡領取[c][d76500]在線獎勵[-][/c]哦~,buttoncrop_35,0|0,,
63,,buttoncrop_1,0|0,,
64,點擊[c][d76500]趣味活動[-][/c]去領取每日[c][d76500]簽到[-][/c]獎勵吧~,buttoncrop_15,0|0,buttoncrop_15_h5,4|2
65,,buttoncrop_36,1|1,,
66,[c][d76500]首頁[-][/c]還有好東西喔~,buttoncrop_1,0|0,,
67,快來看看[c][d76500]校園[-][/c]裡有些什麼[c][d76500]福利[-][/c]吧~,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
68,快去學園里最熱鬧的[c][d76500]商店街[-][/c]逛逛吧~,buttoncrop_16,0|1,,
69,街上的[c][d76500]福利社[-][/c]裡可是有很多好康的喔~,buttoncrop_30,-14|-1,,
70,哇！居然有[c][d76500]高級扭蛋幣[-][/c]\n學長快購買吧~,buttoncrop_24,0|60,,
71,,,,,
72,,,,,
73,快來試試[c][d76500]代幣[-][/c]扭蛋吧~,buttoncrop_1,0|0,,
74,[c][d76500]高級扭蛋幣[-][/c]可以進行一次高級扭蛋喔！試試吧~,buttoncrop_6,0|1,,
75,,,,,
76,啊呀糟了糟了！快來不及了~,buttoncrop_1,0|0,,
77,我們快去開學典禮吧，遲到了學姐會生氣的！,buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
78,,buttoncrop_17,0|0,,
79,,buttoncrop_3,0|0,,
80,,,,,
81,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
82,,,,,
83,,,,,
84,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
85,,,,,
86,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
87,,,,,
88,,,,,
89,來~點擊[c][d76500]社團[-][/c]按鈕，創建或加入一個社團吧~,,,,
90,,,,,
91,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
92,,,,,
93,,,,,
94,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
95,,,,,
96,,,,,
97,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
98,,,,,
99,,,,,
100,,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
101,,,,,
102,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
103,,,,,
104,,,,,
105,,,,,
106,,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
107,,,,,
108,,,,,
109,來~點擊[c][d76500]社團[-][/c]按鈕，創建或加入一個社團吧~,,,,
110,哇哦，學長，你身具鴻運，看來你一定就是傳說中的“天命之子”了。,buttoncrop_26,0|0,,
111,正巧遇上社團招新的契機，不如學長來建立一個自己的社團吧，作為“天命之子”，首次建立社團是免費的哦！,,,,
112,誒嘿，獲得了戰姬碎片欸\n快來背包裡[c][d76500]合成[-][/c]戰姬吧~,buttoncrop_27,-1|-1,buttoncrop_27_h5,0|0
113,學長，[c][d76500]碎片合成[-][/c]的入口在這裡啦~,buttoncrop_11,0|6,,
114,,,,,
115,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
116,,,,,
117,,old_school_guide_mask,0|0,,
119,學長看~這是[c][d76500]校外遠足[-][/c]的入口,buttoncrop_26,0|0,buttoncrop_26_h5,0|0
120,先去大本營看看吧！,travel_guide_1,18|32,travel_guide_1,18|32
121,點擊角色槽位！,,,,
122,放入戰姬會獲得對應屬性的增強！~,,,,
123,升級大本營可以解鎖更多槽位！~,,,,
125,我們去麵包坊看看吧,travel_guide_2,-3|-8,travel_guide_2,-3|-8
126,在產出建築中放入戰姬可以提高收益！~,travel_guide_3,0|0,travel_guide_3,0|0
128,升級麵包坊可以解鎖更多槽位！~,,,,
130,其他建築會產出不同的材料，點擊[c][d76500]一鍵領取[-][/c]吧！~,,,,
131,點擊這裡，參加探險獲得各種獎勵吧！~,travel_guide_4,0|5,travel_guide_4,0|5
133,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
134,,,,,
135,這裡是個性裝扮功能的入口，學長可在此查看或修改自己的個性裝扮~,,,,
136,,,,,
137,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
138,,,,,
139,,,,,
140,,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
141,,,,,
142,,,,,
143,,,,,
144,,buttoncrop_27,0|0,buttoncrop_27_h5,0|0
145,,,,,
