id,name,desc,unlock
14,普通鈕扣·四,在下一次以及再之後的迴廊觀測中觸發補給卡「普通鈕扣」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到60%後解鎖
15,普通鈕扣·五,在下一次以及再之後的迴廊觀測中觸發補給卡「普通鈕扣」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到80%後解鎖
16,絲綢·一,在下一次以及再之後的迴廊觀測中觸發補給卡「絲綢」時，卡牌的等級+1，可獲得更多獎勵,
17,絲綢·二,在下一次以及再之後的迴廊觀測中觸發補給卡「絲綢」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到15%後解鎖
18,絲綢·三,在下一次以及再之後的迴廊觀測中觸發補給卡「絲綢」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到30%後解鎖
19,絲綢·四,在下一次以及再之後的迴廊觀測中觸發補給卡「絲綢」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到45%後解鎖
20,絲綢·五,在下一次以及再之後的迴廊觀測中觸發補給卡「絲綢」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到60%後解鎖
21,高級絲綢·一,在下一次以及再之後的迴廊觀測中觸發補給卡「高級絲綢」時，卡牌的等級+1，可獲得更多獎勵,
22,高級絲綢·二,在下一次以及再之後的迴廊觀測中觸發補給卡「高級絲綢」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到20%後解鎖
23,高級絲綢·三,在下一次以及再之後的迴廊觀測中觸發補給卡「高級絲綢」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到40%後解鎖
24,高級絲綢·四,在下一次以及再之後的迴廊觀測中觸發補給卡「高級絲綢」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到60%後解鎖
25,高級絲綢·五,在下一次以及再之後的迴廊觀測中觸發補給卡「高級絲綢」時，卡牌的等級+1，可獲得更多獎勵,解鎖條件：此迴廊的觀測總進度達到80%後解鎖
26,事件卡升級·一,在下一次以及再之後的迴廊觀測中觸發事件卡「嫦娥」時，卡牌的等級+1,
27,事件卡升級·二,在下一次以及再之後的迴廊觀測中觸發事件卡「荀彧」時，卡牌的等級+1,解鎖條件：累計觸發此迴廊的事件卡「嫦娥」50次後解鎖（{1}/50）
28,事件卡升級·三,在下一次以及再之後的迴廊觀測中觸發事件卡「水鏡」時，卡牌的等級+1,解鎖條件：累計觸發此迴廊的事件卡「荀彧」80次後解鎖（{1}/80）
29,事件卡升級·四,在下一次以及再之後的迴廊觀測中觸發事件卡「芬里爾」時，卡牌的等級+1,解鎖條件：累計觸發此迴廊的事件卡「水鏡」90次後解鎖（{1}/90）
30,事件卡升級·五,在下一次以及再之後的迴廊觀測中觸發事件卡「華佗」時，卡牌的等級+1,解鎖條件：累計觸發此迴廊的事件卡「芬里爾」110次後解鎖（{1}/110）
31,事件卡升級·六,在下一次以及再之後的迴廊觀測中觸發事件卡「特蕾莎」時，卡牌的等級+1,解鎖條件：累計觸發此迴廊的事件卡「華佗」70次後解鎖（{1}/70）
32,事件卡升級·七,在下一次以及再之後的迴廊觀測中觸發事件卡「許褚」時，卡牌的等級+1,解鎖條件：累計觸發此迴廊的事件卡「特蕾莎」60次後解鎖（{1}/60）
33,關卡解鎖,解鎖此迴廊的下一個關卡（通關當前關卡後即可挑戰已解鎖的下一個關卡）,
34,勇氣·一,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，勇氣增加{1}點,
35,魅力·一,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，魅力增加{1}點,解鎖條件：「勇氣·一」達到5級
36,知識·一,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，知識增加{1}點,解鎖條件：「魅力·一」達到5級
37,勇氣·二,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，勇氣增加{1}點,解鎖條件：「勇氣·一」達到5級、完成並領取成就「通關此迴廊關卡的第2關」的獎勵後解鎖
38,魅力·二,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，魅力增加{1}點,解鎖條件：「勇氣·二」達到5級或「魅力·一」達到5級
39,知識·二,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，知識增加{1}點,解鎖條件：「魅力·二」達到5級或「知識·一」達到5級
40,勇氣·三,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，勇氣增加{1}點,解鎖條件：「勇氣·二」達到5級、完成並領取成就「通關此迴廊關卡的第5關」的獎勵後解鎖
41,魅力·三,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，魅力增加{1}點,解鎖條件：「勇氣·三」達到5級或「魅力·二」達到5級
42,知識·三,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，知識增加{1}點,解鎖條件：「魅力·三」達到5級或「知識·二」達到5級
43,勇氣·四,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，勇氣增加{1}點,解鎖條件：「勇氣·三」達到5級、完成並領取成就「通關此迴廊關卡的第8關」的獎勵後解鎖
44,魅力·四,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，魅力增加{1}點,解鎖條件：「勇氣·四」達到5級或「魅力·三」達到5級
45,知識·四,在此迴廊中進行關卡挑戰或下一次以及再之後觸發挑戰卡時，知識增加{1}點,解鎖條件：「魅力·四」達到5級或「知識·三」達到5級
46,觀測加速,升級該科技後立即獲得{1}個「時間之塵」，用於加速迴廊觀測,
47,卡牌解鎖·一,解鎖更高分值的事件卡「積分」，在下一次以及再之後的迴廊觀測中觸發事件卡「積分」時，有機率獲得更多積分,
48,卡牌解鎖·二,解鎖挑戰卡「挑戰·中級」，在下一次以及再之後的迴廊觀測中可觸發該卡牌,解鎖條件：在此迴廊中勇氣、魅力、知識均達到1000點後解鎖
49,卡牌解鎖·三,解鎖挑戰卡「挑戰·高級」，在下一次以及再之後的迴廊觀測中可觸發該卡牌,解鎖條件：在此迴廊中勇氣、魅力、知識均達到2000點後解鎖
