id,name,desc,skill_desc1,skill_desc2,skill_desc3,skill_desc4
851011,巴尼拉,"
1.隱蹤學院中的全能型學妹；
2.自身輸出表現不俗，能對敵方造成傷害的同時附帶持續傷害與一定機率的冰凍、石化控制效果；
3.每次有敵方被石化或冰凍都能使巴尼拉回復大量生命或能量，保證了自身生存空間；
4.同時可減少敵方攻擊力，因此在任何陣容中都可以發揮作用，擁有後可以安穩地度過遊戲前中期；
5.缺乏全能型學妹時獲得後可著重培養。",主動技能對隨機4名敵方學妹造成傷害，並附帶中毒效果以及一定機率冰凍與石化控制效果。,強化技能，普通攻擊變為攻擊2名敵方學妹並附帶偷取攻擊效果，偷取攻擊力則使團隊生存能力得到了提升。,強化技能，提升攻擊力與生存，提升暴擊能夠大幅提高輸出能力。,回復技能，每次有敵方被石化或冰凍都能使巴尼拉回復大量生命或能量；\n因為該技能的存在，巴尼拉擁有極強的生存與輸出能力。
852001,貂蟬,1.神威陣營中的輔助型學妹；\n2.能夠大幅增加隊友速度，使團隊擁有優先出手機會；\n3.為隊友增加攻擊力、降低敵方護甲，生命值低於50%時能再為隊友增加攻擊力並為全體敵方降低護甲，從而創造良好的輸出環境。,主動技能在對敵方全體學妹造成傷害，同時增加己方學妹速度；\n10星時，減少敵方精準並能增加我方輸出與速度，當陣容相似時，可以讓我方優先出手。,強化技能，提高生存與速度，搶佔先手。,強化技能，普通攻擊變為攻擊2名敵方目標；\n6星後，目標增至3名。,強化技能，殘血時提升隊友攻擊並降低敵方護甲，提升團隊輸出能力；\nPVP場合下，該技能為其他學妹提供更多裨益。
852002,荀彧,1.神威學院中的輔助型學妹；\n2.純粹的治療者，擁有不錯的回復量；\n3.速度較慢，建議提升速度與免控率以獲得先手機會與生存空間。,主動技能對全體己方目標產生治療效果，治療效果與攻擊掛鉤，並且有30%機率額外回復大量生命值；\n該技能治療效果不錯，在觸發額外效果時很可觀；\n10星後該技能產生質變。,強化技能，攻擊附帶額外傷害與持續回復效果。,強化技能，提高生存與治療效果。,強化技能，殘血時還可為全隊回復一次生命值。
852003,夏侯惇,1.神威學院中的戰士型學妹，常擔任1號位；\n2.生命值低於50%可為隊友大幅提升護甲值，搭配張飛等高護甲學妹可產生不俗效果；\n3.遊戲前期缺乏前排學妹時可以投入培養。,主動技能對敵方後排學妹造成傷害，並附帶一定機率暈眩控制效果；\n10星後，增加了減傷效果，提高生存能力。,強化技能，提高生存能力。,反擊技能，受到暴擊時發動反擊造成傷害。,強化技能，殘血時增加團隊護甲值，提高友軍生存能力；\n收益很大，可用於後期的社團BOSS。
852004,曹操,1.神威學院中的主力輸出型學妹；\n2.每項技能都對自身輸出有較大提升，戰鬥越到後期輸出能力越強；\n3.場上其他學妹死亡能夠增強曹操的輸出能力，因此可搭配其他提供增益效果或生命值較低的學妹，如曹休、甘夫人等以使曹操的輸出能力獲得大幅成長。,主動技能對敵方全體學妹造成傷害並附帶額外燃燒傷害；\n10星後，提高自己暴擊傷害與攻擊，大幅提升輸出能力。,強化技能，每當一個隊友死亡均會提高曹操本身的攻擊與技能傷害；\n該技能使曹操在隊內其他學妹死亡後可產生巨量傷害。,強化技能，每當一個敵方學妹死亡均會提高曹操的暴擊與暴擊傷害；\n戰鬥後期，該技能為曹操提供了驚人的輸出加成，讓她能夠造成較高輸出。,強化技能，提高生存與輸出能力。
852005,趙雲,1.神威學院中的輸出型學妹；\n2.自身輸出與控制能力非常不俗，可對全體敵方學妹造成傷害並附帶冰凍控制效果，同時對冰凍目標造成額外傷害，搭配擁有冰凍技能的學妹上場即可造成更多傷害；\n3.建議提升生存能力後，放在1號位以減少攻擊者攻擊力，提升團隊生存空間。,主動技能對敵方全體學妹造成傷害並附帶一定機率冰凍控制效果；\n10星後，釋放該技能可獲得額外能量。,強化技能，提高破甲與攻擊力。,反擊技能，受到攻擊時即會降低攻擊者的攻擊並提高自身攻擊，不再單純地被動挨打。,強化技能，針對冰凍目標提高輸出；\n可配合其他冰凍控制型學妹一起上陣打出更多輸出。
852006,大喬,1.神威學院中的控制型學妹；\n2.死亡後能發動一次對後排的攻擊，上頂樓中表現不俗；\n3.10星後，普通攻擊即附帶高機率的暈眩控制效果，缺乏控制型學妹時推薦培養。,主動技能對隨機敵方學妹造成傷害，並附帶一定機率暈眩控制效果；\n10星後，該技能可攻擊敵方全體學妹。,強化技能，提高攻擊力與生存能力。,控制技能，在死亡後有一定機率對敵方後排造成暈眩控制效果；\n10星後，有較好控制效果。,強化技能，攻擊有一定機率造成暈眩控制效果；\n10星後，該機率較高，可以達到非常優秀的控制效果。
852007,張飛,"
1.神威學院中的主力輸出型學妹；
2.擁有極高護甲值，並會對護甲值較低的攻擊者造成反擊，在PVP場合下具有較大優勢，各個時期均能保持不錯的輸出表現；
3.PVE場合下透過大幅降低目標護甲來造成大量傷害，常擔任主力輸出之一。
4.各場合均可搭配上場，缺乏前排輸出型學妹時，獲得後可著重培養；",主動技能對隨機3名敵方學妹造成傷害，附帶減甲效果與額外傷害，且針對戰士型目標額外傷害更高；\n面對戰士型學妹時，該技能傷害不俗。,強化技能，攻擊時可對目標造成減甲與額外傷害，且提高了對燃燒目標的傷害比例。,強化技能，提高生存與輸出能力。,反擊技能，因為張飛擁有較高的護甲值，該被動較容易觸發，搭配蔡文姬是比較穩妥的打法；\n需要注意的是反擊並不觸發被動技能1的效果。
852008,夏侯淵,1.神威學院中的輸出型學妹；\n2.技能特性使她優先針對血量最少的敵人，從而能夠快速殺死敵方殘血學妹，形成戰場人數優勢；\n3.除造成直接傷害外，還可造成不俗的額外傷害。,主動技能對隨機2名敵方後排學妹造成傷害，並對該目標附帶額外傷害；\n10星後，傷害比例較高，有較好的輸出能力。,強化技能，攻擊時有一定機率為目標增加額外傷害；\n10星後，機率變為100%。,強化技能，提高生存與輸出。,強化技能，普通攻擊變更為針對敵方血量最低目標造成傷害，同時能夠偷取目標攻擊；\n該技能使夏侯淵有一定的低血量針對性，且使團隊生存能力得到了提升。
852009,關羽,1.神威學院中不同尋常的格擋型學妹；\n2.每次攻擊即會增加自身格擋值與攻擊力，從而降低自身受到的傷害，保證自身的生存空間；\n3.「亂擊」升至2級後，普通攻擊變為攻擊敵方前排學妹，可用於針對較為脆弱的敵方2號位。,"
主動技能對敵方前排學妹造成傷害，並增加自身攻擊；
6星後對法師型學妹附帶額外傷害；
10星後該技能對隨機4名敵方學妹造成傷害並附帶流血與中毒傷害，同時能夠增加自身攻擊；
10星前，該技能目標為敵方前排學妹，可用於針對前排2號位，10星後，該技能目標變更為隨機學妹，可搭配其他毒傷學妹一起使用。",強化技能，提高生存與速度，搶佔先手。,強化技能，每次攻擊（包含普通攻擊）均能提高生存與攻擊。,強化攻擊，普通攻擊變更為攻擊敵方前排，可用於針對2號位。
852010,曹植,"
1.神威學院中的輸出型學妹；
2.普攻攻擊隨機3名敵方學妹；
3.主動技能非常針對補師型學妹，10星後必使其暈眩，從而大幅度壓制敵方補師血量，上頂樓時可針對補師職業較多的隊伍；
4.每次攻擊即能降低目標暴擊率與攻擊力，可為團隊提供良好的輸出空間。",主動技能對敵方全體學妹造成傷害，對補師型學妹增加一定機率沉默控制效果；\n10星後發生質變，沉默控制效果變更為暈眩控制效果，且附帶額外傷害，控制效果更強從而使曹植較為針對補師型學妹。,強化技能，降低敵方目標攻擊，提升團隊生存能力。,強化技能，提高輸出與生存能力；\n6星後提升幅度較高。,強化技能，攻擊時有一定機率降低目標暴擊且提升自身攻擊；\n10星後，觸發機率較高，能夠較大幅度削弱敵方學妹的輸出能力。
852011,陸遜,"
1.神威學院中的控制型學妹；
2.控制與輸出能力非常強悍，主動技能可對隨機4名敵方目標造成傷害，對其中3名均能造成暈眩控制；
3.友方釋放技能後能提供協戰與一定機率的暈眩控制補足；
4.自身生存能力不俗，擁有較高的減傷率，同時免疫暈眩；
5.PVP場合下表現優異，建議提升速度，從而擁有先手控制機會。",主動技能對隨機4名敵方學妹造成傷害，且10星後附帶穩定的單體控制；\n該技能配合陸遜本身的高速，可以對敵方團體造成有效控制與輸出效果。,強化技能，當友方施放技能時均會協助攻擊，並附帶暈眩控制效果；\n集傷害與控制於一體的輔助技能。,強化技能，提高生存、控制、傷害，是一項較為全面的被動技能。,強化技能，殘血時提高減傷率並持續5回合，提升效果較強。
853001,左慈,"
1.風見學院中的主力輸出型學妹；
2.普攻攻擊敵方全體學妹；
3.PVE場合下常擔任輸出核心，透過疊加陰陽印記打出高額傷害；
4.陣容中配備多位左慈，互相配合施加印記可以非常輕鬆地打出傷害；
5.因為害怕控制，所以需要提供一定的生存空間來保證技能的順利釋放。",主動技能對敵方全體學妹造成傷害並為其附帶印記，印記可大幅提高左慈傷害；\n10星後，將會有一定機率額外附帶1個印記；\n場上左慈越多則可以附帶越多的印記，大幅提升輸出效果。,強化技能，提高減傷、生存及暴擊。,強化技能，普通攻擊也可附帶印記；\n10星後，普通攻擊可偷取目標攻擊力。,反擊技能，受到攻擊時即會對攻擊者附加印記，同時提高暴擊傷害；\n該技能大幅提升了左慈的輸出能力。
853002,偃月,1.風見學院中的主力戰士型學妹，常擔任1號位；\n2.主動技能非常針對戰士型學妹，上頂樓時可針對戰士職業較多的隊伍；\n3.受到攻擊時有一定機率恢復生命值，提升攻擊力後既能提高輸出能力也能提高生存能力。,主動技能對敵方前排學妹產生傷害並對戰士型學妹附加額外傷害；\n6星後，目標變更為敵方全體；\n10星後，附帶自身減傷效果，提高生存能力。,強化技能，提高生存與輸出，同時提高對戰士型目標傷害；\n10星後，對戰士型目標傷害增幅較大。,強化技能，每次攻擊（包含普通攻擊）均能提高自身輸出能力；\n隨著戰鬥進行，偃月會越來越強。,回復技能，受到攻擊時即能回復一定生命值；\n回復值與偃月自身攻擊力掛鉤，提高攻擊即可提高偃月的生存能力。
853003,漢靈帝,1.風見學院中的輸出型學妹；\n2.能夠造成持續性的中毒傷害，釋放主動技能、普通攻擊、受到攻擊或死亡時都有相應機率為目標附加中毒狀態；\n3.可配合其他能夠造成毒傷的學妹上陣，利用中毒狀態造成更高輸出。,主動技能對隨機4名敵方學妹造成傷害，附帶中毒傷害；\n6星後，目標變更為敵方全體學妹；\n10星後，該技能發生質變，巨幅提升漢靈帝輸出能力。,強化技能，攻擊時有極大機率為目標添加中毒狀態並附帶毒傷。,強化技能，學妹死亡後可對敵方全體添加中毒狀態並附帶毒傷效果。,反擊技能，受到攻擊時即有一定機率對攻擊者施加毒傷效果。
853004,漢獻帝,1.風見學院中擁有高護甲值的輸出型學妹；\n2.主動技能可額外造成目標生命上限傷害，同時提升自身攻擊力與破甲效果，普通攻擊攜帶偷取護甲效果，PVE場合下輸出效果較佳；\n3.一定回合後提升暴擊與暴擊傷害，因此戰鬥進行到一定階段後輸出表現將會愈發優秀。,主動技能對敵方前排學妹造成傷害，並提高自身輸出能力；\n針對血量較低目標（低於漢獻帝自身）可造成額外傷害；\n該技能在保證漢獻帝自身健康血量的狀態下可對敵方造成非常可觀的輸出。,核心技能，普通攻擊添加偷取護甲效果，削弱敵方生存能力同時加強自身；\n隨著戰鬥的進行，漢獻帝的護甲值會越來越高。,強化技能，提升攻擊與生存。,強化技能，隨著戰鬥的進行，大幅提高暴擊與暴擊傷害；\n只要能生存至一定回合後即會擁有大量輸出。
853005,織田信長,1.風見學院中擁有高暴擊率的輸出學妹；\n2.增加自己的暴擊傷害的同時還能降低敵方的暴擊與暴擊傷害，在各場合的輸出表現都不錯，缺乏輸出型學妹時建議培養；\n3.害怕控制，建議提升免控率來保證生存空間。,主動技能對敵方全體學妹造成傷害並附帶降低暴擊效果；\n10星後，該技能產生質變造成額外傷害並降低暴擊傷害。,強化技能，每次攻擊（包含普通攻擊）即能增加自身暴擊並降低敵方暴擊，另有一定機率增加自身暴擊傷害；\n該技能意味著織田信長會隨著戰鬥的進行大幅提升自己的輸出能力。,強化技能，提高輸出與生存；\n其中對暴擊傷害的提升保證了織田信長的高額輸出。,反擊技能，受到攻擊後100%發動反擊。
853006,姜維,1.風見學院中擁有超高血量的戰士型學妹，常任1號位；\n2.自身生命值較高，被動技能中提升的生命值與護甲值不俗，且釋放主動技能後還可為友方最低血量學妹回復一定生命值，起到一定的保護作用；\n3.缺乏前排坦克型學妹時可培養該學妹。,主動技能對敵方單個學妹造成傷害並回復己方學妹生命值；\n由於姜維本身輸出較低，所以該技能輸出效果較為乏力，10星後，恢復效果較佳。,反擊技能，受到攻擊即能降低攻擊者暴擊，提升己方生存能力。,強化技能，提高自身生存能力。,強化技能，殘血時能夠大幅提高自身護甲值；\n該技能使姜維在場上擁有不俗的生存表現。
853007,圖靈,1.風見學院中擁有獨一無二全場反擊能力以及優秀速度的戰士型學妹，常任1號位；\n2.受到攻擊後，能夠反擊敵方全場，因此輸出非常可觀，自帶一定的減傷與免控，續航能力極強；\n3.PVP場合下，由於反擊技能和免控的存在表現非常優秀，PVE場合下，由於擁有不俗的攻擊力與強大的生存能力，同樣具有廣泛適用性。,主動技能對敵方後排學妹造成傷害，同時增加攻擊與減傷效果；\n該技能主要為自身增益。,強化技能，普通攻擊變更為攜帶控制效果。,強化技能，提高生存與輸出，對暈眩目標增傷完美配合被動1.,核心技能，群體反擊，輸出非常爆炸；\n值得注意的是圖靈被沉默也可以反擊。
853008,豐臣秀吉,1.風見學院中擁有持續性傷害的輸出型學妹；\n2.能夠造成持續性的燃燒傷害，釋放主動技能、普通攻擊、受到攻擊時都有相應機率為目標附加燃燒狀態；\n3.自身生命值較高，擁有不俗的生存能力。,主動技能對敵方前排學妹造成傷害，並附帶額外傷害；\n6星後目標更改為隨機3名敵方學妹；\n10星後，額外傷害更改為燃燒效果，附帶持續傷害。,強化技能，提高輸出與生存。,強化技能，攻擊即一定機率對目標造成燃燒效果，附帶持續傷害。,反擊技能，受到攻擊時即有較高機率對攻擊方施加燃燒效果；\n但由於本身處於後排位置，較難吸引到敵方攻擊。
853009,伊達政宗,1.風見學院中的戰士型學妹，常擔任1號位；\n2.主動技能擁有一定控制效果，能為團隊提供良好的輸出環境；\n3.受到暴擊傷害時可以有效反擊造成不俗傷害。,主動技能對敵方後排學妹造成傷害，同時有一定機率對目標施加暈眩控制效果；\n10星後，對目標一定機率添加較高回合外傷害。,強化技能，提高生存能力。,反擊技能，受到暴擊時發動反擊造成傷害；觸發條件比較苛刻，損失略大於收益。,強化技能，殘血時提高自身減傷效果。
853010,方天,1.風見學院中擁有高爆發傷害的輸出型學妹；\n2.10星後，主動技能優先攻擊敵方後排，且普通攻擊針對敵方生命值最低的學妹，因此對後排低生命值學妹具有較大威脅；\n3.主動技能釋放後會增強自身暴擊傷害、回復生命值同時吸取敵方一定攻擊力，擁有不俗的生存與輸出能力。,主動技能對血量最低的敵方學妹造成傷害；\n6星後，目標更改為後排2名隨機學妹；\n10星後，發生質變，額外提高大幅度暴擊，極大地強化方天的輸出能力。,強化技能，提高輸出與生存；\n由於該技能較大幅度地提升了暴擊幅度，極大地增強了方天的輸出效果。,強化技能，每當一個敵方學妹死亡均會提高方天的攻擊；\n隨著戰鬥的進行，方天輸出能力將會逐漸增強。,強化技能，普通攻擊變更為針對最低血量敵方學妹，並將部分造成的傷害轉化為自身生命；\n該技能為方天提供了一定的生存能力。
853011,黃月英,"
1.風見學院中能力非常全面的輔助型學妹；
2.PVE場合下，能夠對敵方造成虛弱並回復友方能量，從而提升團隊輸出效果；
3.PVP場合下，擁有全方位的輔助能力，同時在半血時提供高機率全場暈眩控制效果，可完美配合各陣容組合；
4.在需要培養輔助學妹時擁有較高的優先級。",主動技能對隨機4名敵方學妹造成傷害並附帶增傷效果，同時為己方1名學妹回復能量；\n該技能提高己方團隊的技能施放效率，使其擁有更好的攻擊節奏。,強化技能，普通攻擊攻擊目標變更為敵方後排，降低目標護甲，使己方更容易打出傷害；\n同時可為隨機2名友方學妹回復一定生命值。,強化技能，提高生存與速度；\n10星後，可增加60點速度，該速度增幅直接使黃月英有極大可能優先出手。,反擊技能，殘血時會對所有敵方學妹造成較高機率的暈眩控制效果；\n10星後機率提升至75%，使黃月英有極強的控場能力。
854001,黃忠,"
1.曇華學院中擁有一定控制能力的主力輸出學妹；
2.普攻攻擊隨機3名敵方學妹；
3.因為本身擁有極高的基礎速度，所以可以更快地出手打出傷害；
4.技能釋放後有一定機率使敵方全體沉默，同時增加免傷與免控，保證自身輸出空間。",主動技能對敵方全體學妹造成傷害並有一定機率附加沉默控制效果；\n10星後，黃忠本身還可獲得減傷效果與免控直接保證了PVP場合中的生存空間。,強化技能，攻擊、暴擊、暴擊傷害，全面提升了黃忠的輸出能力。,強化技能，每當一個敵方學妹死亡可提高自身的攻擊與暴擊傷害。,強化技能，普通攻擊有一定機率對目標附帶中毒效果及低機率的沉默控制效果；\n錦上添花，使黃忠擁有更高的控制與輸出能力。
854002,許褚,1.曇華學院中擁有超高血量的戰士型學妹，常擔任1號位；\n2.生命值高，可以承受高額傷害，同時可以依靠隊友回復生命值，為友方提供較高的生存空間；\n3.主動技能釋放後，可對敵方全體造成持續燃燒傷害，受到攻擊時也可對攻擊者造成破甲與持續燃燒傷害，因此擁有非常不錯的輸出能力。,主動技能對敵方全體學妹造成傷害並附帶額外傷害；\n10星後，額外提高自身攻擊與暴擊，提升輸出能力。,強化技能，提高生存能力。,回復技能，每當我方學妹暴擊即可回復自身生命；\n可根據該技能將許褚與高暴擊屬性學妹搭配上場，極大保證許褚生存。,反擊技能，受到攻擊時即會降低攻擊者護甲並附帶額外傷害；\n該技能使許褚作為一個前排學妹也擁有了一定的輸出能力。
854003,劉表,1.曇華學院中擁有爆發能力的輸出型學妹；\n2.因為被動技能會提高暴擊率與暴擊傷害，且針對低血量擁有集中輸出能力，所以對生命值較低的敵方學妹威脅較大；\n3.主動技針對法師型學妹額外造成持續性的流血傷害。,主動技能對隨機1名敵方後排學妹造成傷害，針對法師型目標附帶額外傷害；\n6星後，目標數增加至2名，可用於對付後排法師學妹。,強化技能，提高暴擊與暴擊傷害，大幅提升輸出能力。,強化技能，普通攻擊目標變更為敵方血量最低學妹，同時降低目標攻擊；\n配合主動技能，劉表可針對後排脆皮法師學妹。,強化技能，攻擊時有一定機率對目標造成毒傷；\n可將該技能與其他毒傷學妹配合造成更多傷害。
854004,蔡文姬,1.曇華學院中能力較為全面的輔助型學妹；\n2.可為隊友加攻、減傷，對敵方減攻、減甲，能為團隊提供非常有效的增益；\n3.可以穩定地提升整體團隊，友方學妹能力越強，蔡文姬表現越優秀。,主動技能對敵方全體學妹造成傷害並降低攻擊，同時提升友方攻擊；\n10星後，有較低機率附加印記造成較高額傷害，該技能主要用於提升己方團隊攻擊。,強化技能，提高生存能力。,強化技能，削弱敵方生存能力。,強化技能，殘血時提升我方全體生存能力。
854005,祝融,1.曇華學院中擁有爆發能力的輸出型學妹；\n2.基礎攻擊力不低，遊戲前期可以提供不俗的輸出，敵方死亡後能為自身回復生命值，有一定的續航能力與控制能力。,主動技能對敵方後排學妹造成傷害同時有一定機率對戰士型目標造成暈眩控制效果；\n10星後，變更為對遊俠與法師目標造成暈眩控制效果，從而更好地針對後排輸出型學妹。,強化技能，攻擊時降低敵方破甲，削弱敵方輸出能力。,強化技能，提高攻擊與暴擊，較大幅度地提升輸出能力。,回復技能，每當一個敵方學妹死亡即會回復一定血量，為祝融提供了一定的生存能力。
854006,郭嬛,1.曇華學院中能夠承受大量傷害的戰士型學妹，常擔任1號位；\n2.減傷率和生命值較高，生存能力非常不俗；\n3.受擊後不僅能反擊還可以降低敵方暴擊，釋放主動技能後還可偷取敵方護甲，回復自身生命值，無論在什麼場合都是生存能力極優的前排學妹。,主動技能對敵方前排學妹造成傷害同時吸取護甲，提高自身生存能力同時削弱了敵方生存空間；\n10星後，附帶回復效果，較大地提升了自身的生存能力。,反擊技能，受到攻擊即能降低攻擊者暴擊，提升己方生存能力。,強化技能，提升生存能力。,反擊技能，受到攻擊後有一定機率對攻擊者造成傷害，增加了一定的輸出能力。
854007,呂蒙,1.曇華學院中既能擔當輸出又能承受傷害的學妹；\n2.定位較為靈活，作為後排到戰鬥後期可以有巨量輸出，作為前排有一定的回復手段，且最後血量低於一定程度後還能給敵方造成足夠的傷害。,主動技能對隨機2名敵方學妹造成傷害並回復自身生命；\n6星後，目標數量增加為3名；\n10星後，附帶提升暴擊與暴擊傷害，極大提高了自身輸出能力。,強化技能，每次攻擊（包含普通攻擊）即能增加自身暴擊並回復一定生命；\n6星後附帶提升速度，使自身能夠更快出手。,強化技能，置於後排時能夠提升自身輸出能力，置於前排時則能強化自身生存能力；\n相比較而言，置於後排可收穫更大效益。,強化技能，殘血時提升自身攻擊與暴擊；\n參考被動3則可發現呂蒙更適合置於後排。
854008,諸葛亮,"
1.曇華學院中既能輸出又能回復的輔助型學妹；
2.不僅能夠持續恢復全體友方生命，還能增加自身的攻擊、暴擊、生命值，搭配裝備時提升暴擊可以大幅提升輸出能力，提升攻擊則能大幅提升回復能力，是任何場合都可以上場搭配的學妹；
3.「風之挽歌」升至3級後，自身生命值低於50%時，有100%機率沉默敵方全場；
4.各場合下都有一席之地，缺乏輔助型學妹時推薦培養。",主動技能對隨機4名敵方學妹造成傷害並為己方全體學妹提供持續回復效果；\n相比於其他補師學妹，諸葛亮的回復能力較強。,強化技能，大幅提高自身輸出與生存能力。,強化技能，普通攻擊即能回復自己生命值，附帶強化攻擊；\n治療量與攻擊力相掛鉤，隨著攻擊力越高，諸葛亮的治療能力越強。,強化技能，殘血時有一定機率對全體敵方造成沉默控制效果，同時大幅提高自身暴擊傷害並回復至滿血；\n10星後，機率提升為100%，成為全場強控。
