name,desc,desc1
incDmgSkl,戰姬技能傷害增加,增伤率-技能
decDmgSkl,戰姬受到技能傷害減少,减伤率-技能
incDmgNorAtk,戰姬普攻傷害增加,增伤率-普攻
decDmgNorAtk,戰姬受到普攻傷害減少,减伤率-普攻
allHarmDec,全傷害減免,全傷害減免（包括百分比伤害）
unCrit,暴擊抵抗,暴擊抵抗
resist_zs,受到戰士傷害減少,受到戰士傷害減少
resist_fs,受到法師傷害減少,受到法師傷害減少
resist_yx,受到游俠傷害減少,受到游俠傷害減少
resist_ck,受到刺客傷害減少,受到刺客傷害減少
resist_ms,受到牧師傷害減少,受到牧師傷害減少
