id,name,brief,desc
930010,1星盧植碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930011,1星田豐碎片,召喚戰姬,湊齊5個碎片即可召喚該戰姬
930012,2星夏侯玄碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930013,2星程普碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930014,2星韓遂碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930015,2星曹芳碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930016,2星馬良碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930017,2星龐會碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930018,2星黃蓋碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930019,2星胡車兒碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930020,2星張寶碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930021,2星張梁碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930022,2星猿飛佐助碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930023,2星沙摩柯碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930024,2星公孫瓚碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930025,2星丁奉碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930026,2星華雄碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930027,2星鍾繇碎片,召喚戰姬,湊齊10個碎片即可召喚該戰姬
930028,3星朱然碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930029,3星玉兔碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930030,3星孔融碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930031,3星王雙碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930032,3星孫堅碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930033,3星郭圖碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930034,3星愛德華碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930035,3星何進碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930036,3星陳登碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930037,3星織田信奈碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930038,3星鐘會碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930039,3星蔣幹碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930040,3星司馬師碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930041,3星夏侯霸碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930042,3星毛利元就碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930043,3星曹性碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930044,3星徐盛碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930045,3星蔣欽碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930046,3星高順碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930047,3星梅鶯毒碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930048,3星曹叡碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930049,3星嫦娥碎片,召喚戰姬,湊齊20個碎片即可召喚該戰姬
930050,4星周泰碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930051,4星赤兔碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930052,4星馬超碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930053,4星楊修碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930054,4星顏良碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930055,4星禰衡碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930056,4星小喬碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930057,4星典韋碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930058,4星孫策碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930059,4星甄姬碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930060,4星荀攸碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930061,4星曹沖碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930062,4星魯肅碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930063,4星曹休碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930064,4星王允碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930065,4星步練師碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930066,4星文聘碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930067,4星張角碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930068,4星袁術碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930069,4星潘鳳碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930070,4星步騭碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930071,4星王元姬碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930072,4星馬謖碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930073,4星李典碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930074,4星賈詡碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930075,4星王朗碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930076,4星程昱碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930077,4星張昭碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930078,5星周瑜碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930079,5星張郃碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930080,5星董卓碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930081,5星德古拉碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930082,5星孫悟空碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930083,5星鄧艾碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930084,5星孟獲碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930085,5星千本櫻碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930086,5星甘夫人碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930087,5星司馬懿碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930088,5星貂蟬碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930089,5星荀彧碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930090,5星夏侯惇碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930091,5星曹操碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930092,5星趙雲碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930093,5星大喬碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930094,5星張飛碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930095,5星夏侯淵碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930096,5星關羽碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930097,5星曹植碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930098,5星左慈碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930099,5星偃月碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930100,5星漢靈帝碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930101,5星漢獻帝碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930102,5星織田信長碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930103,5星姜維碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930104,5星圖靈碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930105,5星豐臣秀吉碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930106,5星伊達政宗碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930107,5星方天碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930108,5星黃忠碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930109,5星許褚碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930110,5星劉表碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930111,5星蔡文姬碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930112,5星祝融碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930113,5星郭嬛碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930114,5星呂蒙碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930115,5星諸葛亮碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930116,5星孫尚香碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930117,5星呂玲綺碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930118,5星瓦拉斯基碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930119,5星司馬昭碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930120,5星郭嘉碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930121,5星水鏡碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930122,5星加百列碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930123,5星米迦勒碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930125,4星文醜碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930126,4星張春華碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930127,4星劉禪碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930128,4星徐晃碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930129,4星魏延碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930130,4星諸葛瑾碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930131,4星何太后碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930132,4星張仲景碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930133,5星周泰碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930134,5星赤兔碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930135,5星小喬碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930136,5星典韋碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930137,5星魯肅碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930138,5星曹休碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930139,5星袁術碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930140,5星潘鳳碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930141,5星賈詡碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930142,5星王朗碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930143,5星程昱碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930144,5星張昭碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930145,5星孫策碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930146,5星甄姬碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930147,5星王允碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930148,5星步騭碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930149,5星王元姬碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930150,5星馬超碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930151,5星禰衡碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930152,5星荀攸碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930153,5星文聘碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930154,5星楊修碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930155,5星顏良碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930156,5星曹沖碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930157,5星步練師碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930158,5星張角碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930159,5星馬謖碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930160,5星李典碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930161,5星文醜碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930162,5星張春華碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930163,5星劉禪碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930164,5星徐晃碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930165,5星魏延碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930166,5星諸葛瑾碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930167,5星何太后碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930168,5星張仲景碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930169,5星于吉碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930170,4星法正碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930171,4星李儒碎片,召喚戰姬,湊齊30個碎片即可召喚該戰姬
930172,5星法正碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930173,5星李儒碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930174,5星路西法碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930175,5星黃月英碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
930176,5星龐統碎片,召喚戰姬,湊齊50個碎片即可召喚該戰姬
940001,4星戰姬碎片,召喚戰姬,湊齊30個碎片即可召喚4星戰姬
940002,5星戰姬碎片,召喚戰姬,湊齊50個碎片即可召喚5星戰姬
940003,3星戰姬碎片,召喚戰姬,湊齊20個碎片即可召喚3星戰姬
940011,隱蹤5星戰姬碎片,召喚戰姬,湊齊50個碎片即可召喚隱蹤學院的5星戰姬
940012,神威5星戰姬碎片,召喚戰姬,湊齊50個碎片即可召喚神威學院的5星戰姬
940013,風見5星戰姬碎片,召喚戰姬,湊齊50個碎片即可召喚風見學院的5星戰姬
940014,曇華5星戰姬碎片,召喚戰姬,湊齊50個碎片即可召喚曇華學院的5星戰姬
940015,修羅5星戰姬碎片,召喚戰姬,湊齊50個碎片即可召喚修羅學院的5星戰姬
940016,辰星5星戰姬碎片,召喚戰姬,湊齊50個碎片即可召喚辰星學院的5星戰姬
940021,隱蹤4星戰姬碎片,召喚戰姬,湊齊30個碎片即可召喚隱蹤學院的4星戰姬
940022,神威4星戰姬碎片,召喚戰姬,湊齊30個碎片即可召喚神威學院的4星戰姬
940023,風見4星戰姬碎片,召喚戰姬,湊齊30個碎片即可召喚風見學院的4星戰姬
940024,曇華4星戰姬碎片,召喚戰姬,湊齊30個碎片即可召喚曇華學院的4星戰姬
940025,修羅4星戰姬碎片,召喚戰姬,湊齊30個碎片即可召喚修羅學院的4星戰姬
940026,辰星4星戰姬碎片,召喚戰姬,湊齊30個碎片即可召喚辰星學院的4星戰姬
953001,紫色魂器碎片,召喚魂器,湊齊20個碎片即可召喚紫色魂器
954001,綠色魂器碎片,召喚魂器,湊齊30個碎片即可召喚綠色魂器
955001,紅色魂器碎片,召喚魂器,湊齊50個碎片即可召喚紅色魂器
955099,紅色魂器專屬碎片,召喚魂器,湊齊50個碎片即可召喚紅色專屬魂器
956001,橙色魂器碎片,召喚魂器,湊齊50個碎片即可召喚橙色魂器
956099,橙色魂器專屬碎片,召喚魂器,湊齊50個碎片即可召喚橙色專屬魂器
960001,皮膚萬能碎片,皮膚合成,湊齊10個碎片可合成皮膚
1011,騎士銀劍,武器,
2011,騎士鎧甲,衣服,
3011,騎士銀盾,飾品,
4011,騎士下裝,下裝,
1012,聖潔的騎士銀劍,武器,
2012,聖潔的騎士鎧甲,衣服,
3012,聖潔的騎士銀盾,飾品,
4012,聖潔的騎士下裝,下裝,
1021,運動排球,武器,
2021,運動短袖,衣服,
3021,運動髮結,飾品,
4021,運動短褲,下裝,
1022,優質運動排球,武器,
2022,優質運動短袖,衣服,
3022,優質運動髮結,飾品,
4022,優質運動短褲,下裝,
1031,沙灘水槍,武器,
2031,沙灘胸衣,衣服,
3031,沙灘帽子,飾品,
4031,沙灘泳褲,下裝,
1032,優質沙灘水槍,武器,
2032,優質沙灘胸衣,衣服,
3032,優質沙灘帽子,飾品,
4032,優質沙灘泳褲,下裝,
1033,高級沙灘水槍,武器,
2033,高級沙灘胸衣,衣服,
3033,高級沙灘帽子,飾品,
4033,高級沙灘泳褲,下裝,
1041,校園課本,武器,
2041,校園服飾,衣服,
3041,校園領結,飾品,
4041,校園長裙,下裝,
1042,精緻校園課本,武器,
2042,精緻校園服飾,衣服,
3042,精緻校園領結,飾品,
4042,精緻校園長裙,下裝,
1043,兔女郎蘿蔔,武器,
2043,兔女郎上衣,衣服,
3043,兔女郎耳飾,飾品,
4043,兔女郎鞋子,下裝,
1044,高級兔女郎蘿蔔,武器,
2044,高級兔女郎上衣,衣服,
3044,高級兔女郎耳飾,飾品,
4044,高級兔女郎鞋子,下裝,
1051,歌姬電吉他,武器,
2051,歌姬演出服,衣服,
3051,歌姬白耳麥,飾品,
4051,歌姬龐克鞋,下裝,
1052,女僕蛋糕,武器,
2052,女僕圍裙,衣服,
3052,女僕頭繩,飾品,
4052,女僕皮鞋,下裝,
1053,探險背包,武器,
2053,探險服飾,衣服,
3053,探險眼鏡,飾品,
4053,探險短褲,下裝,
1054,魔法掃帚,武器,
2054,魔法服飾,衣服,
3054,魔法帽子,飾品,
4054,魔法長靴,下裝,
1061,日式羽扇,武器,
2061,日式和服,衣服,
3061,日式花結,飾品,
4061,日式木屐,下裝,
1062,古典紙傘,武器,
2062,古典漢服,衣服,
3062,古典髮簪,飾品,
4062,古典繡鞋,下裝,
1063,公主布偶,武器,
2063,公主服飾,衣服,
3063,公主皇冠,飾品,
4063,公主白鞋,下裝,
1064,電子雷光劍,武器,
2064,電子緊身服,衣服,
3064,電子輻射鏡,飾品,
4064,電子潛行靴,下裝,
1065,惡魔鐮刀,武器,
2065,惡魔禮服,衣服,
3065,惡魔髮圈,飾品,
4065,惡魔長靴,下裝,
1066,天使法杖,武器,
2066,天使禮服,衣服,
3066,天使髮飾,飾品,
4066,天使羽翼,下裝,
1999,特殊装备1,武器,
2999,特殊装备2,衣服,
3999,特殊装备3,飾品,
4999,特殊装备4,下裝,
5101,冰藍水晶,,
5102,冰藍水晶,,
5103,冰藍水晶,,
5104,冰藍水晶,,
5105,冰藍水晶,,
5106,冰藍水晶,,
5107,冰藍水晶,,
5108,冰藍水晶,,
5109,冰藍水晶,,
5110,冰藍水晶,,
5111,冰藍水晶,,
5112,冰藍水晶,,
5113,冰藍水晶,,
5114,冰藍水晶,,
5115,冰藍水晶,,
5116,冰藍水晶,,
5201,晶黃水晶,,
5202,晶黃水晶,,
5203,晶黃水晶,,
5204,晶黃水晶,,
5205,晶黃水晶,,
5206,晶黃水晶,,
5207,晶黃水晶,,
5208,晶黃水晶,,
5209,晶黃水晶,,
5210,晶黃水晶,,
5211,晶黃水晶,,
5212,晶黃水晶,,
5213,晶黃水晶,,
5214,晶黃水晶,,
5215,晶黃水晶,,
5216,晶黃水晶,,
5301,符文水晶,,
5302,符文水晶,,
5303,符文水晶,,
5304,符文水晶,,
5305,符文水晶,,
5306,符文水晶,,
5307,符文水晶,,
5308,符文水晶,,
5309,符文水晶,,
5310,符文水晶,,
5311,符文水晶,,
5312,符文水晶,,
5313,符文水晶,,
5314,符文水晶,,
5315,符文水晶,,
5316,符文水晶,,
5317,符文水晶,,
5318,符文水晶,,
5319,符文水晶,,
5320,符文水晶,,
5321,符文水晶,,
5322,符文水晶,,
5323,符文水晶,,
5324,符文水晶,,
5401,蓬萊水晶,,
5402,蓬萊水晶,,
5403,蓬萊水晶,,
5404,蓬萊水晶,,
5405,蓬萊水晶,,
5406,蓬萊水晶,,
5407,蓬萊水晶,,
5408,蓬萊水晶,,
5409,蓬萊水晶,,
5410,蓬萊水晶,,
5411,蓬萊水晶,,
5412,蓬萊水晶,,
5413,蓬萊水晶,,
5414,蓬萊水晶,,
5415,蓬萊水晶,,
5416,蓬萊水晶,,
5417,蓬萊水晶,,
5418,蓬萊水晶,,
5419,蓬萊水晶,,
5420,蓬萊水晶,,
5421,蓬萊水晶,,
5422,蓬萊水晶,,
5423,蓬萊水晶,,
5424,蓬萊水晶,,
5501,紅瑪瑙水晶,,
5502,紅瑪瑙水晶,,
5503,紅瑪瑙水晶,,
5504,紅瑪瑙水晶,,
5505,紅瑪瑙水晶,,
5506,紅瑪瑙水晶,,
5507,紅瑪瑙水晶,,
5508,紅瑪瑙水晶,,
5509,紅瑪瑙水晶,,
5510,紅瑪瑙水晶,,
5511,紅瑪瑙水晶,,
5512,紅瑪瑙水晶,,
5513,紅瑪瑙水晶,,
5514,紅瑪瑙水晶,,
5515,紅瑪瑙水晶,,
5516,紅瑪瑙水晶,,
5517,紅瑪瑙水晶,,
5518,紅瑪瑙水晶,,
5519,紅瑪瑙水晶,,
5520,紅瑪瑙水晶,,
