id,unknown_2,name
14600100,정욱-BOSS,기본 공격,기본 공격
54100100,주태,기본 공격,기본 공격
54100200,적토,기본 공격,기본 공격
54100300,마초,기본 공격,기본 공격
54100400,양수,기본 공격,기본 공격
54100500,안량,기본 공격,기본 공격
54100600,예형,기본 공격,기본 공격
54100700,문추,기본 공격,기본 공격
54100800,장춘화,기본 공격,기본 공격
54200100,소교,기본 공격,기본 공격
54200200,전위,기본 공격,기본 공격
54200300,손책,기본 공격,기본 공격
54200400,견희,기본 공격,기본 공격
54200500,순유,기본 공격,기본 공격
54200600,조충,기본 공격,기본 공격
54200700,유선,기본 공격,기본 공격
54200800,서황,기본 공격,기본 공격
54300100,노숙,기본 공격,기본 공격
54300200,조휴,기본 공격,기본 공격
54300300,왕윤,기본 공격,기본 공격
54300400,보부인,기본 공격,기본 공격
54300500,문빙,기본 공격,기본 공격
54300600,장각,기본 공격,기본 공격
54300700,위연,기본 공격,기본 공격
54300800,제갈근,기본 공격,기본 공격
54400100,원술,기본 공격,기본 공격
54400200,반봉,기본 공격,기본 공격
54400300,보즐,기본 공격,기본 공격
54400400,왕원희,기본 공격,기본 공격
54400500,마속,기본 공격,기본 공격
54400600,이전,기본 공격,기본 공격
54400700,하태후,기본 공격,기본 공격
54400800,장중경,기본 공격,기본 공격
54500100,가후,기본 공격,기본 공격
54500200,왕랑,기본 공격,기본 공격
54500300,이유,기본 공격,기본 공격
54600100,정욱,기본 공격,기본 공격
54600200,장소,기본 공격,기본 공격
54600300,법정,기본 공격,기본 공격
65100100,주유,기본 공격,기본 공격
65100200,동탁,기본 공격,기본 공격
65100300,드라큘라,기본 공격,기본 공격
65100400,오공,기본 공격,기본 공격
65100500,맹획,기본 공격,기본 공격
65100600,손인,기본 공격,기본 공격
65100700,하후돈,기본 공격,기본 공격
65100800,조운,기본 공격,기본 공격
65100900,대교,기본 공격,기본 공격
65101000,하후연,기본 공격,기본 공격
65101100,사마의,기본 공격,기본 공격
65101200,장춘화,기본 공격,기본 공격
65101300,마초,기본 공격,기본 공격
65101400,양수,기본 공격,기본 공격
65101500,장합,기본 공격,기본 공격
65101600,등애,기본 공격,기본 공격
65101700,천본앵,기본 공격,기본 공격
65200100,관우,기본 공격,기본 공격
65200200,조식,기본 공격,기본 공격
65200300,유굉,기본 공격,기본 공격
65200400,노부나가,기본 공격,기본 공격
65200500,강유,기본 공격,기본 공격
65200600,토요,기본 공격,기본 공격
65200700,마사무네,기본 공격,기본 공격
65200800,방천,기본 공격,기본 공격
65200900,황충,기본 공격,기본 공격
65201000,허저,기본 공격,기본 공격
65201100,순욱,기본 공격,기본 공격
65201200,견희,기본 공격,기본 공격
65201300,초선,기본 공격,기본 공격
65201400,조조,기본 공격,기본 공격
65201500,손책,기본 공격,기본 공격
65201600,서황,기본 공격,기본 공격
65201700,장비,기본 공격,기본 공격
65300100,유표,기본 공격,기본 공격
65300200,축융,기본 공격,기본 공격
65300300,곽환,기본 공격,기본 공격
65300400,손상향,기본 공격,기본 공격
65300500,사마소,기본 공격,기본 공격
65300600,수경,기본 공격,기본 공격
65301100,언월,기본 공격,기본 공격
65301200,장각,기본 공격,기본 공격
65301300,조휴,기본 공격,기본 공격
65301400,위연,기본 공격,기본 공격
65301500,유협,기본 공격,기본 공격
65301600,좌자,기본 공격,기본 공격
65301700,황월영,기본 공격,기본 공격
65401100,채문희,기본 공격,기본 공격
65401200,마속,기본 공격,기본 공격
65401300,여몽,기본 공격,기본 공격
65401400,장중경,기본 공격,기본 공격
65401500,하태후,기본 공격,기본 공격
65401600,제갈량,기본 공격,기본 공격
65401700,여령기,기본 공격,기본 공격
65501100,우길,기본 공격,기본 공격
65501200,이유,기본 공격,기본 공격
65501300,루시퍼,기본 공격,기본 공격
65501400,곽가,기본 공격,기본 공격
65601100,가브리엘,기본 공격,기본 공격
65601200,법정,기본 공격,기본 공격
65601300,미카엘,기본 공격,기본 공격
65601400,방통,기본 공격,기본 공격
75100100,동탁,기본 공격,기본 공격
75100200,드라큘라,기본 공격,기본 공격
75100300,맹획,기본 공격,기본 공격
75100400,손인,기본 공격,기본 공격
75100500,주유,기본 공격,기본 공격
75100600,오공,기본 공격,기본 공격
75100700,사마의,기본 공격,기본 공격
75100800,장합,기본 공격,기본 공격
75100900,등애,기본 공격,기본 공격
75101000,천본앵,기본 공격,기본 공격
75200100,하후돈,기본 공격,기본 공격
75200200,조운,기본 공격,기본 공격
75200300,대교,기본 공격,기본 공격
75200400,하후연,기본 공격,기본 공격
75200500,관우,기본 공격,기본 공격
75200600,조식,기본 공격,기본 공격
75200700,순욱,기본 공격,기본 공격
75200800,초선,기본 공격,기본 공격
75200900,조조,기본 공격,기본 공격
75201000,장비,기본 공격,기본 공격
75300100,유굉,기본 공격,기본 공격
75300200,노부나가,기본 공격,기본 공격
75300300,강유,기본 공격,기본 공격
75300400,토요,기본 공격,기본 공격
75300500,마사무네,기본 공격,기본 공격
75300600,방천,기본 공격,기본 공격
75300700,언월,기본 공격,기본 공격
75300800,유협,기본 공격,기본 공격
75300900,좌자,기본 공격,기본 공격
75301000,황월영,기본 공격,기본 공격
75400100,황충,기본 공격,기본 공격
75400200,허저,기본 공격,기본 공격
75400300,유표,기본 공격,기본 공격
75400400,축융,기본 공격,기본 공격
75400500,곽환,기본 공격,기본 공격
75400600,손상향,기본 공격,기본 공격
75400700,채문희,기본 공격,기본 공격
75400800,여몽,기본 공격,기본 공격
75400900,제갈량,기본 공격,기본 공격
75401000,여령기,기본 공격,기본 공격
75500100,사마소,기본 공격,기본 공격
75500200,우길,기본 공격,기본 공격
75500300,루시퍼,기본 공격,기본 공격
75500400,곽가,기본 공격,기본 공격
75600100,수경,기본 공격,기본 공격
75600200,가브리엘,기본 공격,기본 공격
75600300,미카엘,기본 공격,기본 공격
75600400,방통,기본 공격,기본 공격
100000100,가고일,기본 공격,기본 공격
100000200,패희마사,기본 공격,기본 공격
100000300,히드라,기본 공격,기본 공격
100000400,바하무트,기본 공격,기본 공격
100000500,골룡,기본 공격,기본 공격
100000600,궁기,기본 공격,기본 공격
100000700,바보X,기본 공격,기본 공격
100000800,어둠의 사도X,기본 공격,기본 공격
100000900,호인X,기본 공격,기본 공격
100001000,벌목꾼X,기본 공격,기본 공격
100001100,소악마X,기본 공격,기본 공격
100001200,금각X,기본 공격,기본 공격
100001300,벨라X,기본 공격,기본 공격
100001400,정찰병X,기본 공격,기본 공격
201,왕원희,기본 공격 전환,기본 공격 전환
202,하후연,기본 공격 전환,기본 공격 전환
203,관우,기본 공격 전환,기본 공격 전환
204,사마가,기본 공격 전환,기본 공격 전환
208,소교,기본 공격 전환,기본 공격 전환
209,관우,기본 공격 전환,기본 공격 전환
212,하후연,기본 공격 전환,기본 공격 전환
213,관우,기본 공격 전환,기본 공격 전환
216,하태후,기본 공격 전환,기본 공격 전환
217,초선,기본 공격 전환,기본 공격 전환
218,초선,기본 공격 전환,기본 공격 전환
219,초선,기본 공격 전환,기본 공격 전환
220,하태후,기본 공격 전환,기본 공격 전환
221,하태후,기본 공격 전환,기본 공격 전환
235,유표,기본 공격 전환,기본 공격 전환
236,방천,기본 공격 전환,기본 공격 전환
237,유표,기본 공격 전환,기본 공격 전환
238,방천,기본 공격 전환,기본 공격 전환
240,드라큘라,기본 공격 전환,기본 공격 전환
241,드라큘라,기본 공격 전환,기본 공격 전환
242,드라큘라,기본 공격 전환,기본 공격 전환
243,주유,기본 공격 전환,기본 공격 전환
244,주유,기본 공격 전환,기본 공격 전환
245,주유,기본 공격 전환,기본 공격 전환
247,유표,기본 공격 전환,기본 공격 전환
260,천본앵,기본 공격 전환,기본 공격 전환
261,천본앵,기본 공격 전환,기본 공격 전환
262,천본앵,기본 공격 전환,기본 공격 전환
263,곽가,기본 공격 전환,기본 공격 전환
264,곽가,기본 공격 전환,기본 공격 전환
265,곽가,기본 공격 전환,기본 공격 전환
266,방통,기본 공격 전환,기본 공격 전환
267,방통,기본 공격 전환,기본 공격 전환
268,방통,기본 공격 전환,기본 공격 전환
270,황월영,기본 공격 전환,기본 공격 전환
271,황월영,기본 공격 전환,기본 공격 전환
272,황월영,기본 공격 전환,기본 공격 전환
273,여령기,기본 공격 전환,기본 공격 전환
274,여령기,기본 공격 전환,기본 공격 전환
275,여령기,기본 공격 전환,기본 공격 전환
1100101,유화,충돌,한 명의 적에게 180%의 공격 대미지 부여.
1100201,완적,천강 베개,앞줄 적에게 126%의 공격 대미지 부여.
1100301,왕평,연쇄,"한 명의 적에게 100% 공격 대미지, 2라운드 동안 추가로 48%의 공격 대미지 부여."
1200101,조홍,육중한 타격,한 명의 적에게 180%의 공격 대미지 부여.
1200201,기령,전력 타격,앞줄 적에게 90%의 공격 대미지 부여.
1200301,한당,육중한 타격,한 명의 적에게 180%의 공격 대미지 부여.
1300101,능통,보복,"한 명의 적에게 100% 공격 대미지, 2라운드 동안 추가로 48%의 공격 대미지 부여."
1300201,마녀,치명적 타격,"랜덤으로 1명의 적에게 공격력 180%의 대미지 부여, 목표가 레인저일 경우 50%의 추가 대미지 부여."
1300301,마운록,박치기,앞줄 적에게 126%의 공격 대미지 부여.
1400101,관로,기습,한 명의 적에게 180%의 공격 대미지 부여.
1400201,노식,페인트,"한 명의 적에게 100% 공격 대미지, 2라운드 동안 추가로 48%의 공격 대미지 부여."
1400301,전풍,카운트다운,앞줄 적에게 126%의 공격 대미지 부여.
2100101,하후현,스매쉬,"랜덤으로 1명의 적에게 90%의 공격 대미지 부여, 100%의 확률로 2라운드까지 [c][01a310]동결[-][/c].\n[c][01a310]동결:[-][/c]\n구속 효과, 동결 기간 동안, 동결된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
2100201,정보,연쇄,"랜덤으로 2명의 뒷줄 적에게 104%의 공격 대미지 부여, 추가로 2라운드 동안 18%의 공격 대미지 부여."
2100301,한수,정밀 타격,랜덤으로 1명의 뒷줄 적에게 190%의 공격 대미지 부여.
2100401,조방,육중한 타격,"한 명의 적에게 90%의 공격 대미지 부여, 100%의 확률로 목표물 2라운드 동안 [c][01a310]기절[-][/c].\n[c][01a310]기절:[-][/c]\n구속 효과, 기절 기간 동안, 기절된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
2200101,마량,습격,"앞줄 적에게 133%의 공격 대미지 부여, 2라운드 동안 목표의 가드 20% 감소."
2200201,방회,육중한 타격,"한 명의 적에게 90%의 공격 대미지 부여, 100%의 확률로 목표물 2라운드 동안 [c][01a310]기절[-][/c].\n[c][01a310]기절:[-][/c]\n구속 효과, 기절 기간 동안, 기절된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
2200301,황개,보복,"한 명의 적에게 100% 공격 대미지 부여, 2라운드 동안 추가로 54%의 공격 대미지 부여."
2200401,메이미,육중한 타격,랜덤으로 1명의 뒷줄 적에게 190%의 공격 대미지 부여.
2300101,장보,육중한 타격,HP가 가장 적은 적에게 171%의 공격 대미지 부여.
2300201,장량,전력 타격,"뒷줄 적에게 65%의 공격 대미지 부여, 2라운드 동안 18%의 추가 공격 대미지 부여."
2300301,사스케,낙석,"단일 적에게 100%의 공격 대미지 부여, 100%의 확률로 목표물 2라운드 동안 [c][01a310]기절[-][/c].\n[c][01a310]기절:[-][/c]\n구속 효과, 기절 기간 동안, 기절된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
2300401,사마가,복수,"뒷줄 적에게 65%의 공격 대미지 부여, 2라운드 동안 18%의 추가 공격 대미지 부여."
2400101,공손찬,페인트,"한 명의 적에게 100% 공격 대미지 부여, 2라운드 동안 추가로 54%의 공격 대미지 부여."
2400201,정봉,정밀 타격,"한 명의 적에게 130%의 공격 대미지 부여, 100%의 확률로 2라운드 동안 [c][01a310]침묵[-][/c].\n[c][01a310]침묵: [-][/c]\n구속 효과, 침묵 기간 동안, 침묵된 소녀는 액티브 스킬을 발동할 수 없다."
2400301,화웅,육중한 타격,"한 명의 적에게 90%의 공격 대미지 부여, 100%의 확률로 목표물 2라운드 동안 [c][01a310]기절[-][/c].\n[c][01a310]기절:[-][/c]\n구속 효과, 기절 기간 동안, 기절된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
2400401,종요,습격,"한 명의 적에게 100% 공격 대미지 부여, 2라운드 동안 추가로 54%의 공격 대미지 부여."
3100101,주연,와이어,"한 명의 적에게 77%의 공격 대미지 부여, 35%의 확률로 목표물 2라운드 동안 [c][01a310]기절[-][/c].\n[c][01a310]기절:[-][/c]\n구속 효과, 기절 기간 동안, 기절된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
3100201,옥토,샤크 블레이드,"한 명의 적에게 170%의 공격 대미지 부여, 2라운드 동안 방어력 24% 감소."
3100301,공융,스매쉬,"랜덤으로 1명의 적에게 110%의 공격 대미지 부여, 100%의 확률로 2라운드까지 [c][01a310]동결[-][/c].\n[c][01a310]동결:[-][/c]\n구속 효과, 동결 기간 동안, 동결된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
3100401,왕쌍,난격,앞줄 적에게 147%의 공격 대미지 부여.
3100501,손견,샤크 블레이드,"앞줄 적에게 112%의 공격 대미지 부여, 2라운드 동안 방어력 21% 감소. 공격 대상이 전사일 경우, 50%의 확률로 1라운드 동안 [c][01a310]동결[-][/c].\n[c][01a310]동결:[-][/c]\n구속 효과, 동결 기간 동안, 동결된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
3200101,곽도,경악,앞줄 적에게 112%의 공격 대미지를 입히며 앞줄 아군에게 공격력의 44%의 HP 회복.
3200201,에드워드,격추,"랜덤으로 1명의 뒷줄 적에게 180%의 공격 대미지 부여, 2라운드 동안 자신의 가드 15% 증가."
3200301,하진,거룩한 밤,랜덤으로 1명의 적에게 공격력 160%의 대미지를 주고 HP가 가장 낮은 아군에게 공격력의 75%의 HP를 회복합니다.
3200401,진등,와이어,"단일 적에게 110%의 공격 대미지 부여, 100%의 확률로 목표물 2라운드 동안 [c][01a310]기절[-][/c].\n[c][01a310]기절:[-][/c]\n구속 효과, 기절 기간 동안, 기절된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
3200501,노부타다,돌격,"랜덤으로 3명의 적에게 공격력 140%의 대미지 부여, 공격 대상이 어쌔신일 경우 40%의 확률로 2라운드 동안 [c][01a310]석화[-][/c].\n[c][01a310]석화:[-][/c]\n구속 효과, 석화 기간 동안, 석화된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
3300101,종회,페인트,"한 명의 적에게 110% 공격 대미지 부여, 2라운드 동안 추가로 60%의 공격 대미지 부여."
3300201,장간,짓밟기,"앞줄 적에게 공격력 147%의 대미지 부여, 공격 대상이 전사일 경우 2라운드 동안 적 전사의 방어력 21% 감소."
3300301,사마사,레스링,뒷줄 적에게 105%의 공격 대미지 부여.
3300401,하후패,보복,"한 명의 적에게 150% 공격 대미지 부여, 2라운드 동안 추가로 36%의 공격 대미지 부여."
3300501,마리,박치기,"앞줄 적에게 77%의 공격 대미지 부여, 2라운드 동안 42%의 공격 대미지 부여."
3400101,조성,진지 타격,"랜덤으로 뒷줄 적에게 70%의 공격 대미지 부여, 추가로 2라운드 동안 46%의 공격 대미지 부여."
3400201,서성,전력 타격,랜덤으로 2명의 뒷줄 적에게 147%의 공격 대미지를 가합니다.
3400301,장흠,기습,"한 명의 적에게 160%의 공격 대미지 부여, 랜덤으로 1명의 앞줄 아군의 HP(공격력 75%) 회복."
3400401,고순,페인트,"한 명의 적에게 120% 공격 대미지 부여, 2라운드 동안 추가로 54%의 공격 대미지를 가합니다."
3400501,매영독,기습,"앞줄 적에게 119%의 공격 대미지 부여, 2라운드 동안 목표의 방어력을 21% 감소."
3500101,조예,정신 공격,"랜덤으로 1명의 적에게 110%의 공격 대미지 부여, 2라운드 동안 100%의 확률로 [c][01a310]석화[-][/c]합니다.\n[c][01a310]석화:[-][/c]\n구속 효과, 석화 기간 동안, 석화된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
3600101,항아,거룩한 밤,"단일 적에게 110%의 공격 대미지 부여, 100%의 확률로 목표물 2라운드 동안 [c][01a310]기절[-][/c].\n[c][01a310]기절:[-][/c]\n구속 효과, 기절 기간 동안, 기절된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
4100101,주태,기혈 타격,"한 명의 적에게 180%의 공격 대미지 부여, 자신에게 공격력의 75%의 HP를 회복합니다."
4100201,적토,야생 천자,"앞줄 적에게 공격력 140%의 대미지 부여, 2라운드 동안 자신의 정밀 15% 상승."
4100301,마초,열풍 공격,"랜덤으로 1명의 뒷줄 적에게 200%의 공격 대미지 부여, 2라운드 동안 자신의 돌파력 15% 증가."
4100401,양수,승자의 왕관,"앞줄 적에게 공격력 126%의 대미지를 주고 30%의 확률로 2라운드 동안 [c][01a310]동결[-][/c]. HP가 가장 낮은 아군의 HP(공격력의 90%) 회복.\n[c][01a310]동결:[-][/c]\n구속 효과, 동결 기간 동안, 동결된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
4100501,안량,영혼의 검,뒷줄 적에게 115%의 공격 대미지 부여.
4100601,예형,몬스터 블러드," 앞줄 적에게 130%의 공격 대미지 부여, 2라운드 동안 공격 대상의 가드 10% 감소."
4100701,문추,어쌔신의 운명,"뒷줄의 적에게 공격력 140%의 대미지 부여, 그 안에 전사가 있으면 공격력의 50%의 추가 타격을 줍니다."
4100801,장춘화,나비효과,"랜덤으로 2명의 적에게 144%의 공격 대미지 부여, 라운드마다 추가로 적의 소녀가 사망할 때까지 13%의 공격 대미지 부여."
4200101,소교,격고전화,"뒷줄 적에게 85%의 공격 대미지 부여, 2라운드 동안 자신의 공격력 30% 증가."
4200201,전위,천강신병,"한 명의 적에게 공격력의 200%의 대미지 부여, 2라운드 동안 자신의 방어력 15% 증가."
4200301,손책,불주먹,"뒷줄의 적에게 90%의 공격 대미지 부여, 2라운드 동안 공격 대상의 방어력 15% 감소."
4200401,견희,아이스 브레스,"모든 적에게 공격력의 51%의 대미지 부여, 15%의 확률로 공격 대상을 2라운드 동안 [c][01a310]동결[-][/c].\n[c][01a310]동결:[-][/c]\n구속 효과, 동결 기간 동안, 동결된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
4200501,순유,파열 실험,"HP가 가장 낮은 적에게 공격력 135%의 대미지 부여, 2라운드 동안 43%의 공격 대미지 부여."
4200601,조충,못된 장난,앞줄 적에게 161%의 공격 대미지 부여.
4200701,유선,마법 캔디,"앞줄 적에게 공격력 119%의 대미지 부여, 2라운드 동안 자신의 방어력 30% 증가."
4200801,서황,천재지변,"HP가 가장 낮은 적에게 공격력 180%의 대미지를 가하며, 공격 대상이 어쌔신일 경우 50%의 추가 대미지 부여."
4300101,노숙,부적,"앞줄 적에게 84%의 공격 대미지 부여, 35%의 확률로 공격 대상을 2라운드 동안 [c][01a310]기절[-][/c].\n[c][01a310]기절:[-][/c]\n구속 효과, 기절 기간 동안, 기절된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
4300201,조휴,기계 분쇄,모든 적에게 69%의 공격 대미지 부여.
4300301,왕윤,습격,"HP가 가장 낮은 적에게 공격력 162%의 대미지 부여, 자신의 HP(공격력의 75%) 회복."
4300401,보부인,혼검,"뒷줄 적에게 공격력의 90%의 대미지 부여, 2라운드 동안 공격 대상의 치명타 12.5% 감소."
4300501,문빙,쇼크 미사일,"랜덤으로 뒷줄 적에게 40%의 공격 대미지 부여, 추가로 2라운드 동안 45%의 추가 대미지 부여."
4300601,장각,십만 볼트,"랜덤으로 2명의 적에게 공격력 184%의 대미지 부여, 공격 대상이 어쌔신일 경우 60%의 추가 대미지 부여."
4300701,위연,추혼탈명,"HP가 가장 낮은 적에게 공격력 144%의 대미지 부여, HP가 가장 낮은 아군에게 공격력의 180%의 HP 회복."
4300801,제갈근,시스템 체크,"뒷줄 적에게 공격력의 90%의 대미지 부여, 2라운드 동안 스킬 대미지 25% 감소."
4400101,원술,깜짝 선물,"모든 적에게 공격력 69%의 대미지 부여, 공격 대상이 어쌔신일 경우 50%의 확률로 2라운드 동안 [c][01a310]침묵[-][/c]\n[c][01a310]침묵: [-][/c]\n구속 효과, 침묵 기간 동안, 침묵된 소녀는 액티브 스킬을 발동할 수 없다."
4400201,반봉,부메랑,"랜덤으로 1명의 적에게 120%의 공격 대미지 부여, 100%의 확률로 공격 대상을 2라운드 동안 [c][01a310]기절[-][/c].\n[c][01a310]기절:[-][/c]\n구속 효과, 기절 기간 동안, 기절된 소녀는 액티브 스킬 또는 일반 공격, 추격과 반격을 발동할 수 없다."
4400301,보즐,홍수,"한 명의 적에게 150%의 공격 대미지 부여, 앞줄 아군 소녀에게 공격력의 70%의 HP를 회복."
4400401,왕원희,갈리는 대지,뒷줄 적에게 115%의 공격 대미지 부여.
4400501,마속,성난 파도,"앞줄 적에게 공격력의 70%의 대미지 부여, 3라운드 동안 아군 소녀의 HP를 공격력의 42% 회복."
4400601,이전,번개,"한 명의 적에게 공격력의 215%의 대미지 부여, 2라운드 동안 자신의 치명타 15% 증가."
4400701,하태후,죽음 응시,"HP가 가장 낮은 적에게 공격력 180%의 대미지 부여, 공격 대상이 법사일 경우 2라운드 동안 공격력의 46%의 추가 대미지 부여."
4400801,장중경,집기 공격,"랜덤으로 뒷줄 적 2명에게 공격력의 132%의 대미지 부여, 랜덤으로 뒷줄 아군 2명의 HP를 공격력의 160% 회복."
