45,교환 상점용 조조,어서오세요. 어떤 전투 결과를 거두셨는지 보여드리죠.,승리는 기쁜 일이지만 승리한 후가 더 중요하답니다.,"학생들간의 경쟁은 어디까지나 유치한 게임이지만, 진짜 전투는 그렇게 쉬운게 아니야.",무엇을 망설이고 있어요? 그렇게 가만히 생각하고 있을 시간이 없어요.,"저쪽 상품을 가져다 주라고요? 으으…… 점원으로서의 책임이라는 건 알지만, 명령받는 것은 싫어요.","……자금이 빠듯하지 않았다면, 나는 이런 아르바이트를 하지 않았을텐데……",,"자, 가져 가세요. 승리의 과실을 누리는 것도, 강자의 책임이에요!"
47,소녀 상점 전용 조홍,어서오세요 주인님~ 커피 좀 드실래요?,"유몽 학원은 과거, 메이드 옷을 입고 있던 전설의 소녀가 있었다고 들었습니다... 언젠가 만나고 싶어요.","이 곳은 카페, 모두에게 휴식을 주는 곳이에요. 여기서 만큼은 전투를 잊으세요~",주인님 아직 정하지 않으셨나요? 설마 저를 주문하고 싶다고는 안 하시겠죠…… 안돼요! 적어도 지금은!,많은 학생들이 시간이 남으면 이곳에서 편안한 한때를 누립니다. 이야기를 걸어보지 않으실래요?,카페에서 이벤트를 여는 건 어떨까요? 예를 들면 전원 메이드옷이라던지…… 앗 주인님은 포함되지 않아요. 물론 주인님이 입기를 원하신다면……,주인님 좋아하는 것을 모두 중복 구매할 수 있습니다. 새 소녀는 학원에 입학해도 이 커피숍을 찾아올 거에요~ 주인님 자주 오세요~,"고마웠습니다. 안녕히 주무세요, 주인님~"
62,사마소,어서 오세요. 여기 다양한 혼기가 있답니다. 선배는 어떤 것을 원하시나요?,전 단지 이 가게를 우연히 인수했을 뿐이니 더 이상 묻지 마세요.,"선배 뭐 사고 싶은 거 있어요? 이 혼기들은 모두 강력하지만, 잘못 사용하면 목숨이 위험하답니다~",전 단지 이 가게를 우연히 인수했을 뿐이니 더 이상 묻지 마세요.,"선배 뭐 사고 싶은 거 있어요? 이 혼기들은 모두 강력하지만, 잘못 사용하면 목숨이 위험하답니다~",전 단지 이 가게를 우연히 인수했을 뿐이니 더 이상 묻지 마세요.,,역시 선배의 안목이란. 선배한테 딱이네요~
86,학부 테스트 (드라큘라),우리에게 도전하고 싶어? 할 수 있으면 해봐!,"피의 맛, 너도 한번 맛볼래?",박쥐? 나는 그들을 사자라고 부르는 것을 더 좋아해~,어두운 밤에 감춰진 앞니 조심해~,이 맛있는 것을 절대 낭비하면 안 되지~,"(킁킁), 너의 냄새도 괜찮은데~",,
87,학부 테스트 (조조),질서와 규율은 힘의 원천!,실력의 추격자라고 불러줘!,"불편해? 아니, 그냥 단순히 한숨 돌리려고 했어.",그 자리에 있으면 그 일을 해야 하고 이 옷을 입었으면 그 책임을 져야 해.,정신 차려! 설마 그냥 여기에서 멈출 생각이야?,진정한 강자는 자신의 퇴로를 잘 생각하거든.,,
88,학부 테스트(노부나가),풍견학부는 자유를 추구하는 모든 사람을 환영합니다.,내 검? 바라보기만 하고 만지지는 마~,"우아, 또 벚꽃이 피는 계절이 되었구나.","만약 당신이라면, 이곳의 챌린지를 통과할 수 있을 거야!","이미 여기까지 왔으니, 포기하지 말고 앞으로 나아가세요!","피곤하다면, 멈춰서 벚꽃을 감상해봐요~",,
89,학부 테스트 (제갈량),진정한 신사만이 담화 학부의 테스트에 합격할 수 있어!,"테스트 결과? 내가 이미 계산했지요, 근데…… 선배님한테 안 알려줄 거에요~","이런 부채, 나 아직 여러 개 있는데.","어쩌면 다르게 생각해보면 그게 방법일 수도 있어. 이를테면...... 안돼, 안돼, 시험관은 답안을 알려줄 수 없지.","안돼, 네가 쓰러지는 것을 용납 못 해.",바람이 솔솔 불어온다~ 피곤함이 사라지는 거 같지 않아?,,
90,학부 테스트 (루시퍼),실력만이 강자를 검증하는 유일한 기준!,"감히 우리에게 도전해? 흥, 용기는 기특하구나!",당신은 나 보고 도망치지 않는 유일한 사람이야.,"시련에서 도망칠 생각 마라, 특히 내 것!",도전하기로 한 순간부터 너는 이미 물러설 곳이 없어!,"흥, 아직 멀었거든!",,
91,학부 테스트 (미카엘),"두려워 하지마, 거룩한 빛은 언제나 함께 할거야!",빛과 어둠은 단지 한 순간에 좌우된다.,성광이 당신을 비추기를!,"선배님, 쉬울 거라고 생각하지 말아요. 저는 사정을 봐주지 않을 거예요!",용기를 내서 다시 한번 해봐요!,"괜찮아요, 힘드시면 잠깐 쉬어도 돼요~",,
122,혼기 상점 (사마소),어서 오세요. 여기 다양한 혼기가 있답니다. 선배는 어떤 것을 원하시나요?,전 단지 이 가게를 우연히 인수했을 뿐이에요. 더 이상 묻지 마세요.,"선배 뭐 사고 싶은 거 있어요? 이 혼기들은 모두 강력하지만, 잘못 사용하면 목숨이 위험하답니다~",전 단지 이 가게를 우연히 인수했을 뿐이에요. 더 이상 묻지 마세요.,"선배 뭐 사고 싶은 거 있어요? 이 혼기들은 모두 강력하지만, 잘못 사용하면 목숨이 위험하답니다~",전 단지 이 가게를 우연히 인수했을 뿐이에요. 더 이상 묻지 마세요.,,역시 선배의 안목이란. 선배한테 딱이네요~
