ID,BOX_NAME,ITEMS
4101008,9星娃娃自選禮盒,"['50 x 9星隱蹤娃娃碎片', '50 x 9星神威娃娃碎片', '50 x 9星風見娃娃碎片', '50 x 9星曇華娃娃碎片']"
4101009,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片']"
4101010,10星娃娃自選禮盒,"['50 x 10星隱蹤娃娃碎片', '50 x 10星神威娃娃碎片', '50 x 10星風見娃娃碎片', '50 x 10星曇華娃娃碎片']"
4101011,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片']"
4101012,5星戰姬自選禮盒（拉芙麗漂流記第2期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片']"
4101013,5星戰姬自選禮盒（新手扭蛋池）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片']"
4101014,5星戰姬自選禮盒（拉芙麗漂流記第3期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片']"
4101015,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片']"
4101016,5星戰姬自選禮盒（拉芙麗漂流記第4期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片']"
4101017,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片']"
4101018,5星戰姬自選禮盒（拉芙麗漂流記第5期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片']"
4101019,5星戰姬自選禮盒（拉芙麗漂流記第6期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片']"
4101020,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片']"
4101021,5星戰姬自選禮盒（拉芙麗漂流記第7期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片']"
4101022,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片']"
4101023,5星戰姬自選禮盒（拉芙麗漂流記第8期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片']"
4101024,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片']"
4101025,5星戰姬自選禮盒（拉芙麗漂流記第9期）,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片']"
4101026,5星戰姬自選禮盒,"['50 x 5星鄧艾碎片', '50 x 5星千本櫻碎片', '50 x 5星甘夫人碎片', '50 x 5星司馬懿碎片', '50 x 5星巴尼拉碎片', '50 x 5星張郃碎片', '50 x 5星芬里爾碎片', '50 x 5星薇薇安碎片', '50 x 5星凡赫辛碎片', '50 x 5星暗月碎片', '50 x 5星荀彧碎片', '50 x 5星曹操碎片', '50 x 5星趙雲碎片', '50 x 5星張飛碎片', '50 x 5星陸遜碎片', '50 x 5星貂蟬碎片', '50 x 5星銀月碎片', '50 x 5星龍胤·曹操碎片', '50 x 5星坂本龍馬碎片', '50 x 5星雲母碎片', '50 x 5星漢靈帝碎片', '50 x 5星漢獻帝碎片', '50 x 5星織田信長碎片', '50 x 5星方天碎片', '50 x 5星黃月英碎片', '50 x 5星左慈碎片', '50 x 5星圖靈碎片', '50 x 5星青羽蛻夢·魏延碎片', '50 x 5星王異碎片', '50 x 5星稀風碎片', '50 x 5星皮皮洛碎片', '50 x 5星黃忠碎片', '50 x 5星蔡文姬碎片', '50 x 5星郭嬛碎片', '50 x 5星諸葛亮碎片', '50 x 5星呂玲綺碎片', '50 x 5星赤蓮碎片', '50 x 5星克瑞絲碎片', '50 x 5星薇拉碎片', '50 x 5星劉備碎片', '50 x 5星槲寄生碎片']"
