id,desc,title
137,おかえり,おかえり
138,スペシャルパック,スペシャルパック
139,割引月間パス,割引月間パス
140,祈願ガチャ,祈願ガチャ
142,心躍る音色,心躍る音色
143,雲の上の旅,雲の上の旅
144,赤ずきんのプレゼント,赤ずきんの\nプレゼント
141,幻想物語,幻想物語
145,バレンタイン限定パック,バレンタイン\n限定パック
146,最上階ファンド,最上階\nファンド
147,超お得衣装パック,超お得\n衣装パック
148,超お得パック,超お得パック
149,助手オーディション,助手オーディション
150,カボチャ畑,カボチャ畑
151,彫刻刀補給,彫刻刀補給
152,弁当補給,弁当補給
153,ビスケット補給,ビスケット補給
154,学部試験補給,学部試験補給
156,七日ミッション,七日ミッション
157,超お得パック,初心者応援
155,旧校舎探索,旧校舎探索
158,韓國kakaopay（韓語專用）,韓國kakaopay（韓語專用）
159,月初めダッシュ,月初め\nダッシュ
160,ブラックフライデーセール,ブラックフライデー\nセール
161,時の巡り合い,時の巡り合い
162,新入生の試練,新入生の試練
163,ボーナス交換,ボーナス交換
164,初購入パック,初購入パック
165,お得初心者パック,お得初心者\nパック
166,ラブリー漂流記,ラブリー\n漂流記
167,漂流者補給,漂流者補給
170,新年奉納,新年奉納
171,聖夜の人形屋,聖夜の人形屋
172,冬のログイン,冬のログイン
169,ブラックフライデーショップ,ブラックフライデー\nショップ
168,新戦姫ガチャ,新戦姫ガチャ
173,幽夢勉強会,幽夢勉強会
174,チューリング強化＆衣装,チューリング強化＆衣装
175,魂器ヘルパー,魂器ヘルパー
176,初心者ファンド,初心者\nファンド
177,初心者10連ガチャ,初心者10連ガチャ
178,ラッキーボーナス,ラッキー\nボーナス
179,初心者ガチャ,初心者ガチャ
180,初心者限定ガチャパック,初心者限定\nガチャパック
181,新年売店,新年売店
182,新春到来,新春到来
183,不等価交換,不等価交換
184,還元ボーナス,還元ボーナス
185,エンドレスバレンタイン,エンドレス\nバレンタイン
186,使い魔歓迎大作戦,使い魔\n歓迎大作戦
187,使い魔の力パック,使い魔の力\nパック
188,入学案内所の返礼,入学案内所の\n返礼
189,パペットパレード,パペットパレード
190,イースターパック,イースター\nパック
191,ボトルメール,ボトルメール
192,ボトメ限定パック,ボトメ限定パック
193,時間限定委託クエスト,時間限定\n委託クエスト
195,ギフトコード,ギフトコード
196,「花火」研究計画,「花火」\n研究計画
197,ぺペの修行の道,ぺペの\n修行の道
198,古城の埋蔵金,古城の埋蔵金
199,出席とるよ全員集合,出席とるよ\n全員集合
202,新入生授業企画,新入生授業企画
203,授業企画パック,授業企画パック
204,授業研修,授業研修
205,珊瑚の枝集め,珊瑚の枝集め
206,タイムシークレット,タイム\nシークレット
207,時の痕跡を探そう,時の痕跡を探そう
208,ヤドリギに願いを,ヤドリギに願いを
209,魔力補給,魔力補給
210,オーダーメイド,オーダーメイド
211,異界補給,異界補給
212,探険準備,探険準備
213,探険チーム拡大,探険チーム拡大
214,異界探険,異界探険
215,カスタム補給,カスタム補給
216,新入生授業企画,新入生授業企画
217,授業企画パック,授業企画パック
218,授業研修,授業研修
219,カムバックキャンペーン,カムバック\nキャンペーン
221,危機一髪!?水晶玉パニック!,危機一髪!?\n水晶玉パニック!
224,3周年感謝パック1,3周年\n感謝パック
225,3周年感謝パック2,3周年\n感謝パック
226,ほろよい気分,ほろよい気分
227,コレクションルーム,コレクションルーム
228,人気戦姫総選挙,人気戦姫\n総選挙
229,星々の祝福,星々の祝福
230,サン＆ビーチ,サン＆ビーチ
231,サンドアート,サンドアート
232,水着交換,水着交換
233,サマーパック,サマーパック
234,深緑の探索者,深緑の探索者
239,魂器研究所,魂器研究所
240,ストーリーチャレンジ,ストーリー\nチャレンジ
241,カスタム補給,カスタム補給
242,アバターショップ開店キャンペーン,アバターショップ\n開店キャンペーン
235,アバター限定ショップ,アバター\n限定ショップ
244,魂器限定交換,魂器限定交換
243,天使のお茶会,天使のお茶会
246,課外活動,課外活動
245,つかめ、海の幸！,つかめ、海の幸！
247,初心者ファンド,初心者\nファンド
248,トリックオアトリート,トリック・オア・\nトリート！
249,ポーション作成,ポーション作成
250,ハロウィンパック,ハロウィンパック
254,祝福パック,祝福パック
251,秘境の財宝,秘境の財宝
252,財宝補給,財宝補給
253,物資調達,物資調達
255,感謝の晩餐会,感謝の晩餐会
257,クリスマスログイン,クリスマス\nログイン
259,戦姫育成計画,戦姫育成計画
258,スロットガチャ,スロット\nガチャ
261,割引月間パック,割引月間パック
262,割引週間パック,割引週間パック
263,割引月間パス,割引月間パス
264,割引ミニ月間パス,割引ミニ月間パス
265,割引お得特権パス,割引お得特権パス
266,割引デイリーお得パック,割引デイリーお得パック
267,割引月間パック,割引月間パック
268,割引週間パック,割引週間パック
269,割引デイリーお得パック,割引デイリーお得パック
260,ラッキーガチャ,ラッキーガチャ
