id,desc,skill_name
101039,出撃戦姫のダメージカット+1%,カット
101040,出撃戦姫のダメージカット+2%,カット
101041,出撃戦姫のダメージカット+3%,カット
101042,出撃戦姫のダメージカット+4%、与ダメージ+2%,カット
101043,前列の戦姫の防御力+1%,前列
101044,前列の戦姫の防御力+2%,前列
101045,前列の戦姫の防御力+3%,前列
101046,前列の戦姫の防御力+4%、ダメージ軽減+2%,前列
101047,前列の戦姫の防御力+5%、ダメージ軽減+5%,前列
101048,後列の戦姫の攻撃力+1%,後列
101049,後列の戦姫の攻撃力+2%,後列
101050,後列の戦姫の攻撃力+3%,後列
101051,後列の戦姫の攻撃力+4%、ブレイク+2%,後列
101052,後列の戦姫の攻撃力+5%、ブレイク+5%,後列
101053,出撃戦姫の会心率+1%,会心率1
101054,出撃戦姫の会心率+2%,会心率1
101055,出撃戦姫の会心率+3%,会心率1
101056,出撃戦姫の会心率+5%、会心耐性+5%,会心率1
101057,味方の通常攻撃ダメージ+1%,通常攻撃
101058,味方の通常攻撃ダメージ+2%,通常攻撃
101059,味方の通常攻撃ダメージ+3%,通常攻撃
101060,味方の通常攻撃ダメージ+4%、さらに20%の確率で通常攻撃を1回追加。,通常攻撃
101061,味方の通常攻撃ダメージ+5%、さらに50%の確率で通常攻撃を1回追加。,通常攻撃
101062,味方のスキルダメージ倍率+1%,スキル
101063,味方のスキルダメージ倍率+2%,スキル
101064,味方のスキルダメージ倍率+3%,スキル
101065,味方のスキルダメージ倍率+4%、さらに15%の確率でスキルを再発動。,スキル
101066,味方のスキルダメージ倍率+5%、さらに30%の確率でスキルを再発動。,スキル
101067,出撃戦姫の会心率+1%,会心率2
101068,出撃戦姫の会心率+2%,会心率2
101069,出撃戦姫の会心率+3%,会心率2
101070,出撃戦姫の会心率+5%、会心ダメージ+10%,会心率2
101071,敵全員の防御力-1%,防御弱化
101072,敵全員の防御力-2%,防御弱化
101073,敵全員の防御力-3%,防御弱化
101074,敵全員の防御力-4%、ブロック-2%,防御弱化
101075,敵全員の防御力-5%、ブロック-5%,防御弱化
101076,戦闘開始から1ターンの間、敵全員がランダムの継続ダメージ（100000pt）を受ける。,持続ダメージ
101077,戦闘開始から2ターンの間、敵全員がランダムの継続ダメージ（300000pt）を受ける。,持続ダメージ
101078,戦闘開始から3ターンの間、敵全員がランダムの継続ダメージ（500000pt）を受ける。,持続ダメージ
101079,戦闘開始から4ターンの間、敵全員がランダムの継続ダメージ（700000pt）を受ける。,持続ダメージ
101080,戦闘開始から5ターンの間、敵全員がランダムの継続ダメージ（1000000pt）を受ける。,持続ダメージ
101081,戦闘開始から1ターンの間、敵1体が30%の確率でランダムの拘束効果を受ける。,拘束
101082,戦闘開始から1ターンの間、敵1体が50%の確率でランダムの拘束効果を受ける。,拘束
101083,戦闘開始から1ターンの間、敵1体が70%の確率でランダムの拘束効果を受ける。,拘束
101084,戦闘開始から1ターンの間、敵1体が100%の確率でランダムの拘束効果を受ける。,拘束
101085,戦闘開始から2ターンの間、敵1体が100%の確率でランダムの拘束効果を受ける。,拘束
101086,敵のあらゆる被ダメージが1%アップする。,ダメージ増加1
101087,敵のあらゆる被ダメージが3%アップする。,ダメージ増加1
101088,敵のあらゆる被ダメージが5%アップする。,ダメージ増加1
101089,敵の受ける継続ダメージ（流血、毒、燃焼）が10%アップする。,ダメージ増加2
101090,敵の受ける継続ダメージ（流血、毒、燃焼）が20%アップする。,ダメージ増加2
101091,敵の受ける継続ダメージ（流血、毒、燃焼）が30%アップする。,ダメージ増加2
101092,拘束効果（凍結、石化、気絶）を受けた敵への与ダメージ+10%,ダメージ増加3
101093,拘束効果（凍結、石化、気絶）を受けた敵への与ダメージ+20%,ダメージ増加3
101094,拘束効果（凍結、石化、気絶）を受けた敵への与ダメージ+30%,ダメージ増加3
101095,味方がダメージを受けた時、1回のダメージが最大HPの30%を超えない。,ダメージ抑制
101096,味方がダメージを受けた時、1回のダメージが最大HPの28%を超えない。,ダメージ抑制
101097,味方がダメージを受けた時、1回のダメージが最大HPの26%を超えない。,ダメージ抑制
101098,味方がダメージを受けた時、1回のダメージが最大HPの24%を超えない。,ダメージ抑制
101099,味方がダメージを受けた時、1回のダメージが最大HPの20%を超えない。,ダメージ抑制
101100,出撃戦姫の戦闘開始時のエネルギー+10pt,開幕エネルギー
101101,出撃戦姫の戦闘開始時のエネルギー+20pt,開幕エネルギー
101102,出撃戦姫の戦闘開始時のエネルギー+30pt,開幕エネルギー
101103,出撃戦姫の戦闘開始時のエネルギー+40pt,開幕エネルギー
101104,出撃戦姫の戦闘開始時のエネルギー+50pt,開幕エネルギー
101105,前方2体の味方戦姫が致命傷を受けた時、各自の最大HPの20％分回復する。,回復
101106,前方2体の味方戦姫が致命傷を受けた時、各自の最大HPの30％分回復する。,回復
101107,前方2体の味方戦姫が致命傷を受けた時、各自の最大HPの40％分回復する。,回復
101108,アクティブスキル発動時、10%の確率で味方全員のエネルギーを10ptアップさせる。,エネルギー増加
101109,アクティブスキル発動時、20%の確率で味方全員のエネルギーを10ptアップさせる。,エネルギー増加
101110,アクティブスキル発動時、30%の確率で味方全員のエネルギーを10ptアップさせる。,エネルギー増加
