name,desc,desc1
forbidH,生命不高于自己的目标禁魔,生命不高于自己的目标禁魔
phurtH,生命高于自己的目标额外造成该目标生命上限x%的伤害,生命高于自己的目标额外造成该目标生命上限x%的伤害
rddot,ランダムの継続ダメージ（毒、燃焼、流血）,ランダムの継続ダメージ（毒、燃焼、流血）
rdcontrol,ランダムの拘束効果（気絶、凍結、石化）,ランダムの拘束効果（気絶、凍結、石化）
hurtmaxM,对目标造成己方最高生命上限x%的伤害,对目标造成己方最高生命上限x%的伤害
hurtmaxH,对目标造成其生命上限x%的伤害,对目标造成其生命上限x%的伤害
healB,受けた治療量,被治疗效果增强x%
hurtshare,所有友军分担伤害,所有友军分担伤害
exhurt,额外进行一次普攻,额外进行一次普攻
hurtB,普攻伤害增加x%,普攻伤害增加x%
newRound,击杀角色获得新回合,击杀角色获得新回合
overflow,伤害平摊,伤害平摊
buffExloded,引爆buff,引爆buff
mindControl,心灵控制,心灵控制
transformBK,祭献转化成分身,祭献转化成分身
atkPBK,黑骑士攻击buff,黑骑士攻击buff
brkBK,黑骑士破甲buff,黑骑士破甲buff
sw,神威學院傷害提升,神威學院傷害提升
yz,隱蹤學院傷害提升,隱蹤學院傷害提升
th,曇華學院傷害提升,曇華學院傷害提升
fj,風見學院傷害提升,風見學院傷害提升
cx,辰星學院傷害提升,辰星學院傷害提升
xl,修羅學院傷害提升,修羅學院傷害提升
critDef,受到暴击伤害,受到暴击伤害
debuffClean,清除减益效果,清除减益效果
surAtkP,存活战姬数*1.2%攻击力,存活战姬数*1.2%攻击力
hurtLhurtP,生命高于自己，额外伤害量x%的伤害,生命高于自己，额外伤害量x%的伤害
healI,治療量,造成治疗效果增强x%
healPlose,恢复已损失生命%生命,恢复已损失生命%生命
rowFArmP,对前排护甲,对前排护甲
rowFStone,对前排石化,对前排石化
rowBAtkP,对后排攻击,对后排攻击
rowBSpd,对后排速度,对后排速度
dotTwins,双子持续伤害,双子持续伤害
rowFHpP,hpPos-前排,hpPos-前排
rowBHpP,hpPos-后排,hpPos-后排
rowBArmP,armPos-后排,armPos-后排
rowFHit,hitPos-前排,hitPos-前排
rowBMiss,missPos-后排,missPos-后排
rowBCrit,critPos-后排,critPos-后排
hotHuatuo,持续回血（每回合回血）,持续回血（每回合回血）
reviveINF,无限复活（立刻复活）,无限复活（立刻复活）
reviveINFbuff,无限复活累加buff,无限复活累加buff
dotFireMaxHp,生命上限百分比燃烧伤害,生命上限百分比燃烧伤害
atkUnable,无法攻击,无法攻击
free_harm,免死护盾,免死护盾
aggression,杀意buff,杀意buff
aggressionHarm,杀意伤害,杀意伤害
stunSober,对未眩晕敌人眩晕,对未眩晕敌人眩晕
critStun,对已眩晕敌人暴击伤害（配置攻击百分比、此伤害必定暴击）,对已眩晕敌人暴击伤害（配置攻击百分比、此伤害必定暴击）
hurtmaxHLimit15,对目标造成其生命上限x%的伤害（不超過15倍攻擊）,对目标造成其生命上限x%的伤害（不超過15倍攻擊）
unfree,拘束強化率,拘束強化率
incDmg,增伤率,增伤率
incDmgGroupCom,隠匿/神威/風見/雲華学部の戦姫に与えるダメージが増加,增伤率-四系
incDmgGroupSpe,修羅/辰星学部の戦姫に与えるダメージが増加,增伤率-光暗
incDmgGroupChaos,カオスに与えるダメージが増加,增伤率-混沌
decDmgGroupCom,隠匿/神威/風見/雲華学部の戦姫から受けるダメージが減少,减伤率-四系
decDmgGroupSpe,修羅/辰星学部の戦姫から受けるダメージが減少,减伤率-光暗
decDmgGroupChaos,カオスから受けるダメージが減少,减伤率-混沌
incDmgSkl,戦姫スキルダメージUP,增伤率-技能
decDmgSkl,スキルの被ダメージが減少,减伤率-技能
incDmgNorAtk,通常攻撃のダメージが増加,增伤率-普攻
decDmgNorAtk,通常攻撃の被ダメージが減少,减伤率-普攻
allHarmDec,ダメージカット,ダメージカット（割合ダメージ含む）
unCrit,会心耐性,会心耐性
resist_zs,ウォーリアから受けるダメージ軽減,ウォーリアから受けるダメージ軽減
resist_fs,ソーサラーから受けるダメージ軽減,ソーサラーから受けるダメージ軽減
resist_yx,レンジャーから受けるダメージ軽減,レンジャーから受けるダメージ軽減
resist_ck,アサシンから受けるダメージ軽減,アサシンから受けるダメージ軽減
resist_ms,プリーストから受けるダメージ軽減,プリーストから受けるダメージ軽減
