id,text,option1,option2,option3
10020015,学園には様々な風景があり、その風景をメイン画面の背景にできる。その設定方法とは？,メニューの「背景」で設定できる。,売店で購入できる。,背景は設定できない。
10020016,戦姫の一人一人に、知られざる秘密や過去がある。どこでそれを知る事ができる？,デート画面で好感度を一定値獲得すると、戦姫の特別情報が分かる。,戦姫をバイトに派遣すると分かる。,オートモードで待てば、情報を獲得できる。
11020001,学部分けの試験で、神威学部の試験官を担当したのは誰？,張飛,諸葛亮,曹操
11020002,風紀委員会に参加しているのは誰？,魏延,曹操,ルシファー
11020003,曹操はどの組織に参加したことがありますか？,シルバーファンクラブ,DEF戦線,文学部
11020004,食堂を占拠して、料理を作る生徒はだれ？,曹操,シルバー,張飛
11020005,神威学部所属で、先生を担当している戦姫は誰？,坂本龍馬,貂蝉,陸遜
11020006,神威学部の初代学部長で、かつて戦争で部隊を率いた戦姫は誰？,シルバー,曹操,張飛
11020007,神威学部所属で賭博が大好きで、いつもイカサマをする戦姫は誰？,関羽,坂本龍馬,シルバー
11020008,神威学部所属で、いつも引きこもってゲームをしている戦姫は誰？,関羽,曹操,夏侯淵
11020009,神威学部所属で、心から本が大好きな戦姫は誰？,曹植,坂本龍馬,張飛
11020010,後輩がカオスに襲われている！メインストーリーの曹操はこの場合、どう行動する？,口では後輩の軟弱を罵るが、カオスを撃退して助ける。,見て見ぬふりをして、その場を離れる。,何も言わずにカオスを倒し、颯爽とその場から立ち去る。
11020011,後輩がカオスに襲われている！シルバーはこの場合、どう行動する？,見て見ぬふりをして、さっさとその場から離れる。,迷わずカオスを倒して、見返りを求めずそのまま去る。,後輩をあざ笑ってから、カオスを倒す。
11020012,後輩がカオスに襲われている！坂本龍馬はこの場合、どう行動する？,遠距離からカオスを倒し、そっとその場から離れる。,負けるのを恐れて、こっそり逃げる。,カオスを倒して、後輩から報奨金を要求する。
11020013,陸遜が飼っているペットの名前はどれ？,しっぽにゃん,ラブリー,バル
10010009,ゲーム内で問題が発生した、または提案を頂ける場合、最も早くGMの甘ちゃんに連絡できる方法はどれ？,ワールドチャットから甘ちゃんを探す,メニューの「GM」機能で甘ちゃんに連絡する,個人情報の画面にメッセージを残す
10020017,戦闘中に、戦姫が流血、燃焼、毒状態に陥ると、どうなる？,状態異常に陥った際に、ダメージを受ける。さらに状態異常の継続中は、毎ターンの開始時にダメージを受ける。,状態異常に陥った際に、ステータスがダウンする。,大ダメージを受け、直後に状態異常が解除される。
10020018,戦闘中に、戦姫が沈黙状態に陥ると、どうなる？,パッシブスキルが一時的に無効となる,エネルギーを獲得できなくなる,アクティブスキルが一時的に発動できなくなる
10020019,戦闘中に戦姫が気絶、石化、凍結状態に陥るとどうなる？,攻撃を受け付けなくなる,アクティブスキルを発動できず、通常攻撃、追撃、カウンターもできなくなる。,状態異常に陥った際に、ステータスがダウンする。
10020010,戦姫のエネルギーに関する以下の説明で、誤っているものはどれ？,エネルギーが100ptに達した状態で行動順が回ってくると、アクティブスキルが発動する。,エネルギーが100ptを超えた状態でスキルが発動すると、与ダメージが超過分の1ptあたり1%アップする。,通常攻撃を行うと、エネルギーを獲得できる。攻撃を受けると、エネルギーが50pt失われる。
10020011,戦姫の速度に関する以下の説明で、誤っているものはどれ？,速度が各ターンの戦姫の行動順を決める。\n速度の値が大きいほど、行動が早くなる。,同じチーム内に速度が等しい戦姫がいた場合、前列（出撃時の配置順）に近い戦姫が先に行動する。,味方と敵の双方に速度が等しい戦姫がいた\n場合、ディフェンス側の戦姫が先に行動する。
10020012,旧校舎の探索中、先輩は様々な探索プランを選択できる。この探索プランに関する以下の説明で、誤っているものはどれ？,プランによっては探索の難易度が上がり、クリア後の獲得ptが増える。,プランの中には、一定数のpt獲得でアンロックされるものもある。,プランを選択して階層をクリアすると、その階層のステージに再挑戦することも、プランの変更もできなくなる。
10020013,戦姫が星10に覚醒した後も、スキルを向上させ、エリートの道を歩ませることができる。エリートスキルのレベルアップは、どこで行える？,星10になれば、戦姫の詳細画面からレベルアップできる。,商店街の売店でダイヤを消費すると、レベルアップできる。,誓約を交わした戦姫のみ、レベルアップできる。
10020014,旧校舎探索のイベントでは、貴重な素材を獲得できる。このイベントは、どこから参加できる？,商店街の画面から参加できる,「最上階」画面から参加できる,ガチャの画面から参加できる
11050001,学部分けの試験で、修羅学部の試験官を担当したのは誰？,呂布,ルシファー,郭嘉
11050002,修羅学園の生徒で、クールな見た目とは裏腹に、実は超インドア派。ミカエルがいないと、ベッドから出られない彼女の名は？,イザナミ,呂布,ルシファー
11050003,修羅学部の生徒で、かつて数多の戦争や裏切りを経験した孤高の存在。初代ワルキューレとして畏れられている彼女の名は？,イザナミ,郭嘉,呂布
11050004,修羅学部の生徒の中でも、かなり特殊な姉妹。一人は天使で、一人は悪魔。光と闇のように、互いを支え合う彼女たちの名は？,イサウ&ヤコブ,ルシファー＆ミカエル,呂布＆イザナミ
11050005,修羅学部の生徒で、悪魔の身でありながらトップアイドルを目指している。その不思議な歌声で人の心を操る彼女の名は？,呂布,アパテー,郭嘉
11050006,修羅学部の生徒で、カオスの侵食によって顔に紫の結晶が残った。そのせいで、死神だと恐れられている彼女の名は？,イザナミ,アパテー,呂布
11050007,無数の災いと裏切りを経て、呂布は孤高の存在となった。そんな呂布の傍を決して離れず、主と慕っている彼女の名は？,諸葛亮,呂玲綺,曹操
11050008,学園内で理性を失い、雄叫びをあげるフェンリルと遭遇した。次のうち、呂布が取りそうな行動はどれ？,落ち着くように説得するも、聞く耳を持たないフェンリルに恐れをなし、逃走する。,その場で強烈な殺気を放ち、フェンリルを正気に戻す。あるいは派手に一戦を交え、体力を消耗させる。,ためらいながらも、全力でフェンリルを落ち着かせようとする。
11050009,学園内で理性を失い、雄叫びをあげるフェンリルと遭遇した。次のうち、メインストーリー内のイサウ＆ヤコブが取りそうな行動はどれ？,姉のイサウが妹のヤコブを盾に、フェンリルの注意を引き付け、自分だけ逃げる。,姉のイサウが妹のヤコブの目を塞ぎ、何も見なかった振りをして立ち去る。,見なかった振りをしようとするも、他の生徒への被害を考慮し、二人で力を合わせてフェンリルを倒そうとする。
11050010,学園内には多種多様なサークルが存在する。次のうち、ルシファーが興味を持ちそうなサークルはどれ？,朝読サークル。早起きして、読書、読書！,サッカーサークル。青春熱血シュート！,昼寝サークル。惰眠こそ、我が人生！
11050011,学園内には多種多様なサークルが存在する。次のうち、イザナミが興味を持ちそうなサークルはどれ？,リハビリサークル。カオス事件の被害者を救済し、失ったものを取り戻しませんか？,演劇サークル。舞台の上で才能を開花させ、人々に感動を与えよう！,エコライフサークル。酒もタバコも、肉も禁止！
11050012,学園内には多種多様なサークルが存在する。次のうち、アパテーが興味を持ちそうなサークルはどれ？,野球サークル。目指せ！甲〇園！,アイドルサークル。憧れの存在となって、世界を救おう！,文芸サークル。穏やかで上品、同人誌が命！
11050013,戦姫の秘密。アパテーは不思議な蛇、オピオンを連れている。二人が初めて出会った場所は、次の内のどれ？,アパテーが初めて歌で他人を支配した時の舞台上,嘘に耐えきれなくなった人々の手で、アパテーが閉じ込められた冷たい地下。,アパテーの宿舎の床の下
11050014,戦姫の秘密。呂布は優しげな微笑みをたたえながらも、決して他人に心を開かない。次の内、呂布が特別な感情を抱いている戦姫は？,どんなに傷つけ、遠ざけ、警告しても、片時も呂布の傍を離れようとはしない者──呂玲綺。,執着に悩まされていた時に、呂布から救いの手を差し伸べられた者──イザナミ。,百年前のカオス戦争で、盟友を裏切り、戦に敗れようとも、呂布が救いたかった者──チューリング。
12050001,イザナミのアクティブスキルは、味方全員の被ダメージを無効化する。次のうち、イザナミに最適な魂器はどれ？,運命の魂晶（戦闘開始時のエネルギー、攻撃力、HPをアップ）,荊棘の心（攻撃力、会心率、会心ダメージアップ）,イマジンブレイド（攻撃力、速度、拘束率アップ）
12050002,アパテーは復活の能力を持つ。しかも戦姫が倒れると、アパテー復活までの時間が早まる。次のうち、アパテーの復活を早める相性のいい戦姫は？,諸葛亮（HP回復の能力を持つ）,ミカエル（倒れても一度だけ復活する）,司馬昭（敵のエネルギーを減らす能力を持つ）
12050003,戦闘の際、任意の戦姫が倒れるたびに、イサウ＆ヤコブは敵全体に大ダメージを与える。次のうち、ダメージ量を増やせる相性のいい戦姫は？,フェンリル（ブロック成功で大ダメージを与える）,華佗（自身が倒れると味方のHPを回復する）,アパテー（復活の能力を持つ）
12050004,一部の戦姫は、敵のHPの割合に応じてダメージを与える特別な能力を持つ。次のうち、この能力を持つ戦姫は？,イサウ&ヤコブ,ルシファー,郭嘉
12050005,エネルギーが100ptに達した状態で行動順が回ってくると、アクティブスキルが発動する。一部の戦姫は敵のエネルギーを減らし、アクティブスキルの発動を封じる特別な能力を持つ。次のうち、この能力を持つ戦姫は？,イザナミ,アパテー,呂布
10010033,チャットで広告宣伝、あるいはデマを発見。次のうち、正しい対処方法は？,送信者にメッセージを送る。からかってみるのもよい。,メッセージをタップして「通報」を選択、もしくはGMに報告する。,何か良いことがあるかもしれないので、試してみる。
10010034,メニューの「コレクト」では、衣装などのスペシャルアイテムを見ることができる。次のうち、コレクトから確認できないものは？,戦姫の衣装,魂器,戦闘履歴
10020020,次のうち、マイナス効果ではないものは？,ダメージ軽減アップ、会心率アップ……,流血、燃焼、毒……,気絶、石化、結晶化……
10020021,次のうち、「ブレイク」の正しい効果は？,ターゲットの防御力を減少させる。数値が大きいほど、減少値も大きくなる。,ターゲットの回避を減少させる。,ターゲットのブロックを減少させ、さらにブレイク1%につきダメージを0.3%アップする（最大で45%まで。攻撃力によるダメージに対してのみ有効）。
10020022,次のうち、「拘束耐性」の正しい効果は？,拘束耐性がアップするほど、流血などの継続ダメージを付与される確率が減少する。,拘束耐性がアップするほど、拘束効果を付与される確率が減少する。,拘束耐性がアップするほど、印を付与される確率が減少する。
10020023,次のうち、「ブロック」の正しい効果は？,敵の攻撃を防ぐ確率。ブロックが発動すると、受けるダメージが減少する。,会心ダメージを受ける確率が減少する。,受けるスキルダメージが減少する。
10020024,戦姫が星10に覚醒すると、限界突破によってレベル上限をさらにアップし、新たな潜在能力を獲得できる。次のうち、潜在能力の正しい効果は？,戦姫のブロック、会心率、拘束耐性をアップする。,致死ダメージを受けた時、ダメージを無効化するシールドを獲得する。,1ターン目に追加で50エネルギーを獲得する。
10020025,戦姫が星10に覚醒すると、限界突破によってレベル上限をさらにアップし、新たな潜在能力を獲得できる。次のうち、潜在能力の正しい効果は？,ウォーリアに追加ダメージを与える。,気絶、石化などの拘束効果を無効化,毎ターン終了時に、自身のマイナス効果をランダムで1つ取り除く。
10020026,遠足会の「願いの木」、「市場」からは毎日貴重な資源を獲得できる。次のうち、「願いの木」、「市場」がそれぞれ産出する資源は？,プレゼントボックスと家具コイン,ダイヤとゴールド,弁当とEXPドリンク
10020027,遠足会の「メインセンター」では、HP、攻撃力アップなどのバフを獲得できる。次のうち、メインセンターで獲得可能なバフは？,会心耐性。会心ダメージを受ける確率が減少する。,突破力。ターゲットの防御力が減少する。,ダメージ軽減。受けるダメージが減少する。
10020028,遠足会の探検レベルがアップすると、高レベルの宝箱を獲得できる確率がアップする。次のうち、探検レベルに関して間違っているものは？,探検レベルがアップすると、遭遇する敵の実力も高くなる。,探検レベルがアップすると、宝箱スロット数が増える。,探検レベルがアップすると、探検時に消費するパンの数が大幅に増える。
10020029,ページの欠片を集めることで、きらめき手帳のレベルをアップし、大量のボーナスを獲得できる。ページの欠片には様々な収集方法があるが、次のうち、ページの欠片を収集できない、もしくは手帳をレベルアップできないものは？,きらめき手帳の本日、今週のミッションを完了する。,商店街の売店で大量のページの欠片を購入する。,ダイヤを消費して、きらめき手帳のレベルをアップする。
11030001,学部分けの試験で、風見学部の試験官を担当したのは誰？,チューリング,織田信長,黄月英
11030002,黄月英が連れている犬の名前は？,バル,しーにゃん,ワンちゃん
11030003,一風変わった戦闘服に身を包み、魔導銃を携えて、いつも眠そうにしている風見学部の戦姫は？,魏延,アウラ,王異
11030004,魏延はかつて同級生の裏切りに遭い、片腕を失ったが、ある二人の戦姫のおかげで義手を手に入れ、立ち直ることができた。その戦姫とは？,フェンリルと坂本龍馬,諸葛亮と華佗,劉備と曹操
11030005,魏延は風見学部に所属している。入学式の後、魏延と一緒に学部分けテストに参加した人物は？,呂蒙と先輩,織田信長と曹操,諸葛亮と許褚
11030006,戦姫秘話：チューリングはかつて感情の無いAIだった。メインストーリーにおいて、チューリングのために数々の危険を犯し、仲間を傷つけることすら厭わなかった戦姫は？,諸葛亮,呂布,坂本龍馬
11030007,戦姫秘話：かつてのアウラは風を操る能力を持っていなかった。戦いで重傷を負い、命の危機が迫っていた時、ある謎の人物に出会った。その人物によってアウラは生きながらえ、風を操る能力を手に入れることになる。その人物とは？,魯班,呂布,クリス
11030008,戦姫秘話：王異の装備は、ある謎の人物が制作したものだ。この装備は非常に多くの魔力を消耗するため、王異はいつも眠そうにしている。王異の装備の製作者とは？,坂本龍馬,魯班,諸葛亮
11030009,バルが先輩の使い魔ビスケットを勝手に食べてしまった。ぺぺロンがやりそうなお仕置きは？,カンカンに怒って一か月間骨を没収する。,二度としないよう、厳しく叱る。,怒ったふりをしてバルを撫で、こっそりおやつをあげて慰める。
11030010,バルが先輩の使い魔ビスケットを勝手に食べてしまった。チューリングがやりそうなお仕置きは？,勝手に人の物を食べてはいけないのだ！と身振り手振りで一生懸命教える。,もう二度としないよう、クマのハンマーでお仕置きする。,怒りにまかせて気が済むまで怒鳴りつける。
11030011,バルが先輩の使い魔ビスケットを勝手に食べてしまった。魏延がやりそうなお仕置きは？,怒ってバルをつまみ上げ、口に隠したビスケットを出すように言う。,先輩を気遣う気持ちとバルへの同情の間で板挟みになり、結局諸葛亮に使い魔ビスケットの獲得方法を教えてもらう。,次に備えて、残ったビスケットにトウガラシをたっぷり混ぜておく。
11030012,バルが先輩の使い魔ビスケットを勝手に食べてしまった。黄月英がやりそうなお仕置きは？,バルを学園から追い出す。,バルをきちんと叱った後、すがるような視線で先輩を見つめ、許してもらう。,バルの大好きなおやつを全て没収する。
12030001,アクティブスキルは敵に陰陽の印を付与し、敵へのダメージをアップする。この戦姫が複数いる場合、陰陽の印はスタックできる。これに当てはまる風見学部の戦姫は？,左慈,アウラ,チューリング
12030002,風見学部の魏延（青羽）は戦姫が気絶させられた時、HPの割合に応じて敵にダメージを与える。次のうち、魏延（青羽）と最も相性の良い戦姫は？,黄月英（HPが50未満時、高確率で敵を気絶させる）,バニラ（敵に凍結、石化、毒効果を付与する）,華佗（自身が倒れた時、味方戦姫のHPを回復させる）
12030003,風見学部の王異は敵のブロックを減少させ、さらに流血状態の敵に大ダメージを与える。次のうち、王異と最も相性の良い戦姫は？,龐統（自身よりHPが高い敵を気絶させる）,献帝（HPが自身より低い敵に大ダメージを与える）,フェンリル（アクティブスキルにより敵を流血状態にする）
12030004,風見学部のぺぺロンは特殊なスキルを持っており、敵に付与されているマイナス効果が多いほど、与えるダメージが大きくなる。次のうち、ぺぺロンの能力を最大限発揮させることができる編成は？,劉備、ヴェラ、呂蒙、華佗、シルバー,ルシフェル、アウラ、黄月英、曹操（神龍）、ビビアン,アパテー、坂本龍馬、ミカエル、諸葛亮、郭嘉
12030005,風見学部の魏延（青羽）は戦姫が気絶させられた時、HPの割合に応じて敵にダメージを与える。次のうち、魏延（青羽）と最も相性の良い魂器は？,イマジンブレイド（攻撃力、速度、拘束率アップ）,ツインズロッド（攻撃力、速度、ブロックアップ）,金輝の翼（ブレイク、攻撃力、スキルダメージアップ）
12030006,風見学部のアウラは味方戦姫の速度をアップさせることができる。次のうち、アウラによるサポートが最も有効な戦姫のタイプは？,呂布、ヘルシング、王異など、戦闘が長引くほど強力になる戦姫。,フェンリル、張飛、チューリングなど、カウンターやブロックによってダメージを与える戦姫。,ビビアン、イザナミ、アパテーなど、先制攻撃によってダメージがアップする戦姫。
12030007,風見学部の霊帝は、倒されると敵全員を毒状態にする。次のうち、霊帝と最も相性の良い戦姫は？,孫尚香（毒状態の敵に追加ダメージを与える）,偃月（ウォーリアに追加ダメージを与える）,司馬昭（敵を石化状態にし、エネルギーを吸収する）
11060001,学部分けの試験で、雲華学部の試験官を担当したのは誰？,田豊,諸葛亮,呂蒙
11060002,諸葛亮の学部分けテストについての説明によれば、雲華学部に最も相応しい戦姫の特徴は次のうちのどれ？,正直,自立,聡明
11060003,雲華学部で可愛いキノコのような見た目の戦姫と言えば？,田豊,劉備,祝融
11060004,いつの間にか部屋がキレイに掃除されていた。誰がやってくれたのだろう？,赤蓮,呂蒙,ヴェラ
11060005,遅刻寸前の新入生が食べかけのパンを落としながら、近道しようと中庭を横切った。案の定、近くにいた許褚が激怒して追いかけていった。許褚が続けて口にしそうなセリフは、次のうちのどれ？,食べかけのパンを捨てるなんて、勿体ないよ！,新入生なら、もっと早く起きなきゃ！だらしなさすぎるよ！,この～！よくも私の可愛いお花たちを踏んづけたな！お仕置きしてやる！
11060006,クリスの尻尾に付いている水晶の名前は？,奇跡の水晶,真実の水晶,炎神の目
11060007,学園に新たなレストランがオープンしたが、宣伝がうまくいかず、客足が途絶えていた。ある日、店長が「雲華学部の戦姫に宣伝を頼めないか」とお願いしてきた。次の戦姫のうち、誰が最も適任だろうか？,赤蓮,クリス,劉備
11060008,雲華学部で毎月の補助金の支給と財政支出の記録といった、重要な役目を担っている戦姫は？,諸葛亮,ヴェラ,袁術
11060009,火山への旅の後で幽夢学園に入った赤蓮は、どの使い魔の部族の巫女か？,しっぽにゃん,フローラ,エールデ
11060010,呂蒙には心から尊敬している先輩の戦姫がいる。かつて、カオス症候群に罹った戦姫たちに包囲された呂蒙を助け出した戦姫とは、次のうちの誰？,関羽,魏延,張飛
11060011,諸葛亮が所属している組織は次のうちのどれ？,風紀委員会,生徒会,DEF
11060012,幽夢軍団とは「理」が創設した対カオスの軍隊であり、幽夢学園の前身でもある。シルバー、バニラ、龐統といったワルキューレたちは幽夢軍団の隊員だった。その中で、呂玲綺が所属していた部隊は？,風,華,綺
11060013,ルシファーは「Shining Band」のボーカルであり、音楽フェスティバルに参加したこともある。次の雲華学部の戦姫のうち、同バンドのメンバーの組み合わせとして正しいのはどれ？,蔡文姫と黄忠,許褚と諸葛亮,ケーチェと呂玲綺
11060014,雲華学部の劉備は、かつて張飛、関羽と共に一つのバンドを立ち上げた。このバンドの名前は？,桃苑バンド,桃園バンド,桃源バンド
11060015,戦姫の秘密。普段はとても臆病で、丁寧ながらも声は小さく、どもりがちのミスルトだが、ある話題になると途端に大胆で激しい性格に変貌する。その話題とは？,自由,命,愛
11060016,戦姫の秘密。ヴェラの料理は栄養満点だが、見た目と味は常人の理解を超えており、「殺人兵器」と呼ぶにふさわしい代物だ。戦姫たちの健康のために、彼女はある人物から薬草の知識を教わった。その人物とは？,于吉,華佗,左慈
11060017,戦姫の秘密。ケーチェの殺しの才能は天性のものだ。一撃必殺が彼女の美学であり、その暗殺術は森の地形に依存する部分が大きい。そのため、地の利を活かせない状況下では、己の腕がある人物に劣るのではないかと、ケーチェは疑念を抱いている。その人物とは？,アンユエ,シルバー,郭嘉
