id,name,desc,unlock
16,絹（普通）Ⅰ,以降の回廊観測中に補給カード「絹（普通）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,
17,絹（普通）Ⅱ,以降の回廊観測中に補給カード「絹（普通）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗15%到達でアンロック
18,絹（普通）Ⅲ,以降の回廊観測中に補給カード「絹（普通）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗30%到達でアンロック
19,絹（普通）Ⅳ,以降の回廊観測中に補給カード「絹（普通）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗45%到達でアンロック
20,絹（普通）Ⅴ,以降の回廊観測中に補給カード「絹（普通）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗60%到達でアンロック
21,絹（高級）Ⅰ,以降の回廊観測中に補給カード「絹（高級）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,
22,絹（高級）Ⅱ,以降の回廊観測中に補給カード「絹（高級）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗20%到達でアンロック
23,絹（高級）Ⅲ,以降の回廊観測中に補給カード「絹（高級）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗40%到達でアンロック
24,絹（高級）Ⅳ,以降の回廊観測中に補給カード「絹（高級）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗60%到達でアンロック
25,絹（高級）Ⅴ,以降の回廊観測中に補給カード「絹（高級）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗80%到達でアンロック
26,イベント強化Ⅰ,以降の回廊観測中にイベントカード「嫦娥」が発動した際、カードLv+1。,
27,イベント強化Ⅱ,以降の回廊観測中にイベントカード「荀彧」が発動した際、カードLv+1。,アンロック条件：この回廊のイベントカード「嫦娥」の発動数50回到達でアンロック（{1}/50）
28,イベント強化Ⅲ,以降の回廊観測中にイベントカード「水鏡」が発動した際、カードLv+1。,アンロック条件：この回廊のイベントカード「荀彧」の発動数80回到達でアンロック（{1}/80）
29,イベント強化Ⅳ,以降の回廊観測中にイベントカード「フェンリル」が発動した際、カードLv+1。,アンロック条件：この回廊のイベントカード「水鏡」の発動数90回到達でアンロック（{1}/90）
30,イベント強化Ⅴ,以降の回廊観測中にイベントカード「華佗」が発動した際、カードLv+1。,アンロック条件：この回廊のイベントカード「フェンリル」の発動数110回到達でアンロック（{1}/110）
31,イベント強化Ⅵ,以降の回廊観測中にイベントカード「テレサ」が発動した際、カードLv+1。,この回廊のイベントカード「華佗」の発動数70回到達でアンロック（{1}/70）
32,イベント強化Ⅶ,以降の回廊観測中にイベントカード「許褚」が発動した際、カードLv+1。,この回廊のイベントカード「テレサ」の発動数60回到達でアンロック（{1}/60）
33,ステージ開放,この回廊の次のステージがアンロックされる（現在のステージクリア後に、次のステージに挑戦できるようになる）,
34,勇気Ⅰ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、勇気が{1}ptアップする。,
35,魅力Ⅰ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、魅力が{1}ptアップする。,アンロック条件：勇気ⅠのLv.5到達でアンロック
36,知識Ⅰ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、知識が{1}ptアップする。,アンロック条件：魅力ⅠのLv.5到達でアンロック
37,勇気Ⅱ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、勇気が{1}ptアップする。,アンロック条件：勇気ⅠのLv.5到達、実績「この回廊の第2ステージをクリアする」の完了とボーナス受け取りでアンロック
38,魅力Ⅱ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、魅力が{1}ptアップする。,アンロック条件：「勇気Ⅱ」または「魅力Ⅰ」のLv.5到達でアンロック
39,知識Ⅱ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、知識が{1}ptアップする。,アンロック条件：「魅力Ⅱ」または「知識Ⅰ」のLv.5到達でアンロック
40,勇気Ⅲ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、勇気が{1}ptアップする。,アンロック条件：勇気ⅡのLv.5到達、実績「この回廊の第5ステージをクリアする」の完了とボーナス受け取りでアンロック
41,魅力Ⅲ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、魅力が{1}ptアップする。,アンロック条件：「勇気Ⅲ」または「魅力Ⅱ」のLv.5到達でアンロック
42,知識Ⅲ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、知識が{1}ptアップする。,アンロック条件：「魅力Ⅲ」または「知識Ⅱ」のLv.5到達でアンロック
43,勇気Ⅳ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、勇気が{1}ptアップする。,アンロック条件：勇気ⅢのLv.5到達、実績「この回廊の第8ステージをクリアする」の完了とボーナス受け取りでアンロック
44,魅力Ⅳ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、魅力が{1}ptアップする。,アンロック条件：「勇気Ⅳ」または「魅力Ⅲ」のLv.5到達でアンロック
45,知識Ⅳ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、知識が{1}ptアップする。,アンロック条件：「魅力Ⅳ」または「知識Ⅲ」のLv.5到達でアンロック
46,観測加速,この技術のLvUP後に、回廊の観測加速に必要な「タイムダスト」を{1}個、即獲得できる。,
47,カード開放Ⅰ,イベントカード「ポイント」がアンロックされる。以降の回廊観測中にイベントカード「ポイント」が発動した際、一定の確率でより多くのポイントを獲得できる。,
48,カード開放Ⅱ,挑戦カード「挑戦・中級」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,アンロック条件：この回廊での勇気、魅力、知識が各1000pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
49,カード開放Ⅲ,挑戦カード「挑戦・高級」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,アンロック条件：この回廊での勇気、魅力、知識が各2000pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
50,観測時間Ⅰ,この回廊で観測を行う際、開始時の「遡る懐中時計」の所持数が{1}アップする。,
51,観測時間Ⅱ,この回廊で観測を行う際、開始時の「遡る懐中時計」の所持数が{1}アップする。,アンロック条件：「観測時間Ⅰ」Lv.2＋この回廊での勇気500pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
52,観測時間Ⅲ,この回廊で観測を行う際、開始時の「遡る懐中時計」の所持数が{1}アップする。,アンロック条件：「観測時間Ⅱ」Lv.3＋この回廊での魅力1000pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
53,観測時間Ⅳ,この回廊で観測を行う際、開始時の「遡る懐中時計」の所持数が{1}アップする。,アンロック条件：「観測時間Ⅲ」Lv.3＋この回廊での知識1500pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
54,観測時間Ⅴ,この回廊で観測を行う際、開始時の「遡る懐中時計」の所持数が{1}アップする。,アンロック条件：この回廊での勇気、魅力、知識が各1700pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
55,基礎補給Ⅰ,以降の回廊観測中に補給カード「基礎補給」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,
56,基礎補給Ⅱ,以降の回廊観測中に補給カード「基礎補給」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗10%到達でアンロック
57,基礎補給Ⅲ,以降の回廊観測中に補給カード「基礎補給」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗20%到達でアンロック
58,基礎補給Ⅳ,以降の回廊観測中に補給カード「基礎補給」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗30%到達でアンロック
59,基礎補給Ⅴ,以降の回廊観測中に補給カード「基礎補給」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗40%到達でアンロック
60,ボタンⅠ,以降の回廊観測中に補給カード「ボタン」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,
61,ボタンⅡ,以降の回廊観測中に補給カード「ボタン」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗20%到達でアンロック
62,ボタンⅢ,以降の回廊観測中に補給カード「ボタン」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗40%到達でアンロック
63,ボタンⅣ,以降の回廊観測中に補給カード「ボタン」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗60%到達でアンロック
64,ボタンⅤ,以降の回廊観測中に補給カード「ボタン」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗80%到達でアンロック
65,絹（普通）Ⅰ,以降の回廊観測中に補給カード「絹（普通）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,
66,絹（普通）Ⅱ,以降の回廊観測中に補給カード「絹（普通）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗15%到達でアンロック
67,絹（普通）Ⅲ,以降の回廊観測中に補給カード「絹（普通）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗30%到達でアンロック
68,絹（普通）Ⅳ,以降の回廊観測中に補給カード「絹（普通）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗45%到達でアンロック
69,絹（普通）Ⅴ,以降の回廊観測中に補給カード「絹（普通）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗60%到達でアンロック
70,絹（高級）Ⅰ,以降の回廊観測中に補給カード「絹（高級）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,
71,絹（高級）Ⅱ,以降の回廊観測中に補給カード「絹（高級）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗20%到達でアンロック
72,絹（高級）Ⅲ,以降の回廊観測中に補給カード「絹（高級）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗40%到達でアンロック
73,絹（高級）Ⅳ,以降の回廊観測中に補給カード「絹（高級）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗60%到達でアンロック
74,絹（高級）Ⅴ,以降の回廊観測中に補給カード「絹（高級）」が発動した際、カードLv+1に加え、より多くのボーナスを獲得できる。,アンロック条件：この回廊の観測総進捗80%到達でアンロック
75,アバター展示-頭部,更に高いレベルの資源カード「アバター展示-頭部」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,
76,アバター展示-上半身,更に高いレベルの資源カード「アバター展示-上半身」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,
77,アバター展示-下半身,更に高いレベルの資源カード「アバター展示-下半身」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,
78,アバター展示-頭部小物,更に高いレベルの資源カード「アバター展示-頭部小物」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,
79,アバター展示-アクセサリー,更に高いレベルの資源カード「アバター展示-アクセサリー」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,
80,アバター展示-ステータス,更に高いレベルの資源カード「アバター展示-ステータス」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,
81,イベント強化Ⅰ,以降の回廊観測中にイベントカード「ヴェラ」が発動した際、カードLv+1。,
82,イベント強化Ⅱ,以降の回廊観測中にイベントカード「夏侯淵」が発動した際、カードLv+1。,アンロック条件：この回廊のイベントカード「ヴェラ」の発動数50回到達でアンロック（{1}/50）
83,イベント強化Ⅲ,以降の回廊観測中にイベントカード「孫策」が発動した際、カードLv+1。,アンロック条件：この回廊のイベントカード「夏侯淵」の発動数50回到達でアンロック（{1}/50）
84,イベント強化Ⅳ,以降の回廊観測中にイベントカード「織田信長」が発動した際、カードLv+1。,アンロック条件：この回廊のイベントカード「孫策」の発動数50回到達でアンロック（{1}/50）
85,イベント強化Ⅴ,以降の回廊観測中にイベントカード「ディアンヌ」が発動した際、カードLv+1。,アンロック条件：この回廊のイベントカード「織田信長」の発動数50回到達でアンロック（{1}/50）
86,イベント強化Ⅵ,以降の回廊観測中にイベントカード「千本桜」が発動した際、カードLv+1。,アンロック条件：この回廊のイベントカード「ディアンヌ」の発動数50回到達でアンロック（{1}/50）
87,イベント強化Ⅶ,以降の回廊観測中にイベントカード「貂蝉」が発動した際、カードLv+1。,アンロック条件：この回廊のイベントカード「千本桜」の発動数50回到達でアンロック（{1}/50）
88,ステージ開放,この回廊の次のステージがアンロックされる（現在のステージクリア後に、次のステージに挑戦できるようになる）,
89,観測加速,この技術のLvUP後に、回廊の観測加速に必要な「タイムダスト」を{1}個、即獲得できる。,
90,カード開放-ポイント,イベントカード「ポイント」がアンロックされる。以降の回廊観測中にイベントカード「ポイント」が発動した際、一定の確率でより多くのポイントを獲得できる。,
91,カード開放-衝突Ⅰ,挑戦カード「挑戦・中級」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,アンロック条件：この回廊での勇気、魅力、知識が各1000pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
92,カード開放-衝突Ⅱ,挑戦カード「挑戦・上級」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,アンロック条件：この回廊での勇気、魅力、知識が各2000pt到達でアンロック（回廊観測時に出撃した戦姫の臨時のステータス分は含まない）
93,カード開放-衝突Ⅲ,更に高いレベルの挑戦カード「衝突」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,アンロック条件：この回廊の挑戦カード「衝突Ⅰ」の挑戦回数10回到達でアンロック（{1}/10）
94,カード開放-悪夢,更に高いレベルの資源カード「悪夢」がアンロックされ、以降の回廊観測中に当該カードが発動可能となる。,
95,協力-レベルアップ,この回廊の協力戦姫をレベルアップする。,
96,協力-覚醒スキルⅠ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、勇気が{1}ptアップする。,
97,協力-覚醒スキルⅡ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、魅力が{1}ptアップする。,
98,協力-覚醒スキルⅢ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、知識が{1}ptアップする。,
99,協力-覚醒スキルⅣ,この回廊でのステージ挑戦時や以降の挑戦カード発動時に、勇気、魅力、知識がそれぞれ{1}ptアップする。,
