id,name,notation
752014,坂本龍馬,
51013,ビビアン,
651020,ビビアン,
751013,ビビアン,
54013,劉備,りゅうび
654020,劉備,りゅうび
754013,劉備,りゅうび
52015,雲母,うんも
652022,雲母,うんも
752015,雲母,うんも
56008,后羿,こうげい
656018,后羿,こうげい
756008,后羿,こうげい
53016,魯班,ろはん
653023,魯班,ろはん
753016,魯班,ろはん
