id,desc,answer_desc,result_desc
23,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
24,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
25,大喬が新しい楽器を練習している。横で聞いていようと思ったが、あまりにもひどかったので、あきらめた。,,
26,呂布と本を読むことになった。すごく深い本を読むと思っていたら、呂布は童話を読み始めた……,,
27,張飛食堂の新作を食べてみたが、辛すぎて気を失ってしまった。,,
28,探し物をしていたら、諸葛亮が偶然横を通った。彼女は助言をした後、急いでどこかに行った。,,
29,園芸部が学園内の空き地で植物を植えたいと打診してきた。,タンポポを植えよう|スズランを植えよう,その後、大きなタンポポの押し花を貰った。|アドバイスをした後、植えるのを手伝えと許褚に強制連行された。
30,生徒会がメンバーを募集するそうだ。会長の諸葛亮にこの事を任された。,校内放送で放送する|新聞部に書いて貰う,何を勘違いしたのか「灰色の野獣」が応募して来た。食堂で鶏の丸焼きを3匹買ってあげて、ようやくケンカ相手を探しているこの後輩を帰らせた。|ハープの練習に夢中になったガブリエルは、この事を新聞に載せるのを忘れてしまった。
31,学園のカフェが新しいコーヒーミルを買ったが、なぜかスムーズに動かないようだ。,許褚に直して貰う|趙雲に直して貰う,許褚は、力任せにコーヒーミルを回し続けた。部品に挟まっていた豆が怪力によって粉砕されでもしたのか、スムーズに動く様になった。|人気者の趙雲が現れると、皆一斉に彼女に群がって話し始めた。もちろん、修理どころじゃなくなった……
32,隠匿学部が隠密行動が一番うまい人を決めるため、大会を開いた。,郭嘉に票を入れる|司馬懿に票を入れる,郭嘉は隠匿学部の生徒じゃなかった！|残念だが司馬懿は負けてしまった。彼女を慰める為に邪悪エナジージュースを奢った。
33,財布を無くしてしまった。どこを探す？,宿舎のベッドの下|教室の机の引き出し,財布は見つからなかったが、ガチャコインを見つけた！そしてガチャを回したら、レアアイテムを手に入れた！|財布は見つからなかったが、食材を運んでいる張飛と出会い、助けてあげたら食券を1枚貰った。
34,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
35,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
36,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
37,張郃と曹操がガチャで運試し勝負をしていたが、どっちも運が悪くて、虚しい結果になった。,,
38,探し物をしていたら、諸葛亮が偶然横を通った。彼女は助言をした後、急いでどこかに行った。,,
39,氷と雪の違いを知るため、鄧艾に質問してみたが、手を滑らせた彼女に氷漬けにされてしまった。,,
40,大喬が新しい楽器を練習している。横で聞いていようと思ったが、あまりにもひどかったので、あきらめた。,,
41,寝ていたら、部屋のドアを激しく叩かれた。何やら急いでいるようだ。,ドアを開ける|気にせず寝続ける,ドアを開けると、そこにはバルがいた。バルを黄月英に届けると、お礼として青いビスケットを1箱貰った。|それから暫く不眠気味になった。華佗先生に相談したら、青いビスケットを1箱貰った。
42,ウロボロス大図書館に遊びに行った時、ホコリまみれの本棚を見つけた。,掃除器具を探す|どんな本があるか先に見る,掃除器具を探している途中、トラップに引っかかり、3日間咳が止まらない呪いをかけられた。|本を開くと変な呪いに引っかかり、3日間咳が止まらなかった。
43,運動会の時、突如欠員の学部から\n助っ人を頼まれた。,短距離走に参加|バレーボールに参加,走っている最中、転んでしまい、足を捻挫してしまった。|シルバーのスパイクを顔面で受けて、気を失ってしまった。
44,劉表とゲームをすることになった。,ポーカー|囲碁,劉表の手が濡れているため、カードがフニャフニャになってしまった。|お互いルールに詳しくないため、一局に結構時間がかかった。
45,皆とかくれんぼする事になった。どこに隠れる？,授業棟頂上|宿舎の横にある草むら,見つからなかったが、ゲームの範囲外と見なされたため、皆に奢る羽目になった。|見つからなかったが、宿舎から出て来た織田信長に変態と間違われて、こっぴどくやられた。
46,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
47,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
48,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
49,イサウからプレゼントを貰ったと思いきや、ヤコブに渡して欲しいと言われた……,,
50,張飛食堂の新作を食べてみたが、辛すぎて気を失ってしまった。,,
51,探し物をしていたら、諸葛亮が偶然横を通った。彼女は助言をした後、急いでどこかに行った。,,
52,新しいガチャを回す為、精一杯バイトに励んだ。,,
53,図書館の机の上に、本が開いたまま置かれていた。誰かが忘れていったのだろう。,曹植に渡す|バニラに渡す,曹植が忘れた物ではないようだ。それでも曹植は嬉しそうに感謝の意を述べた。|バニラは嬉しそうに本を受け取った。どこに置いたか忘れていたようだ。
54,空地で青色の骨ビスケットが落ちていたのを発見した。辺りに人はいないようだ。,拾って食べる|無視する,突如しっぽにゃんに襲われた。ビスケットはそのしっぽにゃんの物だったのだろう。|少し前に進んだ後、気になって振り向いてみると、ビスケットは既に消えていた……
55,運動会の時、突如欠員の学部から\n助っ人を頼まれた。,短距離走に参加|バレーボールに参加,走っている最中、転んでしまい、足を捻挫してしまった。|シルバーのスパイクを顔面で受けて、気を失ってしまった。
56,劉表とゲームをすることになった。,ポーカー|囲碁,劉表の手が濡れているため、カードがフニャフニャになってしまった。|お互いルールに詳しくないため、一局に結構時間がかかった。
57,皆とかくれんぼする事になった。どこに隠れる？,授業棟頂上|宿舎の横にある草むら,見つからなかったが、ゲームの範囲外と見なされたため、皆に奢る羽目になった。|見つからなかったが、宿舎から出て来た織田信長に変態と間違われて、こっぴどくやられた。
58,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
59,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
60,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
61,今回のテストで誰も赤点にならなかった。喜んでいる貂蝉先生からプレゼントを貰った。,,
62,張郃と曹操がガチャで運試し勝負をしていたが、どっちも運が悪くて、虚しい結果になった。,,
63,イサウからプレゼントを貰ったと思いきや、ヤコブに渡して欲しいと言われた……,,
64,張飛食堂の新作を食べてみたが、辛すぎて気を失ってしまった。,,
65,風呂から上がってから、大浴場のドライヤーが壊れていたことに気付いた。,濡れた髪のまま宿舎に戻る|大浴場の前で座って、自然に乾くのを待つ,宿舎に戻る途中、荀彧に会ってドライヤーを借りた。|そのまま寝てしまい、夜風に当たってカゼになってしまった。
66,学園の桜が咲いた。多くの花弁が宙を舞っている。,花びらを掃除する|静かに美景を眺める,頑張って掃除をしたが、急に強風が吹いて、また散らかってしまった。|桜の木の下でボーっとしていたら、重要なバイトに遅刻してしまった。
67,幽夢騎馬大会が開かれた。一部の道で近距離観戦できるようだ。,レースの最終地点に向かう|事故が多発する道で観戦する,道に迷ってしまい、辺鄙な場所まで歩いた。不思議な印がある石を見つけた。|夏侯惇が乗っている馬が近くを通った際、道に落ちていた石を弾いた。その石が自分の頬を掠めて、冷や汗をかいた。
68,茶道部の誘いを受け、お茶をごちそうして貰うことになった。,紅茶を飲む|緑茶を飲む,一気に飲んだ後、頭がクラクラして気を失った。目が覚めると宿舎のベッドの上にいて、机の上には「治験のお礼」と書かれた紙と、お菓子の箱が置いてあった。|飲もうとした瞬間、魏延が現れて、カップを粉砕した。代わりのお茶を淹れてくれたが、一体どういうことだ？
69,アンケート調査を受けた。好きなトランプの柄を聞かれた。,ハートのA|スペードのK,翌日、王冠を被った熊のぬいぐるみが届いた。|翌日、黒い羽根が刺さった赤いリンゴが届いた。
70,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
71,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
72,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
73,探し物をしていたら、諸葛亮が偶然横を通った。彼女は助言をした後、急いでどこかに行った。,,
74,新しいガチャを回す為、精一杯バイトに励んだ。,,
75,氷と雪の違いを知るため、鄧艾に質問してみたが、手を滑らせた彼女に氷漬けにされてしまった。,,
76,大喬が新しい楽器を練習している。横で聞いていようと思ったが、あまりにもひどかったので、あきらめた。,,
77,商店街で買い物していると、ふと白い翼が目に入った。,思わず羽に触れる|避ける,驚いた龐統は火を出してしまい、手をやけどしてしまった。|迷子になっていた龐統だった。彼女の目的の店まで送ると、お礼として羽を1本貰った。
78,パーティの途中、部屋を暗くして、椅子取りゲームをすることになった。,シルバーのチームに参加|魏延のチームに参加,シルバーは、自身の能力がこの手のゲームでは不公平になると辞退した。残りのメンバーで頑張ったが、参加賞しかもらえなかった。|暗闇の中、魏延が腕を振ると椅子の多くを破壊してしまった。最終的に優勝したが、優勝賞金の大半は椅子の弁償に当てた。
79,学園のカフェが新しいコーヒーミルを買ったが、なぜかスムーズに動かないようだ。,許褚に直して貰う|趙雲に直して貰う,許褚は、力任せにコーヒーミルを回し続けた。部品に挟まっていた豆が怪力によって粉砕されでもしたのか、スムーズに動く様になった。|人気者の趙雲が現れると、皆一斉に彼女に群がって話し始めた。もちろん、修理どころじゃなくなった……
80,隠匿学部が隠密行動が一番うまい人を決めるため、大会を開いた。,郭嘉に票を入れる|司馬懿に票を入れる,郭嘉は隠匿学部の生徒じゃなかった！|残念だが司馬懿は負けてしまった。彼女を慰める為に邪悪エナジージュースを奢った。
81,運動会の時、突如欠員の学部から\n助っ人を頼まれた。,短距離走に参加|バレーボールに参加,走っている最中、転んでしまい、足を捻挫してしまった。|シルバーのスパイクを顔面で受けて、気を失ってしまった。
82,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
83,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
84,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
85,張郃と曹操がガチャで運試し勝負をしていたが、どっちも運が悪くて、虚しい結果になった。,,
86,イサウからプレゼントを貰ったと思いきや、ヤコブに渡して欲しいと言われた……,,
87,張飛食堂の新作を食べてみたが、辛すぎて気を失ってしまった。,,
88,探し物をしていたら、諸葛亮が偶然横を通った。彼女は助言をした後、急いでどこかに行った。,,
89,商店街で買い物していると、ふと白い翼が目に入った。,思わず羽に触れる|避ける,驚いた龐統は火を出してしまい、手をやけどしてしまった。|迷子になっていた龐統だった。彼女の目的の店まで送ると、お礼として羽を1本貰った。
90,パーティの途中、部屋を暗くして、椅子取りゲームをすることになった。,シルバーのチームに参加|魏延のチームに参加,シルバーは、自身の能力がこの手のゲームでは不公平になると辞退した。残りのメンバーで頑張ったが、参加賞しかもらえなかった。|暗闇の中、魏延が腕を振ると椅子の多くを破壊してしまった。最終的に優勝したが、優勝賞金の大半は椅子の弁償に当てた。
91,学園内の事を知ろうとして、新聞を買うことにした。,「幽夢新聞」を買う|「極秘100％」を買う,堅めの内容で少しつまらなかった。一番好きなのはおまけコーナーの「笑える話3選」だった。|内容を見てみると、皆が知っているような古い学園伝説だった。読むのを止めて、図書館で曹植とお話をして、楽しい一日を過ごした。
92,運動会の時、突如欠員の学部から\n助っ人を頼まれた。,短距離走に参加|バレーボールに参加,走っている最中、転んでしまい、足を捻挫してしまった。|シルバーのスパイクを顔面で受けて、気を失ってしまった。
93,劉表とゲームをすることになった。,ポーカー|囲碁,劉表の手が濡れているため、カードがフニャフニャになってしまった。|お互いルールに詳しくないため、一局に結構時間がかかった。
94,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
95,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
96,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
97,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
98,張飛食堂の新作を食べてみたが、辛すぎて気を失ってしまった。,,
99,探し物をしていたら、諸葛亮が偶然横を通った。彼女は助言をした後、急いでどこかに行った。,,
100,新しいガチャを回す為、精一杯バイトに励んだ。,,
101,氷と雪の違いを知るため、鄧艾に質問してみたが、手を滑らせた彼女に氷漬けにされてしまった。,,
102,商店街で買い物していると、ふと白い翼が目に入った。,思わず羽に触れる|避ける,驚いた龐統は火を出してしまい、手をやけどしてしまった。|迷子になっていた龐統だった。彼女の目的の店まで送ると、お礼として羽を1本貰った。
103,パーティの途中、部屋を暗くして、椅子取りゲームをすることになった。,シルバーのチームに参加|魏延のチームに参加,シルバーは、自身の能力がこの手のゲームでは不公平になると辞退した。残りのメンバーで頑張ったが、参加賞しかもらえなかった。|暗闇の中、魏延が腕を振ると椅子の多くを破壊してしまった。最終的に優勝したが、優勝賞金の大半は椅子の弁償に当てた。
104,生徒会がメンバーを募集するそうだ。会長の諸葛亮にこの事を任された。,校内放送で放送する|新聞部に書いて貰う,何を勘違いしたのか「灰色の野獣」が応募して来た。食堂で鶏の丸焼きを3匹買ってあげて、ようやくケンカ相手を探しているこの後輩を帰らせた。|ハープの練習に夢中になったガブリエルは、この事を新聞に載せるのを忘れてしまった。
105,学園のカフェが新しいコーヒーミルを買ったが、なぜかスムーズに動かないようだ。,許褚に直して貰う|趙雲に直して貰う,許褚は、力任せにコーヒーミルを回し続けた。部品に挟まっていた豆が怪力によって粉砕されでもしたのか、スムーズに動く様になった。|人気者の趙雲が現れると、皆一斉に彼女に群がって話し始めた。もちろん、修理どころじゃなくなった……
106,寝ていたら、部屋のドアを激しく叩かれた。何やら急いでいるようだ。,ドアを開ける|気にせず寝続ける,ドアを開けると、そこにはバルがいた。バルを黄月英に届けると、お礼として青いビスケットを1箱貰った。|それから暫く不眠気味になった。華佗先生に相談したら、青いビスケットを1箱貰った。
107,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
108,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
109,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
