描述,title,name,dialog,select_text
44,,ヤコブ,えっ、そうだっけ？うーん……思い出せないな……,
45,,*,風紀委員会だよ！呂布と……あと、真実の水晶とか……,
46,,ヤコブ,呂布？誰の事なの？でも、真実の水晶はどっかで……,
47,,ヤコブ,あっ、姉さんだ！,
48,,,ヤコブの視線の方を向くと、純白の少女が目に入った。,
49,,,長くて白い髪、スカートに翼、そして、ヤコブと瓜二つの顔……,
50,,*,ようやく現れたか、イサウ。,
51,イサウ,イサウ,ヤコブ、たっだいま～！,
52,,,まだ反応できていないうちに、イサウがヤコブに飛びつき抱きしめた。,
53,,ヤコブ,やめてよ、姉さん……街中じゃ恥ずかしいよ……,
54,,*,コホンコホン……,
55,,イサウ,あらあら、ごめんね。ここに人がいるなんて気づかなかった……えっと、どちら様？,
56,,*,あんたも忘れてるんかい！,
57,,イサウ,あっ！一回会った「先輩」じゃないの！,
58,,*,ぼ、僕に何する気だ！？,
59,,イサウ,もう、そんなに緊張しないでよ～。,
60,,イサウ,商店街と言ったら、ショッピングでしょ？,
61,,*,それ以外に何か奪うーとか、破壊するー、とかないよね？,
62,,イサウ,安心しなさい！前の戦いで、ヤコブの体内にいたナイトメアはもう消滅したわ！,
63,,イサウ,今のヤコブは、ただの純度100％の美少女よ！,
64,,ヤコブ,（コクコク）,
65,,*,でも、ヤコブはあの時の記憶がないようだが……,
66,,イサウ,記憶喪失って、この学園じゃよくあることじゃない！,
67,,ヤコブ,そ、そうそう、細かいことは気にしない。,
68,,イサウ,今の私たちは、入学準備で大忙しなのよ！,
69,,*,あぁ、新入生って、あなた達の事だったのか。,
70,,*,でも、ヤコブが買い物すらできないのは、ちょっと心配だな……,
71,,イサウ,だいじょうぶよ！掃除、洗濯、お買い物……全部私は得意よ！,
72,,イサウ,そうそう、新しい筆記用具とランドセルも……,
73,,イサウ,ヤコブに必要なものは全部揃えてあげたわよ！,
74,,,双子はまるで宝の山を守るラスボスのごとく、その周囲はイサウが買って来た物でいっぱいになった。,
75,,*,おいおい、さすがに多すぎるだろう。ヤコブが10人増えても使いきれないぞ……,
76,,イサウ,ふふん。私の妹だから、一番いい物を用意してあげるのは当たり前だわ！,
77,,ヤコブ,姉さん、実は私も色々と準備を……,
78,,,ヤコブの話は、押し寄せてくる足音に遮られた。,
79,,怒っている店主たち,待て、このヤロウ！,
80,,怒っている店主たち,これカネじゃねぇ！物を返せ！,
81,,怒っている店主たち,白い翼のヤロウ、逃げんな！,
82,,*,白い翼って、おいおい、イサウ！！！,
83,,イサウ,えっ？私？おかしいな、お金を払ったのに。,
84,,イサウ,でも、冷静に話ができる様子じゃないわ。とりあえず落ち着かせよう！,
85,,*,やめろやめろ！僕が代わりに払うから！,
86,,*,ふぅ……意味のない戦いだったよ……,
87,,ヤコブ,また先輩に助けられたね～。,
88,,イサウ,えへへ、先輩ふとっぱら～。,
89,,*,感謝より、先に説明してくれないかな？,
90,,*,これがイサウの言う、得意、なのかな！？ねぇ！？,
91,飛翔,*,ふぅん……問題は「貨幣が違う」ねぇ……,
92,,イサウ,うん！そうらしいわね！,
93,,イサウ,でも、本当に助かったよ、先輩！このままじゃバイトをいくつ掛け持ちしても、無理だったわ……,
94,,*,だ・か・ら……なんでこんなに買っちゃうんだよ！？,
95,,イサウ&ヤコブ,女の子がショッピング好きなのは当たり前でしょ！,
96,,*,お金出してるのは僕なんですけど！？,
97,,ヤコブ,実は、私から姉さんにプレゼントがあるの。,
98,,イサウ,ええ！？私に？,
99,,ヤコブ,これ、どうしても姉さんにあげたかったの。,
100,,,少女の手には、キラキラと光る指輪が握られていた。,
101,,,黒と白の羽が織り成した翼が、まるで空を飛ぶかのように広げられている。,
102,,,特別な見た目をしたペンダントだった。,
103,,ヤコブ,白と黒の羽、私たちみたいだね、姉さん。,
104,,ヤコブ,私たちもいつか、自由に羽ばたくことができたら良いのにね……,
105,,イサウ,きっと……きっとできるわよ！,
106,,イサウ,私たちは、これから幽夢学園に入学するんだよ。,
107,,イサウ,学園は広いから、きっと自由に飛べるわ！,
108,,曹操,こらこら、公共の場でいちゃつくのは感心しないな……,
109,,*,もうちょっと空気を読もうか、曹操さん……,
110,,曹操,風紀委員、曹操参上！,
111,,曹操,商店街で騒ぎが起きたと通報があってね。お前ら三人がその原因のようだな。,
112,,曹操,そこの二人……そして先輩も、一緒に署まで来てもらおうか？,
113,,通行人,あれ？曹操さんって、既に風紀委員じゃなくなったんじゃ……？,
114,,通行人,そうそう、たしかDEFとかという組織に……,
115,,曹操,そこ……何か言ったか？,
116,,通行人,あ、あらやだ、何も言っていませんわ～……（そそくさ）,
117,,*,コホン……曹操さん、騒ぎはもう落ち着いたよ。そしてこの二人は……,
118,,イサウ,知らない人には、ついて行っちゃダメなんだから！帰るわよ、ヤコブ！,
119,,ヤコブ,うん。,
120,,曹操,では、力ずくで来てもらうしかないな。,
121,,*,お前ら！人の話は最後まで聞け！！！,
122,,*,はぁ、はぁ……今日だけで、3回、戦った……,
123,,*,貂蝉先生の買い出しを手伝うだけのはずなのに！！！,
124,,イサウ,ヤコブ、今よ！,
125,,ヤコブ,うん！そうらしいわね！,
126,,,耳元で翼が広がる音が聞こえた。,
127,,,日差しが白と黒の羽を透き通って、商店街を照らした。,
128,,,その時、誰もが彼女たちに別れが訪れるとは思わなかっただろう。,
129,,,命の誕生から終わりまで、白と黒、イサウとヤコブは、一心同体だ。,
130,,*,お、おい！僕を置いていくなよ！この状況を、僕に全部押し付けるつもりか！？,
131,,イサウ,ごめんね、先輩！あっ、違う、未来の先輩～。,
132,,ヤコブ,ま、またすぐに会えるから！その時はちゃんと謝るから～！,
133,,イサウ&ヤコブ,じゃあ、また会う日まで～。,
134,猫娘,校内放送,全校のみなさん、ご注意ください！,
135,,校内放送,本日、学園内に野生のしっぽにゃんが、\nなぜか大量発生しています。\n既に攻撃された生徒も確認されています。,
136,,校内放送,決して気軽に触れようとしないでください。\n生徒会からのお知らせでした。,
137,,ヤコブ,姉さん見て、しっぽにゃんだ！,
138,,イサウ,えっ、どこどこ？,
139,,ヤコブ,あぁ、モフモフのお腹とプニプニの肉球……\n触りたい……,
140,,イサウ,猫ちゃん～、いい子だからじっとしてね。\nちょっと触るだけだから……,
141,,しっぽにゃん,にゃ！,
142,,ヤコブ,あっ！姉さん、だいじょうぶ？ケガはない？,
143,,イサウ,だいじょうぶ、こんなのかすり傷よ。,
144,,ヤコブ,うん？あそこの草むらに……何かあるみたい……,
145,,イサウ,猫耳だ！そこにもう一匹いるのね！,
146,,イサウ,今度こそ触らせて貰うわよ！うふふ……,
147,,ヤコブ,姉さん、よだれよだれ……,
148,,猫耳少女,お前ら……何する気にゃ？,
149,,ヤコブ,姉さん、しっぽにゃんじゃなくて、\nしっぽにゃん娘だ……,
150,,赤蓮,名前、ある、赤蓮にゃん。,
151,,ヤコブ,うん……？赤蓮？\nそれとも赤蓮にゃんまでが名前なの……？,
152,,赤蓮,赤蓮は、赤蓮だにゃ！,
153,,赤蓮,にゃっ！触る、ダメ！,
154,,イサウ,暖かくてフワフワ……\n赤蓮の触り心地最高～！,
155,,赤蓮,……！うにゃっ！,
156,,赤蓮,人間……おかしいにゃ！,
157,,イサウ,あっ！逃げないで！もっと触らせて！,
158,,赤蓮,近づいたら、ひっかくにゃ！,
159,,イサウ,赤蓮に嫌われたようだわ……,
160,,ヤコブ,姉さん、これを試してみない？（チュ●ル）,
161,,赤蓮,にゃ……！そ、それは……ゴクリ……,
162,,赤蓮,ふ、ふん！赤蓮、安い子じゃ、にゃい！,
163,,ヤコブ,うーん、残念……\nこれは高級なマグロで作られたものなのに……,
164,,赤蓮,にゃ！？ま、まぐろ……ゴクリ……,
165,,しーにゃん,にゃにゃにゃ！（マグロ！）,
166,,赤蓮,だめにゃ！猫にも、五分の魂……！,
167,,しーにゃん,にゃん……（シュン）,
168,,イサウ,ねぇ、赤蓮さ～ん。私と取引しない？,
169,,ヤコブ,姉さん、それ、ナイトメアのセリフ……,
170,,イサウ,コホン！細かい事は気にしないの！,
171,,イサウ,赤蓮、私が満足するまで触らせてくれたら、\nあなたとしっぽにゃんたちを、美味しいごはんが\nあるところに連れて行ってあげるわ！,
172,,赤蓮,約束、守るにゃ？,
173,,イサウ,もちろん！そこにはチュ●ルより、\nもっとおいしい物がたっくさんあるわよ！,
174,,赤蓮,嘘は、許さないにゃん。,
175,,イサウ&ヤコブ,当然よ！,
176,食堂戦争,モブ1,見て見て！しっぽにゃんの群れよ！,
177,,モブ2,ああ、尻尾がまるで綿菓子みたいにフワフワ……\n顔を埋ずめた～い！,
178,,モブ3,でも、さっき校内放送で注意喚起がしてたわ。\nしっぽにゃんに攻撃された生徒がいるって話よ。,
179,,モブ1,えっ！？じゃあ、なんでイサウとヤコブは\nしっぽにゃんたちと戯れているのよ！？,
180,,モブ2,あと、あの猫耳の女の子は誰？,
181,,モブ3,さぁ？これが強者の世界なのかもしれないわ……,
182,,ヤコブ,え……ということは、赤蓮さんは長い間、\nまともにごはんを食べてないってこと？,
183,,赤蓮,うにゃ……魚、久しぶり。,
184,,イサウ,うっ！なんでご飯を食べてるだけなのに、\nこんなにカワイイのよ～～～！,
185,,,ドン！,
186,,ヤコブ,ヤバッ！赤蓮さんがお皿を割っちゃった……,
187,,イサウ,逃げるわよ！「あの女」が出て来るわ！,
188,,赤蓮,にゃん？,
189,,張飛,誰だ！,
190,,イサウ,手遅れね……,
191,,赤蓮,にゃん……さかにゃ……,
192,,赤蓮,赤蓮、わざとじゃ、にゃい……,
193,,赤蓮,さかな、おいしかったにゃ……,
194,,張飛,オレのメシが旨いってことか？,
195,,赤蓮,にゃ！うまい！,
196,,赤蓮,しーにゃんも、おいしいって、言った。,
197,,しーにゃん,にゃー！,
198,,張飛,むぅ……まぁ、今回は許してやろう。,
199,,ヤコブ,こんな優しい張飛さん、初めて見た……,
200,,イサウ,前に、オムライスを残した時、\nめちゃくちゃ怒られたわ……,
201,,ヤコブ,やっぱり、猫の魅力って最強だわ。,
202,,張飛,ふん、忘れたと思うなよ？,
203,,張飛,前にお前らが来た時、\nメシじゃなくてケンカし来たもんなぁ？,
204,,張飛,あぁそうだ、思い出した。それで前回、\n皿洗いでメシ代を返すって言ってたよな？,
205,,張飛,それじゃあ、今日やってもらおうじゃないか～。,
206,,イサウ,そ、そんな小銭ぐらい……赤蓮なら持ってるよね？,
207,,赤蓮,にゃん？お金？,
208,,ヤコブ,姉さん、こりゃまたバイトだね……,
209,,張飛,さっさとこっちに来い！,
210,,イサウ&ヤコブ,ぎゃあー！\nわ、私たちはここまでのようだね、赤蓮。,
211,,イサウ&ヤコブ,私たちを忘れないでねーーー！,
212,しーにゃんのお家,赤蓮,人間、悪くないにゃ。,
213,,赤蓮,しーにゃん、お腹、いっぱい？,
214,,しーにゃん,にゃ～。,
215,,赤蓮,雄の、人間。,
216,,赤蓮,私たちを、騙していにゃかった。,
217,,しーにゃん,にゃにゃにゃ！（マグロ！）,
218,,赤蓮,どうした？,
219,,赤蓮,あっ！森にゃ！,
220,,黃月英,日向ぼっこ？,
221,,黄月英,だめよ。\n冬は温室にいないと、すぐに凍えてしまうよ？,
222,,黄月英,許褚さんが温室を貸してくれたから、\n冬も暖かく過ごせるよ。,
223,,黄月英,しーにゃん、どうしているかな？\n新しい家、見つかったかな？,
224,,,動物保護部のドアが開き、\nしっぽにゃんの大群が押し寄せた。,
225,,赤蓮,花の香り、木陰……ここを新しい家にするにゃ！,
226,,赤蓮,しーにゃん、辺り、確認！,
227,,赤蓮,にゃん太、材料集め！,
228,,しっぽにゃんたち,にゃ！,
229,,許褚,ちょっと！あなたたちは何なの？\n私の花園に何する気！,
230,,赤蓮,もっと、早くにゃ！,
231,,赤蓮,池！魚にゃ！,
232,,許褚,あぁ……わ、私の大事な花が……,
233,,許褚,こんの、クソ猫どもが！！！！！,
234,,赤蓮,ここ、あなたの、領地？,
235,,許褚,領地？ここは私の花園よ！\nここにある植物は全部、私の友達なの！,
236,,赤蓮,友、だち……,
237,,赤蓮,しーにゃん、行くにゃ……,
238,,黄月英,しーにゃん！戻って来たのね！あら？,
239,,しーにゃん,にゃにゃ！,
240,,黄月英,あら、ここにいるのは皆仲間ね！\nその方が族長さん？,
241,,赤蓮,名前、赤蓮。,
242,,赤蓮,しーにゃん、世話になった。ありがと。,
243,,黄月英,あなた、ここの新入生よね？\n泊まるところがないの？いったいどういうこと？,
244,,赤蓮,宿舎？嫌い。,
245,,赤蓮,コンクリート、嫌……森、好き！,
246,,黄月英,うーん……しっぽにゃんは窮屈な場所が嫌いよね。\nでも残念、温室は新しい家にはできないわ。,
247,,黄月英,だけど、学園内で緑がいっぱいあるところなら、\n温室以外にも知っているわ。ついて来て。,
248,,許褚,待て、赤蓮……\nここを大事にすると、約束してくれるか？,
249,,赤蓮,にゃん……家、ない……,
250,,赤蓮,植物、動物、みんな、大事にゃ。,
251,,許褚,ここの植物を大事にしてくれるのなら……,
252,,許褚,温室を家にしてもいいぞ。,
253,,しーにゃん,にゃ！,
254,,赤蓮,ほんとにゃ！？,
255,,許褚,まぁ、動物保護部に温室を貸すと言ったしな。,
256,,許褚,だからお前たちも、この森で暮らす資格はある。,
257,,黄月英,良かったね！しーにゃん、赤蓮！新しい家よ！,
258,,許褚,幽夢学園は、あなたたちを歓迎するよ！,
259,,赤蓮,池も、友だち？,
260,,許褚,いや……池は植物じゃないからなぁ……,
261,,赤蓮,にゃ！なら、遠慮、しない！,
262,,黄月英,ちょっ！池の金魚ぉおお！！！,
263,お迎え任務,*,はぁ、また貂蝉先生に押し付けられてしまった……,
264,,*,今度はどんな人やら……,
265,,呂蒙,ヤッホー、先輩！,
266,,*,ウォッ！！な、なんだ、呂蒙か……,
267,,*,背後から急に叩かないでくれよ……驚くだろ？,
268,,呂蒙,やっだなぁ～！\nこんなの、先輩以外にする訳ないじゃない。,
269,,呂蒙,先輩ってば、もしかして意外とビビりなの？,
270,,*,ビビりちゃうわ！\nただちょっと面倒な事があってね……,
271,,呂蒙,なになに？\n教えてくれたら、私が力になるよ！,
272,,*,お前に教えたら、\nもっと面倒なことになるとしか思えない……,
273,,呂蒙,もう！わたしは風紀委員なのよ？\n絶対に力になれるよ！,
274,,*,そこまでいうのなら教えるけど、\n後悔しても文句言わないでくれよ？,
275,,,貂蝉先生に押し付けられた仕事を、\n言われた通り呂蒙に説明したが、\n彼女は珍しく黙り込んだ。,
276,,*,……呂蒙？,
277,,呂蒙,つまり、先輩は新入生、\n新しい後輩を迎えに行くのね？,
278,,*,まぁ、そうだけど。後輩とは限らないぞ？,
279,,*,貂蝉先生のことだ、\n何かウラがあってもおかしくはない……,
280,,呂蒙,ねぇ！わたしも連れて行ってよ！,
281,,*,おいおい、今日はなんだか冷静だし、\n少しは大人しくなったと思いきや……,
282,,呂蒙,えへへ～。\n興奮のあまり言葉が出なかっただけだよ。,
283,,呂蒙,新入生に最初に会うのはこの私だからね～。,
284,,*,まったく、同意も待たずに決定しているし……,
285,,*,でもまぁ、呂蒙がいるなら、\n最悪の場合、彼女を盾にすれば……フッ……,
286,,呂蒙,ねぇ、先輩？何ブツブツ言ってるの？,
287,,*,えっ？なにも？\n連れて行ってもいいけど、そっちは逆方向だよ。,
288,,呂蒙,ふぇ！？,
289,,呂蒙,ねぇ先輩。ここは……オフィス棟じゃない？\n新入生は本当にここにいるの？,
290,,*,いやまぁ……\n貂蝉先生から聞いた情報だと……,
291,,呂蒙,せっ先輩、もしかして、わっ、私を……,
292,,呂蒙,生徒会長の所に連行しようとしているのね！\nそうなのね！,
293,,*,呂蒙、最近またなんか変なマンガでも読んだ？,
294,,呂蒙,あれ、先輩？\n今日の廊下、普段よりもずっと綺麗だわ！,
295,,*,タイルがまるで鏡みたいに……\nこれは、かなり本気で掃除したとみた。,
296,,呂蒙,誰が掃除したんだろ？\n掃除好きな生徒なんて、あまり聞いた事ないけど。,
297,,*,たぶん、あの人だろう……,
298,,,目の前には、モノクロの装いの人がいた。,
299,,,きっちりとしたメイド姿に黒い目隠し……\nそれが彼女の存在を示していた。,
300,,*,（頬を指でつつく）\nおーい、呂蒙？呂蒙さーん？,
301,,,その瞬間、急にビシッと気を付けの姿勢を取った\n呂蒙が、床を見ながら、まるで何度も\n練習してきたように早口でまくし立てた。,
302,,呂蒙,会長！これは決してサボりではありません！\n先輩が迷子だったので、道案内しただけです！,
303,,呂蒙,その後、\n先輩がどうしても一緒に来て欲しいと……\nだから、決してサボりではありません！！！,
304,,シルバー,フフッ、そうか？\nそれでわざわざここまで一緒に来たのか？,
305,,呂蒙,会長の声が……なんかいつもより……冷たい？,
306,,呂蒙,（頭を上げて）\nゲッ！シルバー先輩！？,
307,,シルバー,そうかそうか、お守りができるほど精進したのか。\nでは、少し試させてもらおう。,
308,,*,シルバー先輩、\nそのぐらいにしといてあげてくださいよ……,
309,,シルバー,せっかく来たことだし、\n私なりのちょっとした「愛の指導」よ。,
310,,呂蒙,（フルボッコ）\nううっ……シルバー先輩の愛……重いです……,
311,,呂蒙,イテテ……でもこれで、\n帰ってから魏延に自慢話ができるわ。イヒヒ。,
312,,シルバー,で？許可もなくここに入って来て、\nせっかく片づけた部屋を散らかした……,
313,,シルバー,その責任、しっかり取ってもらわないとね？\n後輩くんと呂蒙には後片付けをしてもらおう。\n異議はないな？,
314,,呂蒙,はい！,
315,,*,（小声）\n呂蒙と自分のせいのくせに……なんで僕まで……,
316,,,小声でこっそり文句を言うと、\n銀色の光が一閃し、ナイフが壁に突き刺さった。\n一瞬で僕の背筋が凍った……,
317,,呂蒙,ん？先輩、なにか言った？,
318,,*,い、いや、何も！,
319,最高のシェフ,呂蒙,あれ、掃除は私たちがやっているのに、\nシルバー先輩は何を忙しそうにしてるんだろ……,
320,,,呂蒙の言葉を聞いてシルバー先輩の方を見ると、\nポットを片手に、先輩は茶菓子の準備をしていた。,
321,,シルバー,さぁ、召し上がれ。,
322,,呂蒙,これは私たちのために用意してくれたのですか？！\n恐縮です！,
323,,*,頂きます。\nで、シルバー先輩の「入学」についてですが……,
324,,呂蒙,ええっ！？\nシルバー先輩が新入生！？えっ？,
325,,呂蒙,あっ、じゃあ、\n今後は私が先輩で、先輩が後輩で……あれ？,
326,,呂蒙,イタッ！なんで急に叩くんですか、先輩！,
327,,*,誰かが暴走しそうだから、先に止めただけさ。,
328,,シルバー,私の代にはなかったが、\n今の学園の形式上、どうしても一度は\n「再入学」の手続きをしないといけないらしい。,
329,,シルバー,だから、「新入生」はただの名目だ。\n実際は今までとは何も変わらない。,
330,,シルバー,まぁ、呂蒙がどうしても\n「後輩」の世話がしたいというのなら、\n何かやらせようではないか？,
331,,呂蒙,ははぁ～！この呂蒙、シルバー先輩の為なら\nなんだってしまするぅ……,
332,,バニラ,遠くから呂蒙さんの声が聞こえましたけど、\nまた後輩をイジメているのですか、シルバーさん？,
333,,呂蒙,バニラ先輩！\n囚われた私を助けに来てくれたのですね！,
334,,シルバー,見事な手のひら返しだな……,
335,,シルバー,それよりも、バニラ、\nあなたが図書館から出て来るなんて珍しいね。,
336,,バニラ,シルバーさんがやっと戻って来たのですよ！\n歓迎会を開かない訳ないじゃないですか！,
337,,シルバー,そんな大したことじゃ……,
338,,バニラ,やっとなんですよ！\n百年以上待ったのですよ！,
339,,バニラ,ですがまぁ……\n以前の新入生たちは毎回騒ぎを起こしたから、\n今回はなるべく穏便に済まそうと……,
340,,シルバー,穏便にねぇ……,
341,,,シルバーは何か悟った後、不敵な笑みを浮かべた。,
342,,シルバー,さては、まだ歓迎会の準備ができていないんだな？,
343,,バニラ,うっ、さすがシルバーさん……\n隠し事はできませんね……,
344,,バニラ,だ、だからですね、シルバーさん……,
345,,シルバー,断る。,
346,,シルバー,どうせ参加ついでに、料理も後片付けも\n私一人にやらせようって魂胆でしょ？,
347,,バニラ,毎回手伝っていますもん！,
348,,バニラ,しかも、大体シルバーさんが、\n「これはメイドとしての使命だ！」\nとか言って、あまりやらせてくれないくせに！,
349,,バニラ,ねぇ～行きましょうよ、シルバーさん！\nみんなが待ってますよ！,
350,,シルバー,なにが悲しくて、自分の歓迎会で\n料理や掃除をしないといけないんだ……,
351,,バニラ,ぐぬぬ……ならば最終手段です！\nチューリング、強行作戦開始です！,
352,,チューリング,うむ、スマンのだ、シルバー！,
353,,シルバー,ふっ……たとえチューリングが10人になろうとも\n私の相手になどならない。,
354,,チューリング,ぬぅ……シルバーはやはり強いのだ……,
355,,バニラ,うわーん！だってだって、\nシルバーさんの手料理が食べたいんですぅ！,
356,,シルバー,もう、子供じゃないんだから……,
357,,呂蒙,甘えているバニラ先輩、激カワ～！,
358,,呂蒙,アタッ！先輩、また打った！,
359,,*,さっさと黙らないと、\nシルバー先輩のナイフが飛んでくるぞ！,
360,,シルバー,はぁ……バニラには勝てないな。\nさぁ、とっとと行って準備しよう！,
361,,バニラ,わ～い！シルバーさん大好き！,
362,宴会に一波乱,呂蒙,モグモグ……うみゃい！,
363,,*,呂蒙、食うか喋るか、どっちかにしなさい……,
364,,呂蒙,ぬぅ……ゴクン。\nだって本当においしいだもん！,
365,,呂蒙,シルバー先輩って強くて、掃除も得意で、\nさらに料理まで超一流なんて！,
366,,呂蒙,シルバー先輩、神すぎる～！,
367,,*,まぁ、シルバー先輩はヴァルキリーの他、\nメイドとしてもプロ級だからね。,
368,,*,しかし、呂蒙がこんなに簡単に買収されるとは……,
369,,呂蒙,あはは、何言ってるの先輩？,
370,,呂蒙,わたしは前からず～っと、\nシルバー先輩を心から尊敬しているし、\nお手本として、見習わせてもらってるよ！,
371,,シルバー,ほぅ、そうなのか？\nならば皆が帰ったあとの掃除は任せたぞ？,
372,,呂蒙,ギクッ！\n勘弁してください、シルバー先輩！,
373,,シルバー,メイドにとって、掃除は必須スキルだぞ？,
374,,シルバー,私をお手本として見ているのなら、\nそれぐらいできるだろう？,
375,,バニラ,シルバーさん！楽しんでますか？\nお給仕ばっかりして、ちゃんと食べてます？,
376,,,バニラの言葉で、シルバーの動きが止まった。,
377,,シルバー,私を働かせた張本人が、何を……,
378,,,シルバーの言葉を遮り、\n辺りが急に騒がしくなった。,
379,,劉禅,おいしい！これもおいしいわ！,
380,,劉禅,すごいわ！こんなおいしい物、初めて！,
381,,*,やばい、劉禅さんだ！\nどこから湧いて出たのやら……\nこのままじゃ宴会が……,
382,,呂蒙,劉禅！礼儀をわきまえなさい！,
383,,劉禅,ちょっと～！\n礼儀とか言ってる内に料理が冷めちゃうじゃない！,
384,,劉禅,出来立ての一番おいしい時に食べるのが、\n私なりの礼儀よ！,
385,,,料理を食べ散らかし、辺りを汚す劉禅を見て、\nシルバーの顔が徐々に険しくなっていった。,
386,,*,呂蒙、喜べ。\nどうやら、皿洗いの仲間が増えそうだぞ……,
387,,,その場の全員が反応できぬ間に、\n劉禅の周りには無数のナイフが刺さっていた。,
388,,劉禅,ひっ！\nな、なによ！危ないじゃないの！,
389,,シルバー,招かれざるお客様には、\n最高級のおもてなしでしょ？,
390,,劉禅,ウッ……\nおいしい匂いに誘われて、\n体が勝手に動いたのよ！,
391,,バニラ,うわーん……シルバーさんの手料理が……\nせっかくシルバーさんを説得して来たのに……,
392,,シルバー,簡単な料理さ。\n落ち着いた場所で作り直してあげるから。\nさ、行こうか、バニラ。,
393,,呂蒙,えっ！？\nシルバー先輩、もう行っちゃうのですか！？\nここの惨状は、どうすれば……,
394,,シルバー,メイドは物事の重要さによって、\n優先順位を決める能力も必要だ。,
395,,シルバー,ここは、そうだな……あなたと後輩に任せよう。,
396,,*,とほほ……結局こうなるのかよ……,
397,,*,もうぜっっっっったい！\n貂蝉先生の依頼なんて受けないぞ！！！,
398,,シルバー,さて、私は行くが、\nここをちゃんとキレイにしておくように。,
399,,シルバー,さもなければ、次会った時……ふふっ……,
400,走光性,呂蒙,ヤッホー！先輩、魏延さん、おはよう～。,
401,,*,今日も元気だね、呂蒙。\n休暇が存分に楽しめたようで何よりだ。,
402,,*,魏延はどう？もう慣れたかな？,
403,,魏延,安心してください、先輩。\n学園生活に戻る準備は万端ですよ。,
404,,*,そんな魏延の為に……\n新しい宿舎を用意しました！,
405,,魏延,新しい宿舎？私の為ですか！？\nありがとうございます、先輩！,
406,,*,誰かさんと違って、魏延はやっぱり優しいなぁ……\nまるで暖かい日差しのようだ……,
407,,呂蒙,あっ！先輩ズルい！,
408,,呂蒙,これはわたしと亮先輩が\n魏延さんの為にわざわざ準備したのに！,
409,,*,うっ……\n「僕が」用意したとは言ってないし……,
410,,魏延,うふふ、先輩ったら相変わらずですね。,
411,,魏延,素敵な宿舎を準備してくれて\nありがとうございます、呂蒙さん。\n後で亮先輩にもお礼言わなきゃですね。,
412,,魏延,ベッドに机、何から何まで……\n私が慣れ親しんだ配置になってますね。,
413,,魏延,ただ……なんだか少し暗い感じがしますね……,
414,,*,確かに。日当たりがちょっと悪いね。\nそれに、なんで昼間なのにカーテン閉めてるの？,
415,,呂蒙,フッフッフッ！\nこれはすべて、わたしがじっくり考えた結果よ！,
416,,呂蒙,この部屋はね、暑い真夏日でも、\n直射日光を避けられるの！,
