id,desc,mask_icon,icon_offset
30,先輩、[c][d76500]欠片合成[-][/c]の入口はここですよ～,buttoncrop_7,0|6
31,十分な欠片を集めたら、戦姫を召喚できますよ\n戦姫アイコンをタップしてみてくださいね,,
32,,,
33,,,
34,,,
35,あっ戦姫たちをもっと強くしないと,buttoncrop_1,0|0
36,は～い、この[c][d76500]チュートリアル[-][/c]ボタンをタップしてください,buttoncrop_8,-1|-1
37,先輩、[c][d76500]転校[-][/c]機能も確認しましょう～,buttoncrop_9,0|-1
38,戦姫を転校させると、[c][d76500]経験値ドリンク[-][/c]がもらえます。これは戦姫のレベルをアップさせる大事な素材なんですよ。,,
39,転校する戦姫を選択してみてください~,buttoncrop_3,0|0
40,,buttoncrop_19,0|0
41,,,
42,よ～し\n今、戦姫を[c][d76500]レベルUP[-][/c]してみましょう~,buttoncrop_1,0|0
43,,buttoncrop_10,0|0
44,経験値ドリンクが貯まったら\nここをタップして戦姫をレベルUPしてくださいね～,,
45,わあ、もう1回レベルアップしてみて～,,
46,さっすが先輩！\nもう1回やってみましょう！,,
47,レベルUPして戦姫が強くなったみたいね！はい、最後にもう1回！,,
48,そして、戦姫に[c][d76500]装備[-][/c]を装着させてしましょう～,buttoncrop_11,0|10
49,武器ボタンをタップして、武器を一つ選んでください。,buttoncrop_12,0|0
50,,,
51,,,
52,わあ～、すっご～い！\n戦姫がまた強くなったみたね！,,
53,,buttoncrop_13,0|0
54,行きましょう～先～輩\n冒険を続けましょう～,buttoncrop_1,0|0
55,うむ…[c][d76500]ステージを開放する[-][/c]にはもっと強いチームでなくちゃ無理よ、新しい戦姫を入れましょう,buttoncrop_2,0|0
56,,,
57,[c][d76500]オートモードのスロットは[-][/c]は先輩のレベルによって、だんだん開放されますよ～忘れずに新しい戦姫を入れくださいね～,buttoncrop_3,0|0
58,先～輩、ここをタップすれば\n次の冒険エリアに行けますよ～,buttoncrop_5,0|0
59,,buttoncrop_20,-8|-6
60,ここでオートモードの戦利品を受け取れます。時間が長くなるほど、戦利品が豊富になるんですよ～,,
61,では、新しい戦闘へ向かいましょう,buttoncrop_21,-2|0
62,好きな戦姫のアイコンをタップして、戦姫を出陣させてみましょう～,buttoncrop_17,-50|-25
63,アイコンを[c][d76500]ドラッグ[-][/c]すれば、位置を変えられますよ～,buttoncrop_3,0|0
64,,buttoncrop_22,0|0
65,,buttoncrop_5,0|0
66,わあ！新しい戦利品があるみた～い\nタップして受け取ってください。,,
67,やった～\nまた新しいエリアが開放されらよ～,buttoncrop_21,-2|0
68,,buttoncrop_20,-8|-7
69,うわ~先輩はすっごい！でも、オートモードの戦利品は忘れずに受け取ってくださいね。オートモードの戦利品は[c][d76500]10時間[-][/c]以上たつと受け取れなくなっちゃうますよ～,,
70,[c][d76500]ホームページ[-][/c]で何かあったみたいです\nねえ先輩、一緒に見に行きましょうよ～,,
71,ログインここで[c][d76500]ログインボーナス[-][/c]がもらえますよ～,buttoncrop_1,0|0
72,[c][d76500]イベント[-][/c]をタップして、毎日の[c][d76500]ログイン[-][/c]ボーナスを受け取りましょう~,buttoncrop_14,-19|-26
73,,buttoncrop_15,0|0
74,,buttoncrop_23,1|1
75,[c][d76500]ホームページ[-][/c]にはまだまだアイテムがあるよ～,,
76,[c][d76500]福利社[-][/c]に何があるかを見てみましょう~,buttoncrop_1,0|0
77,[c][d76500]売店[-][/c]にはいいものいっぱいありますよ~,buttoncrop_8,-1|-1
78,わー！[c][d76500]プレミアムガチャコイン[-][/c]\nが売ってる！ラッキ～！早く購入しようよ～,buttoncrop_16,0|1
79,,buttoncrop_24,-10|-132
80,,,
81,早速[c][d76500]コイン[-][/c]を使ってガチャろうよ～,,
82,[c][d76500]プレミアムガチャコイン[-][/c]でプレミアムガチャを1回できるよ！やってみようよ～,buttoncrop_1,0|0
83,,buttoncrop_6,0|1
84,では、次の冒険へ、レッツゴ～,,
85,戦姫の強化も忘れずにやってね～,buttoncrop_1,0|0
86,何をしたらいいか分からないとき、ホームページ上にある[c][d76500]強化[-][/c]ボタンをタップしてくださいね～。そこに強化方法が書いてあります。\nそれでは、先輩、不思議な学園生活をお楽しみくださ～い,,
87,,,
88,,,
89,,buttoncrop_8,-1|-1
90,,,
91,,buttoncrop_25,0|0
92,,,
93,,buttoncrop_26,0|0
94,,,
95,,buttoncrop_27,0|0
96,さあ～[c][d76500]サークル[-][/c]ボタンをタップして、サークルに参加してみましょう。もちろん自分で作ることもできちゃうよ～,,
97,,,
98,,,
99,,,
100,,buttoncrop_27,0|0
101,,,
102,,,
103,,buttoncrop_8,-1|-1
104,,,
105,,,
106,,buttoncrop_8,-1|-1
107,42,,
108,42,,
109,,,
110,,buttoncrop_26,0|0
111,,buttoncrop_10,1|0
112,,,
113,,buttoncrop_26,0|0
