id,fort_id,name,tips_dialog
91,9,Deadlock,What happened on campus? Let's find out!
92,9,Broken Seal,What happened on campus? Let's find out!
93,10,Chaos Invasion,What happened on campus? Let's find out!
94,10,Nightmare Returns,What happened on campus? Let's find out!
95,10,Legion of Chaos,What happened on campus? Let's find out!
96,10,Unite,What happened on campus? Let's find out!
97,10,Against All Odds,What happened on campus? Let's find out!
98,10,Call To Arms,What happened on campus? Let's find out!
99,10,Strike Back,What happened on campus? Let's find out!
100,10,Judgement Day,What happened on campus? Let's find out!
101,10,"A chance, Slim as it should be",What happened on campus? Let's find out!
102,10,A Lifetime of Living,What happened on campus? Let's find out!
103,11,Welcome Back,
104,11,Growth,
105,11,Celebration,
106,11,Interlude,
107,11,Encore,
108,11,New Faces,
109,11,Return of the Legends,
110,11,Invitation,
111,11,Terror Figure,
112,11,Determination,
113,12,Daily Practice,
114,12,The challenge of Ithil,
115,12,Grand Library Ulbricht,
116,12,Labyrinth,
117,12,The Valkyrie,
118,12,Philosopher's Stone,
119,12,Starting at the Finishing Line,
120,12,The Second Line of Defense,
121,12,The Legendary Elementalist,
122,12,"""Her"" Story",
123,13,Sudden Invasion,
124,13,The Bees,
125,13,Defense Activated,
126,13,Closing the net,
127,13,The Hornet,
128,13,Opposition,
129,13,A Genius Idea,
130,13,Pursuit,
131,13,On Enemy Grounds,
132,13,"""Enigma""",
133,14,The Eyes of True Sight,
134,14,Terror Figure?,
135,14,The Mimics,
136,14,Song of Time,
137,14,Cooperation,
138,14,The Broken Sword,
139,14,Return from Hell,
140,14,Vengeful Flame,
141,14,Choices,
142,14,Divergence,
143,15,The Chase,
144,15,The Hostages,
145,15,Belief,
146,15,The Ritual,
147,15,Unending Flames,
148,15,Requiem,
149,15,The One Who Holds the Blade,
150,15,Rebirth,
151,15,The Sacrifice,
152,15,The Twins,
153,16,Once Upon a Time,
154,16,Truth retold,
155,16,The Pieces on the Board,
156,16,"""Love""",
157,16,Despair,
158,16,Turin,
159,16,Jacob?,
160,16,Her Dream,
161,16,Salvation,
162,16,The Day After,
163,17,,
164,17,,
165,17,,
166,17,,
167,17,,
168,17,,
169,17,,
170,17,,
171,17,,
172,17,,
173,18,,
174,18,,
175,18,,
176,18,,
177,18,,
178,18,,
179,18,,
180,18,,
181,18,,
182,18,,
183,19,,
184,19,,
185,19,,
186,19,,
187,19,,
188,19,,
189,19,,
190,19,,
191,19,,
192,19,,
193,20,,
194,20,,
195,20,,
196,20,,
197,20,,
198,20,,
199,20,,
200,20,,
201,20,,
202,20,,
203,21,,
204,21,,
205,21,,
206,21,,
207,21,,
208,21,,
209,21,,
210,21,,
211,21,,
212,21,,
213,22,,
214,22,,
215,22,,
216,22,,
217,22,,
218,22,,
219,22,,
220,22,,
221,22,,
222,22,,
223,23,,
224,23,,
225,23,,
226,23,,
227,23,,
228,23,,
229,23,,
230,23,,
231,23,,
232,23,,
233,24,,
234,24,,
235,24,,
236,24,,
237,24,,
238,24,,
239,24,,
240,24,,
241,24,,
242,24,,
243,25,,
244,25,,
245,25,,
246,25,,
247,25,,
248,25,,
249,25,,
250,25,,
251,25,,
252,25,,
253,26,,
254,26,,
255,26,,
256,26,,
257,26,,
258,26,,
259,26,,
260,26,,
261,26,,
262,26,,
263,27,,
264,27,,
265,27,,
266,27,,
267,27,,
268,27,,
269,27,,
270,27,,
271,27,,
272,27,,
273,28,,
274,28,,
275,28,,
276,28,,
277,28,,
278,28,,
279,28,,
280,28,,
281,28,,
282,28,,
283,29,,
284,29,,
285,29,,
286,29,,
287,29,,
288,29,,
289,29,,
290,29,,
291,29,,
292,29,,
293,30,,
294,30,,
295,30,,
296,30,,
297,30,,
298,30,,
299,30,,
300,30,,
301,30,,
302,30,,
303,31,,
304,31,,
305,31,,
306,31,,
307,31,,
308,31,,
309,31,,
310,31,,
311,31,,
312,31,,
313,32,,
314,32,,
315,32,,
316,32,,
317,32,,
318,32,,
319,32,,
320,32,,
321,32,,
322,32,,
323,33,,
324,33,,
325,33,,
326,33,,
327,33,,
328,33,,
329,33,,
330,33,,
331,33,,
332,33,,
333,34,,
334,34,,
335,34,,
336,34,,
337,34,,
338,34,,
339,34,,
340,34,,
341,34,,
342,34,,
343,35,,
344,35,,
345,35,,
346,35,,
347,35,,
348,35,,
349,35,,
350,35,,
351,35,,
352,35,,
353,36,,
354,36,,
355,36,,
356,36,,
357,36,,
358,36,,
359,36,,
360,36,,
361,36,,
362,36,,
363,37,,
364,37,,
365,37,,
366,37,,
367,37,,
368,37,,
369,37,,
370,37,,
371,37,,
372,37,,
373,38,,
374,38,,
375,38,,
376,38,,
377,38,,
378,38,,
379,38,,
380,38,,
381,38,,
382,38,,
383,39,,
384,39,,
385,39,,
386,39,,
387,39,,
388,39,,
389,39,,
390,39,,
391,39,,
392,39,,
393,39,,
394,39,,
395,39,,
396,39,,
397,40,,
398,40,,
399,40,,
400,40,,
401,40,,
402,40,,
403,40,,
404,40,,
405,40,,
406,40,,
407,40,,
408,40,,
409,40,,
410,40,,
411,41,,
412,41,,
413,41,,
414,41,,
415,41,,
416,41,,
417,41,,
418,41,,
419,41,,
420,41,,
421,42,,
422,42,,
423,42,,
424,42,,
425,42,,
426,42,,
427,42,,
428,42,,
429,42,,
430,42,,
431,43,,
432,43,,
433,43,,
434,43,,
435,43,,
436,43,,
437,43,,
438,43,,
439,43,,
440,43,,
441,44,,
442,44,,
443,44,,
444,44,,
445,44,,
446,44,,
447,44,,
448,44,,
449,44,,
450,44,,
451,45,,
452,45,,
453,45,,
454,45,,
455,45,,
456,45,,
457,45,,
458,45,,
459,45,,
460,45,,
461,46,,
462,46,,
463,46,,
464,46,,
465,46,,
466,46,,
467,46,,
468,46,,
469,46,,
470,46,,
471,47,,
472,47,,
473,47,,
474,47,,
475,47,,
476,47,,
477,47,,
478,47,,
479,47,,
480,47,,
481,47,,
482,47,,
483,47,,
484,47,,
485,47,,
486,48,,
487,48,,
488,48,,
489,48,,
490,48,,
491,48,,
492,48,,
493,48,,
494,48,,
495,48,,
496,48,,
497,48,,
498,48,,
499,48,,
500,48,,
501,49,,
502,49,,
503,49,,
504,49,,
505,49,,
506,49,,
507,49,,
508,49,,
509,49,,
510,49,,
511,49,,
512,49,,
513,49,,
514,49,,
515,49,,
516,50,,
517,50,,
518,50,,
519,50,,
520,50,,
521,50,,
522,50,,
523,50,,
524,50,,
525,50,,
526,50,,
527,50,,
528,50,,
529,50,,
530,50,,
