name,desc,desc1
yxAtkP,Reduces a Ranger's Attack,Reduces a Ranger's Attack
zsHpPO,HP Adds,HP Adds
zsAtkPO,Attack Adds,Attack Adds
zsCritO,Crit Adds,Crit Adds
zsMissO,Block Adds,Block Adds
zsSklPO,Skill DMG Adds,Skill DMG Adds
fsHpPO,HP Adds,HP Adds
fsAtkPO,Attack Adds,Attack Adds
fsCritO,Crit Adds,Crit Adds
fsHitO,Precision Adds,Precision Adds
fsSklPO,Skill DMG Adds,Skill DMG Adds
ckHpPO,HP Adds,HP Adds
ckCritTimeO,Crit DMG Adds,Crit DMG Adds
ckCritO,Crit Adds,Crit Adds
ckBrkO,ArmorBreak Adds,ArmorBreak Adds
ckSklPO,Skill DMG Adds,Skill DMG Adds
yxHpPO,HP Adds,HP Adds
yxAtkPO,Attack Adds,Attack Adds
yxMissO,Block Adds,Block Adds
yxHitO,Precision Adds,Precision Adds
yxSklPO,Skill DMG Adds,Skill DMG Adds
msHpPO,HP Adds,HP Adds
msMissO,Block Adds,Block Adds
msCritO,Crit Adds,Crit Adds
msSpdO,Speed Adds,Speed Adds
msSklPO,Skill DMG Adds,Skill DMG Adds
ckStun,Stun Assassins,Stun Assassins
mhurt,Direct DMG,Direct DMG
mdotFire,Direct (Burning) DMG,Direct (Burning) DMG
mdotPoison,Direct (Poison) DMG,Direct (Poison) DMG
mdotBlood,Direct (Bleed) DMG,Direct (Bleed) DMG
yxDotBlood,Bleed DMG to Rangers,Bleed DMG to Rangers
phurt,Less than self HP deals (HP%) DMG,Less than self HP deals (HP%) DMG
addHurtd,Less than self Armor deals extra hit,Less than self Armor deals extra hit
zsDotFire,Burning DMG on Warrior,Burning DMG on Warrior
yxStun,Stun on Ranger,Stun on Ranger
fsForbid,Silence on Mage,Silence on Mage
ckDotPoison,Poison on Assassin,Poison on Assassin
msStun,Stun on Priest,Stun on Priest
msDotFire,Burning DMG on Priest,Burning DMG on Priest
zsSpdO,Speed Adds,Speed Adds
fsSpdO,Speed Adds,Speed Adds
ckSpdO,Speed Adds,Speed Adds
ckAtkPO,Attack Adds,Attack Adds
yxSpdO,Speed Adds,Speed Adds
msAtkPO,Attack Adds,Attack Adds
iceless,Immune to Freeze,Immune to Freeze
stoneless,Immune to Petrify,Immune to Petrify
stunless,Immune to Stun,Immune to Stun
forbidless,Immune to Silence,Immune to Silence
stunH,生命不低于自己的目标眩晕,生命不低于自己的目标眩晕
hurtH,生命低于自己的目标额外伤害,生命低于自己的目标额外伤害
msHurt,Extra Damage to Priests,Extra Damage to Priests
forbidH,生命不高于自己的目标禁魔,生命不高于自己的目标禁魔
phurtH,Deal extra x% damage to the target's max HP if target's HP is lower than self.,Deal extra x% damage to the target's max HP if target's HP is lower than self.
rddot,"Random DoT damage (Poison, Burn, Bleed)","Random DoT damage (Poison, Burn, Bleed)"
rdcontrol,"Random Control effect (Stun, Freeze, Petrify)","Random Control effect (Stun, Freeze, Petrify)"
hurtmaxM,对目标造成己方最高生命上限x%的伤害,对目标造成己方最高生命上限x%的伤害
hurtmaxH,对目标造成其生命上限x%的伤害,对目标造成其生命上限x%的伤害
healB,Heal Received,被治疗效果增强x%
hurtshare,所有友军分担伤害,所有友军分担伤害
exhurt,额外进行一次普攻,额外进行一次普攻
hurtB,普攻伤害增加x%,普攻伤害增加x%
newRound,击杀角色获得新回合,击杀角色获得新回合
overflow,伤害平摊,伤害平摊
buffExloded,引爆buff,引爆buff
mindControl,Mind Control,心灵控制
transformBK,祭献转化成分身,祭献转化成分身
atkPBK,黑骑士攻击buff,黑骑士攻击buff
brkBK,黑骑士破甲buff,黑骑士破甲buff
sw,神威學院傷害提升,神威學院傷害提升
yz,隱蹤學院傷害提升,隱蹤學院傷害提升
th,曇華學院傷害提升,曇華學院傷害提升
fj,風見學院傷害提升,風見學院傷害提升
cx,辰星學院傷害提升,辰星學院傷害提升
xl,修羅學院傷害提升,修羅學院傷害提升
critDef,受到暴击伤害,受到暴击伤害
debuffClean,清除减益效果,清除减益效果
surAtkP,存活战姬数*1.2%攻击力,存活战姬数*1.2%攻击力
hurtLhurtP,生命高于自己，额外伤害量x%的伤害,生命高于自己，额外伤害量x%的伤害
healI,Heal Amount,造成治疗效果增强x%
healPlose,恢复已损失生命%生命,恢复已损失生命%生命
rowFArmP,对前排护甲,对前排护甲
rowFStone,对前排石化,对前排石化
rowBAtkP,对后排攻击,对后排攻击
rowBSpd,对后排速度,对后排速度
dotTwins,双子持续伤害,双子持续伤害
rowFHpP,hpPos-前排,hpPos-前排
rowBHpP,hpPos-后排,hpPos-后排
rowBArmP,armPos-后排,armPos-后排
rowFHit,hitPos-前排,hitPos-前排
rowBMiss,missPos-后排,missPos-后排
rowBCrit,critPos-后排,critPos-后排
hotHuatuo,持续回血（每回合回血）,持续回血（每回合回血）
reviveINF,无限复活（立刻复活）,无限复活（立刻复活）
reviveINFbuff,无限复活累加buff,无限复活累加buff
dotFireMaxHp,生命上限百分比燃烧伤害,生命上限百分比燃烧伤害
atkUnable,无法攻击,无法攻击
free_harm,免死护盾,免死护盾
aggression,杀意buff,杀意buff
aggressionHarm,杀意伤害,杀意伤害
stunSober,对未眩晕敌人眩晕,对未眩晕敌人眩晕
critStun,对已眩晕敌人暴击伤害（配置攻击百分比、此伤害必定暴击）,对已眩晕敌人暴击伤害（配置攻击百分比、此伤害必定暴击）
hurtmaxHLimit15,对目标造成其生命上限x%的伤害（不超過15倍攻擊）,对目标造成其生命上限x%的伤害（不超過15倍攻擊）
unfree,Extra Control Rate,Extra Control Rate
incDmg,增伤率,增伤率
incDmgGroupCom,Damage to Non-Angel/Demon,增伤率-四系
incDmgGroupSpe,Damage to Demon/Angel,增伤率-光暗
incDmgGroupChaos,Damage to Chaos,增伤率-混沌
decDmgGroupCom,Dmg. Red. Non-Angel/Demon,减伤率-四系
decDmgGroupSpe,Dmg. Red. Angel/Demon,减伤率-光暗
decDmgGroupChaos,Dmg. Red. Chaos,减伤率-混沌
incDmgSkl,Increase Skill Damage,增伤率-技能
decDmgSkl,Reduce Skill Damage,减伤率-技能
incDmgNorAtk,Increase Basic Attack damage,增伤率-普攻
decDmgNorAtk,Reduce Basic Attack damage,减伤率-普攻
allHarmDec,Damage\nDepletion,Damage Reduction (all damages)
unCrit,Crit Resist,Crit Resist
resist_zs,W DMGR,W DMGR
resist_fs,M DMGR,M DMGR
resist_yx,R DMGR,R DMGR
resist_ck,A DMGR,A DMGR
resist_ms,P DMGR,P DMGR
