id,artifact_name,artifact_desc
6225,Hosiery,"Provides Speed and Hp, increases its owner's survivability and guarantees its owner a better move order in a round;\nIf its owner belongs to Fairy Faction, it will also provide Crit."
6226,Beach Volleyball,"Provides Attack and Precision, increases its owner's offensive ability;\nIf its owner belongs to Demon Faction, it will also provide Skill Damage."
6227,Heart Earring,"Provides Damage Reduction and Hp, increases its owner's survivability;\nIf its owner belongs to Angel Faction, it will also provide Holy Damage."
6343,Geisha's Blessing,Provides Attack and extra damage against Warrior Class enemies.
6344,Soul Censer,Provides Attack and extra damage against Assassin Class enemies.
6345,Muramasa,Provides Attack and extra damage against Ranger Class enemies.
6346,Rage of Flame,Provides Attack and extra damage against Mage Class enemies.
6347,Recovery All,Provides Attack and extra damage against Priest Class enemies.
6348,Power of Wind,"Provides Speed, guarantees its owner a better move order in a round;\nProvides Hp, increases its owner's survivability."
6349,Snowball,"Provides Attack and Precision, increases its owner's offensive ability."
6350,Black Magic Hat,"Provides Damage Reduction and Hp, increases its owner's survivability."
6351,Fate Guide,"Provides additional energy, enables its owner to trigger her active skill in advance;\nProvides Skill Damage, increases its owner's offensive ability."
6352,Seal Sword·Ghost,"Provides Attack and extra damage against Warrior Class enemies;\nIf its owner belongs to Ghost Faction, it will also provide Armor Break."
6353,Shackle of Pain·Ghost,"Provides Attack and extra damage against Assassin Class enemies;\nIf its owner belongs to Ghost Faction, it will also provide Hp."
6354,Spike Shield·Ghost,"Provides Attack and extra damage against Ranger Class enemies;\nIf its owner belongs to Ghost Faction, it will provide more Attack."
6355,Sealed Heart·Human,"Provides Attack and extra damage against Mage Class enemies;\nIf its owner belongs to Human Faction, it will also provide Hp."
6356,Demon Blood·Human,"Provides Attack and extra damage against Priest Class enemies;\nIf its owner belongs to Human Faction, it will provide more Attack."
6357,Bow of Snow,"Provides Attack and extra damage against Priest Class enemies;\nIf its owner belongs to Human Faction, it will also provide Skill Damage."
6358,Seal Sword·Monster,"Provides Attack and extra damage against Warrior Class enemies;\nIf its owner belongs to Monster Faction, it will also provide Hp."
6359,Shackle of Pain·Monster,"Provides Attack and extra damage against Assassin Class enemies;\nIf its owner belongs to Monster Faction, it will provide more Attack."
6360,Spike Shield·Monster,"Provides Attack and extra damage against Ranger Class enemies;\nIf its owner belongs to Monster Faction, it will also provide Crit."
6361,Sealed Heart·Fairy,"Provides Attack and extra damage against Mage Class enemies;\nIf its owner belongs to Fairy Faction, it will also provide Crit Damage."
6362,Queen's Crown,"Provides Damage Reduction and Hp, increases its owner's survivability;\nIf its owner belongs to Fairy Faction, it will provide more Hp."
6363,Demonic Wings,"Provides Speed and Hp, increases its owner's survivability and guarantees its owner a better move order in a round;\nIf its owner belongs to Fairy Faction, it will also provide Crit."
6364,Fate Mirror,"Provides additional energy, enables its owner to trigger her active skill in advance;\nProvides Skill Damage, increases its owner's offensive ability;\nIf its owner belongs to Demon Faction, it will provide more Skill Damage."
6365,Invisible Cloak,"Provides Damage Reduction and Hp, increases its owner's survivability;\nIf its owner belongs to Angel Faction, it will also provide Holy Damage."
6376,Magic Brick,"Provides Attack and Crit, increases its owner's offensive ability."
6382,Sand of Time,"Provides Hp and Block rate, increases its owner's survivability."
6388,Gentle Knight,"Provides Hp, increases its owner's survivability;\nIf its owner belongs to Human Faction, it will also provide Block Rate."
6394,Opposite,"Provides Attack and Hp, increases its owner's offensive and survival ability;\nIf its owner belongs to Demon Faction, it will also provide Control Immunity."
6400,Key of Mind,"Provides Attack and Holy Damage, increases its owner's offensive ability;\nIf its owner belongs to Angel Faction, it will also provide Crit."
6406,Swiss Army Knife,"Provides Attack and Crit, increases its owner's offensive ability."
6412,Perception Watch,"Provides Block rate and Hp, increases its owner's survivability."
6418,Judgment Sword,"Provides Hp to increase its owner's survivability;\nIf its owner belongs to Human Faction, it will also provide Block Rate."
6424,Balance,"Provides Attack and Hp, increases its owner's offensive and survival ability;\nIf its owner belongs to Demon Faction, it will also provide Control Immunity."
6430,Key to Heaven,"Provides Attack and Holy Damage, increases its owner's offensive ability;\nIf its owner belongs to Angel Faction, it will also provide Crit."
6436,Fate Crystal,"Provides additional energy, enables its owner to trigger her active skill in advance;\nProvides Attack, increases its owner's offensive ability."
6442,The Wings of Icarus,"Provides Precision and Skill Damage, increases its owner's Active skill damage;\nProvides Attack, increases its owner's offensive ability."
6448,Thorn's Heart,"Provides Attack, Crit and Crit Damage, greatly increases its owner's offensive ability."
6454,Fusion Umbrella,"Provides Attack, increases its owner's offensive ability;\nProvides Damage Reduction and Control Immunity, enables its owner to take less damage from each attack and take fewer control skills."
6460,Echoes,"Provides Speed, guarantees its owner a better move order in a round;\nProvides Block rate, increases its owner's survival ability;\nProvides Attack, increases its owner's offensive ability."
6466,Burning Blades,"Increases Attack and Hp,  increases its owner's offensive & survival ability at the same time; Provides a shield prevents attack 3 times at most when its owner is taking lethal damage for the 1st time, greatly increases its owner's survival ability"
6472,Silver Mirage,"Provides Attack and Armor Break to increase the offensive ability of its owner;\nIf its owner belongs to Human Faction, it will provide additional Block rate, making it a perfect selection for Human girls who need a high Block rate to trigger their skills."
6478,Neutron Blades,"Provides Speed and Attack, allows its owner to deal better damage earlier;\nGreatly increases the Control Rate for control skills, might be the best options for the girls with Crowd Control skills."
6484,Warg's Bite,"Provides great amount of Attack and Block rate, will be able to increase its owner's offensive ability and survivability at the same time;\nIf its owner belongs to Ghost Faction, it will also provide Crit Damage."
6490,Chainblade Axe,"Provides great amount of Attack and Hp, will be able to increase its owner's offensive ability and survivability at the same time;\nThe Antique also provides 100% Armor Break at max level, will maximize the damage for its owner."
6496,Punishment Sword,"Provides Attack and Speed, increases its owner's offensive ability while providing a chance to move earlier in a round;\nIf its owner belongs to Human Faction, it will also provide Damage Reduction and increases its owner's survivability."
6502,Carnival Staff,"Provides Attack and HP, increases owner's offensive and survival ability;\nAllows its owner to Immune from Stun, greatly counters the girls with Stun skills."
6706,Soul Destruction,"Provides Attack and Precision, increases owner's offensive ability;\nThe Antique also provides 50% Crit Damage, a good choice for the Girls who can trigger Crit hits more often."
6712,Sacred Vial,"Provides HP and Precision, increases its owner's survivability;\nThe Antique reduces the DoT damage taken by its owner, greatly counters enemies with DoT skills."
6724,Deception,"Provides additional HP, increasing the owner's survival ability;\nThe additional Speed ensures the owner to move earlier in each round;\nProvides additional Damage Reduction for the owner and 1 random ally, greatly increases the survival ability of the team."
6664,Holy Grail,"Provides Hp and Speed, increases its owner's survivability while allowing her to move earlier in each round of a battle;\nIf its owner belongs to Human Faction, it will also provide Attack."
6634,Crossbow,"Provides Attack and Crit;\nIf its owner belongs to Ghost Faction, it will also provide HP."
6718,Eternal Dawn,"Provides HP and Damage Depletion, greatly increases owner's survival ability;\nProvides Attack, icreases owner's offensive ability."
6730,Reaper's Voice,"Provides additional Energy, enables the owner to trigger her Active skill earlier;\nProvides additional Immunity, grants the owner ability to resist Control Skills."
6736,Nightshade,"Revives the owner and provides additional Energy when the owner is revived, allows the owner to perform better in battles"
