id,name,brief,desc
1025,Dragon Boat Festival Avatar,Special Avatar,Exclusive avatar acquired by completing all missions of Arena Ace
2001,Plain Riceball,Item,Heal Girl for (20% of Maximum) HP
2002,Jujube Riceball,Item,Heal Girl for (50% of Maximum) HP & gain 300 Energy of Girls.
2003,Salmon Riceball,Item,Heal Girl for (100% of Maximum) HP
2004,Pencil,Item,Add 1.5% Attack
2005,Eraser,Item,Add 2% Crit DMG
2006,Protractor,Item,Add 2% Crit Rate
930000,1-star Skarivine,Summon Girl,Collect 5 shards to summon the girl.
930001,1-star Cayla,Summon Girl,Collect 5 shards to summon the girl.
930002,1-star Vanees,Summon Girl,Collect 5 shards to summon the girl.
930003,1-star Maidam,Summon Girl,Collect 5 shards to summon the girl.
930004,1-star Aegis,Summon Girl,Collect 5 shards to summon the girl.
930005,1-star Handana,Summon Girl,Collect 5 shards to summon the girl.
930006,1-star Lin AI,Summon Girl,Collect 5 shards to summon the girl.
930007,1-star Witch,Summon Girl,Collect 5 shards to summon the girl.
930008,1-star Stella,Summon Girl,Collect 5 shards to summon the girl.
930009,1-star Elloi,Summon Girl,Collect 5 shards to summon the girl.
930010,1-star Veila,Summon Girl,Collect 5 shards to summon the girl.
930011,1-star Yuri,Summon Girl,Collect 5 shards to summon the girl.
930012,2-star Talia,Summon Girl,Collect 10 shards to summon the girl.
930013,2-star Nasha,Summon Girl,Collect 10 shards to summon the girl.
930014,2-star Hancer,Summon Girl,Collect 10 shards to summon the girl.
930015,2-star Nono,Summon Girl,Collect 10 shards to summon the girl.
930016,2-star Roselle,Summon Girl,Collect 10 shards to summon the girl.
930017,2-star Hynel,Summon Girl,Collect 10 shards to summon the girl.
930018,2-star Fleur,Summon Girl,Collect 10 shards to summon the girl.
930019,2-star Meimi,Summon Girl,Collect 10 shards to summon the girl.
930020,2-star Boro,Summon Girl,Collect 10 shards to summon the girl.
930021,2-star Lana,Summon Girl,Collect 10 shards to summon the girl.
930022,2-star Sasuke,Summon Girl,Collect 10 shards to summon the girl.
930023,2-star Shamoke,Summon Girl,Collect 10 shards to summon the girl.
930024,2-star Pyra,Summon Girl,Collect 10 shards to summon the girl.
930025,2-star Octagirl,Summon Girl,Collect 10 shards to summon the girl.
930026,2-star Aeris,Summon Girl,Collect 10 shards to summon the girl.
930027,2-star Puny,Summon Girl,Collect 10 shards to summon the girl.
930028,3-star Poppi,Summon Girl,Collect 20 shards to summon the girl.
930029,3-star Jade,Summon Girl,Collect 20 shards to summon the girl.
930030,3-star Ursula,Summon Girl,Collect 20 shards to summon the girl.
930031,3-star Kitty,Summon Girl,Collect 20 shards to summon the girl.
930032,3-star Samurai,Summon Girl,Collect 20 shards to summon the girl.
930033,3-star Tula,Summon Girl,Collect 20 shards to summon the girl.
930034,3-star Edward,Summon Girl,Collect 20 shards to summon the girl.
930035,3-star King,Summon Girl,Collect 20 shards to summon the girl.
930036,3-star Donna,Summon Girl,Collect 20 shards to summon the girl.
930037,3-star Nobuna Shard,Summon Girl,Collect 20 shards to summon the girl.
930038,3-star Annabelle,Summon Girl,Collect 20 shards to summon the girl.
930039,3-star Harley,Summon Girl,Collect 20 shards to summon the girl.
930040,3-star Magician,Summon Girl,Collect 20 shards to summon the girl.
930041,3-star Caitlin,Summon Girl,Collect 20 shards to summon the girl.
930042,3-star Marynari Shard,Summon Girl,Collect 20 shards to summon the girl.
930043,3-star Robin,Summon Girl,Collect 20 shards to summon the girl.
930044,3-star Sisha,Summon Girl,Collect 20 shards to summon the girl.
930045,3-star Mythra,Summon Girl,Collect 20 shards to summon the girl.
930046,3-star Athena,Summon Girl,Collect 20 shards to summon the girl.
930047,3-star Kenshin,Summon Girl,Collect 20 shards to summon the girl.
930048,3-star Reo,Summon Girl,Collect 20 shards to summon the girl.
930049,3-star Luna,Summon Girl,Collect 20 shards to summon the girl.
930050,4-star Zombia,Summon Girl,Collect 30 shards to summon the girl.
930051,4-star Flash,Summon Girl,Collect 30 shards to summon the girl.
930052,4-star Werewolf,Summon Girl,Collect 30 shards to summon the girl.
930053,4-star Nona,Summon Girl,Collect 30 shards to summon the girl.
930054,4-star Assassin,Summon Girl,Collect 30 shards to summon the girl.
930055,4-star Ashely,Summon Girl,Collect 30 shards to summon the girl.
930056,4-star Miya,Summon Girl,Collect 30 shards to summon the girl.
930057,4-star Bidenty,Summon Girl,Collect 30 shards to summon the girl.
930058,4-star Boxer,Summon Girl,Collect 30 shards to summon the girl.
930059,4-star Lily,Summon Girl,Collect 30 shards to summon the girl.
930060,4-star Nagia,Summon Girl,Collect 30 shards to summon the girl.
930061,4-star Hypatia,Summon Girl,Collect 30 shards to summon the girl.
930062,4-star Nun,Summon Girl,Collect 30 shards to summon the girl.
930063,4-star Diva,Summon Girl,Collect 30 shards to summon the girl.
930064,4-star Liz,Summon Girl,Collect 30 shards to summon the girl.
930065,4-star Anna,Summon Girl,Collect 30 shards to summon the girl.
930066,4-star Omega,Summon Girl,Collect 30 shards to summon the girl.
930067,4-star Lightin,Summon Girl,Collect 30 shards to summon the girl.
930068,4-star Beary,Summon Girl,Collect 30 shards to summon the girl.
930069,4-star Litana,Summon Girl,Collect 30 shards to summon the girl.
930070,4-star Jelly,Summon Girl,Collect 30 shards to summon the girl.
930071,4-star Wandy,Summon Girl,Collect 30 shards to summon the girl.
930072,4-star Elvis,Summon Girl,Collect 30 shards to summon the girl.
930073,4-star Chainsaw,Summon Girl,Collect 30 shards to summon the girl.
930074,4-star Toy Girl,Summon Girl,Collect 30 shards to summon the girl.
930075,4-star Lisa,Summon Girl,Collect 30 shards to summon the girl.
930076,4-star Androi,Summon Girl,Collect 30 shards to summon the girl.
930077,4-star Calista,Summon Girl,Collect 30 shards to summon the girl.
930078,5-star Sapphire,Summon Girl,Collect 50 shards to summon the girl.
930079,5-star Gambler,Summon Girl,Collect 50 shards to summon the girl.
930080,5-star Succuba,Summon Girl,Collect 50 shards to summon the girl.
930081,5-star Dracula,Summon Girl,Collect 50 shards to summon the girl.
930082,5-star Wu Kong,Summon Girl,Collect 50 shards to summon the girl.
930083,5-star Fencer,Summon Girl,Collect 50 shards to summon the girl.
930084,5-star Wildtress,Summon Girl,Collect 50 shards to summon the girl.
930085,5-star Sakura,Summon Girl,Collect 50 shards to summon the girl.
930086,5-star Giana,Summon Girl,Collect 50 shards to summon the girl.
930087,5-star Ennmaya,Summon Girl,Collect 50 shards to summon the girl.
930088,5-star Hottie,Summon Girl,Collect 50 shards to summon the girl.
930089,5-star Blowie,Summon Girl,Collect 50 shards to summon the girl.
930090,5-star Chevalir,Summon Girl,Collect 50 shards to summon the girl.
930091,5-star Saint,Summon Girl,Collect 50 shards to summon the girl.
930092,5-star Javelin,Summon Girl,Collect 50 shards to summon the girl.
930093,5-star Geisha,Summon Girl,Collect 50 shards to summon the girl.
930094,5-star Sonya,Summon Girl,Collect 50 shards to summon the girl.
930095,5-star Caitlyn,Summon Girl,Collect 50 shards to summon the girl.
930096,5-star Guan Yin,Summon Girl,Collect 50 shards to summon the girl.
930097,5-star Librarian,Summon Girl,Collect 50 shards to summon the girl.
930098,5-star Priestess,Summon Girl,Collect 50 shards to summon the girl.
930099,5-star Alice,Summon Girl,Collect 50 shards to summon the girl.
930100,5-star Nia,Summon Girl,Collect 50 shards to summon the girl.
930101,5-star Muppet,Summon Girl,Collect 50 shards to summon the girl.
930102,5-star Nobunaga,Summon Girl,Collect 50 shards to summon the girl.
930103,5-star Silvia,Summon Girl,Collect 50 shards to summon the girl.
930104,5-star Turin,Summon Girl,Collect 50 shards to summon the girl.
930105,5-star Toyo,Summon Girl,Collect 50 shards to summon the girl.
930106,5-star Masamune,Summon Girl,Collect 50 shards to summon the girl.
930107,5-star Hexa,Summon Girl,Collect 50 shards to summon the girl.
930108,5-star Amazon,Summon Girl,Collect 50 shards to summon the girl.
930109,5-star Bud Elf,Summon Girl,Collect 50 shards to summon the girl.
930110,5-star Himoto,Summon Girl,Collect 50 shards to summon the girl.
930111,5-star Nani,Summon Girl,Collect 50 shards to summon the girl.
930112,5-star Lavia,Summon Girl,Collect 50 shards to summon the girl.
930113,5-star Susan,Summon Girl,Collect 50 shards to summon the girl.
930114,5-star Aquaris,Summon Girl,Collect 50 shards to summon the girl.
930115,5-star KongMing,Summon Girl,Collect 50 shards to summon the girl.
930116,5-star Pandaria,Summon Girl,Collect 50 shards to summon the girl.
930117,5-star Linky,Summon Girl,Collect 50 shards to summon the girl.
930118,5星瓦拉斯基碎片,Summon Girl,Collect 50 shards to summon the girl.
930119,5-star Amelia,Summon Girl,Collect 50 shards to summon the girl.
930120,5-star Wraith Shard,Summon Girl,Collect 50 shards to summon the girl.
930121,5-star Angel,Summon Girl,Collect 50 shards to summon the girl.
930122,5-star Gabriel,Summon Girl,Collect 50 shards to summon the girl.
930123,5-star Michael,Summon Girl,Collect 50 shards to summon the girl.
930125,4-star Ninja,Summon Girl,Collect 30 shards to summon the girl.
930126,4-star Cynthia,Summon Girl,Collect 30 shards to summon the girl.
930127,4-star Quinie,Summon Girl,Collect 30 shards to summon the girl.
930128,4-star Haxie,Summon Girl,Collect 30 shards to summon the girl.
930129,4-star Iron Fist,Summon Girl,Collect 30 shards to summon the girl.
930130,4-star Ada,Summon Girl,Collect 30 shards to summon the girl.
930131,4-star Medusa,Summon Girl,Collect 30 shards to summon the girl.
930132,4-star Zoe,Summon Girl,Collect 30 shards to summon the girl.
930133,5-star Zombia,Summon Girl,Collect 50 shards to summon the girl.
930134,5-star Flash,Summon Girl,Collect 50 shards to summon the girl.
930135,5-star Miya,Summon Girl,Collect 50 shards to summon the girl.
930136,5-star Bidenty,Summon Girl,Collect 50 shards to summon the girl.
930137,5-star Nun,Summon Girl,Collect 50 shards to summon the girl.
930138,5-star Diva,Summon Girl,Collect 50 shards to summon the girl.
930139,5-star Beary,Summon Girl,Collect 50 shards to summon the girl.
930140,5-star Litana,Summon Girl,Collect 50 shards to summon the girl.
930141,5-star Toy Girl,Summon Girl,Collect 50 shards to summon the girl.
930142,5-star Lisa,Summon Girl,Collect 50 shards to summon the girl.
930143,5-star Androi,Summon Girl,Collect 50 shards to summon the girl.
930144,5-star Calista,Summon Girl,Collect 50 shards to summon the girl.
930145,5-star Boxer,Summon Girl,Collect 50 shards to summon the girl.
930146,5-star Lily,Summon Girl,Collect 50 shards to summon the girl.
930147,5-star Liz,Summon Girl,Collect 50 shards to summon the girl.
930148,5-star Jelly,Summon Girl,Collect 50 shards to summon the girl.
930149,5-star Wandy,Summon Girl,Collect 50 shards to summon the girl.
930150,5-star Werewolf,Summon Girl,Collect 50 shards to summon the girl.
930151,5-star Ashely,Summon Girl,Collect 50 shards to summon the girl.
930152,5-star Nagia,Summon Girl,Collect 50 shards to summon the girl.
930153,5-star Omega,Summon Girl,Collect 50 shards to summon the girl.
930154,5-star Nona,Summon Girl,Collect 50 shards to summon the girl.
930155,5-star Assassin,Summon Girl,Collect 50 shards to summon the girl.
930156,5-star Hypatia,Summon Girl,Collect 50 shards to summon the girl.
930157,5-star Anna,Summon Girl,Collect 50 shards to summon the girl.
930158,5-star Lightin,Summon Girl,Collect 50 shards to summon the girl.
930159,5-star Elvis,Summon Girl,Collect 50 shards to summon the girl.
930160,5-star Chainsaw,Summon Girl,Collect 50 shards to summon the girl.
930161,5-star Ninja,Summon Girl,Collect 50 shards to summon the girl.
930162,5-star Cynthia,Summon Girl,Collect 50 shards to summon the girl.
930163,5-star Quinie,Summon Girl,Collect 50 shards to summon the girl.
930164,5-star Haxie,Summon Girl,Collect 50 shards to summon the girl.
930165,5-star Iron Fist,Summon Girl,Collect 50 shards to summon the girl.
930166,5-star Ada,Summon Girl,Collect 50 shards to summon the girl.
930167,5-star Medusa,Summon Girl,Collect 50 shards to summon the girl.
930168,5-star Zoe,Summon Girl,Collect 50 shards to summon the girl.
930169,5-star Scythe,Summon Girl,Collect 50 shards to summon the girl.
930170,4-star Selene,Summon Girl,Collect 30 shards to summon the girl.
930171,4-star Annie,Summon Girl,Collect 30 shards to summon the girl.
930172,5-star Selene,Summon Girl,Collect 50 shards to summon the girl.
930173,5-star Annie,Summon Girl,Collect 50 shards to summon the girl.
930174,5-star Lucifer,Summon Girl,Collect 50 shards to summon the girl.
930175,5-star Psychic,Summon Girl,Collect 50 shards to summon the girl.
930176,5-star Phoenix,Summon Girl,Collect 50 shards to summon the girl.
940001,4-star Girls Shard,Summon Girl,Collect 30 shards to summon a 4-star girl.
940002,5-star Girls Shard,Summon Girl,Collect 50 shards to summon a 5-star girl.
940003,3-star Girls Shard,Summon Girl,Collect 20 shards to summon a 3-star girl.
940011,5-star Ghost Shard,Summon Girl,Collect 50 shards to summon a 5-star Ghost girl.
940012,5-star Human Shard,Summon girl,Collect 50 shards to summon a 5-star Human girl.
940013,5-star Monster Shard,Summon girl,Collect 50 shards to summon a 5-star Monster girl.
940014,5-star Fairy Shard,Summon girl,Collect 50 shards to summon a 5-star Fairy girl.
940015,5-star Demon Shard,Summon girl,Collect 50 shards to summon a 5-star Demon girl.
940016,5-star Angel Shard,Summon girl,Collect 50 shards to summon a 5-star Angel girl.
940021,4-star Ghost Shard,Summon girl,Collect 30 shards to summon a 4-star Ghost girl.
940022,4-star Human Shard,Summon girl,Collect 30 shards to summon a 4-star Human girl.
940023,4-star Monster Shard,Summon girl,Collect 30 shards to summon a 4-star Monster girl.
940024,4-star Fairy Shard,Summon girl,Collect 30 shards to summon a 4-star Fairy girl.
940025,4-star Demon Shard,Summon girl,Collect 30 shards to summon a 4-star Demon girl.
940026,4-star Angel Shard,Summon girl,Collect 30 shards to summon a 4-star Angel girl.
953001,Purple Antique Shard,Summon Antique,Collect 20 shards to summon Purple Antique.
954001,Green Antique Shard,Summon Antique,Collect 30 shards to summon Green Antique.
955001,Red Antique Shard,Summon Antique,Collect 50 shards to summon Red Antique.
955099,Red Antique Exclusive Shard,Summon Antique,Collect 50 shards to summon Red Exclusive Antique.
956001,Orange Antique Shard,Summon Antique,Collect 50 shards to summon Orange Antique.
956099,Orange Antique Exclusive Shard,Summon Antique,Collect 50 shards to summon Orange Exclusive Antique.
960001,Random Skin Shard,Craft Skin,Collect 10 Shards to forge the skin
1011,Knight Sword,Weapon,
2011,Knight Armor,Armor,
3011,Knight Shield,Accessory,
4011,Knight Dress,Bottoms,
1012,Holy Knight Sword,Weapon,
2012,Holy Knight Armor,Armor,
3012,Holy Knight Shield,Accessory,
4012,Holy Knight Dress,Bottoms,
1021,Volleyball,Weapon,
2021,Sports Shirt,Armor,
3021,Sports Headband,Accessory,
4021,Sports Pants,Bottoms,
1022,Great Volleyball,Weapon,
2022,Great Sports Shirt,Armor,
3022,Great Sports Headband,Accessory,
4022,Great Sports Pants,Bottoms,
1031,Beach Gun,Weapon,
2031,Beach Shirt,Armor,
3031,Beach Hat,Accessory,
4031,Beach Suit,Bottoms,
1032,Great Beach Gun,Weapon,
2032,Great Beach Shirt,Armor,
3032,Great Beach Hat,Accessory,
4032,Great Beach Suit,Bottoms,
1033,Advance Beach Gun,Weapon,
2033,Advance Beach Shirt,Armor,
3033,Advance Beach Hat,Accessory,
4033,Advance Beach Suit,Bottoms,
1041,School Textbook,Weapon,
2041,School Uniform,Armor,
3041,School Tie,Accessory,
4041,School Skirt,Bottoms,
1042,Shiny School Textbook,Weapon,
2042,Shiny School Uniform,Armor,
3042,Shiny School Tie,Accessory,
4042,Shiny School Skirt,Bottoms,
1043,Bunny Carrot,Weapon,
2043,Bunny Suit,Armor,
3043,Bunny Ear,Accessory,
4043,Bunny Shoes,Bottoms,
1044,Advance Bunny Carrot,Weapon,
2044,Advance Bunny Suit,Armor,
3044,Advance Bunny Ear,Accessory,
4044,Advance Bunny Shoes,Bottoms,
1051,Guitar,Weapon,
2051,Showing Suit,Armor,
3051,White Mic,Accessory,
4051,Punk Shoes,Bottoms,
1052,Maid Cake,Weapon,
2052,Maid Apron,Armor,
3052,Maid Headband,Accessory,
4052,Maid Shoes,Bottoms,
1053,Adventure Bag,Weapon,
2053,Adventure Suit,Armor,
3053,Adventure Glasses,Accessory,
4053,Adventure Pants,Bottoms,
1054,Magic Broom,Weapon,
2054,Magic Suit,Armor,
3054,Magic Hat,Accessory,
4054,Magic Boots,Bottoms,
1061,Feather Fan,Weapon,
2061,Kimono,Armor,
3061,Flower Tie,Accessory,
4061,Hibiscus,Bottoms,
1062,Classic Umbrella,Weapon,
2062,Classic Suit,Armor,
3062,Classic Hair Tie,Accessory,
4062,Classic Shoes,Bottoms,
1063,Princess Doll,Weapon,
2063,Princess Suit,Armor,
3063,Princess Crown,Accessory,
4063,Princess Shoes,Bottoms,
1064,Electronic Sword,Weapon,
2064,Electronic Suit,Armor,
3064,Electronic Glasses,Accessory,
4064,Electronic Shoes,Bottoms,
1065,Demonic Sickle,Weapon,
2065,Demonic Suit,Armor,
3065,Demonic Hair Band,Accessory,
4065,Demonic Boots,Bottoms,
1066,Angel Wand,Weapon,
2066,Angel Suit,Armor,
3066,Angel Hair Band,Accessory,
4066,Angel Wings,Bottoms,
1999,Special Gear 1,Weapon,
2999,Special Gear 2,Armor,
3999,Special Gear 3,Accessory,
4999,Special Gear 4,Bottoms,
5101,Blue Crystal,,
5102,Blue Crystal,,
5103,Blue Crystal,,
5104,Blue Crystal,,
5105,Blue Crystal,,
5106,Blue Crystal,,
5107,Blue Crystal,,
5108,Blue Crystal,,
5109,Blue Crystal,,
5110,Blue Crystal,,
5111,Blue Crystal,,
5112,Blue Crystal,,
5113,Blue Crystal,,
5114,Blue Crystal,,
5115,Blue Crystal,,
5116,Blue Crystal,,
5201,Yellow Crystal,,
5202,Yellow Crystal,,
5203,Yellow Crystal,,
5204,Yellow Crystal,,
5205,Yellow Crystal,,
5206,Yellow Crystal,,
5207,Yellow Crystal,,
5208,Yellow Crystal,,
5209,Yellow Crystal,,
5210,Yellow Crystal,,
5211,Yellow Crystal,,
5212,Yellow Crystal,,
5213,Yellow Crystal,,
5214,Yellow Crystal,,
5215,Yellow Crystal,,
5216,Yellow Crystal,,
5301,Rune Crystal,,
5302,Rune Crystal,,
5303,Rune Crystal,,
5304,Rune Crystal,,
5305,Rune Crystal,,
5306,Rune Crystal,,
5307,Rune Crystal,,
5308,Rune Crystal,,
5309,Rune Crystal,,
5310,Rune Crystal,,
5311,Rune Crystal,,
5312,Rune Crystal,,
5313,Rune Crystal,,
5314,Rune Crystal,,
5315,Rune Crystal,,
5316,Rune Crystal,,
5317,Rune Crystal,,
5318,Rune Crystal,,
5319,Rune Crystal,,
5320,Rune Crystal,,
5321,Rune Crystal,,
5322,Rune Crystal,,
5323,Rune Crystal,,
5324,Rune Crystal,,
5401,Paradise Crystal,,
5402,Paradise Crystal,,
5403,Paradise Crystal,,
5404,Paradise Crystal,,
5405,Paradise Crystal,,
5406,Paradise Crystal,,
5407,Paradise Crystal,,
5408,Paradise Crystal,,
5409,Paradise Crystal,,
5410,Paradise Crystal,,
5411,Paradise Crystal,,
5412,Paradise Crystal,,
5413,Paradise Crystal,,
5414,Paradise Crystal,,
5415,Paradise Crystal,,
5416,Paradise Crystal,,
5417,Paradise Crystal,,
5418,Paradise Crystal,,
5419,Paradise Crystal,,
5420,Paradise Crystal,,
5421,Paradise Crystal,,
5422,Paradise Crystal,,
5423,Paradise Crystal,,
5424,Paradise Crystal,,
5501,Agate Crystal,,
5502,Agate Crystal,,
5503,Agate Crystal,,
5504,Agate Crystal,,
5505,Agate Crystal,,
5506,Agate Crystal,,
5507,Agate Crystal,,
5508,Agate Crystal,,
5509,Agate Crystal,,
5510,Agate Crystal,,
5511,Agate Crystal,,
5512,Agate Crystal,,
5513,Agate Crystal,,
5514,Agate Crystal,,
5515,Agate Crystal,,
5516,Agate Crystal,,
5517,Agate Crystal,,
5518,Agate Crystal,,
5519,Agate Crystal,,
5520,Agate Crystal,,
5521,Agate Crystal,,
5522,Agate Crystal,,
5523,Agate Crystal,,
5524,Agate Crystal,,
5525,Agate Crystal,,
5526,Agate Crystal,,
5527,Agate Crystal,,
5528,Agate Crystal,,
5529,Agate Crystal,,
5530,Agate Crystal,,
5531,Agate Crystal,,
5532,Agate Crystal,,
5533,Agate Crystal,,
5534,Agate Crystal,,
5535,Agate Crystal,,
5536,Agate Crystal,,
5537,Agate Crystal,,
5538,Agate Crystal,,
5539,Agate Crystal,,
5540,Agate Crystal,,
5541,Agate Crystal,,
5542,Agate Crystal,,
5543,Agate Crystal,,
5544,Agate Crystal,,
5545,Agate Crystal,,
5546,Agate Crystal,,
5601,Dragon Jade,,
5602,Dragon Jade,,
5603,Dragon Jade,,
5604,Dragon Jade,,
5605,Dragon Jade,,
5606,Dragon Jade,,
5607,Dragon Jade,,
5608,Dragon Jade,,
5609,Dragon Jade,,
5610,Dragon Jade,,
5611,Dragon Jade,,
5612,Dragon Jade,,
5613,Dragon Jade,,
5614,Dragon Jade,,
5615,Dragon Jade,,
5616,Dragon Jade,,
5617,Dragon Jade,,
5618,Dragon Jade,,
5619,Dragon Jade,,
5620,Dragon Jade,,
5621,Dragon Jade,,
5622,Dragon Jade,,
5623,Dragon Jade,,
5624,Dragon Jade,,
5625,Dragon Jade,,
5626,Dragon Jade,,
5627,Dragon Jade,,
5628,Dragon Jade,,
5629,Dragon Jade,,
5630,Dragon Jade,,
5631,Dragon Jade,,
5632,Dragon Jade,,
5633,Dragon Jade,,
5634,Dragon Jade,,
5635,Dragon Jade,,
5636,Dragon Jade,,
5637,Dragon Jade,,
5638,Dragon Jade,,
5639,Dragon Jade,,
5640,Dragon Jade,,
6000,Afterglow,Antique upgrade material,
6001,Chalk,Antique,
6002,Stool,Antique,
6003,Evil Machete,Antique,
6004,Alarm Lamp,Antique,
6005,Magic Guide Book,Antique,
6006,Chalk,Antique,
6007,Stool,Antique,
6008,Evil Machete,Antique,
6009,Alarm Lamp,Antique,
6010,Magic Guide Book,Antique,
6011,Chalk,Antique,
6012,Stool,Antique,
6013,Evil Machete,Antique,
6014,Alarm Lamp,Antique,
6015,Magic Guide Book,Antique,
6016,Chalk,Antique,
6017,Stool,Antique,
6018,Evil Machete,Antique,
6019,Alarm Lamp,Antique,
6020,Magic Guide Book,Antique,
6021,Golden Cube,Antique,
6022,Silver Crown,Antique,
6023,Witch Curse,Antique,
