id,next_id,fort_first,fort_id,battle_id,first_reward,sweep_reward,fort_img,power
84,85,0,1,1101024,940001#99|65#250,940001#33|65#31,btn_h_challenge_1,1730000
85,86,0,1,1101025,940001#102|65#260,940001#34|65#32,btn_h_challenge_1,1800000
86,87,0,1,1101026,940001#105|65#270,940001#35|65#33,btn_h_challenge_1,1870000
87,88,0,1,1101027,940001#108|65#280,940001#36|65#34,btn_h_challenge_1,1940000
88,89,0,1,1101028,940001#111|65#290,940001#37|65#35,btn_h_challenge_1,2010000
89,90,0,1,1101029,940001#114|65#300,940001#38|65#36,btn_h_challenge_1,2080000
90,91,0,1,1101030,940001#117|65#310,940001#39|65#37,btn_h_challenge_1,2150000
91,92,0,1,1101031,940001#120|65#320,940001#40|65#38,btn_h_challenge_1,2220000
92,93,0,1,1101032,940001#123|65#330,940001#41|65#39,btn_h_challenge_1,2290000
93,94,0,1,1101033,940001#126|65#340,940001#42|65#40,btn_h_challenge_1,2360000
94,95,0,1,1101034,940001#129|65#350,940001#43|65#41,btn_h_challenge_1,2430000
95,96,0,1,1101035,940001#132|65#360,940001#44|65#42,btn_h_challenge_1,2500000
96,97,0,1,1101036,940001#135|65#370,940001#45|65#43,btn_h_challenge_1,2570000
97,98,0,1,1101037,940001#138|65#380,940001#46|65#44,btn_h_challenge_1,2640000
98,99,0,1,1101038,940001#141|65#390,940001#47|65#45,btn_h_challenge_1,2710000
99,100,0,1,1101039,940001#144|65#400,940001#48|65#46,btn_h_challenge_1,2780000
100,101,0,1,1101040,940001#147|65#410,940001#49|65#47,btn_h_challenge_1,2850000
101,102,0,1,1101041,940001#150|65#420,940001#50|65#48,btn_h_challenge_1,2920000
102,103,0,1,1101042,940001#153|65#430,940001#51|65#49,btn_h_challenge_1,2990000
103,104,0,1,1101043,940001#156|65#440,940001#52|65#50,btn_h_challenge_1,3060000
104,105,0,1,1101044,940001#159|65#450,940001#53|65#51,btn_h_challenge_1,3130000
105,106,0,1,1101045,940001#162|65#460,940001#54|65#52,btn_h_challenge_1,3200000
106,107,0,1,1101046,940001#165|65#470,940001#55|65#53,btn_h_challenge_1,3270000
107,108,0,1,1101047,940001#168|65#480,940001#56|65#54,btn_h_challenge_1,3340000
108,109,0,1,1101048,940001#171|65#490,940001#57|65#55,btn_h_challenge_1,3410000
109,110,0,1,1101049,940001#174|65#500,940001#58|65#56,btn_h_challenge_1,3480000
110,111,0,1,1101050,940001#177|65#510,940001#59|65#57,btn_h_challenge_1,3550000
111,112,0,1,1101051,940001#180|65#520,940001#60|65#58,btn_h_challenge_1,3620000
112,113,0,1,1101052,940001#183|65#530,940001#61|65#59,btn_h_challenge_1,3690000
113,114,0,1,1101053,940001#186|65#540,940001#62|65#60,btn_h_challenge_1,3760000
114,115,0,1,1101054,940001#189|65#550,940001#63|65#61,btn_h_challenge_1,3830000
115,116,0,1,1101055,940001#192|65#560,940001#64|65#62,btn_h_challenge_1,3900000
116,117,0,1,1101056,940001#195|65#570,940001#65|65#63,btn_h_challenge_1,3970000
117,118,0,1,1101057,940001#198|65#580,940001#66|65#64,btn_h_challenge_1,4040000
118,119,0,1,1101058,940001#201|65#590,940001#67|65#65,btn_h_challenge_1,4110000
119,120,0,1,1101059,940001#204|65#600,940001#68|65#66,btn_h_challenge_1,4180000
120,-1,0,1,1101060,940001#207|65#610,940001#69|65#67,btn_h_challenge_1,4250000
121,122,1,2,1102001,940001#30|65#20,940001#10|65#8,btn_h_challenge_2,100000
122,123,0,2,1102002,940001#33|65#30,940001#11|65#9,btn_h_challenge_2,200000
123,124,0,2,1102003,940001#36|65#40,940001#12|65#10,btn_h_challenge_2,300000
124,125,0,2,1102004,940001#39|65#50,940001#13|65#11,btn_h_challenge_2,300000
125,126,0,2,1102005,940001#42|65#60,940001#14|65#12,btn_h_challenge_2,400000
126,127,0,2,1102006,940001#45|65#70,940001#15|65#13,btn_h_challenge_2,470000
127,128,0,2,1102007,940001#48|65#80,940001#16|65#14,btn_h_challenge_2,540000
128,129,0,2,1102008,940001#51|65#90,940001#17|65#15,btn_h_challenge_2,610000
129,130,0,2,1102009,940001#54|65#100,940001#18|65#16,btn_h_challenge_2,680000
130,131,0,2,1102010,940001#57|65#110,940001#19|65#17,btn_h_challenge_2,750000
131,132,0,2,1102011,940001#60|65#120,940001#20|65#18,btn_h_challenge_2,820000
132,133,0,2,1102012,940001#63|65#130,940001#21|65#19,btn_h_challenge_2,890000
133,134,0,2,1102013,940001#66|65#140,940001#22|65#20,btn_h_challenge_2,960000
134,135,0,2,1102014,940001#69|65#150,940001#23|65#21,btn_h_challenge_2,1030000
135,136,0,2,1102015,940001#72|65#160,940001#24|65#22,btn_h_challenge_2,1100000
136,137,0,2,1102016,940001#75|65#170,940001#25|65#23,btn_h_challenge_2,1170000
137,138,0,2,1102017,940001#78|65#180,940001#26|65#24,btn_h_challenge_2,1240000
138,139,0,2,1102018,940001#81|65#190,940001#27|65#25,btn_h_challenge_2,1310000
139,140,0,2,1102019,940001#84|65#200,940001#28|65#26,btn_h_challenge_2,1380000
140,141,0,2,1102020,940001#87|65#210,940001#29|65#27,btn_h_challenge_2,1450000
141,142,0,2,1102021,940001#90|65#220,940001#30|65#28,btn_h_challenge_2,1520000
142,143,0,2,1102022,940001#93|65#230,940001#31|65#29,btn_h_challenge_2,1590000
143,144,0,2,1102023,940001#96|65#240,940001#32|65#30,btn_h_challenge_2,1660000
144,145,0,2,1102024,940001#99|65#250,940001#33|65#31,btn_h_challenge_2,1730000
145,146,0,2,1102025,940001#102|65#260,940001#34|65#32,btn_h_challenge_2,1800000
146,147,0,2,1102026,940001#105|65#270,940001#35|65#33,btn_h_challenge_2,1870000
147,148,0,2,1102027,940001#108|65#280,940001#36|65#34,btn_h_challenge_2,1940000
148,149,0,2,1102028,940001#111|65#290,940001#37|65#35,btn_h_challenge_2,2010000
149,150,0,2,1102029,940001#114|65#300,940001#38|65#36,btn_h_challenge_2,2080000
150,151,0,2,1102030,940001#117|65#310,940001#39|65#37,btn_h_challenge_2,2150000
151,152,0,2,1102031,940001#120|65#320,940001#40|65#38,btn_h_challenge_2,2220000
152,153,0,2,1102032,940001#123|65#330,940001#41|65#39,btn_h_challenge_2,2290000
153,154,0,2,1102033,940001#126|65#340,940001#42|65#40,btn_h_challenge_2,2360000
154,155,0,2,1102034,940001#129|65#350,940001#43|65#41,btn_h_challenge_2,2430000
155,156,0,2,1102035,940001#132|65#360,940001#44|65#42,btn_h_challenge_2,2500000
156,157,0,2,1102036,940001#135|65#370,940001#45|65#43,btn_h_challenge_2,2570000
157,158,0,2,1102037,940001#138|65#380,940001#46|65#44,btn_h_challenge_2,2640000
158,159,0,2,1102038,940001#141|65#390,940001#47|65#45,btn_h_challenge_2,2710000
159,160,0,2,1102039,940001#144|65#400,940001#48|65#46,btn_h_challenge_2,2780000
160,161,0,2,1102040,940001#147|65#410,940001#49|65#47,btn_h_challenge_2,2850000
161,162,0,2,1102041,940001#150|65#420,940001#50|65#48,btn_h_challenge_2,2920000
162,163,0,2,1102042,940001#153|65#430,940001#51|65#49,btn_h_challenge_2,2990000
163,164,0,2,1102043,940001#156|65#440,940001#52|65#50,btn_h_challenge_2,3060000
164,165,0,2,1102044,940001#159|65#450,940001#53|65#51,btn_h_challenge_2,3130000
165,166,0,2,1102045,940001#162|65#460,940001#54|65#52,btn_h_challenge_2,3200000
166,167,0,2,1102046,940001#165|65#470,940001#55|65#53,btn_h_challenge_2,3270000
167,168,0,2,1102047,940001#168|65#480,940001#56|65#54,btn_h_challenge_2,3340000
168,169,0,2,1102048,940001#171|65#490,940001#57|65#55,btn_h_challenge_2,3410000
169,170,0,2,1102049,940001#174|65#500,940001#58|65#56,btn_h_challenge_2,3480000
170,171,0,2,1102050,940001#177|65#510,940001#59|65#57,btn_h_challenge_2,3550000
171,172,0,2,1102051,940001#180|65#520,940001#60|65#58,btn_h_challenge_2,3620000
172,173,0,2,1102052,940001#183|65#530,940001#61|65#59,btn_h_challenge_2,3690000
173,174,0,2,1102053,940001#186|65#540,940001#62|65#60,btn_h_challenge_2,3760000
174,175,0,2,1102054,940001#189|65#550,940001#63|65#61,btn_h_challenge_2,3830000
175,176,0,2,1102055,940001#192|65#560,940001#64|65#62,btn_h_challenge_2,3900000
176,177,0,2,1102056,940001#195|65#570,940001#65|65#63,btn_h_challenge_2,3970000
177,178,0,2,1102057,940001#198|65#580,940001#66|65#64,btn_h_challenge_2,4040000
178,179,0,2,1102058,940001#201|65#590,940001#67|65#65,btn_h_challenge_2,4110000
179,180,0,2,1102059,940001#204|65#600,940001#68|65#66,btn_h_challenge_2,4180000
180,-1,0,2,1102060,940001#207|65#610,940001#69|65#67,btn_h_challenge_2,4250000
181,182,1,4,1104001,940001#30|65#20,940001#10|65#8,btn_h_challenge_4,100000
182,183,0,4,1104002,940001#33|65#30,940001#11|65#9,btn_h_challenge_4,200000
183,184,0,4,1104003,940001#36|65#40,940001#12|65#10,btn_h_challenge_4,300000
184,185,0,4,1104004,940001#39|65#50,940001#13|65#11,btn_h_challenge_4,300000
185,186,0,4,1104005,940001#42|65#60,940001#14|65#12,btn_h_challenge_4,400000
186,187,0,4,1104006,940001#45|65#70,940001#15|65#13,btn_h_challenge_4,470000
187,188,0,4,1104007,940001#48|65#80,940001#16|65#14,btn_h_challenge_4,540000
188,189,0,4,1104008,940001#51|65#90,940001#17|65#15,btn_h_challenge_4,610000
189,190,0,4,1104009,940001#54|65#100,940001#18|65#16,btn_h_challenge_4,680000
190,191,0,4,1104010,940001#57|65#110,940001#19|65#17,btn_h_challenge_4,750000
191,192,0,4,1104011,940001#60|65#120,940001#20|65#18,btn_h_challenge_4,820000
192,193,0,4,1104012,940001#63|65#130,940001#21|65#19,btn_h_challenge_4,890000
193,194,0,4,1104013,940001#66|65#140,940001#22|65#20,btn_h_challenge_4,960000
194,195,0,4,1104014,940001#69|65#150,940001#23|65#21,btn_h_challenge_4,1030000
195,196,0,4,1104015,940001#72|65#160,940001#24|65#22,btn_h_challenge_4,1100000
196,197,0,4,1104016,940001#75|65#170,940001#25|65#23,btn_h_challenge_4,1170000
197,198,0,4,1104017,940001#78|65#180,940001#26|65#24,btn_h_challenge_4,1240000
198,199,0,4,1104018,940001#81|65#190,940001#27|65#25,btn_h_challenge_4,1310000
199,200,0,4,1104019,940001#84|65#200,940001#28|65#26,btn_h_challenge_4,1380000
200,201,0,4,1104020,940001#87|65#210,940001#29|65#27,btn_h_challenge_4,1450000
201,202,0,4,1104021,940001#90|65#220,940001#30|65#28,btn_h_challenge_4,1520000
202,203,0,4,1104022,940001#93|65#230,940001#31|65#29,btn_h_challenge_4,1590000
203,204,0,4,1104023,940001#96|65#240,940001#32|65#30,btn_h_challenge_4,1660000
204,205,0,4,1104024,940001#99|65#250,940001#33|65#31,btn_h_challenge_4,1730000
205,206,0,4,1104025,940001#102|65#260,940001#34|65#32,btn_h_challenge_4,1800000
206,207,0,4,1104026,940001#105|65#270,940001#35|65#33,btn_h_challenge_4,1870000
207,208,0,4,1104027,940001#108|65#280,940001#36|65#34,btn_h_challenge_4,1940000
208,209,0,4,1104028,940001#111|65#290,940001#37|65#35,btn_h_challenge_4,2010000
209,210,0,4,1104029,940001#114|65#300,940001#38|65#36,btn_h_challenge_4,2080000
210,211,0,4,1104030,940001#117|65#310,940001#39|65#37,btn_h_challenge_4,2150000
211,212,0,4,1104031,940001#120|65#320,940001#40|65#38,btn_h_challenge_4,2220000
212,213,0,4,1104032,940001#123|65#330,940001#41|65#39,btn_h_challenge_4,2290000
213,214,0,4,1104033,940001#126|65#340,940001#42|65#40,btn_h_challenge_4,2360000
214,215,0,4,1104034,940001#129|65#350,940001#43|65#41,btn_h_challenge_4,2430000
215,216,0,4,1104035,940001#132|65#360,940001#44|65#42,btn_h_challenge_4,2500000
216,217,0,4,1104036,940001#135|65#370,940001#45|65#43,btn_h_challenge_4,2570000
217,218,0,4,1104037,940001#138|65#380,940001#46|65#44,btn_h_challenge_4,2640000
218,219,0,4,1104038,940001#141|65#390,940001#47|65#45,btn_h_challenge_4,2710000
219,220,0,4,1104039,940001#144|65#400,940001#48|65#46,btn_h_challenge_4,2780000
220,221,0,4,1104040,940001#147|65#410,940001#49|65#47,btn_h_challenge_4,2850000
221,222,0,4,1104041,940001#150|65#420,940001#50|65#48,btn_h_challenge_4,2920000
222,223,0,4,1104042,940001#153|65#430,940001#51|65#49,btn_h_challenge_4,2990000
223,224,0,4,1104043,940001#156|65#440,940001#52|65#50,btn_h_challenge_4,3060000
224,225,0,4,1104044,940001#159|65#450,940001#53|65#51,btn_h_challenge_4,3130000
225,226,0,4,1104045,940001#162|65#460,940001#54|65#52,btn_h_challenge_4,3200000
226,227,0,4,1104046,940001#165|65#470,940001#55|65#53,btn_h_challenge_4,3270000
227,228,0,4,1104047,940001#168|65#480,940001#56|65#54,btn_h_challenge_4,3340000
228,229,0,4,1104048,940001#171|65#490,940001#57|65#55,btn_h_challenge_4,3410000
229,230,0,4,1104049,940001#174|65#500,940001#58|65#56,btn_h_challenge_4,3480000
230,231,0,4,1104050,940001#177|65#510,940001#59|65#57,btn_h_challenge_4,3550000
231,232,0,4,1104051,940001#180|65#520,940001#60|65#58,btn_h_challenge_4,3620000
232,233,0,4,1104052,940001#183|65#530,940001#61|65#59,btn_h_challenge_4,3690000
233,234,0,4,1104053,940001#186|65#540,940001#62|65#60,btn_h_challenge_4,3760000
234,235,0,4,1104054,940001#189|65#550,940001#63|65#61,btn_h_challenge_4,3830000
235,236,0,4,1104055,940001#192|65#560,940001#64|65#62,btn_h_challenge_4,3900000
236,237,0,4,1104056,940001#195|65#570,940001#65|65#63,btn_h_challenge_4,3970000
237,238,0,4,1104057,940001#198|65#580,940001#66|65#64,btn_h_challenge_4,4040000
238,239,0,4,1104058,940001#201|65#590,940001#67|65#65,btn_h_challenge_4,4110000
239,240,0,4,1104059,940001#204|65#600,940001#68|65#66,btn_h_challenge_4,4180000
240,-1,0,4,1104060,940001#207|65#610,940001#69|65#67,btn_h_challenge_4,4250000
241,242,1,5,1105001,940001#30|66#20,940001#10|66#8,btn_h_challenge_5,100000
242,243,0,5,1105002,940001#33|66#30,940001#11|66#9,btn_h_challenge_5,200000
243,244,0,5,1105003,940001#36|66#40,940001#12|66#10,btn_h_challenge_5,300000
244,245,0,5,1105004,940001#39|66#50,940001#13|66#11,btn_h_challenge_5,300000
245,246,0,5,1105005,940001#42|66#60,940001#14|66#12,btn_h_challenge_5,400000
246,247,0,5,1105006,940001#45|66#70,940001#15|66#13,btn_h_challenge_5,470000
247,248,0,5,1105007,940001#48|66#80,940001#16|66#14,btn_h_challenge_5,540000
248,249,0,5,1105008,940001#51|66#90,940001#17|66#15,btn_h_challenge_5,610000
249,250,0,5,1105009,940001#54|66#100,940001#18|66#16,btn_h_challenge_5,680000
250,251,0,5,1105010,940001#57|66#110,940001#19|66#17,btn_h_challenge_5,750000
251,252,0,5,1105011,940001#60|66#120,940001#20|66#18,btn_h_challenge_5,820000
252,253,0,5,1105012,940001#63|66#130,940001#21|66#19,btn_h_challenge_5,890000
253,254,0,5,1105013,940001#66|66#140,940001#22|66#20,btn_h_challenge_5,960000
254,255,0,5,1105014,940001#69|66#150,940001#23|66#21,btn_h_challenge_5,1030000
255,256,0,5,1105015,940001#72|66#160,940001#24|66#22,btn_h_challenge_5,1100000
256,257,0,5,1105016,940001#75|66#170,940001#25|66#23,btn_h_challenge_5,1170000
257,258,0,5,1105017,940001#78|66#180,940001#26|66#24,btn_h_challenge_5,1240000
258,259,0,5,1105018,940001#81|66#190,940001#27|66#25,btn_h_challenge_5,1310000
259,260,0,5,1105019,940001#84|66#200,940001#28|66#26,btn_h_challenge_5,1380000
260,261,0,5,1105020,940001#87|66#210,940001#29|66#27,btn_h_challenge_5,1450000
261,262,0,5,1105021,940001#90|66#220,940001#30|66#28,btn_h_challenge_5,1520000
262,263,0,5,1105022,940001#93|66#230,940001#31|66#29,btn_h_challenge_5,1590000
263,264,0,5,1105023,940001#96|66#240,940001#32|66#30,btn_h_challenge_5,1660000
264,265,0,5,1105024,940001#99|66#250,940001#33|66#31,btn_h_challenge_5,1730000
265,266,0,5,1105025,940001#102|66#260,940001#34|66#32,btn_h_challenge_5,1800000
266,267,0,5,1105026,940001#105|66#270,940001#35|66#33,btn_h_challenge_5,1870000
267,268,0,5,1105027,940001#108|66#280,940001#36|66#34,btn_h_challenge_5,1940000
268,269,0,5,1105028,940001#111|66#290,940001#37|66#35,btn_h_challenge_5,2010000
269,270,0,5,1105029,940001#114|66#300,940001#38|66#36,btn_h_challenge_5,2080000
270,271,0,5,1105030,940001#117|66#310,940001#39|66#37,btn_h_challenge_5,2150000
271,272,0,5,1105031,940001#120|66#320,940001#40|66#38,btn_h_challenge_5,2220000
272,273,0,5,1105032,940001#123|66#330,940001#41|66#39,btn_h_challenge_5,2290000
273,274,0,5,1105033,940001#126|66#340,940001#42|66#40,btn_h_challenge_5,2360000
274,275,0,5,1105034,940001#129|66#350,940001#43|66#41,btn_h_challenge_5,2430000
275,276,0,5,1105035,940001#132|66#360,940001#44|66#42,btn_h_challenge_5,2500000
276,277,0,5,1105036,940001#135|66#370,940001#45|66#43,btn_h_challenge_5,2570000
277,278,0,5,1105037,940001#138|66#380,940001#46|66#44,btn_h_challenge_5,2640000
278,279,0,5,1105038,940001#141|66#390,940001#47|66#45,btn_h_challenge_5,2710000
279,280,0,5,1105039,940001#144|66#400,940001#48|66#46,btn_h_challenge_5,2780000
280,281,0,5,1105040,940001#147|66#410,940001#49|66#47,btn_h_challenge_5,2850000
281,282,0,5,1105041,940001#150|66#420,940001#50|66#48,btn_h_challenge_5,2920000
282,283,0,5,1105042,940001#153|66#430,940001#51|66#49,btn_h_challenge_5,2990000
283,284,0,5,1105043,940001#156|66#440,940001#52|66#50,btn_h_challenge_5,3060000
284,285,0,5,1105044,940001#159|66#450,940001#53|66#51,btn_h_challenge_5,3130000
285,286,0,5,1105045,940001#162|66#460,940001#54|66#52,btn_h_challenge_5,3200000
286,287,0,5,1105046,940001#165|66#470,940001#55|66#53,btn_h_challenge_5,3270000
287,288,0,5,1105047,940001#168|66#480,940001#56|66#54,btn_h_challenge_5,3340000
288,289,0,5,1105048,940001#171|66#490,940001#57|66#55,btn_h_challenge_5,3410000
289,290,0,5,1105049,940001#174|66#500,940001#58|66#56,btn_h_challenge_5,3480000
290,291,0,5,1105050,940001#177|66#510,940001#59|66#57,btn_h_challenge_5,3550000
291,292,0,5,1105051,940001#180|66#520,940001#60|66#58,btn_h_challenge_5,3620000
292,293,0,5,1105052,940001#183|66#530,940001#61|66#59,btn_h_challenge_5,3690000
293,294,0,5,1105053,940001#186|66#540,940001#62|66#60,btn_h_challenge_5,3760000
294,295,0,5,1105054,940001#189|66#550,940001#63|66#61,btn_h_challenge_5,3830000
295,296,0,5,1105055,940001#192|66#560,940001#64|66#62,btn_h_challenge_5,3900000
296,297,0,5,1105056,940001#195|66#570,940001#65|66#63,btn_h_challenge_5,3970000
297,298,0,5,1105057,940001#198|66#580,940001#66|66#64,btn_h_challenge_5,4040000
298,299,0,5,1105058,940001#201|66#590,940001#67|66#65,btn_h_challenge_5,4110000
299,300,0,5,1105059,940001#204|66#600,940001#68|66#66,btn_h_challenge_5,4180000
300,-1,0,5,1105060,940001#207|66#610,940001#69|66#67,btn_h_challenge_5,4250000
301,302,1,6,1106001,940001#30|66#20,940001#10|66#8,btn_h_challenge_6,100000
302,303,0,6,1106002,940001#33|66#30,940001#11|66#9,btn_h_challenge_6,200000
303,304,0,6,1106003,940001#36|66#40,940001#12|66#10,btn_h_challenge_6,300000
304,305,0,6,1106004,940001#39|66#50,940001#13|66#11,btn_h_challenge_6,300000
305,306,0,6,1106005,940001#42|66#60,940001#14|66#12,btn_h_challenge_6,400000
306,307,0,6,1106006,940001#45|66#70,940001#15|66#13,btn_h_challenge_6,470000
307,308,0,6,1106007,940001#48|66#80,940001#16|66#14,btn_h_challenge_6,540000
308,309,0,6,1106008,940001#51|66#90,940001#17|66#15,btn_h_challenge_6,610000
309,310,0,6,1106009,940001#54|66#100,940001#18|66#16,btn_h_challenge_6,680000
310,311,0,6,1106010,940001#57|66#110,940001#19|66#17,btn_h_challenge_6,750000
