id,monster_id,boss_id,map_awards,place_id
42,10206|10207|10208|10209|10210,20042,1210107,10|11|12|13|14|15|16|17|18|20
43,10211|10212|10213|10214|10215,20043,1210107,11|12|13|14|15|16|17|18|19|21
44,10216|10217|10218|10219|10220,20044,1210107,12|13|14|15|16|17|18|19|20|22
45,10221|10222|10223|10224|10225,20045,1210107,13|14|15|16|17|18|19|20|21|23
46,10226|10227|10228|10229|10230,20046,1210107,14|15|16|17|18|19|20|21|22|24
47,10231|10232|10233|10234|10235,20047,1210107,15|16|17|18|19|20|21|22|23|25
48,10236|10237|10238|10239|10240,20048,1210107,16|17|18|19|20|21|22|23|24|26
49,10241|10242|10243|10244|10245,20049,1210107,17|18|19|20|21|22|23|24|25|27
50,10246|10247|10248|10249|10250,20050,1210107,18|19|20|21|22|23|24|25|26|28
51,10251|10252|10253|10254|10255,20051,1210108,19|20|21|22|23|24|25|26|27|29
52,10256|10257|10258|10259|10260,20052,1210108,20|21|22|23|24|25|26|27|28|30
53,10261|10262|10263|10264|10265,20053,1210108,21|22|23|24|25|26|27|28|29|30
54,10266|10267|10268|10269|10270,20054,1210108,2|3|4|5|6|7|8|9|11
55,10271|10272|10273|10274|10275,20055,1210108,11|12|13|14|15|16|17|18|19|21
56,10276|10277|10278|10279|10280,20056,1210108,21|22|23|24|25|26|27|28|29|30
57,10281|10282|10283|10284|10285,20057,1210108,2|3|4|5|6|7|8|9|10|12
58,10286|10287|10288|10289|10290,20058,1210108,3|4|5|6|7|8|9|10|11|13
59,10291|10292|10293|10294|10295,20059,1210108,4|5|6|7|8|9|10|11|12|14
60,10296|10297|10298|10299|10300,20060,1210108,5|6|7|8|9|10|11|12|13|15
61,10301|10302|10303|10304|10305,20061,1210108,2|3|4|5|6|7|8|9|12
62,10306|10307|10308|10309|10310,20062,1210108,11|12|13|14|15|16|17|18|19|22
63,10311|10312|10313|10314|10315,20063,1210108,21|22|23|24|25|26|27|28|29|30
64,10316|10317|10318|10319|10320,20064,1210108,2|3|4|5|6|7|8|9|10|13
65,10321|10322|10323|10324|10325,20065,1210108,3|4|5|6|7|8|9|10|11|14
66,10326|10327|10328|10329|10330,20066,1210108,4|5|6|7|8|9|10|11|12|15
67,10331|10332|10333|10334|10335,20067,1210108,5|6|7|8|9|10|11|12|13|16
68,10336|10337|10338|10339|10340,20068,1210108,6|7|8|9|10|11|12|13|14|17
69,10341|10342|10343|10344|10345,20069,1210108,7|8|9|10|11|12|13|14|15|18
70,10346|10347|10348|10349|10350,20070,1210108,8|9|10|11|12|13|14|15|16|19
71,10351|10352|10353|10354|10355,20071,1210108,9|10|11|12|13|14|15|16|17|20
72,10356|10357|10358|10359|10360,20072,1210108,10|11|12|13|14|15|16|17|18|21
73,10361|10362|10363|10364|10365,20073,1210108,11|12|13|14|15|16|17|18|19|22
74,10366|10367|10368|10369|10370,20074,1210108,12|13|14|15|16|17|18|19|20|23
75,10371|10372|10373|10374|10375,20075,1210108,13|14|15|16|17|18|19|20|21|24
76,10376|10377|10378|10379|10380,20076,1210108,14|15|16|17|18|19|20|21|22|25
77,10381|10382|10383|10384|10385,20077,1210108,15|16|17|18|19|20|21|22|23|26
78,10386|10387|10388|10389|10390,20078,1210108,16|17|18|19|20|21|22|23|24|27
79,10391|10392|10393|10394|10395,20079,1210108,17|18|19|20|21|22|23|24|25|28
80,10396|10397|10398|10399|10400,20080,1210108,18|19|20|21|22|23|24|25|26|29
81,10401|10402|10403|10404|10405,20081,1210108,19|20|21|22|23|24|25|26|27|30
82,10406|10407|10408|10409|10410,20082,1210108,20|21|22|23|24|25|26|27|28|30
83,10411|10412|10413|10414|10415,20083,1210108,21|22|23|24|25|26|27|28|29|30
84,10416|10417|10418|10419|10420,20084,1210108,2|3|4|5|6|7|8|9|12
85,10421|10422|10423|10424|10425,20085,1210108,11|12|13|14|15|16|17|18|19|22
86,10426|10427|10428|10429|10430,20086,1210108,21|22|23|24|25|26|27|28|29|30
87,10431|10432|10433|10434|10435,20087,1210108,2|3|4|5|6|7|8|9|10|13
88,10436|10437|10438|10439|10440,20088,1210108,3|4|5|6|7|8|9|10|11|14
89,10441|10442|10443|10444|10445,20089,1210108,4|5|6|7|8|9|10|11|12|15
90,10446|10447|10448|10449|10450,20090,1210108,5|6|7|8|9|10|11|12|13|16
91,10451|10452|10453|10454|10455,20091,1210108,2|3|4|5|6|7|8|9|13
92,10456|10457|10458|10459|10460,20092,1210108,11|12|13|14|15|16|17|18|19|23
93,10461|10462|10463|10464|10465,20093,1210108,21|22|23|24|25|26|27|28|29|30
94,10466|10467|10468|10469|10470,20094,1210108,2|3|4|5|6|7|8|9|10|14
95,10471|10472|10473|10474|10475,20095,1210108,3|4|5|6|7|8|9|10|11|15
96,10476|10477|10478|10479|10480,20096,1210108,4|5|6|7|8|9|10|11|12|16
97,10481|10482|10483|10484|10485,20097,1210108,5|6|7|8|9|10|11|12|13|17
98,10486|10487|10488|10489|10490,20098,1210108,6|7|8|9|10|11|12|13|14|18
99,10491|10492|10493|10494|10495,20099,1210108,7|8|9|10|11|12|13|14|15|19
100,10496|10497|10498|10499|10500,20100,1210108,8|9|10|11|12|13|14|15|16|20
101,10501|10502|10503|10504|10505,20101,1210108,9|10|11|12|13|14|15|16|17|21
102,10506|10507|10508|10509|10510,20102,1210108,10|11|12|13|14|15|16|17|18|22
103,10511|10512|10513|10514|10515,20103,1210108,11|12|13|14|15|16|17|18|19|23
104,10516|10517|10518|10519|10520,20104,1210108,12|13|14|15|16|17|18|19|20|24
105,10521|10522|10523|10524|10525,20105,1210108,13|14|15|16|17|18|19|20|21|25
106,10526|10527|10528|10529|10530,20106,1210108,14|15|16|17|18|19|20|21|22|26
107,10531|10532|10533|10534|10535,20107,1210108,15|16|17|18|19|20|21|22|23|27
108,10536|10537|10538|10539|10540,20108,1210108,16|17|18|19|20|21|22|23|24|28
109,10541|10542|10543|10544|10545,20109,1210108,17|18|19|20|21|22|23|24|25|29
110,10546|10547|10548|10549|10550,20110,1210108,18|19|20|21|22|23|24|25|26|30
111,10551|10552|10553|10554|10555,20111,1210108,19|20|21|22|23|24|25|26|27|30
112,10556|10557|10558|10559|10560,20112,1210108,20|21|22|23|24|25|26|27|28|30
113,10561|10562|10563|10564|10565,20113,1210108,21|22|23|24|25|26|27|28|29|30
114,10566|10567|10568|10569|10570,20114,1210108,2|3|4|5|6|7|8|9|13
115,10571|10572|10573|10574|10575,20115,1210108,11|12|13|14|15|16|17|18|19|23
116,10576|10577|10578|10579|10580,20116,1210108,21|22|23|24|25|26|27|28|29|30
117,10581|10582|10583|10584|10585,20117,1210108,2|3|4|5|6|7|8|9|10|14
118,10586|10587|10588|10589|10590,20118,1210108,3|4|5|6|7|8|9|10|11|15
119,10591|10592|10593|10594|10595,20119,1210108,4|5|6|7|8|9|10|11|12|16
120,10596|10597|10598|10599|10600,20120,1210108,5|6|7|8|9|10|11|12|13|17
121,10601|10602|10603|10604|10605,20121,1210108,2|3|4|5|6|7|8|9|14
122,10606|10607|10608|10609|10610,20122,1210108,11|12|13|14|15|16|17|18|19|24
123,10611|10612|10613|10614|10615,20123,1210108,21|22|23|24|25|26|27|28|29|30
124,10616|10617|10618|10619|10620,20124,1210108,2|3|4|5|6|7|8|9|10|15
125,10621|10622|10623|10624|10625,20125,1210108,3|4|5|6|7|8|9|10|11|16
126,10626|10627|10628|10629|10630,20126,1210108,4|5|6|7|8|9|10|11|12|17
127,10631|10632|10633|10634|10635,20127,1210108,5|6|7|8|9|10|11|12|13|18
128,10636|10637|10638|10639|10640,20128,1210108,6|7|8|9|10|11|12|13|14|19
129,10641|10642|10643|10644|10645,20129,1210108,7|8|9|10|11|12|13|14|15|20
130,10646|10647|10648|10649|10650,20130,1210108,8|9|10|11|12|13|14|15|16|21
131,10651|10652|10653|10654|10655,20131,1210108,9|10|11|12|13|14|15|16|17|22
132,10656|10657|10658|10659|10660,20132,1210108,10|11|12|13|14|15|16|17|18|23
133,10661|10662|10663|10664|10665,20133,1210108,11|12|13|14|15|16|17|18|19|24
134,10666|10667|10668|10669|10670,20134,1210108,12|13|14|15|16|17|18|19|20|25
135,10671|10672|10673|10674|10675,20135,1210108,13|14|15|16|17|18|19|20|21|26
136,10676|10677|10678|10679|10680,20136,1210108,14|15|16|17|18|19|20|21|22|27
137,10681|10682|10683|10684|10685,20137,1210108,15|16|17|18|19|20|21|22|23|28
138,10686|10687|10688|10689|10690,20138,1210108,16|17|18|19|20|21|22|23|24|29
139,10691|10692|10693|10694|10695,20139,1210108,17|18|19|20|21|22|23|24|25|30
140,10696|10697|10698|10699|10700,20140,1210108,18|19|20|21|22|23|24|25|26|30
141,10701|10702|10703|10704|10705,20141,1210108,19|20|21|22|23|24|25|26|27|30
142,10706|10707|10708|10709|10710,20142,1210108,20|21|22|23|24|25|26|27|28|30
143,10711|10712|10713|10714|10715,20143,1210108,21|22|23|24|25|26|27|28|29|30
144,10716|10717|10718|10719|10720,20144,1210108,2|3|4|5|6|7|8|9|14
145,10721|10722|10723|10724|10725,20145,1210108,11|12|13|14|15|16|17|18|19|24
146,10726|10727|10728|10729|10730,20146,1210108,21|22|23|24|25|26|27|28|29|30
147,10731|10732|10733|10734|10735,20147,1210108,2|3|4|5|6|7|8|9|10|15
148,10736|10737|10738|10739|10740,20148,1210108,3|4|5|6|7|8|9|10|11|16
149,10741|10742|10743|10744|10745,20149,1210108,4|5|6|7|8|9|10|11|12|17
150,10746|10747|10748|10749|10750,20150,1210108,5|6|7|8|9|10|11|12|13|18
151,10751|10752|10753|10754|10755,20151,1210108,2|3|4|5|6|7|8|9|15
152,10756|10757|10758|10759|10760,20152,1210108,11|12|13|14|15|16|17|18|19|25
153,10761|10762|10763|10764|10765,20153,1210108,21|22|23|24|25|26|27|28|29|30
154,10766|10767|10768|10769|10770,20154,1210108,2|3|4|5|6|7|8|9|10|16
155,10771|10772|10773|10774|10775,20155,1210108,3|4|5|6|7|8|9|10|11|17
156,10776|10777|10778|10779|10780,20156,1210108,4|5|6|7|8|9|10|11|12|18
157,10781|10782|10783|10784|10785,20157,1210108,5|6|7|8|9|10|11|12|13|19
158,10786|10787|10788|10789|10790,20158,1210108,6|7|8|9|10|11|12|13|14|20
159,10791|10792|10793|10794|10795,20159,1210108,7|8|9|10|11|12|13|14|15|21
160,10796|10797|10798|10799|10800,20160,1210108,8|9|10|11|12|13|14|15|16|22
161,10801|10802|10803|10804|10805,20161,1210108,9|10|11|12|13|14|15|16|17|23
162,10806|10807|10808|10809|10810,20162,1210108,10|11|12|13|14|15|16|17|18|24
163,10811|10812|10813|10814|10815,20163,1210108,11|12|13|14|15|16|17|18|19|25
164,10816|10817|10818|10819|10820,20164,1210108,12|13|14|15|16|17|18|19|20|26
165,10821|10822|10823|10824|10825,20165,1210108,13|14|15|16|17|18|19|20|21|27
166,10826|10827|10828|10829|10830,20166,1210108,14|15|16|17|18|19|20|21|22|28
167,10831|10832|10833|10834|10835,20167,1210108,15|16|17|18|19|20|21|22|23|29
168,10836|10837|10838|10839|10840,20168,1210108,16|17|18|19|20|21|22|23|24|30
169,10841|10842|10843|10844|10845,20169,1210108,17|18|19|20|21|22|23|24|25|30
170,10846|10847|10848|10849|10850,20170,1210108,18|19|20|21|22|23|24|25|26|30
171,10851|10852|10853|10854|10855,20171,1210108,19|20|21|22|23|24|25|26|27|30
172,10856|10857|10858|10859|10860,20172,1210108,20|21|22|23|24|25|26|27|28|30
173,10861|10862|10863|10864|10865,20173,1210108,21|22|23|24|25|26|27|28|29|30
174,10866|10867|10868|10869|10870,20174,1210108,2|3|4|5|6|7|8|9|15
175,10871|10872|10873|10874|10875,20175,1210108,11|12|13|14|15|16|17|18|19|25
176,10876|10877|10878|10879|10880,20176,1210108,21|22|23|24|25|26|27|28|29|30
177,10881|10882|10883|10884|10885,20177,1210108,2|3|4|5|6|7|8|9|10|16
178,10886|10887|10888|10889|10890,20178,1210108,3|4|5|6|7|8|9|10|11|17
179,10891|10892|10893|10894|10895,20179,1210108,4|5|6|7|8|9|10|11|12|18
180,10896|10897|10898|10899|10900,20180,1210108,5|6|7|8|9|10|11|12|13|19
181,10901|10902|10903|10904|10905,20181,1210108,2|3|4|5|6|7|8|9|16
182,10906|10907|10908|10909|10910,20182,1210108,11|12|13|14|15|16|17|18|19|26
183,10911|10912|10913|10914|10915,20183,1210108,21|22|23|24|25|26|27|28|29|30
184,10916|10917|10918|10919|10920,20184,1210108,2|3|4|5|6|7|8|9|10|17
185,10921|10922|10923|10924|10925,20185,1210108,3|4|5|6|7|8|9|10|11|18
186,10926|10927|10928|10929|10930,20186,1210108,4|5|6|7|8|9|10|11|12|19
187,10931|10932|10933|10934|10935,20187,1210108,5|6|7|8|9|10|11|12|13|20
188,10936|10937|10938|10939|10940,20188,1210108,6|7|8|9|10|11|12|13|14|21
189,10941|10942|10943|10944|10945,20189,1210108,7|8|9|10|11|12|13|14|15|22
190,10946|10947|10948|10949|10950,20190,1210108,8|9|10|11|12|13|14|15|16|23
191,10951|10952|10953|10954|10955,20191,1210108,9|10|11|12|13|14|15|16|17|24
192,10956|10957|10958|10959|10960,20192,1210108,10|11|12|13|14|15|16|17|18|25
193,10961|10962|10963|10964|10965,20193,1210108,11|12|13|14|15|16|17|18|19|26
194,10966|10967|10968|10969|10970,20194,1210108,12|13|14|15|16|17|18|19|20|27
195,10971|10972|10973|10974|10975,20195,1210108,13|14|15|16|17|18|19|20|21|28
196,10976|10977|10978|10979|10980,20196,1210108,14|15|16|17|18|19|20|21|22|29
197,10981|10982|10983|10984|10985,20197,1210108,15|16|17|18|19|20|21|22|23|30
198,10986|10987|10988|10989|10990,20198,1210108,16|17|18|19|20|21|22|23|24|30
199,10991|10992|10993|10994|10995,20199,1210108,17|18|19|20|21|22|23|24|25|30
200,10996|10997|10998|10999|11000,20200,1210108,18|19|20|21|22|23|24|25|26|30
