id,next_id,fort_first,fort_id,type,is_puzzle,box_id,skill_ids,initial_partner,battle_id,reward1,reward2,plot_id,memory_plot_id,chapter_icon,fort_img,is_activity
94,95,0,10,,,1001,,,801004,43#40,1#1|2#1,#3750#3777,3750|3777,hero_challenge_29,,
95,96,0,10,,,1001,,,801005,29#1,3#1,#3787#3804,3787|3804,hero_challenge_28,,
96,97,0,10,,,1001,,,801006,10#500,1#2,#3835#3865,3835|3865,hero_challenge_7,,
97,98,0,10,,,1001,,,801007,940025#30,1#1|2#1,#3868,3868,hero_challenge_30,,
98,99,0,10,,,1001,,,801008,20#1,1#2,#3878#3886,3878|3886,hero_challenge_30,,
99,100,0,10,,,1001,,,801009,940002#15,1#2,#3910#3916,3910|3916,hero_challenge_30,,
100,-1,0,10,,,1001,,,801010,2000038#1,,#3925#3937,3925|3937,hero_challenge_22,,
101,102,1,11,1,,1001,,20068,801101,43#10,1#3,#3975#4007,3975|4007,hero_challenge_28,btn_h_challenge_11,
102,103,0,11,,,1001,,,801102,36#1,1#1|2#1,#4012,4012,hero_challenge_2,,
103,104,0,11,,,1001,,,801103,14#350,1#3,#4059,4059,hero_challenge_2,,
104,105,0,11,,,1001,,,801104,43#40,1#1|2#1,#4096#4108,4096|4108,hero_challenge_28,,
105,106,0,11,,,1001,,,801105,29#1,3#1,#4120,4120,hero_challenge_28,,
106,107,0,11,,,1001,,,801106,10#500,1#2,#4143#4150,4143|4150,hero_challenge_7,,
107,108,0,11,,,1001,,,801107,940022#30,1#1|2#1,#4167#4187,4167|4187,hero_challenge_7,,
108,109,0,11,,,1001,,,801108,20#1,1#2,#4203,4203,hero_challenge_22,,
109,110,0,11,,,1001,,,801109,940012#10,1#2,#4234,4234,hero_challenge_23,,
110,-1,0,11,,,1001,,,801110,36#10,,#4265,4265,hero_challenge_28,,
111,112,1,12,1,,1002,,20075,801201,43#10,1#3,#4274#4306,4274|4306,hero_challenge_25,btn_h_challenge_12,
112,113,0,12,,,1002,,,801202,36#1,1#1|2#1,#4320#4325,4320|4325,hero_challenge_31,,
113,114,0,12,,,1002,,,801203,14#350,1#3,#4344#4399,4344|4399,hero_challenge_32,,
114,115,0,12,,,1002,,,801204,43#40,1#1|2#1,#4401,4401,hero_challenge_33,,
115,116,0,12,,,1002,12002,,801205,29#1,3#1,#4442#4450,4442|4450,hero_challenge_33,,
116,117,0,12,,,1002,12001|12002,,801206,10#500,1#2,#4468,4468,hero_challenge_31,,
117,118,0,12,,,1002,12004|12002,,801207,940024#30,1#1|2#1,#4485#4497,4485|4497,hero_challenge_31,,
118,119,0,12,,,1002,12005|12006,,801208,20#1,1#2,#4520#4527,4520|4527,hero_challenge_31,,
119,120,0,12,,,1002,12007|12006,,801209,940014#10,1#2,#4549#4572,4549|4572,hero_challenge_31,,
120,-1,0,12,,,1002,12008|12006,,801210,9115#1,,#4588#4618,4588|4618,hero_challenge_7,,
