id,name,partner_card,partner_picture,partner_picture_xy,partner_picture_xy2,partner_picture_scale,star_picture_xy,star_picture_scale,partner_id,face,show_in_guide,dragon_bone,is_wedding,share_picture_xy,share_picture_scale,hand_type,show_by_camera,show_scale,show_scale_special
22004,-1,partner_card_22004,partner_picture_22004,0|0,0|-20,1,0|0,0.8,,,,,,599#745,0.9,1,,1,
23001,-1,partner_card_23001,partner_picture_23001,0|0,0|10,1,0|0,0.8,,,,,,1006#681,0.9,1,,1,
23002,-1,partner_card_23002,partner_picture_23002,0|120,0|140,1,0|120,0.8,,,,,,508#552,0.9,1,,1,
23003,-1,partner_card_23003,partner_picture_23003,80|160,80|180,1,80|160,0.8,,,,,,932#519,0.9,1,,1,
23004,-1,partner_card_23004,partner_picture_23004,40|150,40|160,1,40|150,0.8,,,,,,505#556,0.8,1,,1,
24001,-1,partner_card_24001,partner_picture_24001,0|370,0|370,1,0|370,0.8,,,,,,1107#341,0.9,1,,1,
24002,-1,partner_card_24002,partner_picture_24002,0|10,0|10,1,0|10,0.8,,,,,,515#199,0.9,2,,1,
24003,-1,partner_card_24003,partner_picture_24003,0|0,0|0,1,0|0,0.8,,,,,,527#731,0.9,2,,1,
24004,-1,partner_card_24004,partner_picture_24004,0|100,0|60,1,0|100,0.8,,,,,,1059#571,0.9,1,,1,
31001,-1,partner_card_31001,partner_picture_31001,0|15,0|15,1,0|15,0.8,,,,,,504#703,0.9,1,,1,
31002,-1,partner_card_31002,partner_picture_31002,0|0,0|0,1,0|0,0.8,,,,,,1042#725,0.9,1,,1,
31003,-1,partner_card_31003,partner_picture_31003,-30|0,-30|-15,1,-30|0,0.8,,,,,,510#715,0.9,2,,1,
31004,-1,partner_card_31004,partner_picture_31004,0|-30,0|-30,1,0|-30,0.8,,,,,,450#351,0.8,1,,1,
31005,-1,partner_card_31005,partner_picture_31005,0|130,0|130,1,0|130,0.8,,,,,,1054#764,0.9,1,,1,
32001,-1,partner_card_32001,partner_picture_32001,0|0,0|5,1,0|0,0.8,,,,,,499#677,0.9,1,,1,
32002,-1,partner_card_32002,partner_picture_32002,0|0,0|0,1,0|0,0.8,,,,,,482#706,0.9,2,,1,
32003,-1,partner_card_32003,partner_picture_32003,100|160,100|160,1,100|160,0.8,,,,,,402#576,0.9,1,,1,
32004,-1,partner_card_32004,partner_picture_32004,-40|240,-40|240,1,-40|240,0.8,,,,,,453#590,0.9,1,,1,
32005,-1,partner_card_32005,partner_picture_32005,0|0,0|-5,1,0|0,0.8,,,,,,434#721,0.9,1,,1,
33001,-1,partner_card_33001,partner_picture_33001,40|0,40|0,1,40|0,0.8,,,,,,950#739,0.9,2,,1,
33002,-1,partner_card_33002,partner_picture_33002,0|0,0|15,1,0|0,0.8,,,,,,465#691,0.9,1,,1,
33003,-1,partner_card_33003,partner_picture_33003,0|30,0|30,1,0|30,0.8,,,,,,1034#577,0.9,1,,1,
33004,-1,partner_card_33004,partner_picture_33004,0|0,0|15,1,0|0,0.8,,,,,,493#220,0.8,1,,1,
33005,-1,partner_card_33005,partner_picture_33005,0|0,0|10,1,0|0,0.8,,,,,,570#722,0.8,1,,1,
34001,-1,partner_card_34001,partner_picture_34001,0|0,0|0,1,0|0,0.8,,,,,,498#732,0.9,1,,1,
34002,-1,partner_card_34002,partner_picture_34002,0|0,0|-5,1,0|0,0.8,,,,,,535#738,0.9,1,,1,
34003,-1,partner_card_34003,partner_picture_34003,0|30,0|30,1,0|30,0.8,,,,,,512#664,0.9,2,,1,
34004,-1,partner_card_34004,partner_picture_34004,0|-30,0|-30,1,0|-30,0.8,,,,,,536#769,0.9,1,,1,
34005,-1,partner_card_34005,partner_picture_34005,0|0,0|0,1,0|0,0.8,,,,,,1051#729,0.9,1,,1,
35001,-1,partner_card_35001,partner_picture_35001,0|150,0|150,1,0|150,0.8,,,,,,520#576,0.9,1,,1,
36001,-1,partner_card_36001,partner_picture_36001,0|0,0|3,1,0|0,0.8,,,,,,572#682,0.9,1,,1,
41001,-1,partner_card_41001,partner_picture_41001,0|0,100|0,1,0|0,0.8,,,,,,487#245,0.9,1,,1,
41002,-1,partner_card_41002,partner_picture_41002,10|60,10|80,0.95,10|60,0.8,,,,,,562#612,0.9,1,,1,
41003,-1,partner_card_41003,partner_picture_41003,0|0,0|0,1,0|0,0.8,,,,,,477#780,0.9,1,,1,
41004,-1,partner_card_41004,partner_picture_41004,0|20,0|30,0.95,0|20,0.8,,,,,,1110#659,0.9,2,,1,
41005,-1,partner_card_41005,partner_picture_41005,0|0,0|10,1,0|0,0.8,,,,,,564#676,0.9,2,,1,
41006,-1,partner_card_41006,partner_picture_41006,-10|70,-10|70,0.95,20|100,0.8,,,,,,579#769,0.9,1,,1,
41007,-1,partner_card_41007,partner_picture_41007,-30|-40,-30|-40,1,-30|-40,0.8,,,,,,561#749,0.9,2,,1,
41008,-1,partner_card_41008,partner_picture_41008,0|120,0|120,1,0|120,0.8,,,,,,1054#584,0.9,1,,1,
42001,-1,partner_card_42001,partner_picture_42001,0|-30,0|-40,1,0|-30,0.8,,,,,,1013#775,0.9,2,,1,
42002,-1,partner_card_42002,partner_picture_42002,0|0,0|10,1,0|0,0.8,,,,,,1052#719,0.8,1,,1,
42003,-1,partner_card_42003,partner_picture_42003,0|50,0|50,1,0|50,0.8,,,,,,550#669,0.9,1,,1,
42004,-1,partner_card_42004,partner_picture_42004,0|0,0|10,1,0|0,0.8,,,,,,1084#724,0.8,1,,1,
42005,-1,partner_card_42005,partner_picture_42005,5|215,5|215,1,5|215,0.8,,,,,,499#727,0.9,1,,1,
42006,-1,partner_card_42006,partner_picture_42006,0|0,0|0,1,0|0,0.8,,,,,,505#716,0.9,1,,1,
42007,-1,partner_card_42007,partner_picture_42007,-70|160,-70|160,1,-70|160,0.8,,,,,,565#710,0.9,1,,1,
42008,-1,partner_card_42008,partner_picture_42008,-100|410,-100|410,1.25,-100|410,1,,,,,,1060#264,1.25,1,,1.25,
43001,-1,partner_card_43001,partner_picture_43001,0|0,0|0,1,0|0,0.8,,,,,,526#227,0.9,2,,1,
43002,-1,partner_card_43002,partner_picture_43002,0|0,0|0,1,0|0,0.8,,,,,,526#749,0.9,2,,1,
43003,-1,partner_card_43003,partner_picture_43003,0|0,0|10,1,0|0,0.8,,,,,,562#707,0.85,2,,1,
43004,-1,partner_card_43004,partner_picture_43004,0|0,0|-5,1,0|0,0.8,,,,,,1019#702,0.9,1,,1,
43005,-1,partner_card_43005,partner_picture_43005,0|0,0|-5,1,0|0,0.8,,,,,,471#747,0.9,1,,1,
43006,-1,partner_card_43006,partner_picture_43006,0|0,0|10,1,0|0,0.8,,,,,,1031#683,0.9,1,,1,
43007,-1,partner_card_43007,partner_picture_43007,0|0,0|0,1,0|0,0.8,,,,,,414#740,0.9,1,,1,
43008,-1,partner_card_43008,partner_picture_43008,0|0,0|0,1,0|0,0.8,,,,,,1004#711,0.9,1,,1,
44001,-1,partner_card_44001,partner_picture_44001,0|0,0|10,1,0|0,0.8,,,,,,500#715,0.85,1,,1,
44002,-1,partner_card_44002,partner_picture_44002,0|0,0|-5,1,0|0,0.8,,,,,,589#741,0.9,2,,1,
44003,-1,partner_card_44003,partner_picture_44003,0|0,0|-10,1,0|0,0.8,,,,,,406#767,0.9,2,,1,
44004,-1,partner_card_44004,partner_picture_44004,0|0,0|-5,1,0|0,0.8,,,,,,526#730,0.9,2,,1,
44005,-1,partner_card_44005,partner_picture_44005,0|0,0|0,1,0|0,0.8,,,,,,526#678,0.9,2,,1,
44006,-1,partner_card_44006,partner_picture_44006,0|0,0|0,1,0|0,0.8,,,,,,551#737,0.9,1,,1,
44007,-1,partner_card_44007,partner_picture_44007,0|280,0|280,1,0|280,0.8,,,,,,1007#382,0.9,2,,1,
44008,-1,partner_card_44008,partner_picture_44008,0|0,0|0,1,0|0,0.8,,,,,,559#753,0.8,1,,1,
45001,-1,partner_card_45001,partner_picture_45001,0|0,0|0,0.95,0|0,0.8,,,,,,478#741,0.8,2,,1,
45002,-1,partner_card_45002,partner_picture_45002,0|200,0|185,1,0|200,0.8,,,,,,960#530,0.9,1,,1,
45003,-1,partner_card_45003,partner_picture_45003,0|50,0|50,1,0|50,0.8,,,,,,552#712,0.85,2,,1,
46001,-1,partner_card_46001,partner_picture_46001,-80|80,-80|80,1,-80|80,0.8,,,,,,1012#614,0.9,1,,1,
46002,-1,partner_card_46002,partner_picture_46002,115|-25,115|-25,1,115|-25,0.8,,,,,,1003#697,0.9,1,,1,
46003,-1,partner_card_46003,partner_picture_46003,30|230,30|230,1,30|230,0.8,,,,,,1002#516,0.9,1,,1,
51001,-1,partner_card_51001,partner_picture_51001,0|150,0|150,0.8,0|150,0.8,,,,,,1101#644,0.8,1,,0.8,
51002,-1,partner_card_51002,partner_picture_51002,0|210,0|210,1,0|210,0.8,,,,,,1060#499,0.9,1,,1,
51003,-1,partner_card_51003,partner_picture_51003,0|0,0|0,1,0|0,0.8,,,,,,1008#711,0.9,1,,1,
51004,-1,partner_card_51004,partner_picture_51004,0|-60,0|-60,1,0|-60,0.8,,,,,,523#815,0.9,2,,1,
51005,-1,partner_card_51005,partner_picture_51005,0|0,0|10,1,0|0,0.8,,,,,,1054#660,0.85,1,,1,
51006,-1,partner_card_51006,partner_picture_51006,0|0,0|-10,1,0|0,0.8,,,,,,1067#788,1,1,,1,
51007,-1,partner_card_51007,partner_picture_51007,0|0,0|0,1,0|0,0.8,,,,,,526#769,0.9,2,,1,
51008,-1,partner_card_51008,partner_picture_51008,0|250,0|250,0.8,0|250,0.8,,,,,,524#687,0.8,1,,0.8,
51009,-1,partner_card_51009,partner_picture_51009,0|100,0|100,1,0|100,0.8,,,,,,973#599,0.9,1,,1,
51010,-1,partner_card_51010,partner_picture_51010,0|100,0|5,1,0|100,0.8,,,,,,536#703,0.9,2,,1,
51011,-1,partner_card_51011,partner_picture_51011,-20|0,-20|0,1,-20|0,0.8,,,,,,524#748,0.9,2,,1,
51012,-1,partner_card_51012,partner_picture_51012,65|-80,65|-80,1,65|-80,0.8,,,,,,946#806,0.9,1,,1,
51013,-1,partner_card_51013,partner_picture_51013,10|100,10|100,1,10|100,0.8,,,,,,946#806,0.9,1,,1,
51014,-1,partner_card_51014,partner_picture_51014,10|100,10|100,0.95,10|100,0.8,,,,,,946#806,0.9,1,,1,
51015,-1,partner_card_51015,partner_picture_51015,100|0,100|0,1,100|0,0.8,,,,,,946#806,0.9,1,,1,
51016,-1,partner_card_51016,partner_picture_51016,50|90,50|90,0.9,50|90,0.8,,,1630627200,,,0#0,0.9,1,,1,
52001,-1,partner_card_52001,partner_picture_52001,0|0,0|0,1,0|0,0.8,,,,,,949#743,0.85,1,,1,
52002,-1,partner_card_52002,partner_picture_52002,-80|50,-80|50,1,-80|50,0.8,,,,,,602#664,0.85,1,,1,
52003,-1,partner_card_52003,partner_picture_52003,0|450,0|460,1,0|450,0.8,,,,,,993#235,0.9,1,,1,
52004,-1,partner_card_52004,partner_picture_52004,0|60,0|60,1,0|60,0.8,,,,,,1116#674,0.8,1,,1,
52005,-1,partner_card_52005,partner_picture_52005,-100|430,-100|445,1,-100|430,0.8,,,,,,1145#236,0.9,1,,1,
52006,-1,partner_card_52006,partner_picture_52006,0|60,0|60,1,0|60,0.8,,,,,,1115#682,0.9,1,,1,
52007,-1,partner_card_52007,partner_picture_52007,0|0,0|0,1,0|0,0.8,,,,,,527#761,0.9,2,,1,
52008,-1,partner_card_52008,partner_picture_52008,-20|210,-20|210,1,-20|210,0.8,,,,,,626#737,0.9,1,,1,
52009,-1,partner_card_52009,partner_picture_52009,-100|130,-100|130,1,-100|130,0.8,,,,,,1177#607,0.85,1,,1,
52010,-1,partner_card_52010,partner_picture_52010,0|-60,0|-80,1,0|-60,0.8,,,,,,501#784,0.9,1,,1,
52011,-1,partner_card_52011,partner_picture_52011,0|0,0|0,1,0|0,0.8,,,,,,513#717,0.85,2,,1,
52012,-1,partner_card_52012,partner_picture_52012,0|0,0|0,1,0|0,0.8,,,,,,1034#698,0.9,1,,1,
52013,-1,partner_card_52013,partner_picture_52013,0|140,0|140,1,0|140,0.8,,,,,,0#0,0.9,1,,1,
52014,-1,partner_card_52014,partner_picture_52014,0|150,0|150,1,0|150,0.8,,,,,,0#0,0.9,1,,1,
52015,-1,partner_card_52015,partner_picture_52015,50|170,50|170,1,50|170,0.8,,,,,,0#0,0.9,1,,1,
52016,-1,partner_card_52016,partner_picture_52016,120|-100,120|-100,0.85,120|-100,0.8,,,,,,0#0,0.9,1,,1,
52017,-1,partner_card_52017,partner_picture_52017,0|130,0|130,0.85,0|130,0.8,,,1630627200,,,0#0,0.9,1,,1,0.85
53001,-1,partner_card_53001,partner_picture_53001,0|0,0|5,1,0|0,0.8,,,,,,533#689,0.9,1,,1,
53002,-1,partner_card_53002,partner_picture_53002,0|0,0|5,1,0|0,0.8,,,,,,1160#712,0.9,1,,1,
53003,-1,partner_card_53003,partner_picture_53003,0|150,0|150,1,0|150,0.8,,,,,,483#576,0.9,1,,1,
53004,-1,partner_card_53004,partner_picture_53004,0|0,0|0,1,0|0,0.8,,,,,,515#205,0.9,2,,1,
53005,-1,partner_card_53005,partner_picture_53005,-80|430,-80|440,1,-80|430,0.8,,,,,,1264#310,0.9,1,,1,
53006,-1,partner_card_53006,partner_picture_53006,0|0,0|-15,1,0|0,0.8,,,,,,1025#744,0.9,1,,1,
53007,-1,partner_card_53007,partner_picture_53007,-10|200,-10|200,1,-10|200,0.8,,,,,,608#687,0.9,1,,1,
53008,-1,partner_card_53008,partner_picture_53008,0|0,0|0,1,0|0,0.8,,,,,,465#798,0.8,2,,1,
53009,-1,partner_card_53009,partner_picture_53009,0|0,0|10,1,0|0,0.8,,,,,,1017#690,0.9,1,,1,
53010,-1,partner_card_53010,partner_picture_53010,0|0,0|0,1,0|0,0.8,,,,,,551#722,0.9,1,,1,
53011,-1,partner_card_53011,partner_picture_53011,0|0,0|0,1,0|0,0.8,,,,,,521#741,0.9,2,,1,
53012,-1,partner_card_53012,partner_picture_53012,60|150,60|150,1,60|150,0.8,,,,,,955#573,0.9,1,,1,
53013,-1,partner_card_53013,partner_picture_53013,60|-100,60|-120,1,60|-100,0.8,,,,,,0#0,0.9,1,,1,
53014,-1,partner_card_53014,partner_picture_53014,60|110,60|120,0.95,60|110,0.8,,,,,,0#0,0.9,2,,1,
53015,-1,partner_card_53015,partner_picture_53015,0|-50,0|-50,1,0|-50,0.8,,,,,,0#0,0.9,2,,1,
53016,-1,partner_card_53016,partner_picture_53016,14|222,14|222,0.85,14|222,0.8,,,,,,0#0,0.9,1,,1,
53017,-1,partner_card_53017,partner_picture_53017,200|100,200|100,0.8,14|222,0.8,,,,,,0#0,0.8,2,,0.8,0.7
54001,-1,partner_card_54001,partner_picture_54001,14|-20,14|-20,1,0|0,0.8,,,,,,507#753,0.9,1,,1,
54002,-1,partner_card_54002,partner_picture_54002,0|0,0|0,1,0|0,0.8,,,,,,452#790,0.9,2,,1,
54003,-1,partner_card_54003,partner_picture_54003,0|0,0|-10,1,0|0,0.8,,,,,,981#766,0.9,1,,1,
54004,-1,partner_card_54004,partner_picture_54004,0|0,0|0,1,0|0,0.8,,,,,,994#772,0.9,2,,1,
54005,-1,partner_card_54005,partner_picture_54005,0|0,0|0,1,0|0,0.8,,,,,,1029#706,0.9,1,,1,
54006,-1,partner_card_54006,partner_picture_54006,-20|0,-20|0,1,-20|0,0.8,,,,,,413#740,0.9,2,,1,
54007,-1,partner_card_54007,partner_picture_54007,0|-30,0|-35,1,0|-30,0.8,,,,,,504#771,0.85,2,,1,
54008,-1,partner_card_54008,partner_picture_54008,0|0,0|8,1,0|0,0.8,,,,,,515#690,0.9,2,,1,
54009,-1,partner_card_54009,partner_picture_54009,90|30,90|30,1,90|30,0.8,,,,,,385#714,0.9,2,,1,
54010,-1,partner_card_54010,partner_picture_54010,-210|30,-210|30,1,-210|30,0.8,,,,,,1257#662,0.9,1,,1,
54011,-1,partner_card_54011,partner_picture_54011,-30|-120,-30|-120,1,-30|-120,0.8,,,,,,537#813,0.9,1,,1,
54012,-1,partner_card_54012,partner_picture_54012,0|-20,-10|-50,1,0|-20,0.8,,,,,,0#0,0.9,2,,1,
54013,-1,partner_card_54013,partner_picture_54013,0|250,0|250,1,0|250,0.8,,,,,,0#0,0.9,1,,1,
54014,-1,partner_card_54014,partner_picture_54014,0|0,0|0,0.9,0|0,0.8,,,,,,0#0,1,2,,1,
54015,-1,partner_card_54015,partner_picture_54015,120|0,120|0,0.9,120|0,0.8,,,,,,120#0,1,2,,1,
54016,-1,partner_card_54016,partner_picture_54016,50|125,50|125,0.9,50|125,0.8,,,,,,0#0,0.9,1,,1,
54017,-1,partner_card_54017,partner_picture_54017,10|220,10|220,0.8,10|220,0.8,,,,,,0#0,0.8,1,,1,0.8
55001,-1,partner_card_55001,partner_picture_55001,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
55002,-1,partner_card_55002,partner_picture_55002,0|0,0|0,1,0|0,0.8,,,,,,514#710,0.9,1,,1,
55003,-1,partner_card_55003,partner_picture_55003,0|30,0|30,1,0|30,0.8,,,,,,525#685,0.9,2,,1,
55004,-1,partner_card_55004,partner_picture_55004,-70|-40,-70|-40,1,-70|-40,0.8,,,,,,1090#763,0.9,1,,1,
55005,-1,partner_card_55005,partner_picture_55005,0|-50,0|-60,1,0|-50,0.8,,,,,,1059#748,1,1,,1,
55006,-1,partner_card_55006,partner_picture_55006,-10|0,-10|0,1,-10|0,0.8,,,,,,922#707|1178#718,0.9,1,,1,
55007,-1,partner_card_55007,partner_picture_55007,-40|0,-40|0,1,-40|0,0.8,,,,,,0#0,0.9,1,,1,
55008,-1,partner_card_55008,partner_picture_55008,40|100,60|100,1,40|100,0.8,,,,,,0#0,0.9,1,,1,
55009,-1,partner_card_55009,partner_picture_55009,40|100,60|100,0.9,40|100,0.8,,,1613692800,,,0#0,0.9,2,,1,
55010,-1,partner_card_55010,partner_picture_55010,-80|-20,-80|-20,0.9,-80|-20,0.8,,,,,,0#0,0.9,1,,1,
56001,-1,partner_card_56001,partner_picture_56001,0|0,0|0,1,0|0,0.8,,,,,,1006#754,0.85,1,,1,
56002,-1,partner_card_56002,partner_picture_56002,0|0,0|0,1,0|0,0.8,,,,,,1062#765,0.85,1,,1,
56003,-1,partner_card_56003,partner_picture_56003,0|0,0|-3,1,0|0,0.8,,,,,,1038#743,0.9,1,,1,
56004,-1,partner_card_56004,partner_picture_56004,0|0,0|0,1,0|0,0.8,,,,,,525#730,0.9,1,,1,
56005,-1,partner_card_56005,partner_picture_56005,-10|0,-10|0,0.95,-10|0,0.8,,,,,,1026#722,0.9,1,,1,
56006,-1,partner_card_56006,partner_picture_56006,50|-50,50|-50,0.95,50|-50,0.8,,,,,,0#0,0.9,1,,1,
56007,-1,partner_card_56007,partner_picture_56007,125|200,125|200,0.95,125|200,0.8,,,,,,0#0,0.9,1,,1,
56008,-1,partner_card_56008,partner_picture_56008,-20|80,-20|80,0.95,-20|80,0.8,,,,,,0#0,0.9,1,,1,
56009,？？？,partner_card_56005,partner_picture_56005,-10|0,-10|0,0.95,-10|0,0.8,,,1640304000,,,1026#722,0.9,1,,1,
111001,-1,partner_card_11001,partner_picture_11001,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
112001,-1,partner_card_12001,partner_picture_12001,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
112002,-1,partner_card_12002,partner_picture_12002,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
113001,-1,partner_card_13001,partner_picture_13001,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
121002,-1,partner_card_21002,partner_picture_21002,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
123001,-1,partner_card_23001,partner_picture_23001,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
123002,-1,partner_card_23002,partner_picture_23002,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
123003,-1,partner_card_23003,partner_picture_23003,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
135001,-1,partner_card_35001,partner_picture_35001,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
136001,-1,partner_card_36001,partner_picture_36001,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
145001,-1,partner_card_45001,partner_picture_45001,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
146001,-1,partner_card_46001,partner_picture_46001,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
541001,-1,partner_card_41001,partner_picture_41001,0|0,100|0,1,20|0,0.84,,,,,,0#0,0.9,1,,1,
541002,-1,partner_card_41002,partner_picture_41002,10|60,10|80,0.95,60|60,0.72,,,,,,0#0,0.9,1,,1,
541003,-1,partner_card_41003,partner_picture_41003,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
541004,-1,partner_card_41004,partner_picture_41004,0|20,0|30,0.95,0|20,0.8,,,,,,0#0,0.9,2,,1,
541005,-1,partner_card_41005,partner_picture_41005,0|0,0|10,1,0|0,0.76,,,,,,0#0,0.9,2,,1,
541006,-1,partner_card_41006,partner_picture_41006,-10|70,-10|70,0.95,-10|70,0.72,,,,,,0#0,0.9,1,,1,
541007,-1,partner_card_41007,partner_picture_41007,-30|-40,-30|-40,1,-30|-40,0.8,,,,,,0#0,0.9,2,,1,
541008,-1,partner_card_41008,partner_picture_41008,0|120,0|120,1,0|120,0.8,,,,,,0#0,0.9,1,,1,
542001,-1,partner_card_42001,partner_picture_42001,0|-30,0|-40,1,0|-30,0.8,,,,,,0#0,0.9,2,,1,
542002,-1,partner_card_42002,partner_picture_42002,0|0,0|10,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
542003,-1,partner_card_42003,partner_picture_42003,0|50,0|50,1,0|80,0.88,,,,,,0#0,0.9,1,,1,
542004,-1,partner_card_42004,partner_picture_42004,0|0,0|10,1,0|0,0.76,,,,,,0#0,0.9,1,,1,
542005,-1,partner_card_42005,partner_picture_42005,5|215,5|215,1,5|215,0.8,,,,,,0#0,0.9,1,,1,
542006,-1,partner_card_42006,partner_picture_42006,0|0,0|0,1,0|20,0.96,,,,,,0#0,0.9,1,,1,
542007,-1,partner_card_42007,partner_picture_42007,-70|160,-70|160,1,-70|160,0.8,,,,,,0#0,0.9,1,,1,
542008,-1,partner_card_42008,partner_picture_42008,-100|410,-100|410,1.25,-100|410,1,,,,,,0#0,0.9,1,,1,
543001,-1,partner_card_43001,partner_picture_43001,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,2,,1,
543002,-1,partner_card_43002,partner_picture_43002,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,2,,1,
543003,-1,partner_card_43003,partner_picture_43003,0|0,0|10,1,-20|0,0.76,,,,,,0#0,0.9,2,,1,
543004,-1,partner_card_43004,partner_picture_43004,0|0,0|-5,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
543005,-1,partner_card_43005,partner_picture_43005,0|0,0|-5,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
543006,-1,partner_card_43006,partner_picture_43006,0|0,0|10,1,0|0,0.8,,,,,,0#0,0.9,1,,1,
543007,-1,partner_card_43007,partner_picture_43007,0|0,0|0,1,30|50,0.88,,,,,,0#0,0.9,1,,1,
543008,-1,partner_card_43008,partner_picture_43008,0|0,0|0,1,80|0,0.76,,,,,,0#0,0.9,1,,1,
544001,-1,partner_card_44001,partner_picture_44001,0|0,0|10,1,-20|0,0.72,,,,,,0#0,0.9,1,,1,
544002,-1,partner_card_44002,partner_picture_44002,0|0,0|-5,1,0|0,0.8,,,,,,0#0,0.9,2,,1,
544003,-1,partner_card_44003,partner_picture_44003,0|0,0|-10,1,0|0,0.8,,,,,,0#0,0.9,2,,1,
544004,-1,partner_card_44004,partner_picture_44004,0|0,0|-5,1,20|20,0.88,,,,,,0#0,0.9,2,,1,
544005,-1,partner_card_44005,partner_picture_44005,0|0,0|0,1,0|0,0.8,,,,,,0#0,0.9,2,,1,
544006,-1,partner_card_44006,partner_picture_44006,0|0,0|0,1,30|0,0.72,,,,,,0#0,0.9,1,,1,
544007,-1,partner_card_44007,partner_picture_44007,0|280,0|280,1,0|280,0.8,,,,,,0#0,0.9,2,,1,
544008,-1,partner_card_44008,partner_picture_44008,0|0,0|0,1,0|-60,0.72,,,,,,0#0,0.9,1,,1,
545001,-1,partner_card_45001,partner_picture_45001,0|0,0|0,0.95,-30|0,0.68,,,,,,0#0,0.9,2,,1,
545002,-1,partner_card_45002,partner_picture_45002,0|200,0|185,1,20|200,0.76,,,,,,0#0,0.9,1,,1,
545003,-1,partner_card_45003,partner_picture_45003,0|50,0|50,1,0|50,0.8,,,,,,0#0,0.9,2,,1,
546001,-1,partner_card_46001,partner_picture_46001,-80|80,-80|80,1,-80|90,0.76,,,,,,0#0,0.9,1,,1,
546002,-1,partner_card_46002,partner_picture_46002,115|-25,115|-25,1,115|-25,0.8,,,,,,0#0,0.9,1,,1,
