id,name,step,mark,condition,forced,window_name,obj_type,obj_id,no_click,special_func,special_area,record,func_id,mask_type,mask_icon,icon_offset,obj_scale,hand_type,is_transition,is_black,dialog_type,desc,position,flip_x,finger_flip,duration,delay,pause,sound,load_group,load_effect
98,tower,1,28,,,main_window,2,MainWinRightBtn_2|blueBtnGroup|blueButton0,,,,1,15,2,button_crop_16,0|1,,,1,,,,,,,,0.65,,,,
99,prophet,1,29,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.65,,,,
100,prophet,1,29,,,main_window,4,MainWinRightBtn_5|MainWinRightBtn,,,,,,2,button_crop_14,0|8,1.2|1.2,,1,,,,,,,,0.56,,,,
101,prophet,1,29,,,main_window,2,MainWinRightBtn_5|blueBtnGroup|blueButton2,,,,1,16,2,button_crop_16,0|4,,,1,,,,,,,,0.65,,,,
102,pub,1,30,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.65,,,,
103,pub,1,30,,,main_window,4,MainWinRightBtn_1|MainWinRightBtn,,,,,,2,button_crop_15,0|0,1.2|1.2,,1,,,,,,,,0.56,,,,
104,pub,1,30,,,main_window,2,MainWinRightBtn_1|blueBtnGroup|blueButton2,,,,1,17,2,button_crop_16,0|4,,,1,,,,,,,,0.65,,,,
105,skin,1,32,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.6,,,,
106,skin,1,32,,,main_window,,btnSkin_,,,,,24,2,button_crop_36,0|0,,,1,,1,-1,520|-33,1,,,0.6,,,,
107,skin,1,32,,,skin_list_window,1,partnersGroup|SkinPartnerCard0,,,,1,24,2,button_crop_19,1|0,,,0,,1,,690|185,1,,,0,,,,
108,pet,1,33,,,func_open_window,,btnGo_,,,,,,,,,,,,1,,,,,,,0.65,,,,
109,pet,1,33,,,main_window,,btnPet_,,,,1,28,2,button_crop_38,-2|0,,,1,,,,,,,,0.56,,,,
