id,lv,next_id,exskill_id,cost,restore,effects,pas_skills
101031,31,101032,101001,1#2550000|27#315|216#785,27#4805|216#11935,hp#254599|atk#7983|spd#12|sklP#10,101010|101020
101032,32,101033,101001,1#2600000|27#325|216#810,27#5120|216#12720,hp#262812|atk#8363|spd#12|sklP#10,101010|101020
101033,33,101034,101001,1#2650000|27#335|216#835,27#5445|216#13530,hp#271025|atk#8743|spd#14|sklP#10,101010|101020
101034,34,101035,101001,1#2700000|27#345|216#860,27#5780|216#14365,hp#279238|atk#9124|spd#14|sklP#20,101010|101020
101035,35,101036,101001,1#2750000|27#355|216#885,27#6125|216#15225,hp#287451|atk#9504|spd#16|sklP#20,101010|101020
101036,36,101037,101001,1#2800000|27#365|216#910,27#6480|216#16110,hp#295664|atk#9884|spd#16|sklP#20,101010|101020
101037,37,101038,101001,1#2850000|27#375|216#935,27#6845|216#17020,hp#303876|atk#10264|spd#18|sklP#20,101010|101020
101038,38,101039,101001,1#2900000|27#385|216#960,27#7220|216#17955,hp#312089|atk#10644|spd#18|sklP#30,101010|101020
101039,39,101040,101001,1#2950000|27#395|216#985,27#7605|216#18915,hp#320302|atk#11024|spd#20|sklP#30,101010|101020
101040,40,101041,101001,1#3000000|27#405|216#1010,27#8000|216#19900,hp#328515|atk#11405|spd#20|sklP#30,101010|101020|101040
101041,41,101042,101001,1#3050000|27#415|216#1035,27#8405|216#20910,hp#336728|atk#11785|spd#22|sklP#30,101010|101020|101040
101042,42,101043,101001,1#3100000|27#425|216#1060,27#8820|216#21945,hp#344941|atk#12165|spd#22|sklP#40,101010|101020|101040
101043,43,101044,101001,1#3150000|27#435|216#1085,27#9245|216#23005,hp#353154|atk#12545|spd#24|sklP#40,101010|101020|101040
101044,44,101045,101001,1#3200000|27#445|216#1110,27#9680|216#24090,hp#361367|atk#12925|spd#24|sklP#40,101010|101020|101040
101045,45,101046,101001,1#3250000|27#455|216#1135,27#10125|216#25200,hp#369580|atk#13305|spd#26|sklP#40,101010|101020|101040
101046,46,101047,101001,1#3300000|27#465|216#1160,27#10580|216#26335,hp#377792|atk#13686|spd#26|sklP#50,101010|101020|101040
101047,47,101048,101001,1#3350000|27#475|216#1185,27#11045|216#27495,hp#386005|atk#14066|spd#28|sklP#50,101010|101020|101040
101048,48,101049,101001,1#3400000|27#485|216#1210,27#11520|216#28680,hp#394218|atk#14446|spd#28|sklP#50,101010|101020|101040
101049,49,101050,101001,1#3450000|27#495|216#1235,27#12005|216#29890,hp#402431|atk#14826|spd#30|sklP#50,101010|101020|101040
101050,50,101051,101001,1#3500000|27#505|216#1260,27#12500|216#31125,hp#410644|atk#15206|spd#30|sklP#60,101010|101020|101040
101051,51,101052,101001,1#3550000|27#515|216#1285,27#13005|216#32385,hp#418857|atk#15586|spd#32|sklP#60,101010|101020|101040
101052,52,101053,101001,1#3600000|27#525|216#1310,27#13520|216#33670,hp#427070|atk#15967|spd#32|sklP#60,101010|101020|101040
101053,53,101054,101001,1#3650000|27#535|216#1335,27#14045|216#34980,hp#435283|atk#16347|spd#34|sklP#60,101010|101020|101040
101054,54,101055,101001,1#3700000|27#545|216#1360,27#14580|216#36315,hp#443496|atk#16727|spd#34|sklP#70,101010|101020|101040
101055,55,101056,101001,1#3750000|27#555|216#1385,27#15125|216#37675,hp#451708|atk#17107|spd#36|sklP#70,101010|101020|101040
101056,56,101057,101001,1#3800000|27#565|216#1410,27#15680|216#39060,hp#459921|atk#17487|spd#36|sklP#70,101010|101020|101040
101057,57,101058,101001,1#3850000|27#575|216#1435,27#16245|216#40470,hp#468134|atk#17867|spd#38|sklP#70,101010|101020|101040
101058,58,101059,101001,1#3900000|27#585|216#1460,27#16820|216#41905,hp#476347|atk#18248|spd#38|sklP#80,101010|101020|101040
101059,59,101060,101001,1#3950000|27#595|216#1485,27#17405|216#43365,hp#484560|atk#18628|spd#40|sklP#80,101010|101020|101040
101060,60,101061,101001,1#4000000|27#605|216#1510,27#18000|216#44850,hp#492773|atk#19008|spd#40|sklP#80,101010|101020|101040|101060
101061,61,101062,101001,1#4050000|27#615|216#1535,27#18605|216#46360,hp#500986|atk#19388|spd#42|sklP#80,101010|101020|101040|101060
101062,62,101063,101001,1#4100000|27#625|216#1560,27#19220|216#47895,hp#509199|atk#19768|spd#42|sklP#90,101010|101020|101040|101060
101063,63,101064,101001,1#4150000|27#635|216#1585,27#19845|216#49455,hp#517412|atk#20148|spd#44|sklP#90,101010|101020|101040|101060
101064,64,101065,101001,1#4200000|27#645|216#1610,27#20480|216#51040,hp#525624|atk#20529|spd#44|sklP#90,101010|101020|101040|101060
101065,65,101066,101001,1#4250000|27#655|216#1635,27#21125|216#52650,hp#533837|atk#20909|spd#46|sklP#90,101010|101020|101040|101060
101066,66,101067,101001,1#4300000|27#665|216#1660,27#21780|216#54285,hp#542050|atk#21289|spd#46|sklP#100,101010|101020|101040|101060
101067,67,101068,101001,1#4350000|27#675|216#1685,27#22445|216#55945,hp#550263|atk#21669|spd#48|sklP#100,101010|101020|101040|101060
101068,68,101069,101001,1#4400000|27#685|216#1710,27#23120|216#57630,hp#558476|atk#22049|spd#48|sklP#100,101010|101020|101040|101060
101069,69,101070,101001,1#4450000|27#695|216#1735,27#23805|216#59340,hp#566689|atk#22429|spd#50|sklP#100,101010|101020|101040|101060
101070,70,101071,101001,1#4500000|27#705|216#1760,27#24500|216#61075,hp#574902|atk#22810|spd#50|sklP#110,101010|101020|101040|101060
101071,71,101072,101001,1#4550000|27#715|216#1785,27#25205|216#62835,hp#583115|atk#23190|spd#52|sklP#110,101010|101020|101040|101060
101072,72,101073,101001,1#4600000|27#725|216#1810,27#25920|216#64620,hp#591328|atk#23570|spd#52|sklP#110,101010|101020|101040|101060
101073,73,101074,101001,1#4650000|27#735|216#1835,27#26645|216#66430,hp#599540|atk#23950|spd#54|sklP#110,101010|101020|101040|101060
101074,74,101075,101001,1#4700000|27#745|216#1860,27#27380|216#68265,hp#607753|atk#24330|spd#54|sklP#120,101010|101020|101040|101060
101075,75,101076,101001,1#4750000|27#755|216#1885,27#28125|216#70125,hp#615966|atk#24710|spd#56|sklP#120,101010|101020|101040|101060
101076,76,101077,101001,1#4800000|27#765|216#1910,27#28880|216#72010,hp#624179|atk#25091|spd#56|sklP#120,101010|101020|101040|101060
101077,77,101078,101001,1#4850000|27#775|216#1935,27#29645|216#73920,hp#632392|atk#25471|spd#58|sklP#120,101010|101020|101040|101060
101078,78,101079,101001,1#4900000|27#785|216#1960,27#30420|216#75855,hp#640605|atk#25851|spd#58|sklP#130,101010|101020|101040|101060
101079,79,101080,101001,1#4950000|27#795|216#1985,27#31205|216#77815,hp#648818|atk#26231|spd#60|sklP#130,101010|101020|101040|101060
101080,80,101081,101001,1#5000000|27#805|216#2010,27#32000|216#79800,hp#657031|atk#26611|spd#60|sklP#130,101010|101020|101040|101060|101080
101081,81,101082,101001,1#5050000|27#815|216#2035,27#32805|216#81810,hp#665244|atk#26991|spd#62|sklP#130,101010|101020|101040|101060|101080
101082,82,101083,101001,1#5100000|27#825|216#2060,27#33620|216#83845,hp#673456|atk#27372|spd#64|sklP#140,101010|101020|101040|101060|101080
101083,83,101084,101001,1#5150000|27#835|216#2085,27#34445|216#85905,hp#681669|atk#27752|spd#66|sklP#140,101010|101020|101040|101060|101080
101084,84,101085,101001,1#5200000|27#845|216#2110,27#35280|216#87990,hp#689882|atk#28132|spd#68|sklP#140,101010|101020|101040|101060|101080
101085,85,101086,101001,1#5250000|27#855|216#2135,27#36125|216#90100,hp#698095|atk#28512|spd#70|sklP#140,101010|101020|101040|101060|101080
101086,86,101087,101001,1#5300000|27#865|216#2160,27#36980|216#92235,hp#706308|atk#28892|spd#72|sklP#150,101010|101020|101040|101060|101080
101087,87,101088,101001,1#5350000|27#875|216#2185,27#37845|216#94395,hp#714521|atk#29272|spd#74|sklP#150,101010|101020|101040|101060|101080
101088,88,101089,101001,1#5400000|27#885|216#2210,27#38720|216#96580,hp#722734|atk#29653|spd#76|sklP#150,101010|101020|101040|101060|101080
101089,89,101090,101001,1#5450000|27#895|216#2235,27#39605|216#98790,hp#730947|atk#30033|spd#78|sklP#150,101010|101020|101040|101060|101080
101090,90,101091,101001,1#5500000|27#905|216#2260,27#40500|216#101025,hp#739160|atk#30413|spd#80|sklP#160,101010|101020|101040|101060|101080
101091,91,101092,101001,1#5550000|27#915|216#2285,27#41405|216#103285,hp#747372|atk#30793|spd#82|sklP#160,101010|101020|101040|101060|101080
101092,92,101093,101001,1#5600000|27#925|216#2310,27#42320|216#105570,hp#755585|atk#31173|spd#84|sklP#160,101010|101020|101040|101060|101080
101093,93,101094,101001,1#5650000|27#935|216#2335,27#43245|216#107880,hp#763798|atk#31553|spd#86|sklP#160,101010|101020|101040|101060|101080
101094,94,101095,101001,1#5700000|27#945|216#2360,27#44180|216#110215,hp#772011|atk#31934|spd#88|sklP#170,101010|101020|101040|101060|101080
101095,95,101096,101001,1#5750000|27#955|216#2385,27#45125|216#112575,hp#780224|atk#32314|spd#90|sklP#170,101010|101020|101040|101060|101080
101096,96,101097,101001,1#5800000|27#965|216#2410,27#46080|216#114960,hp#788437|atk#32694|spd#92|sklP#180,101010|101020|101040|101060|101080
101097,97,101098,101001,1#5850000|27#975|216#2435,27#47045|216#117370,hp#796650|atk#33074|spd#94|sklP#180,101010|101020|101040|101060|101080
101098,98,101099,101001,1#5900000|27#985|216#2460,27#48020|216#119805,hp#804863|atk#33454|spd#96|sklP#190,101010|101020|101040|101060|101080
101099,99,101100,101001,1#5950000|27#995|216#2485,27#49005|216#122265,hp#813076|atk#33834|spd#98|sklP#190,101010|101020|101040|101060|101080
101100,100,0,101001,,27#50000|216#124750,hp#821289|atk#34215|spd#100|sklP#200,101010|101020|101040|101060|101080|101100
201001,1,201002,201001,1#1050000|27#15|216#35,27#5|216#10,hp#9300|atk#0|spd#0|sklP#0,
201002,2,201003,201001,1#1100000|27#25|216#60,27#20|216#45,hp#18601|atk#0|spd#0|sklP#0,
201003,3,201004,201001,1#1150000|27#35|216#85,27#45|216#105,hp#27902|atk#0|spd#0|sklP#0,
201004,4,201005,201001,1#1200000|27#45|216#110,27#80|216#190,hp#37202|atk#0|spd#0|sklP#0,
201005,5,201006,201001,1#1250000|27#55|216#135,27#125|216#300,hp#46503|atk#0|spd#0|sklP#0,
201006,6,201007,201001,1#1300000|27#65|216#160,27#180|216#435,hp#55804|atk#0|spd#0|sklP#0,
201007,7,201008,201001,1#1350000|27#75|216#185,27#245|216#595,hp#65104|atk#0|spd#0|sklP#0,
201008,8,201009,201001,1#1400000|27#85|216#210,27#320|216#780,hp#74405|atk#0|spd#0|sklP#0,
201009,9,201010,201001,1#1450000|27#95|216#235,27#405|216#990,hp#83706|atk#0|spd#0|sklP#0,
201010,10,201011,201001,1#1500000|27#105|216#260,27#500|216#1225,hp#93006|atk#0|spd#0|sklP#0,101010
201011,11,201012,201001,1#1550000|27#115|216#285,27#605|216#1485,hp#102307|atk#334|spd#0|sklP#0,101010
201012,12,201013,201001,1#1600000|27#125|216#310,27#720|216#1770,hp#111608|atk#668|spd#0|sklP#0,101010
201013,13,201014,201001,1#1650000|27#135|216#335,27#845|216#2080,hp#120908|atk#1003|spd#0|sklP#0,101010
201014,14,201015,201001,1#1700000|27#145|216#360,27#980|216#2415,hp#130209|atk#1337|spd#0|sklP#0,101010
201015,15,201016,201001,1#1750000|27#155|216#385,27#1125|216#2775,hp#139510|atk#1672|spd#0|sklP#0,101010
201016,16,201017,201001,1#1800000|27#165|216#410,27#1280|216#3160,hp#148811|atk#2006|spd#0|sklP#0,101010
201017,17,201018,201001,1#1850000|27#175|216#435,27#1445|216#3570,hp#158111|atk#2341|spd#0|sklP#0,101010
201018,18,201019,201001,1#1900000|27#185|216#460,27#1620|216#4005,hp#167412|atk#2675|spd#0|sklP#0,101010
201019,19,201020,201001,1#1950000|27#195|216#485,27#1805|216#4465,hp#176713|atk#3009|spd#0|sklP#0,101010
201020,20,201021,201001,1#2000000|27#205|216#510,27#2000|216#4950,hp#186013|atk#3344|spd#0|sklP#0,101010|101020
201021,21,201022,201001,1#2050000|27#215|216#535,27#2205|216#5460,hp#195314|atk#3678|spd#2|sklP#0,101010|101020
201022,22,201023,201001,1#2100000|27#225|216#560,27#2420|216#5995,hp#204615|atk#4013|spd#2|sklP#0,101010|101020
201023,23,201024,201001,1#2150000|27#235|216#585,27#2645|216#6555,hp#213915|atk#4347|spd#4|sklP#0,101010|101020
201024,24,201025,201001,1#2200000|27#245|216#610,27#2880|216#7140,hp#223216|atk#4682|spd#4|sklP#0,101010|101020
201025,25,201026,201001,1#2250000|27#255|216#635,27#3125|216#7750,hp#232517|atk#5016|spd#6|sklP#0,101010|101020
201026,26,201027,201001,1#2300000|27#265|216#660,27#3380|216#8385,hp#241817|atk#5350|spd#6|sklP#0,101010|101020
201027,27,201028,201001,1#2350000|27#275|216#685,27#3645|216#9045,hp#251118|atk#5685|spd#8|sklP#0,101010|101020
201028,28,201029,201001,1#2400000|27#285|216#710,27#3920|216#9730,hp#260419|atk#6019|spd#8|sklP#0,101010|101020
201029,29,201030,201001,1#2450000|27#295|216#735,27#4205|216#10440,hp#269720|atk#6354|spd#10|sklP#0,101010|101020
201030,30,201031,201001,1#2500000|27#305|216#760,27#4500|216#11175,hp#279020|atk#6688|spd#10|sklP#10,101010|101020
201031,31,201032,201001,1#2550000|27#315|216#785,27#4805|216#11935,hp#288321|atk#7023|spd#12|sklP#10,101010|101020
201032,32,201033,201001,1#2600000|27#325|216#810,27#5120|216#12720,hp#297622|atk#7357|spd#12|sklP#10,101010|101020
201033,33,201034,201001,1#2650000|27#335|216#835,27#5445|216#13530,hp#306922|atk#7691|spd#14|sklP#10,101010|101020
201034,34,201035,201001,1#2700000|27#345|216#860,27#5780|216#14365,hp#316223|atk#8026|spd#14|sklP#20,101010|101020
201035,35,201036,201001,1#2750000|27#355|216#885,27#6125|216#15225,hp#325524|atk#8360|spd#16|sklP#20,101010|101020
201036,36,201037,201001,1#2800000|27#365|216#910,27#6480|216#16110,hp#334824|atk#8695|spd#16|sklP#20,101010|101020
201037,37,201038,201001,1#2850000|27#375|216#935,27#6845|216#17020,hp#344125|atk#9029|spd#18|sklP#20,101010|101020
201038,38,201039,201001,1#2900000|27#385|216#960,27#7220|216#17955,hp#353426|atk#9364|spd#18|sklP#30,101010|101020
201039,39,201040,201001,1#2950000|27#395|216#985,27#7605|216#18915,hp#362726|atk#9698|spd#20|sklP#30,101010|101020
201040,40,201041,201001,1#3000000|27#405|216#1010,27#8000|216#19900,hp#372027|atk#10033|spd#20|sklP#30,101010|101020|101040
201041,41,201042,201001,1#3050000|27#415|216#1035,27#8405|216#20910,hp#381328|atk#10367|spd#22|sklP#30,101010|101020|101040
201042,42,201043,201001,1#3100000|27#425|216#1060,27#8820|216#21945,hp#390628|atk#10701|spd#22|sklP#40,101010|101020|101040
201043,43,201044,201001,1#3150000|27#435|216#1085,27#9245|216#23005,hp#399929|atk#11036|spd#24|sklP#40,101010|101020|101040
201044,44,201045,201001,1#3200000|27#445|216#1110,27#9680|216#24090,hp#409230|atk#11370|spd#24|sklP#40,101010|101020|101040
201045,45,201046,201001,1#3250000|27#455|216#1135,27#10125|216#25200,hp#418531|atk#11705|spd#26|sklP#40,101010|101020|101040
201046,46,201047,201001,1#3300000|27#465|216#1160,27#10580|216#26335,hp#427831|atk#12039|spd#26|sklP#50,101010|101020|101040
201047,47,201048,201001,1#3350000|27#475|216#1185,27#11045|216#27495,hp#437132|atk#12374|spd#28|sklP#50,101010|101020|101040
201048,48,201049,201001,1#3400000|27#485|216#1210,27#11520|216#28680,hp#446433|atk#12708|spd#28|sklP#50,101010|101020|101040
201049,49,201050,201001,1#3450000|27#495|216#1235,27#12005|216#29890,hp#455733|atk#13042|spd#30|sklP#50,101010|101020|101040
201050,50,201051,201001,1#3500000|27#505|216#1260,27#12500|216#31125,hp#465034|atk#13377|spd#30|sklP#60,101010|101020|101040
201051,51,201052,201001,1#3550000|27#515|216#1285,27#13005|216#32385,hp#474335|atk#13711|spd#32|sklP#60,101010|101020|101040
201052,52,201053,201001,1#3600000|27#525|216#1310,27#13520|216#33670,hp#483635|atk#14046|spd#32|sklP#60,101010|101020|101040
201053,53,201054,201001,1#3650000|27#535|216#1335,27#14045|216#34980,hp#492936|atk#14380|spd#34|sklP#60,101010|101020|101040
201054,54,201055,201001,1#3700000|27#545|216#1360,27#14580|216#36315,hp#502237|atk#14715|spd#34|sklP#70,101010|101020|101040
201055,55,201056,201001,1#3750000|27#555|216#1385,27#15125|216#37675,hp#511537|atk#15049|spd#36|sklP#70,101010|101020|101040
201056,56,201057,201001,1#3800000|27#565|216#1410,27#15680|216#39060,hp#520838|atk#15383|spd#36|sklP#70,101010|101020|101040
201057,57,201058,201001,1#3850000|27#575|216#1435,27#16245|216#40470,hp#530139|atk#15718|spd#38|sklP#70,101010|101020|101040
201058,58,201059,201001,1#3900000|27#585|216#1460,27#16820|216#41905,hp#539440|atk#16052|spd#38|sklP#80,101010|101020|101040
201059,59,201060,201001,1#3950000|27#595|216#1485,27#17405|216#43365,hp#548740|atk#16387|spd#40|sklP#80,101010|101020|101040
201060,60,201061,201001,1#4000000|27#605|216#1510,27#18000|216#44850,hp#558041|atk#16721|spd#40|sklP#80,101010|101020|101040|201060
201061,61,201062,201001,1#4050000|27#615|216#1535,27#18605|216#46360,hp#567342|atk#17056|spd#42|sklP#80,101010|101020|101040|201060
201062,62,201063,201001,1#4100000|27#625|216#1560,27#19220|216#47895,hp#576642|atk#17390|spd#42|sklP#90,101010|101020|101040|201060
201063,63,201064,201001,1#4150000|27#635|216#1585,27#19845|216#49455,hp#585943|atk#17724|spd#44|sklP#90,101010|101020|101040|201060
201064,64,201065,201001,1#4200000|27#645|216#1610,27#20480|216#51040,hp#595244|atk#18059|spd#44|sklP#90,101010|101020|101040|201060
201065,65,201066,201001,1#4250000|27#655|216#1635,27#21125|216#52650,hp#604544|atk#18393|spd#46|sklP#90,101010|101020|101040|201060
201066,66,201067,201001,1#4300000|27#665|216#1660,27#21780|216#54285,hp#613845|atk#18728|spd#46|sklP#100,101010|101020|101040|201060
201067,67,201068,201001,1#4350000|27#675|216#1685,27#22445|216#55945,hp#623146|atk#19062|spd#48|sklP#100,101010|101020|101040|201060
201068,68,201069,201001,1#4400000|27#685|216#1710,27#23120|216#57630,hp#632446|atk#19397|spd#48|sklP#100,101010|101020|101040|201060
201069,69,201070,201001,1#4450000|27#695|216#1735,27#23805|216#59340,hp#641747|atk#19731|spd#50|sklP#100,101010|101020|101040|201060
201070,70,201071,201001,1#4500000|27#705|216#1760,27#24500|216#61075,hp#651048|atk#20066|spd#50|sklP#110,101010|101020|101040|201060
201071,71,201072,201001,1#4550000|27#715|216#1785,27#25205|216#62835,hp#660348|atk#20400|spd#52|sklP#110,101010|101020|101040|201060
201072,72,201073,201001,1#4600000|27#725|216#1810,27#25920|216#64620,hp#669649|atk#20734|spd#52|sklP#110,101010|101020|101040|201060
201073,73,201074,201001,1#4650000|27#735|216#1835,27#26645|216#66430,hp#678950|atk#21069|spd#54|sklP#110,101010|101020|101040|201060
201074,74,201075,201001,1#4700000|27#745|216#1860,27#27380|216#68265,hp#688251|atk#21403|spd#54|sklP#120,101010|101020|101040|201060
201075,75,201076,201001,1#4750000|27#755|216#1885,27#28125|216#70125,hp#697551|atk#21738|spd#56|sklP#120,101010|101020|101040|201060
201076,76,201077,201001,1#4800000|27#765|216#1910,27#28880|216#72010,hp#706852|atk#22072|spd#56|sklP#120,101010|101020|101040|201060
201077,77,201078,201001,1#4850000|27#775|216#1935,27#29645|216#73920,hp#716153|atk#22407|spd#58|sklP#120,101010|101020|101040|201060
201078,78,201079,201001,1#4900000|27#785|216#1960,27#30420|216#75855,hp#725453|atk#22741|spd#58|sklP#130,101010|101020|101040|201060
201079,79,201080,201001,1#4950000|27#795|216#1985,27#31205|216#77815,hp#734754|atk#23075|spd#60|sklP#130,101010|101020|101040|201060
201080,80,201081,201001,1#5000000|27#805|216#2010,27#32000|216#79800,hp#744055|atk#23410|spd#60|sklP#130,101010|101020|101040|201060|201080
201081,81,201082,201001,1#5050000|27#815|216#2035,27#32805|216#81810,hp#753355|atk#23744|spd#62|sklP#130,101010|101020|101040|201060|201080
201082,82,201083,201001,1#5100000|27#825|216#2060,27#33620|216#83845,hp#762656|atk#24079|spd#64|sklP#140,101010|101020|101040|201060|201080
201083,83,201084,201001,1#5150000|27#835|216#2085,27#34445|216#85905,hp#771957|atk#24413|spd#66|sklP#140,101010|101020|101040|201060|201080
201084,84,201085,201001,1#5200000|27#845|216#2110,27#35280|216#87990,hp#781257|atk#24748|spd#68|sklP#140,101010|101020|101040|201060|201080
201085,85,201086,201001,1#5250000|27#855|216#2135,27#36125|216#90100,hp#790558|atk#25082|spd#70|sklP#140,101010|101020|101040|201060|201080
201086,86,201087,201001,1#5300000|27#865|216#2160,27#36980|216#92235,hp#799859|atk#25416|spd#72|sklP#150,101010|101020|101040|201060|201080
201087,87,201088,201001,1#5350000|27#875|216#2185,27#37845|216#94395,hp#809160|atk#25751|spd#74|sklP#150,101010|101020|101040|201060|201080
201088,88,201089,201001,1#5400000|27#885|216#2210,27#38720|216#96580,hp#818460|atk#26085|spd#76|sklP#150,101010|101020|101040|201060|201080
201089,89,201090,201001,1#5450000|27#895|216#2235,27#39605|216#98790,hp#827761|atk#26420|spd#78|sklP#150,101010|101020|101040|201060|201080
201090,90,201091,201001,1#5500000|27#905|216#2260,27#40500|216#101025,hp#837062|atk#26754|spd#80|sklP#160,101010|101020|101040|201060|201080
201091,91,201092,201001,1#5550000|27#915|216#2285,27#41405|216#103285,hp#846362|atk#27089|spd#82|sklP#160,101010|101020|101040|201060|201080
201092,92,201093,201001,1#5600000|27#925|216#2310,27#42320|216#105570,hp#855663|atk#27423|spd#84|sklP#160,101010|101020|101040|201060|201080
201093,93,201094,201001,1#5650000|27#935|216#2335,27#43245|216#107880,hp#864964|atk#27757|spd#86|sklP#160,101010|101020|101040|201060|201080
201094,94,201095,201001,1#5700000|27#945|216#2360,27#44180|216#110215,hp#874264|atk#28092|spd#88|sklP#170,101010|101020|101040|201060|201080
201095,95,201096,201001,1#5750000|27#955|216#2385,27#45125|216#112575,hp#883565|atk#28426|spd#90|sklP#170,101010|101020|101040|201060|201080
201096,96,201097,201001,1#5800000|27#965|216#2410,27#46080|216#114960,hp#892866|atk#28761|spd#92|sklP#180,101010|101020|101040|201060|201080
201097,97,201098,201001,1#5850000|27#975|216#2435,27#47045|216#117370,hp#902166|atk#29095|spd#94|sklP#180,101010|101020|101040|201060|201080
201098,98,201099,201001,1#5900000|27#985|216#2460,27#48020|216#119805,hp#911467|atk#29430|spd#96|sklP#190,101010|101020|101040|201060|201080
201099,99,201100,201001,1#5950000|27#995|216#2485,27#49005|216#122265,hp#920768|atk#29764|spd#98|sklP#190,101010|101020|101040|201060|201080
201100,100,0,201001,,27#50000|216#124750,hp#930069|atk#30099|spd#100|sklP#200,101010|101020|101040|201060|201080|101100
301001,1,301002,301001,1#1050000|27#15|216#35,27#5|216#10,hp#9735|atk#0|spd#0|sklP#0,
301002,2,301003,301001,1#1100000|27#25|216#60,27#20|216#45,hp#19471|atk#0|spd#0|sklP#0,
301003,3,301004,301001,1#1150000|27#35|216#85,27#45|216#105,hp#29207|atk#0|spd#0|sklP#0,
301004,4,301005,301001,1#1200000|27#45|216#110,27#80|216#190,hp#38943|atk#0|spd#0|sklP#0,
301005,5,301006,301001,1#1250000|27#55|216#135,27#125|216#300,hp#48679|atk#0|spd#0|sklP#0,
301006,6,301007,301001,1#1300000|27#65|216#160,27#180|216#435,hp#58414|atk#0|spd#0|sklP#0,
301007,7,301008,301001,1#1350000|27#75|216#185,27#245|216#595,hp#68150|atk#0|spd#0|sklP#0,
301008,8,301009,301001,1#1400000|27#85|216#210,27#320|216#780,hp#77886|atk#0|spd#0|sklP#0,
301009,9,301010,301001,1#1450000|27#95|216#235,27#405|216#990,hp#87622|atk#0|spd#0|sklP#0,
