id,lv,next_id,pet_skill_id,cost,restore,effect,icon
1012022,22,1012023,1012001,1#1180771|27#200,27#2866|26#2100,hp#23021|atk#1521|brk#160,pet_skill_1012
1012023,23,1012024,1012001,1#1248142|27#207,27#3066|26#2100,hp#24068|atk#1590|brk#160,pet_skill_1012
1012024,24,1012025,1012001,1#1283600|27#212,27#3273|26#2100,hp#25114|atk#1659|brk#160,pet_skill_1012
1012025,25,1012026,1012001,1#1319059|27#218,27#3485|26#2100,hp#26161|atk#1728|brk#180,pet_skill_1012
1012026,26,1012027,1012001,1#1354517|27#225,27#3703|26#2100,hp#27207|atk#1798|brk#180,pet_skill_1012
1012027,27,1012028,1012001,1#1426554|27#230,27#3928|26#2100,hp#28254|atk#1867|brk#180,pet_skill_1012
1012028,28,1012029,1012001,1#1462946|27#235,27#4158|26#2100,hp#29300|atk#1936|brk#200,pet_skill_1012
1012029,29,1012030,1012001,1#1499338|27#241,27#4393|26#2100,hp#30346|atk#2005|brk#200,pet_skill_1012
1012030,30,1012031,1012001,1#1539338|27#265,27#4634|26#2100,hp#31710|atk#2095|brk#200,pet_skill_1012
1012031,31,1012032,1012001,1#1579338|27#292,27#4899|26#2100,hp#34881|atk#2147|brk#200,pet_skill_1012
1012032,32,1012033,1012001,1#1619338|27#321,27#5191|26#2100,hp#38052|atk#2199|brk#200,pet_skill_1012
1012033,33,1012034,1012001,1#1659338|27#353,27#5512|26#2100,hp#41223|atk#2251|brk#200,pet_skill_1012
1012034,34,1012035,1012001,1#1699338|27#388,27#5865|26#2100,hp#44394|atk#2303|brk#210,pet_skill_1012
1012035,35,1012036,1012001,1#1739338|27#427,27#6253|26#2100,hp#47565|atk#2355|brk#210,pet_skill_1012
1012036,36,1012037,1012001,1#1779338|27#470,27#6680|26#2100,hp#50736|atk#2407|brk#210,pet_skill_1012
1012037,37,1012038,1012001,1#1819338|27#517,27#7150|26#2100,hp#53907|atk#2459|brk#210,pet_skill_1012
1012038,38,1012039,1012001,1#1859338|27#569,27#7667|26#2100,hp#57078|atk#2511|brk#220,pet_skill_1012
1012039,39,1012040,1012001,1#1899338|27#626,27#8236|26#2100,hp#60249|atk#2563|brk#220,pet_skill_1012
1012040,40,1012041,1012001,1#1939338|27#689,27#8862|26#2100,hp#63420|atk#2615|brk#220,pet_skill_1012
1012041,41,1012042,1012001,1#1979338|27#758,27#9551|26#2100,hp#66591|atk#2667|brk#220,pet_skill_1012
1012042,42,1012043,1012001,1#2019338|27#834,27#10309|26#2100,hp#69762|atk#2719|brk#230,pet_skill_1012
1012043,43,1012044,1012001,1#2059338|27#917,27#11143|26#2100,hp#72933|atk#2771|brk#230,pet_skill_1012
1012044,44,1012045,1012001,1#2099338|27#1009,27#12060|26#2100,hp#76104|atk#2823|brk#230,pet_skill_1012
1012045,45,1012046,1012001,1#2139338|27#1110,27#13069|26#2100,hp#79275|atk#2875|brk#230,pet_skill_1012
1012046,46,1012047,1012001,1#2179338|27#1221,27#14179|26#2100,hp#82446|atk#2927|brk#240,pet_skill_1012
1012047,47,1012048,1012001,1#2219338|27#1343,27#15400|26#2100,hp#85617|atk#2979|brk#240,pet_skill_1012
1012048,48,1012049,1012001,1#2259338|27#1477,27#16743|26#2100,hp#88788|atk#3031|brk#240,pet_skill_1012
1012049,49,1012050,1012001,1#2299338|27#1625,27#18220|26#2100,hp#91959|atk#3083|brk#240,pet_skill_1012
1012050,50,0,1012001,,27#19845|26#2100,hp#95130|atk#3135|brk#250,pet_skill_1012
1013001,1,1013002,1013001,1#932187|27#158,27#0|26#4100,hp#1744|atk#115|hit#20,pet_skill_1013
1013002,2,1013003,1013001,1#966713|27#164,27#158|26#4100,hp#3488|atk#230|hit#20,pet_skill_1013
1013003,3,1013004,1013001,1#1001238|27#171,27#322|26#4100,hp#5232|atk#346|hit#20,pet_skill_1013
1013004,4,1013005,1013001,1#1063757|27#176,27#493|26#4100,hp#6976|atk#461|hit#40,pet_skill_1013
1013005,5,1013006,1013001,1#1099216|27#181,27#669|26#4100,hp#8720|atk#576|hit#40,pet_skill_1013
1013006,6,1013007,1013001,1#1164534|27#188,27#850|26#4100,hp#10464|atk#691|hit#40,pet_skill_1013
1013007,7,1013008,1013001,1#1200926|27#194,27#1038|26#4100,hp#12208|atk#806|hit#60,pet_skill_1013
1013008,8,1013009,1013001,1#1237318|27#199,27#1232|26#4100,hp#13952|atk#922|hit#60,pet_skill_1013
1013009,9,1013010,1013001,1#1306368|27#206,27#1431|26#4100,hp#15696|atk#1037|hit#60,pet_skill_1013
1013010,10,1013011,1013001,1#1343693|27#211,27#1637|26#4100,hp#17441|atk#1152|hit#80,pet_skill_1013
1013011,11,1013012,1013001,1#1415544|27#216,27#1848|26#4100,hp#19185|atk#1267|hit#80,pet_skill_1013
1013012,12,1013013,1013001,1#1453801|27#223,27#2064|26#4100,hp#20929|atk#1382|hit#80,pet_skill_1013
1013013,13,1013014,1013001,1#1492059|27#229,27#2287|26#4100,hp#22673|atk#1498|hit#100,pet_skill_1013
1013014,14,1013015,1013001,1#1567642|27#234,27#2516|26#4100,hp#24417|atk#1613|hit#100,pet_skill_1013
1013015,15,1013016,1013001,1#1606833|27#241,27#2750|26#4100,hp#26161|atk#1728|hit#100,pet_skill_1013
1013016,16,1013017,1013001,1#1685215|27#246,27#2991|26#4100,hp#27905|atk#1843|hit#120,pet_skill_1013
1013017,17,1013018,1013001,1#1725339|27#252,27#3237|26#4100,hp#29649|atk#1958|hit#120,pet_skill_1013
1013018,18,1013019,1013001,1#1765464|27#258,27#3489|26#4100,hp#31393|atk#2074|hit#120,pet_skill_1013
1013019,19,1013020,1013001,1#1847578|27#264,27#3747|26#4100,hp#33137|atk#2189|hit#140,pet_skill_1013
1013020,20,1013021,1013001,1#1888635|27#269,27#4011|26#4100,hp#34881|atk#2304|hit#140,pet_skill_1013
1013021,21,1013022,1013001,1#1973549|27#276,27#4280|26#4100,hp#36625|atk#2419|hit#140,pet_skill_1013
1013022,22,1013023,1013001,1#2015540|27#281,27#4556|26#4100,hp#38369|atk#2534|hit#160,pet_skill_1013
1013023,23,1013024,1013001,1#2057530|27#287,27#4837|26#4100,hp#40113|atk#2650|hit#160,pet_skill_1013
1013024,24,1013025,1013001,1#2146176|27#292,27#5124|26#4100,hp#41857|atk#2765|hit#160,pet_skill_1013
1013025,25,1013026,1013001,1#2189100|27#299,27#5416|26#4100,hp#43601|atk#2880|hit#180,pet_skill_1013
1013026,26,1013027,1013001,1#2280546|27#304,27#5715|26#4100,hp#45345|atk#2995|hit#180,pet_skill_1013
1013027,27,1013028,1013001,1#2324402|27#310,27#6019|26#4100,hp#47089|atk#3110|hit#180,pet_skill_1013
1013028,28,1013029,1013001,1#2368259|27#316,27#6329|26#4100,hp#48833|atk#3226|hit#200,pet_skill_1013
1013029,29,1013030,1013001,1#2463437|27#322,27#6645|26#4100,hp#50577|atk#3341|hit#200,pet_skill_1013
1013030,30,1013031,1013001,1#2518437|27#354,27#6967|26#4100,hp#52850|atk#3491|hit#200,pet_skill_1013
1013031,31,1013032,1013001,1#2573437|27#389,27#7321|26#4100,hp#58135|atk#3578|hit#200,pet_skill_1013
1013032,32,1013033,1013001,1#2628437|27#428,27#7710|26#4100,hp#63420|atk#3665|hit#200,pet_skill_1013
1013033,33,1013034,1013001,1#2683437|27#471,27#8138|26#4100,hp#68705|atk#3752|hit#200,pet_skill_1013
1013034,34,1013035,1013001,1#2738437|27#518,27#8609|26#4100,hp#73990|atk#3839|hit#220,pet_skill_1013
1013035,35,1013036,1013001,1#2793437|27#570,27#9127|26#4100,hp#79275|atk#3926|hit#220,pet_skill_1013
1013036,36,1013037,1013001,1#2848437|27#627,27#9697|26#4100,hp#84560|atk#4013|hit#220,pet_skill_1013
1013037,37,1013038,1013001,1#2903437|27#690,27#10324|26#4100,hp#89845|atk#4100|hit#220,pet_skill_1013
1013038,38,1013039,1013001,1#2958437|27#759,27#11014|26#4100,hp#95130|atk#4187|hit#240,pet_skill_1013
1013039,39,1013040,1013001,1#3013437|27#835,27#11773|26#4100,hp#100415|atk#4274|hit#240,pet_skill_1013
1013040,40,1013041,1013001,1#3068437|27#919,27#12608|26#4100,hp#105700|atk#4361|hit#240,pet_skill_1013
1013041,41,1013042,1013001,1#3123437|27#1011,27#13527|26#4100,hp#110985|atk#4448|hit#240,pet_skill_1013
1013042,42,1013043,1013001,1#3178437|27#1112,27#14538|26#4100,hp#116270|atk#4535|hit#260,pet_skill_1013
1013043,43,1013044,1013001,1#3233437|27#1223,27#15650|26#4100,hp#121555|atk#4622|hit#260,pet_skill_1013
1013044,44,1013045,1013001,1#3288437|27#1345,27#16873|26#4100,hp#126840|atk#4709|hit#260,pet_skill_1013
1013045,45,1013046,1013001,1#3343437|27#1480,27#18218|26#4100,hp#132125|atk#4796|hit#260,pet_skill_1013
1013046,46,1013047,1013001,1#3398437|27#1628,27#19698|26#4100,hp#137410|atk#4883|hit#280,pet_skill_1013
1013047,47,1013048,1013001,1#3453437|27#1791,27#21326|26#4100,hp#142695|atk#4970|hit#280,pet_skill_1013
1013048,48,1013049,1013001,1#3508437|27#1970,27#23117|26#4100,hp#147980|atk#5057|hit#280,pet_skill_1013
1013049,49,1013050,1013001,1#3563437|27#2167,27#25087|26#4100,hp#153265|atk#5144|hit#280,pet_skill_1013
1013050,50,0,1013001,,27#27254|26#4100,hp#158550|atk#5231|hit#300,pet_skill_1013
1014001,1,1014002,1014001,1#1606833|27#241,27#0|26#8300,hp#3139|atk#154|spd#4,pet_skill_1014
1014002,2,1014003,1014001,1#1685215|27#246,27#241|26#8300,hp#6279|atk#307|spd#4,pet_skill_1014
1014003,3,1014004,1014001,1#1725339|27#252,27#487|26#8300,hp#9418|atk#461|spd#4,pet_skill_1014
1014004,4,1014005,1014001,1#1806521|27#258,27#739|26#8300,hp#12557|atk#614|spd#8,pet_skill_1014
1014005,5,1014006,1014001,1#1847578|27#264,27#997|26#8300,hp#15696|atk#768|spd#8,pet_skill_1014
1014006,6,1014007,1014001,1#1888635|27#269,27#1261|26#8300,hp#18836|atk#922|spd#8,pet_skill_1014
1014007,7,1014008,1014001,1#1973549|27#276,27#1530|26#8300,hp#21975|atk#1075|spd#12,pet_skill_1014
1014008,8,1014009,1014001,1#2015540|27#281,27#1806|26#8300,hp#25114|atk#1229|spd#12,pet_skill_1014
1014009,9,1014010,1014001,1#2103253|27#287,27#2087|26#8300,hp#28254|atk#1383|spd#12,pet_skill_1014
1014010,10,1014011,1014001,1#2146176|27#292,27#2374|26#8300,hp#31393|atk#1536|spd#16,pet_skill_1014
1014011,11,1014012,1014001,1#2189100|27#299,27#2666|26#8300,hp#34532|atk#1690|spd#16,pet_skill_1014
1014012,12,1014013,1014001,1#2280546|27#304,27#2965|26#8300,hp#37671|atk#1843|spd#16,pet_skill_1014
1014013,13,1014014,1014001,1#2324402|27#310,27#3269|26#8300,hp#40811|atk#1997|spd#20,pet_skill_1014
1014014,14,1014015,1014001,1#2418648|27#316,27#3579|26#8300,hp#43950|atk#2151|spd#20,pet_skill_1014
1014015,15,1014016,1014001,1#2463437|27#322,27#3895|26#8300,hp#47089|atk#2304|spd#20,pet_skill_1014
1014016,16,1014017,1014001,1#2508227|27#327,27#4217|26#8300,hp#50229|atk#2458|spd#24,pet_skill_1014
1014017,17,1014018,1014001,1#2606205|27#334,27#4544|26#8300,hp#53368|atk#2611|spd#24,pet_skill_1014
1014018,18,1014019,1014001,1#2651928|27#339,27#4878|26#8300,hp#56507|atk#2765|spd#24,pet_skill_1014
1014019,19,1014020,1014001,1#2752704|27#345,27#5217|26#8300,hp#59647|atk#2919|spd#28,pet_skill_1014
1014020,20,1014021,1014001,1#2799360|27#351,27#5562|26#8300,hp#62786|atk#3072|spd#28,pet_skill_1014
1014021,21,1014022,1014001,1#2846016|27#357,27#5913|26#8300,hp#65925|atk#3226|spd#28,pet_skill_1014
1014022,22,1014023,1014001,1#2950526|27#362,27#6270|26#8300,hp#69064|atk#3380|spd#32,pet_skill_1014
1014023,23,1014024,1014001,1#2998115|27#369,27#6632|26#8300,hp#72204|atk#3533|spd#32,pet_skill_1014
1014024,24,1014025,1014001,1#3105424|27#374,27#7001|26#8300,hp#75343|atk#3687|spd#32,pet_skill_1014
1014025,25,1014026,1014001,1#3153946|27#380,27#7375|26#8300,hp#78482|atk#3840|spd#36,pet_skill_1014
1014026,26,1014027,1014001,1#3202468|27#387,27#7755|26#8300,hp#81622|atk#3994|spd#36,pet_skill_1014
1014027,27,1014028,1014001,1#3313510|27#392,27#8142|26#8300,hp#84761|atk#4148|spd#36,pet_skill_1014
1014028,28,1014029,1014001,1#3362965|27#397,27#8534|26#8300,hp#87900|atk#4301|spd#40,pet_skill_1014
1014029,29,1014030,1014001,1#3476806|27#404,27#8931|26#8300,hp#91039|atk#4455|spd#40,pet_skill_1014
1014030,30,1014031,1014001,1#3544806|27#444,27#9335|26#8300,hp#95130|atk#4655|spd#40,pet_skill_1014
1014031,31,1014032,1014001,1#3612806|27#488,27#9779|26#8300,hp#104643|atk#4771|spd#41,pet_skill_1014
1014032,32,1014033,1014001,1#3680806|27#537,27#10267|26#8300,hp#114156|atk#4887|spd#42,pet_skill_1014
1014033,33,1014034,1014001,1#3748806|27#591,27#10804|26#8300,hp#123669|atk#5003|spd#43,pet_skill_1014
1014034,34,1014035,1014001,1#3816806|27#650,27#11395|26#8300,hp#133182|atk#5119|spd#44,pet_skill_1014
1014035,35,1014036,1014001,1#3884806|27#715,27#12045|26#8300,hp#142695|atk#5235|spd#45,pet_skill_1014
1014036,36,1014037,1014001,1#3952806|27#787,27#12760|26#8300,hp#152208|atk#5351|spd#46,pet_skill_1014
1014037,37,1014038,1014001,1#4020806|27#866,27#13547|26#8300,hp#161721|atk#5467|spd#47,pet_skill_1014
1014038,38,1014039,1014001,1#4088806|27#953,27#14413|26#8300,hp#171234|atk#5583|spd#48,pet_skill_1014
1014039,39,1014040,1014001,1#4156806|27#1048,27#15366|26#8300,hp#180747|atk#5699|spd#49,pet_skill_1014
1014040,40,1014041,1014001,1#4224806|27#1153,27#16414|26#8300,hp#190260|atk#5815|spd#50,pet_skill_1014
1014041,41,1014042,1014001,1#4292806|27#1268,27#17567|26#8300,hp#199773|atk#5931|spd#51,pet_skill_1014
1014042,42,1014043,1014001,1#4360806|27#1395,27#18835|26#8300,hp#209286|atk#6047|spd#52,pet_skill_1014
1014043,43,1014044,1014001,1#4428806|27#1535,27#20230|26#8300,hp#218799|atk#6163|spd#53,pet_skill_1014
1014044,44,1014045,1014001,1#4496806|27#1689,27#21765|26#8300,hp#228312|atk#6279|spd#54,pet_skill_1014
1014045,45,1014046,1014001,1#4564806|27#1858,27#23454|26#8300,hp#237825|atk#6395|spd#55,pet_skill_1014
1014046,46,1014047,1014001,1#4632806|27#2044,27#25312|26#8300,hp#247338|atk#6511|spd#56,pet_skill_1014
1014047,47,1014048,1014001,1#4700806|27#2248,27#27356|26#8300,hp#256851|atk#6627|spd#57,pet_skill_1014
1014048,48,1014049,1014001,1#4768806|27#2473,27#29604|26#8300,hp#266364|atk#6743|spd#58,pet_skill_1014
1014049,49,1014050,1014001,1#4836806|27#2720,27#32077|26#8300,hp#275877|atk#6859|spd#59,pet_skill_1014
1014050,50,0,1014001,,27#34797|26#8300,hp#285390|atk#6975|spd#60,pet_skill_1014
2011001,1,2011002,2011001,1#24262|27#7,27#0|26#0,hp#593|atk#34,pet_skill_2011
2011002,2,2011003,2011001,1#45350|27#11,27#7|26#0,hp#1185|atk#68,pet_skill_2011
2011003,3,2011004,2011001,1#65506|27#17,27#18|26#0,hp#1778|atk#101,pet_skill_2011
2011004,4,2011005,2011001,1#85661|27#21,27#35|26#0,hp#2370|atk#135,pet_skill_2011
2011005,5,2011006,2011001,1#109735|27#26,27#56|26#0,hp#2963|atk#169,pet_skill_2011
2011006,6,2011007,2011001,1#130637|27#30,27#82|26#0,hp#3555|atk#203,pet_skill_2011
2011007,7,2011008,2011001,1#151539|27#36,27#112|26#0,hp#4148|atk#237,pet_skill_2011
2011008,8,2011009,2011001,1#178600|27#40,27#148|26#0,hp#4740|atk#270,pet_skill_2011
2011009,9,2011010,2011001,1#200248|27#44,27#188|26#0,hp#5333|atk#304,pet_skill_2011
2011010,10,2011011,2011001,1#221896|27#49,27#232|26#0,hp#5925|atk#338,pet_skill_2011
2011011,11,2011012,2011001,1#243545|27#53,27#281|26#0,hp#6518|atk#372,pet_skill_2011
2011012,12,2011013,2011001,1#274338|27#59,27#334|26#0,hp#7110|atk#406,pet_skill_2011
2011013,13,2011014,2011001,1#296733|27#63,27#393|26#0,hp#7703|atk#439,pet_skill_2011
2011014,14,2011015,2011001,1#319128|27#68,27#456|26#0,hp#8295|atk#473,pet_skill_2011
2011015,15,2011016,2011001,1#352906|27#72,27#524|26#0,hp#8888|atk#507,pet_skill_2011
2011016,16,2011017,2011001,1#376048|27#77,27#596|26#0,hp#9480|atk#541,pet_skill_2011
2011017,17,2011018,2011001,1#399189|27#81,27#673|26#0,hp#10073|atk#574,pet_skill_2011
2011018,18,2011019,2011001,1#435954|27#87,27#754|26#0,hp#10665|atk#608,pet_skill_2011
2011019,19,2011020,2011001,1#459842|27#91,27#841|26#0,hp#11258|atk#642,pet_skill_2011
2011020,20,2011021,2011001,1#483730|27#95,27#932|26#0,hp#11850|atk#676,pet_skill_2011
2011021,21,2011022,2011001,1#507618|27#100,27#1027|26#0,hp#12443|atk#710,pet_skill_2011
2011022,22,2011023,2011001,1#548115|27#104,27#1127|26#0,hp#13035|atk#743,pet_skill_2011
2011023,23,2011024,2011001,1#572750|27#110,27#1231|26#0,hp#13628|atk#777,pet_skill_2011
2011024,24,2011025,2011001,1#597384|27#114,27#1341|26#0,hp#14220|atk#811,pet_skill_2011
2011025,25,2011026,2011001,1#640867|27#119,27#1455|26#0,hp#14813|atk#845,pet_skill_2011
2011026,26,2011027,2011001,1#666248|27#123,27#1574|26#0,hp#15405|atk#879,pet_skill_2011
2011027,27,2011028,2011001,1#691629|27#129,27#1697|26#0,hp#15998|atk#912,pet_skill_2011
2011028,28,2011029,2011001,1#738098|27#133,27#1826|26#0,hp#16590|atk#946,pet_skill_2011
2011029,29,2011030,2011001,1#764226|27#138,27#1959|26#0,hp#17183|atk#980,pet_skill_2011
2011030,30,2011031,2011001,1#792226|27#152,27#2097|26#0,hp#17955|atk#1024,pet_skill_2011
2011031,31,2011032,2011001,1#820226|27#167,27#2249|26#0,hp#19750|atk#1049,pet_skill_2011
2011032,32,2011033,2011001,1#848226|27#184,27#2416|26#0,hp#21545|atk#1074,pet_skill_2011
2011033,33,2011034,2011001,1#876226|27#202,27#2600|26#0,hp#23340|atk#1099,pet_skill_2011
2011034,34,2011035,2011001,1#904226|27#222,27#2802|26#0,hp#25135|atk#1124,pet_skill_2011
2011035,35,2011036,2011001,1#932226|27#244,27#3024|26#0,hp#26930|atk#1149,pet_skill_2011
2011036,36,2011037,2011001,1#960226|27#268,27#3268|26#0,hp#28725|atk#1174,pet_skill_2011
2011037,37,2011038,2011001,1#988226|27#295,27#3536|26#0,hp#30520|atk#1199,pet_skill_2011
2011038,38,2011039,2011001,1#1016226|27#325,27#3831|26#0,hp#32315|atk#1224,pet_skill_2011
2011039,39,2011040,2011001,1#1044226|27#358,27#4156|26#0,hp#34110|atk#1249,pet_skill_2011
2011040,40,2011041,2011001,1#1072226|27#394,27#4514|26#0,hp#35905|atk#1274,pet_skill_2011
2011041,41,2011042,2011001,1#1100226|27#433,27#4908|26#0,hp#37700|atk#1299,pet_skill_2011
2011042,42,2011043,2011001,1#1128226|27#476,27#5341|26#0,hp#39495|atk#1324,pet_skill_2011
2011043,43,2011044,2011001,1#1156226|27#524,27#5817|26#0,hp#41290|atk#1349,pet_skill_2011
2011044,44,2011045,2011001,1#1184226|27#576,27#6341|26#0,hp#43085|atk#1374,pet_skill_2011
2011045,45,2011046,2011001,1#1212226|27#634,27#6917|26#0,hp#44880|atk#1399,pet_skill_2011
2011046,46,2011047,2011001,1#1240226|27#697,27#7551|26#0,hp#46675|atk#1424,pet_skill_2011
