id,score_ratio,allDmgRate,atkP,hpP,armP,spdP,miss,free,decDmg,hit,crit,critTime
50,50,2.55,13.25,25.5,1,1,400,500,345,400,600,600
51,51,2.6,13.5,26,1,1,450,500,350,450,800,800
52,52,2.65,13.75,26.5,1,1,450,500,355,450,800,800
53,53,2.7,14,27,1,1,450,500,360,450,800,800
54,54,2.75,14.25,27.5,1,1,450,500,365,450,800,800
55,55,2.8,14.5,28,1,1,450,500,370,450,800,800
56,56,2.85,14.75,28.5,1,1,450,500,375,450,800,800
57,57,2.9,15,29,1,1,450,500,380,450,800,800
58,58,2.95,15.25,29.5,1,1,450,500,385,450,800,800
59,59,3,15.5,30,1,1,450,500,390,450,800,800
60,60,3.02,15.75,30.5,1,1,450,500,395,450,800,800
61,61,3.04,16,31,1,1,500,500,400,500,800,800
62,62,3.06,16.25,31.5,1,1,500,500,405,500,800,800
63,63,3.08,16.5,32,1,1,500,500,410,500,800,800
64,64,3.1,16.75,32.5,1,1,500,500,415,500,800,800
65,65,3.12,17,33,1,1,500,500,420,500,800,800
66,66,3.14,17.25,33.5,1,1,500,500,425,500,800,800
67,67,3.16,17.5,34,1,1,500,500,430,500,800,800
68,68,3.18,17.75,34.5,1,1,500,500,435,500,800,800
69,69,3.2,18,35,1,1,500,500,440,500,800,800
70,70,3.22,18.25,35.5,1,1,500,500,445,500,800,800
71,71,3.24,18.5,36,1,1,550,500,450,550,800,800
72,72,3.26,18.75,36.5,1,1,550,500,455,550,800,800
73,73,3.28,19,37,1,1,550,500,460,550,800,800
74,74,3.3,19.25,37.5,1,1,550,500,465,550,800,800
75,75,3.32,19.5,38,1,1,550,500,470,550,800,800
76,76,3.34,19.75,38.5,1,1,550,500,475,550,800,800
77,77,3.36,20,39,1,1,550,500,480,550,800,800
78,78,3.38,20.25,39.5,1,1,550,500,485,550,800,800
79,79,3.4,20.5,40,1,1,550,500,490,550,800,800
80,80,3.42,20.75,40.5,1,1,550,500,495,550,800,800
81,81,3.44,21,41,1,1,600,500,500,600,800,800
82,82,3.46,21.25,41.5,1,1,600,500,505,600,800,800
83,83,3.48,21.5,42,1,1,600,500,510,600,800,800
84,84,3.5,21.75,42.5,1,1,600,500,515,600,800,800
85,85,3.52,22,43,1,1,600,500,520,600,800,800
86,86,3.54,22.25,43.5,1,1,600,500,525,600,800,800
87,87,3.56,22.5,44,1,1,600,500,530,600,800,800
88,88,3.58,22.75,44.5,1,1,600,500,535,600,800,800
89,89,3.6,23,45,1,1,600,500,540,600,800,800
90,90,3.62,23.25,45.5,1,1,600,500,545,600,800,800
91,91,3.64,23.5,46,1,1,650,500,550,650,800,800
92,92,3.66,23.75,46.5,1,1,650,500,555,650,800,800
93,93,3.68,24,47,1,1,650,500,560,650,800,800
94,94,3.7,24.25,47.5,1,1,650,500,565,650,800,800
95,95,3.72,24.5,48,1,1,650,500,570,650,800,800
96,96,3.74,24.75,48.5,1,1,650,500,575,650,800,800
97,97,3.76,25,49,1,1,650,500,580,650,800,800
98,98,3.78,25.25,49.5,1,1,650,500,585,650,800,800
99,99,3.8,25.5,50,1,1,650,500,590,650,800,800
100,100,3.82,25.75,50.5,1,1,650,500,595,650,800,800
101,101,3.84,26,51,1,1,700,500,600,700,800,800
102,102,3.86,26.25,51.5,1,1,700,500,600,700,800,800
103,103,3.88,26.5,52,1,1,700,500,600,700,800,800
104,104,3.9,26.75,52.5,1,1,700,500,600,700,800,800
105,105,3.92,27,53,1,1,700,500,600,700,800,800
106,106,3.94,27.25,53.5,1,1,700,500,600,700,800,800
107,107,3.96,27.5,54,1,1,700,500,600,700,800,800
108,108,3.98,27.75,54.5,1,1,700,500,600,700,800,800
109,109,4,28,55,1,1,700,500,600,700,800,800
110,110,4.02,28.25,55.5,1,1,700,500,600,700,800,800
111,111,4.04,28.5,56,1,1,750,500,600,750,800,800
112,112,4.06,28.75,56.5,1,1,750,500,600,750,800,800
113,113,4.08,29,57,1,1,750,500,600,750,800,800
114,114,4.1,29.25,57.5,1,1,750,500,600,750,800,800
115,115,4.12,29.5,58,1,1,750,500,600,750,800,800
116,116,4.14,29.75,58.5,1,1,750,500,600,750,800,800
117,117,4.16,30,59,1,1,750,500,600,750,800,800
118,118,4.18,30.25,59.5,1,1,750,500,600,750,800,800
119,119,4.2,30.5,60,1,1,750,500,600,750,800,800
120,120,4.22,30.75,60.5,1,1,750,500,600,750,800,800
121,121,4.24,31,61,1,1,800,500,600,800,800,800
122,122,4.26,31.25,61.5,1,1,800,500,600,800,800,800
123,123,4.28,31.5,62,1,1,800,500,600,800,800,800
124,124,4.3,31.75,62.5,1,1,800,500,600,800,800,800
125,125,4.32,32,63,1,1,800,500,600,800,800,800
126,126,4.34,32.25,63.5,1,1,800,500,600,800,800,800
127,127,4.36,32.5,64,1,1,800,500,600,800,800,800
128,128,4.38,32.75,64.5,1,1,800,500,600,800,800,800
129,129,4.4,33,65,1,1,800,500,600,800,800,800
130,130,4.42,33.25,65.5,1,1,800,500,600,800,800,800
131,131,4.44,33.5,66,1,1,850,500,600,850,800,800
132,132,4.46,33.75,66.5,1,1,850,500,600,850,800,800
133,133,4.48,34,67,1,1,850,500,600,850,800,800
134,134,4.5,34.25,67.5,1,1,850,500,600,850,800,800
135,135,4.52,34.5,68,1,1,850,500,600,850,800,800
136,136,4.54,34.75,68.5,1,1,850,500,600,850,800,800
137,137,4.56,35,69,1,1,850,500,600,850,800,800
138,138,4.58,35.25,69.5,1,1,850,500,600,850,800,800
139,139,4.6,35.5,70,1,1,850,500,600,850,800,800
140,140,4.62,35.75,70.5,1,1,850,500,600,850,800,800
141,141,4.64,36,71,1,1,900,500,600,900,800,800
142,142,4.66,36.25,71.5,1,1,900,500,600,900,800,800
143,143,4.68,36.5,72,1,1,900,500,600,900,800,800
144,144,4.7,36.75,72.5,1,1,900,500,600,900,800,800
145,145,4.72,37,73,1,1,900,500,600,900,800,800
146,146,4.74,37.25,73.5,1,1,900,500,600,900,800,800
147,147,4.76,37.5,74,1,1,900,500,600,900,800,800
148,148,4.78,37.75,74.5,1,1,900,500,600,900,800,800
149,149,4.8,38,75,1,1,900,500,600,900,800,800
150,150,4.82,38.25,75.5,1,1,900,500,600,900,800,800
151,151,4.84,38.5,76,1,1,950,500,600,950,800,800
152,152,4.86,38.75,76.5,1,1,950,500,600,950,800,800
153,153,4.88,39,77,1,1,950,500,600,950,800,800
154,154,4.9,39.25,77.5,1,1,950,500,600,950,800,800
155,155,4.92,39.5,78,1,1,950,500,600,950,800,800
156,156,4.94,39.75,78.5,1,1,950,500,600,950,800,800
157,157,4.96,40,79,1,1,950,500,600,950,800,800
158,158,5,40,79.5,1,1,950,500,600,950,800,800
159,159,5.05,40,80,1,1,950,500,600,950,800,800
160,160,5.1,40,80.5,1,1,950,500,600,950,800,800
161,161,5.15,40,81,1,1,1000,500,600,1000,800,800
162,162,5.2,40,81.5,1,1,1000,500,600,1000,800,800
163,163,5.25,40,82,1,1,1000,500,600,1000,800,800
164,164,5.3,40,82.5,1,1,1000,500,600,1000,800,800
165,165,5.35,40,83,1,1,1000,500,600,1000,800,800
166,166,5.4,40,83.5,1,1,1000,500,600,1000,800,800
167,167,5.45,40,84,1,1,1000,500,600,1000,800,800
168,168,5.5,40,84.5,1,1,1000,500,600,1000,800,800
169,169,5.55,40,85,1,1,1000,500,600,1000,800,800
170,170,5.6,40,85.5,1,1,1000,500,600,1000,800,800
171,171,5.65,40,86,1,1,1000,500,600,1000,800,800
172,172,5.7,40,86.5,1,1,1000,500,600,1000,800,800
173,173,5.75,40,87,1,1,1000,500,600,1000,800,800
174,174,5.8,40,87.5,1,1,1000,500,600,1000,800,800
175,175,5.85,40,88,1,1,1000,500,600,1000,800,800
176,176,5.9,40,88.5,1,1,1000,500,600,1000,800,800
177,177,5.95,40,89,1,1,1000,500,600,1000,800,800
178,178,6,40,89.5,1,1,1000,500,600,1000,800,800
179,179,6.05,40,90,1,1,1000,500,600,1000,800,800
180,180,6.1,40,90.5,1,1,1000,500,600,1000,800,800
181,181,6.15,40,91,1,1,1000,500,600,1000,800,800
182,182,6.2,40,91.5,1,1,1000,500,600,1000,800,800
183,183,6.25,40,92,1,1,1000,500,600,1000,800,800
184,184,6.3,40,92.5,1,1,1000,500,600,1000,800,800
185,185,6.35,40,93,1,1,1000,500,600,1000,800,800
186,186,6.4,40,93.5,1,1,1000,500,600,1000,800,800
187,187,6.45,40,94,1,1,1000,500,600,1000,800,800
188,188,6.5,40,94.5,1,1,1000,500,600,1000,800,800
189,189,6.55,40,95,1,1,1000,500,600,1000,800,800
190,190,6.6,40,95.5,1,1,1000,500,600,1000,800,800
191,191,6.65,40,96,1,1,1000,500,600,1000,800,800
192,192,6.7,40,96.5,1,1,1000,500,600,1000,800,800
193,193,6.75,40,97,1,1,1000,500,600,1000,800,800
194,194,6.8,40,97.5,1,1,1000,500,600,1000,800,800
195,195,6.85,40,98,1,1,1000,500,600,1000,800,800
196,196,6.9,40,98.5,1,1,1000,500,600,1000,800,800
197,197,6.95,40,99,1,1,1000,500,600,1000,800,800
198,198,7,40,99.5,1,1,1000,500,600,1000,800,800
199,199,7.05,40,100,1,1,1000,500,600,1000,800,800
200,200,7.1,40,100.5,1,1,1000,500,600,1000,800,800
201,201,7.15,40,101,1,1,1000,500,600,1000,800,800
202,202,7.2,40,101.5,1,1,1000,500,600,1000,800,800
203,203,7.25,40,102,1,1,1000,500,600,1000,800,800
204,204,7.3,40,102.5,1,1,1000,500,600,1000,800,800
205,205,7.35,40,103,1,1,1000,500,600,1000,800,800
206,206,7.4,40,103.5,1,1,1000,500,600,1000,800,800
207,207,7.45,40,104,1,1,1000,500,600,1000,800,800
208,208,7.5,40,104.5,1,1,1000,500,600,1000,800,800
209,209,7.55,40,105,1,1,1000,500,600,1000,800,800
210,210,7.6,40,105.5,1,1,1000,500,600,1000,800,800
211,211,7.65,40,106,1,1,1000,500,600,1000,800,800
212,212,7.7,40,106.5,1,1,1000,500,600,1000,800,800
213,213,7.75,40,107,1,1,1000,500,600,1000,800,800
214,214,7.8,40,107.5,1,1,1000,500,600,1000,800,800
215,215,7.85,40,108,1,1,1000,500,600,1000,800,800
216,216,7.9,40,108.5,1,1,1000,500,600,1000,800,800
217,217,7.95,40,109,1,1,1000,500,600,1000,800,800
218,218,8,40,109.5,1,1,1000,500,600,1000,800,800
219,219,8.05,40,110,1,1,1000,500,600,1000,800,800
220,220,8.1,40,110.5,1,1,1000,500,600,1000,800,800
221,221,8.15,40,111,1,1,1000,500,600,1000,800,800
222,222,8.2,40,111.5,1,1,1000,500,600,1000,800,800
223,223,8.25,40,112,1,1,1000,500,600,1000,800,800
224,224,8.3,40,112.5,1,1,1000,500,600,1000,800,800
225,225,8.35,40,113,1,1,1000,500,600,1000,800,800
226,226,8.4,40,113.5,1,1,1000,500,600,1000,800,800
227,227,8.45,40,114,1,1,1000,500,600,1000,800,800
228,228,8.5,40,114.5,1,1,1000,500,600,1000,800,800
229,229,8.55,40,115,1,1,1000,500,600,1000,800,800
230,230,8.6,40,115.5,1,1,1000,500,600,1000,800,800
231,231,8.65,40,116,1,1,1000,500,600,1000,800,800
232,232,8.7,40,116.5,1,1,1000,500,600,1000,800,800
233,233,8.75,40,117,1,1,1000,500,600,1000,800,800
