id,brief,decision_id,plot_id,earn_id,cost,favor_award,effect_id,awards,is_memory
10721,-1,10702,107206,,129#0,51009#5,1028176|1029046,,
10722,-1,10702,107207,,129#10,51009#10,,,
10723,-1,10702,107208,,129#15,51009#15,,130#1,1
10731,-1,10703,107307,,129#10,51009#15,,130#1,
10732,-1,10703,107308,,129#10,51009#10,1028176|1029046,,
10733,-1,10703,107310,,129#5,51009#5,,,1
10811,-1,10801,108104,,129#15,51009#15,,130#1,1
10812,-1,10801,108105,,129#10,51009#10,1028176|1029046,,
10813,-1,10801,108106,,129#0,51009#5,,,
10821,-1,10802,108205,,129#10,51009#10,1028176|1029046,,
10822,-1,10802,108206,,129#0,51009#5,,,
10823,-1,10802,108207,,129#15,51009#15,,130#1,1
10831,-1,10803,108305,,129#8,51009#15,,,
10832,-1,10803,108307,,129#8,51009#10,1028176|1029046,,
10833,-1,10803,108308,,129#9,51009#5,,130#1,1
10911,-1,10901,109106,,129#0,51009#5,,,
10912,-1,10901,109108,,129#10,51009#10,1028176|1029046,,
10913,-1,10901,109109,,129#15,51009#15,,130#1,1
10921,-1,10902,109205,,129#12,51009#15,,130#1,1
10922,-1,10902,109207,,129#13,51009#10,1028176|1029046,,
10923,-1,10902,109209,,129#0,51009#5,,,
10931,-1,10903,109304,,129#15,51009#15,1028176|1029046,,1
10932,-1,10903,109306,,129#10,51009#10,,130#1,
10933,-1,10903,109308,,129#0,51009#5,,,
11011,-1,11001,110104,,129#9,51009#10,,,
11012,-1,11001,110105,,129#9,51009#10,1028176|1029046,,
11013,-1,11001,110106,,129#8,51009#10,,130#1,1
11021,-1,11002,110205,,129#0,51009#5,,,
11022,-1,11002,110206,,129#10,51009#10,1028176|1029046,,
11023,-1,11002,110207,,129#15,51009#15,,130#1,1
11031,-1,11003,110304,,129#8,51009#10,1028176|1029046,,1
11032,-1,11003,110305,,129#8,51009#10,,130#1,
11033,-1,11003,110308,,129#9,51009#10,,,
11111,-1,11101,111105,,129#0,51009#5,,,
11112,-1,11101,111107,,129#10,51009#10,1028176|1029046,,
11113,-1,11101,111109,,129#15,51009#15,,130#1,1
11121,-1,11102,111205,,129#8,51009#5,1028176|1029046,,
11122,-1,11102,111208,,129#8,51009#10,,130#1,1
11123,-1,11102,111209,,129#9,51009#15,,,
11131,-1,11103,111303,,129#10,51009#10,1028176|1029046,,
11132,-1,11103,111305,,129#15,51009#15,,130#1,1
11133,-1,11103,111307,,129#0,51009#5,,,
11211,-1,11201,112107,,129#0,51009#5,,,
11212,-1,11201,112108,,129#10,51009#10,1028176|1029046,,
11213,-1,11201,112109,,129#15,51009#15,,130#1,1
11221,-1,11202,112204,,129#15,51009#15,,130#1,1
11222,-1,11202,112205,,129#10,51009#10,1028176|1029046,,
11223,-1,11202,112208,,129#0,51009#5,,,
11231,-1,11203,112304,,129#15,51009#15,,130#1,1
11232,-1,11203,112305,,129#10,51009#10,1028176|1029046,,
11233,-1,11203,112306,,129#0,51009#5,,,
11311,-1,11301,113105,,129#8,51009#15,,,
11312,-1,11301,113106,,129#10,51009#10,,130#1,1
11313,-1,11301,113107,,129#12,51009#5,1028176|1029046,,
11321,-1,11302,113207,,129#8,51009#10,,130#1,1
11322,-1,11302,113208,,129#10,51009#15,1028176|1029046,,
11323,-1,11302,113209,,129#8,51009#5,,,
11331,-1,11303,113306,,129#0,51009#5,,,
11332,-1,11303,113307,,129#10,51009#10,,130#1,
11333,-1,11303,113309,,129#15,51009#15,1028176|1029046,,1
11411,-1,11401,114105,,129#8,51009#5,,130#1,1
11412,-1,11401,114107,,129#10,51009#10,,,
11413,-1,11401,114109,,129#8,51009#15,1028176|1029046,,
11421,-1,11402,114204,,129#8,51009#5,,,
11422,-1,11402,114206,,129#8,51009#10,1028176|1029046,,
11423,-1,11402,114209,,129#9,51009#15,,130#1,1
11431,-1,11403,114304,,129#0,51009#5,,,
11432,-1,11403,114305,,129#10,51009#10,1028176|1029046,,
11433,-1,11403,114306,,129#15,51009#15,,130#1,1
11511,-1,11501,115106,,129#0,51009#5,,,
11512,-1,11501,115107,,129#10,51009#10,,130#1,1
11513,-1,11501,115108,,129#15,51009#15,1028176|1029046,,
11521,-1,11502,115205,,129#0,51009#5,,,
11522,-1,11502,115206,,129#10,51009#10,1028176|1029046,,
11523,-1,11502,115207,,129#15,51009#15,,130#1,1
11531,-1,11503,115304,,129#0,51009#5,,,
11532,-1,11503,115305,,129#10,51009#10,,130#1,
11533,-1,11503,115307,,129#15,51009#15,1028176|1029046,,1
20111,-1,20101,201105,,129#0,51006#5,,,
20112,-1,20101,201106,,129#10,51006#10,1028176|1029046,,
20113,-1,20101,201108,,129#15,51006#15,,130#1,1
20121,-1,20102,201205,,129#8,51006#10,1028176|1029046,,
20122,-1,20102,201207,,129#8,51006#15,,130#1,1
20123,-1,20102,201210,,129#8,51006#5,,,
20131,-1,20102,201307,,129#8,51006#15,,130#1,1
20132,-1,20103,201309,,129#8,51006#5,1028176|1029046,,
20133,-1,20103,201312,,129#8,51006#10,,,
20211,-1,20201,202105,,129#10,51006#10,1028176|1029046,,
20212,-1,20201,202108,,129#0,51006#5,,,
20213,-1,20201,202109,,129#15,51006#15,,130#1,1
20221,-1,20202,202207,,129#15,51006#5,,,
20222,-1,20202,202208,,129#10,51006#10,,130#1,
20223,-1,20202,202211,,129#0,51006#15,1028176|1029046,,1
20231,-1,20203,202306,,129#0,51006#5,,,
20232,-1,20203,202307,,129#15,51006#15,,130#1,1
20233,-1,20203,202310,,129#10,51006#10,1028176|1029046,,
20311,-1,20301,203105,,129#8,51006#5,,,
20312,-1,20301,203106,,129#8,51006#10,1028176|1029046,,
20313,-1,20301,203108,,129#8,51006#15,,130#1,1
20321,-1,20302,203205,,129#0,51006#5,,,
20322,-1,20302,203206,,129#10,51006#10,1028176|1029046,,
20323,-1,20302,203209,,129#15,51006#15,,130#1,1
20331,-1,20303,203305,,129#15,51006#5,,130#1,
20332,-1,20303,203308,,129#10,51006#10,1028176|1029046,,
20333,-1,20303,203310,,129#0,51006#15,,,1
20411,-1,20401,204105,,129#15,51006#15,1028176|1029046,,
20412,-1,20401,204106,,129#10,51006#10,,130#1,1
20413,-1,20401,204109,,129#0,51006#5,,,
20421,-1,20402,204204,,129#0,51006#5,,,
20422,-1,20402,204205,,129#10,51006#10,1028176|1029046,,
20423,-1,20402,204208,,129#15,51006#15,,130#1,1
20431,-1,20403,204304,,129#0,51006#5,,,
20432,-1,20403,204307,,129#10,51006#10,1028176|1029046,,
20433,-1,20403,204314,,129#15,51006#15,,130#1,1
20511,-1,20501,205106,,129#0,51006#5,,,
20512,-1,20501,205107,,129#10,51006#10,,130#1,1
20513,-1,20501,205110,,129#15,51006#15,1028176|1029046,,
20521,-1,20502,205205,,129#8,51006#5,,,
20522,-1,20502,205208,,129#8,51006#10,1028176|1029046,,
20523,-1,20502,205210,,129#9,51006#15,,130#1,1
20531,-1,20503,205304,,129#5,51006#5,,,
20532,-1,20503,205307,,129#8,51006#15,,130#1,1
20533,-1,20503,205312,,129#12,51006#10,1028176|1029046,,
20611,-1,20601,206104,,129#8,51006#15,,130#1,1
20612,-1,20601,206105,,129#12,51006#10,1028176|1029046,,
20613,-1,20601,206108,,129#5,51006#5,,,
20621,-1,20602,206205,,129#0,51006#5,,,
20622,-1,20602,206207,,129#10,51006#10,1028176|1029046,,
20623,-1,20602,206209,,129#15,51006#15,,130#1,1
20631,-1,20603,206304,,129#15,51006#15,,130#1,1
20632,-1,20603,206305,,129#10,51006#10,1028176|1029046,,
20633,-1,20603,206306,,129#0,51006#5,,,
20711,-1,20701,207107,,129#15,51006#15,,130#1,1
20712,-1,20701,207110,,129#10,51006#10,1028176|1029046,,
20713,-1,20701,207114,,129#0,51006#5,,,
20721,-1,20702,207204,,129#9,51006#15,,130#1,1
20722,-1,20702,207208,,129#8,51006#10,1028176|1029046,,
20723,-1,20702,207212,,129#8,51006#5,,,
20731,-1,20703,207306,,129#15,51006#15,,130#1,1
20732,-1,20703,207310,,129#10,51006#10,1028176|1029046,,
20733,-1,20703,207313,,129#0,51006#5,,,
20811,-1,20801,208107,,129#15,51006#15,,130#1,1
20812,-1,20801,208111,,129#10,51006#10,1028176|1029046,,
20813,-1,20801,208114,,129#0,51006#5,,,
20821,-1,20802,208205,,129#15,51006#5,,130#1,1
20822,-1,20802,208209,,129#10,51006#10,1028176|1029046,,
20823,-1,20802,208214,,129#0,51006#15,,,
20831,-1,20803,208305,,129#0,51006#5,,,
20832,-1,20803,208306,,129#10,51006#10,1028176|1029046,,
20833,-1,20803,208309,,129#15,51006#15,,130#1,1
20911,-1,20901,209105,,129#10,51006#10,1028176|1029046,,
20912,-1,20901,209106,,129#0,51006#5,,,
20913,-1,20901,209107,,129#15,51006#15,,130#1,1
20921,-1,20902,209207,,129#0,51006#5,,,
20922,-1,20902,209210,,129#15,51006#10,1028176|1029046,,
20923,-1,20902,209213,,129#10,51006#15,,130#1,1
20931,-1,20903,209304,,129#9,51006#5,,,
20932,-1,20903,209305,,129#8,51006#10,1028176|1029046,,
20933,-1,20903,209306,,129#8,51006#15,,130#1,1
21011,-1,21001,210105,,129#0,51006#5,,,
21012,-1,21001,210106,,129#10,51006#10,1028176|1029046,,
21013,-1,21001,210107,,129#15,51006#15,,130#1,1
21021,-1,21002,210205,,129#0,51006#5,,,
21022,-1,21002,210206,,129#10,51006#10,1028176|1029046,,
21023,-1,21002,210209,,129#15,51006#15,,130#1,1
21031,-1,21003,210304,,129#10,51006#10,1028176|1029046,,
21032,-1,21003,210305,,129#15,51006#15,,130#1,1
21033,-1,21003,210308,,129#0,51006#5,,,
21111,-1,21101,211106,,129#0,51006#5,,,
21112,-1,21101,211107,,129#10,51006#10,1028176|1029046,,
21113,-1,21101,211109,,129#15,51006#15,,130#1,1
21121,-1,21102,211204,,129#0,51006#5,,,
21122,-1,21102,211207,,129#10,51006#10,1028176|1029046,,
21123,-1,21102,211209,,129#15,51006#15,,130#1,1
21131,-1,21103,211303,,129#15,51006#15,,130#1,1
21132,-1,21103,211306,,129#10,51006#10,1028176|1029046,,
21133,-1,21103,211308,,129#0,51006#5,,,
21211,-1,21201,212107,,129#10,51006#10,1028176|1029046,,
21212,-1,21201,212110,,129#0,51006#5,,,
21213,-1,21201,212111,,129#15,51006#15,,130#1,1
21221,-1,21202,212205,,129#0,51006#5,,,
21222,-1,21202,212206,,129#10,51006#10,1028176|1029046,,
21223,-1,21202,212208,,129#15,51006#15,,130#1,1
21231,-1,21203,212304,,129#15,51006#15,,130#1,1
21232,-1,21203,212305,,129#10,51006#10,1028176|1029046,,
21233,-1,21203,212307,,129#0,51006#5,,,
21311,-1,21301,213107,,129#0,51006#5,,,
21312,-1,21301,213108,,129#10,51006#10,1028176|1029046,,
21313,-1,21301,213110,,129#15,51006#15,,130#1,1
21321,-1,21302,213203,,129#15,51006#15,,130#1,1
21322,-1,21302,213205,,129#10,51006#10,1028176|1029046,,
21323,-1,21302,213209,,129#0,51006#5,,,
21331,-1,21303,213303,,129#0,51006#5,,,
21332,-1,21303,213305,,129#10,51006#10,1028176|1029046,,
21333,-1,21303,213308,,129#15,51006#15,,130#1,1
21411,-1,21401,214107,,129#0,51006#15,,130#1,1
21412,-1,21401,214109,,129#10,51006#10,1028176|1029046,,
21413,-1,21401,214113,,129#15,51006#5,,,
21421,-1,21402,214205,,129#10,51006#10,1028176|1029046,,
21422,-1,21402,214209,,129#0,51006#5,,,
21423,-1,21402,214212,,129#15,51006#15,,130#1,1
21431,-1,21403,214305,,129#9,51006#10,,130#1,1
21432,-1,21403,214307,,129#8,51006#5,1028176|1029046,,
21433,-1,21403,214309,,129#8,51006#15,,,
21511,-1,21501,215105,,129#15,51006#15,,130#1,1
21512,-1,21501,215107,,129#10,51006#10,1028176|1029046,,
21513,-1,21501,215109,,129#0,51006#5,,,
21521,-1,21502,215205,,129#15,51006#15,,130#1,1
21522,-1,21502,215212,,129#10,51006#10,1028176|1029046,,
21523,-1,21502,215214,,129#0,51006#5,,,
21531,-1,21503,215303,,129#15,51006#15,,130#1,1
21532,-1,21503,215305,,129#10,51006#10,1028176|1029046,,
21533,-1,21503,215308,,129#0,51006#5,,,
30111,-1,30101,301106,,129#10,51006#10,1028176|1029046,,
30112,-1,30101,301109,,129#0,51006#5,,,
30113,-1,30101,301111,,129#15,51006#15,,130#1,1
30121,-1,30102,301206,,129#0,51006#5,,,
30122,-1,30102,301208,,129#15,51006#15,,130#1,1
30123,-1,30102,301212,,129#10,51006#10,1028176|1029046,,
30131,-1,30103,301305,,129#8,51006#15,1028176|1029046,,
30132,-1,30103,301308,,129#8,51006#10,,130#1,1
30133,-1,30103,301311,,129#9,51006#5,,,
30211,-1,30201,302106,,129#15,54008#15,,130#1,1
30212,-1,30201,302110,,129#10,54008#10,1028176|1029046,,
30213,-1,30201,302115,,129#0,54008#5,,,
30221,-1,30202,302205,,129#0,54008#5,,,
30222,-1,30202,302208,,129#10,54008#10,1028176|1029046,,
30223,-1,30202,302211,,129#15,54008#15,,130#1,1
30231,-1,30203,302303,,129#0,54008#5,,,
30232,-1,30203,302307,,129#10,54008#10,1028176|1029046,,
30233,-1,30203,302310,,129#15,54008#15,,130#1,1
30311,-1,30301,303105,,129#10,54008#10,1028176|1029046,,
30312,-1,30301,303106,,129#15,54008#15,,130#1,1
30313,-1,30301,303111,,129#0,54008#5,,,
30321,-1,30302,303205,,129#0,54008#5,,,
30322,-1,30302,303208,,129#10,54008#15,,130#1,1
30323,-1,30302,303212,,129#15,54008#10,1028176|1029046,,
30331,-1,30303,303304,,129#10,54008#10,1028176|1029046,,
30332,-1,30303,303306,,129#15,54008#15,,130#1,1
30333,-1,30303,303310,,129#0,54008#5,,,
30411,-1,30401,304104,,129#15,54008#15,,130#1,1
30412,-1,30401,304108,,129#10,54008#10,1028176|1029046,,
30413,-1,30401,304112,,129#0,54008#5,,,
30421,-1,30402,304204,,129#5,54008#5,,,
30422,-1,30402,304206,,129#5,54008#10,1028176|1029046,,
30423,-1,30402,304208,,129#15,54008#15,,130#1,1
30431,-1,30403,304303,,129#0,54008#15,,,
30432,-1,30403,304306,,129#10,54008#5,,130#1,1
30433,-1,30403,304311,,129#15,54008#10,1028176|1029046,,
30511,-1,30501,305105,,129#0,54008#5,,,
30512,-1,30501,305109,,129#10,54008#10,1028176|1029046,,
30513,-1,30501,305115,,129#15,54008#15,,130#1,1
30521,-1,30502,305203,,129#10,54008#10,1028176|1029046,,
30522,-1,30502,305206,,129#15,54008#15,,130#1,1
30523,-1,30502,305209,,129#0,54008#5,,,
30531,-1,30503,305304,,129#8,54008#5,,,
30532,-1,30503,305307,,129#8,54008#10,1028176|1029046,,
30533,-1,30503,305310,,129#9,54008#15,,130#1,1
30611,-1,30601,306105,,129#15,54008#15,,130#1,1
30612,-1,30601,306107,,129#10,54008#10,1028176|1029046,,
30613,-1,30601,306110,,129#0,54008#5,,,
30621,-1,30602,306204,,129#0,54008#5,,,
30622,-1,30602,306205,,129#10,54008#10,1028176|1029046,,
30623,-1,30602,306207,,129#15,54008#15,,130#1,1
30631,-1,30603,306304,,129#0,54008#5,,,
30632,-1,30603,306306,,129#10,54008#10,1028176|1029046,,
30633,-1,30603,306307,,129#15,54008#15,,130#1,1
30711,-1,10501,307104,,129#0,54008#10,1028176|1029046,,
30712,-1,10501,307105,,129#10,54008#15,,130#1,1
30713,-1,10501,307106,,129#15,54008#5,,,
30721,-1,10502,307204,,129#15,54008#15,,130#1,1
30722,-1,10502,307206,,129#10,54008#10,1028176|1029046,,
30723,-1,10502,307207,,129#0,54008#5,,,
30731,-1,10503,307304,,129#8,54008#10,,,
30732,-1,10503,307305,,129#8,54008#10,1028176|1029046,,
30733,-1,10503,307308,,129#9,54008#10,,130#1,1
30811,-1,20701,308105,,129#0,54008#15,,130#1,1
30812,-1,20701,308107,,129#15,54008#5,1028176|1029046,,
30813,-1,20701,308110,,129#10,54008#10,,,
30821,-1,20702,308203,,129#15,54008#5,,,
30822,-1,20702,308205,,129#10,54008#10,,130#1,1
30823,-1,20702,308209,,129#0,54008#15,1028176|1029046,,
30831,-1,20703,308302,,129#15,54008#15,,130#1,1
30832,-1,20703,308305,,129#10,54008#10,1028176|1029046,,
30833,-1,20703,308307,,129#0,54008#5,,,
30911,-1,30901,309107,,129#15,54008#15,,130#1,1
30912,-1,30901,309111,,129#10,54008#5,,,
30913,-1,30901,309115,,129#0,54008#10,1028176|1029046,,
30921,-1,30902,309204,,129#15,54008#10,,130#1,1
30922,-1,30902,309209,,129#10,54008#10,1028176|1029046,,
30923,-1,30902,309213,,129#0,54008#10,,,
30931,-1,30903,309303,,129#10,54008#15,,130#1,1
30932,-1,30903,309306,,129#15,54008#10,1028176|1029046,,
30933,-1,30903,309308,,129#0,54008#5,,,
31011,-1,31001,310107,,129#10,54008#10,1028176|1029046,,
31012,-1,31001,310111,,129#0,54008#5,,,
31013,-1,31001,310116,,129#15,54008#15,,130#1,1
31021,-1,31002,310206,,129#10,54008#10,1028176|1029046,,
31022,-1,31002,310210,,129#15,54008#15,,130#1,1
31023,-1,31002,310214,,129#0,54008#5,,,
31031,-1,31003,310306,,129#0,54008#5,,,
31032,-1,31003,310310,,129#10,54008#10,1028176|1029046,,
31033,-1,31003,310315,,129#15,54008#15,,130#1,1
31111,-1,31101,311104,,129#15,54008#15,,130#1,1
31112,-1,31101,311108,,129#10,54008#10,1028176|1029046,,
31113,-1,31101,311110,,129#0,54008#5,,,
31121,-1,31102,311203,,129#15,54008#15,,130#1,1
31122,-1,31102,311206,,129#10,54008#10,1028176|1029046,,
31123,-1,31102,311210,,129#0,54008#5,,,
31131,-1,31103,311305,,129#15,54008#15,,130#1,1
31132,-1,31103,311309,,129#5,54008#10,1028176|1029046,,
31133,-1,31103,311312,,129#5,54008#5,,,
31211,-1,20401,312106,,129#0,54008#5,,,
31212,-1,20401,312108,,129#15,54008#15,,130#1,1
31213,-1,20401,312111,,129#10,54008#10,1028176|1029046,,
31221,-1,20402,312204,,129#15,54008#15,,130#1,1
31222,-1,20402,312206,,129#10,54008#10,1028176|1029046,,
31223,-1,20402,312207,,129#0,54008#5,,,
31231,-1,20403,312305,,129#15,54008#15,,130#1,1
31232,-1,20403,312307,,129#10,54008#10,1028176|1029046,,
31233,-1,20403,312310,,129#0,54008#5,,,
31311,-1,31301,313104,,129#15,54008#15,,130#1,1
31312,-1,31301,313106,,129#10,54008#10,1028176|1029046,,
31313,-1,31301,313109,,129#0,54008#5,,,
31321,-1,31302,313206,,129#0,54008#5,,,
31322,-1,31302,313208,,129#10,54008#10,1028176|1029046,,
31323,-1,31302,313210,,129#15,54008#15,,130#1,1
31331,-1,31303,313304,,129#15,54008#15,,130#1,1
31332,-1,31303,313306,,129#10,54008#10,1028176|1029046,,
31333,-1,31303,313309,,129#0,54008#5,,,
31411,-1,31401,314103,,129#15,54008#10,,130#1,1
31412,-1,31401,314107,,129#10,54008#10,1028176|1029046,,
31413,-1,31401,314112,,129#0,54008#10,,,
31421,-1,31402,314204,,129#15,54008#15,,130#1,1
31422,-1,31402,314209,,129#10,54008#10,1028176|1029046,,
31423,-1,31402,314212,,129#0,54008#5,,,
31431,-1,31403,314306,,129#15,54008#15,,130#1,1
31432,-1,31403,314312,,129#10,54008#10,1028176|1029046,,
31433,-1,31403,314316,,129#0,54008#5,,,
31511,-1,31501,315104,,129#0,54008#5,,,
31512,-1,31501,315106,,129#10,54008#10,1028176|1029046,,
31513,-1,31501,315108,,129#15,54008#15,,130#1,1
31521,-1,31502,315206,,129#0,54008#5,,,
31522,-1,31502,315209,,129#10,54008#10,1028176|1029046,,
31523,-1,31502,315211,,129#15,54008#15,,130#1,1
31531,-1,31503,315305,,129#0,54008#5,,,
31532,-1,31503,315306,,129#10,54008#10,1028176|1029046,,
31533,-1,31503,315308,,129#15,54008#15,,130#1,1
40101,-1,40001,,40101,,,,129#20,
40102,-1,40001,,40102,,,,129#15,
40103,-1,40001,,40103,,,,129#10,
40201,-1,40002,,40201,,,,129#10,
40202,-1,40002,,40202,,,,129#15,
40203,-1,40002,,40203,,,,129#20,
40301,-1,40003,,40301,,,,129#15,
40302,-1,40003,,40302,,,,129#5,
40303,-1,40003,,40303,,,,129#25,
40401,-1,40004,,40401,,,,,
40402,-1,40004,,40402,,,,129#25,
40403,-1,40004,,40403,,,,129#20,
40501,-1,40005,,40501,,,,129#15,
40502,-1,40005,,40502,,,,129#25,
40503,-1,40005,,40503,,,,129#5,
40601,-1,40006,,40601,,,,129#15,
40602,-1,40006,,40602,,,,129#10,
40603,-1,40006,,40603,,,,129#20,
40701,-1,40007,,40701,,,,129#15,
40702,-1,40007,,40702,,,,129#20,
40703,-1,40007,,40703,,,,129#10,
40801,-1,40008,,40801,,,,129#25,
40802,-1,40008,,40802,,,,129#15,
40803,-1,40008,,40803,,,,129#5,
40901,-1,40009,,40901,,,,129#5,
40902,-1,40009,,40902,,,,129#15,
40903,-1,40009,,40903,,,,129#25,
41001,-1,40010,,41001,,,,129#25,
41002,-1,40010,,41002,,,,129#15,
41003,-1,40010,,41003,,,,129#5,
41101,-1,40011,,41101,,,,129#5,
41102,-1,40011,,41102,,,,129#20,
41103,-1,40011,,41103,,,,129#20,
41201,-1,40012,,41201,,,,129#10,
41202,-1,40012,,41202,,,,129#15,
41203,-1,40012,,41203,,,,129#20,
41301,-1,40013,,41301,,,,129#25,
41302,-1,40013,,41302,,,,129#15,
41303,-1,40013,,41303,,,,129#5,
41401,-1,40014,,41401,,,,129#25,
41402,-1,40014,,41402,,,,129#5,
41403,-1,40014,,41403,,,,129#15,
41501,-1,40015,,41501,,,,129#15,
41502,-1,40015,,41502,,,,129#5,
41503,-1,40015,,41503,,,,129#25,
41601,-1,40016,,41601,,,,129#10,
41602,-1,40016,,41602,,,,129#5,
41603,-1,40016,,41603,,,,129#30,
41701,-1,40017,,41701,,,,129#10,
41702,-1,40017,,41702,,,,129#20,
41703,-1,40017,,41703,,,,129#15,
41801,-1,40018,,41801,,,,129#20,
41802,-1,40018,,41802,,,,129#15,
41803,-1,40018,,41803,,,,129#10,
41901,-1,40019,,41901,,,,129#15,
41902,-1,40019,,41902,,,,129#15,
41903,-1,40019,,41903,,,,129#15,
42001,-1,40020,,42001,,,,129#20,
42002,-1,40020,,42002,,,,,
42003,-1,40020,,42003,,,,129#25,
42101,-1,40021,,42101,,,,129#20,
42102,-1,40021,,42102,,,,129#15,
42103,-1,40021,,42103,,,,129#15,
101001,-1,100001|100003|100004|100005|100006|100007|100008|100009,,,,51009#15,,130#1,
101002,-1,100001|100003|100004|100005|100006|100007|100008|100009,,,,51006#15,,130#1,
101003,-1,100001|100003|100004|100005|100006|100007|100008|100009,,,,54008#15,,130#1,
102001,-1,100002,,,,51009#15,,130#1,
102002,-1,100002,,,,51006#15,,130#1,
102003,-1,100002,,,,54008#15,,130#1,
