id,cost2,cost3,cost4,cost5,cost6,num2,num3,num4,num5,num6
25,1#1350000|325#1300,1#1350000|325#1300,1#1350000|325#1300,1#1350000|325#1300,1#1350000|325#1300,,,,,
26,1#1400000|325#1350,1#1400000|325#1350,1#1400000|325#1350,1#1400000|325#1350,1#1400000|325#1350,,,,,
27,1#1450000|325#1400,1#1450000|325#1400,1#1450000|325#1400,1#1450000|325#1400,1#1450000|325#1400,,,,,
28,1#1500000|325#1450,1#1500000|325#1450,1#1500000|325#1450,1#1500000|325#1450,1#1500000|325#1450,,,,,
29,1#1550000|325#1500,1#1550000|325#1500,1#1550000|325#1500,1#1550000|325#1500,1#1550000|325#1500,,,,,
30,1#1600000|326#150,1#1600000|326#150,1#1600000|326#150,1#1600000|326#150,1#1600000|326#150,4,6,8,10,10
31,1#1650000|325#1600,1#1650000|325#1600,1#1650000|325#1600,1#1650000|325#1600,1#1650000|325#1600,,,,,
32,1#1700000|325#1650,1#1700000|325#1650,1#1700000|325#1650,1#1700000|325#1650,1#1700000|325#1650,,,,,
33,1#1750000|325#1700,1#1750000|325#1700,1#1750000|325#1700,1#1750000|325#1700,1#1750000|325#1700,,,,,
34,1#1800000|325#1750,1#1800000|325#1750,1#1800000|325#1750,1#1800000|325#1750,1#1800000|325#1750,,,,,
35,1#1850000|325#1800,1#1850000|325#1800,1#1850000|325#1800,1#1850000|325#1800,1#1850000|325#1800,,,,,
36,1#1900000|325#1850,1#1900000|325#1850,1#1900000|325#1850,1#1900000|325#1850,1#1900000|325#1850,,,,,
37,1#1950000|325#1900,1#1950000|325#1900,1#1950000|325#1900,1#1950000|325#1900,1#1950000|325#1900,,,,,
38,1#2000000|325#1950,1#2000000|325#1950,1#2000000|325#1950,1#2000000|325#1950,1#2000000|325#1950,,,,,
39,1#2050000|325#2000,1#2050000|325#2000,1#2050000|325#2000,1#2050000|325#2000,1#2050000|325#2000,,,,,
40,1#2100000|326#200,1#2100000|326#200,1#2100000|326#200,1#2100000|326#200,1#2100000|326#200,4,6,8,10,10
41,1#2150000|325#2100,1#2150000|325#2100,1#2150000|325#2100,1#2150000|325#2100,1#2150000|325#2100,,,,,
42,1#2200000|325#2150,1#2200000|325#2150,1#2200000|325#2150,1#2200000|325#2150,1#2200000|325#2150,,,,,
43,1#2250000|325#2200,1#2250000|325#2200,1#2250000|325#2200,1#2250000|325#2200,1#2250000|325#2200,,,,,
44,1#2300000|325#2250,1#2300000|325#2250,1#2300000|325#2250,1#2300000|325#2250,1#2300000|325#2250,,,,,
45,1#2350000|325#2300,1#2350000|325#2300,1#2350000|325#2300,1#2350000|325#2300,1#2350000|325#2300,,,,,
46,1#2400000|325#2350,1#2400000|325#2350,1#2400000|325#2350,1#2400000|325#2350,1#2400000|325#2350,,,,,
47,1#2450000|325#2400,1#2450000|325#2400,1#2450000|325#2400,1#2450000|325#2400,1#2450000|325#2400,,,,,
48,1#2500000|325#2450,1#2500000|325#2450,1#2500000|325#2450,1#2500000|325#2450,1#2500000|325#2450,,,,,
49,1#2550000|325#2500,1#2550000|325#2500,1#2550000|325#2500,1#2550000|325#2500,1#2550000|325#2500,,,,,
50,1#2600000|326#250,1#2600000|326#250,1#2600000|326#250,1#2600000|326#250,1#2600000|326#250,4,6,8,10,10
51,1#2650000|325#2600,1#2650000|325#2600,1#2650000|325#2600,1#2650000|325#2600,1#2650000|325#2600,,,,,
52,1#2700000|325#2650,1#2700000|325#2650,1#2700000|325#2650,1#2700000|325#2650,1#2700000|325#2650,,,,,
53,1#2750000|325#2700,1#2750000|325#2700,1#2750000|325#2700,1#2750000|325#2700,1#2750000|325#2700,,,,,
54,1#2800000|325#2750,1#2800000|325#2750,1#2800000|325#2750,1#2800000|325#2750,1#2800000|325#2750,,,,,
55,1#2850000|325#2800,1#2850000|325#2800,1#2850000|325#2800,1#2850000|325#2800,1#2850000|325#2800,,,,,
56,1#2900000|325#2850,1#2900000|325#2850,1#2900000|325#2850,1#2900000|325#2850,1#2900000|325#2850,,,,,
57,1#2950000|325#2900,1#2950000|325#2900,1#2950000|325#2900,1#2950000|325#2900,1#2950000|325#2900,,,,,
58,1#3000000|325#2950,1#3000000|325#2950,1#3000000|325#2950,1#3000000|325#2950,1#3000000|325#2950,,,,,
59,1#3050000|325#3000,1#3050000|325#3000,1#3050000|325#3000,1#3050000|325#3000,1#3050000|325#3000,,,,,
60,1#3100000|326#300,1#3100000|326#300,1#3100000|326#300,1#3100000|326#300,1#3100000|326#300,4,6,8,10,10
61,1#3150000|325#3100,1#3150000|325#3100,1#3150000|325#3100,1#3150000|325#3100,1#3150000|325#3100,,,,,
62,1#3200000|325#3150,1#3200000|325#3150,1#3200000|325#3150,1#3200000|325#3150,1#3200000|325#3150,,,,,
63,1#3250000|325#3200,1#3250000|325#3200,1#3250000|325#3200,1#3250000|325#3200,1#3250000|325#3200,,,,,
64,1#3300000|325#3250,1#3300000|325#3250,1#3300000|325#3250,1#3300000|325#3250,1#3300000|325#3250,,,,,
65,1#3350000|325#3300,1#3350000|325#3300,1#3350000|325#3300,1#3350000|325#3300,1#3350000|325#3300,,,,,
66,1#3400000|325#3350,1#3400000|325#3350,1#3400000|325#3350,1#3400000|325#3350,1#3400000|325#3350,,,,,
67,1#3450000|325#3400,1#3450000|325#3400,1#3450000|325#3400,1#3450000|325#3400,1#3450000|325#3400,,,,,
68,1#3500000|325#3450,1#3500000|325#3450,1#3500000|325#3450,1#3500000|325#3450,1#3500000|325#3450,,,,,
69,1#3550000|325#3500,1#3550000|325#3500,1#3550000|325#3500,1#3550000|325#3500,1#3550000|325#3500,,,,,
70,1#3600000|326#350,1#3600000|326#350,1#3600000|326#350,1#3600000|326#350,1#3600000|326#350,4,6,8,10,10
71,1#3650000|325#3600,1#3650000|325#3600,1#3650000|325#3600,1#3650000|325#3600,1#3650000|325#3600,,,,,
72,1#3700000|325#3650,1#3700000|325#3650,1#3700000|325#3650,1#3700000|325#3650,1#3700000|325#3650,,,,,
73,1#3750000|325#3700,1#3750000|325#3700,1#3750000|325#3700,1#3750000|325#3700,1#3750000|325#3700,,,,,
74,1#3800000|325#3750,1#3800000|325#3750,1#3800000|325#3750,1#3800000|325#3750,1#3800000|325#3750,,,,,
75,1#3850000|325#3800,1#3850000|325#3800,1#3850000|325#3800,1#3850000|325#3800,1#3850000|325#3800,,,,,
76,1#3900000|325#3850,1#3900000|325#3850,1#3900000|325#3850,1#3900000|325#3850,1#3900000|325#3850,,,,,
77,1#3950000|325#3900,1#3950000|325#3900,1#3950000|325#3900,1#3950000|325#3900,1#3950000|325#3900,,,,,
78,1#4000000|325#3950,1#4000000|325#3950,1#4000000|325#3950,1#4000000|325#3950,1#4000000|325#3950,,,,,
79,1#4050000|325#4000,1#4050000|325#4000,1#4050000|325#4000,1#4050000|325#4000,1#4050000|325#4000,,,,,
80,1#4100000|326#400,1#4100000|326#400,1#4100000|326#400,1#4100000|326#400,1#4100000|326#400,4,6,8,10,10
81,1#4150000|325#4100,1#4150000|325#4100,1#4150000|325#4100,1#4150000|325#4100,1#4150000|325#4100,,,,,
82,1#4200000|325#4150,1#4200000|325#4150,1#4200000|325#4150,1#4200000|325#4150,1#4200000|325#4150,,,,,
83,1#4250000|325#4200,1#4250000|325#4200,1#4250000|325#4200,1#4250000|325#4200,1#4250000|325#4200,,,,,
84,1#4300000|325#4250,1#4300000|325#4250,1#4300000|325#4250,1#4300000|325#4250,1#4300000|325#4250,,,,,
85,1#4350000|325#4300,1#4350000|325#4300,1#4350000|325#4300,1#4350000|325#4300,1#4350000|325#4300,,,,,
86,1#4400000|325#4350,1#4400000|325#4350,1#4400000|325#4350,1#4400000|325#4350,1#4400000|325#4350,,,,,
87,1#4450000|325#4400,1#4450000|325#4400,1#4450000|325#4400,1#4450000|325#4400,1#4450000|325#4400,,,,,
88,1#4500000|325#4450,1#4500000|325#4450,1#4500000|325#4450,1#4500000|325#4450,1#4500000|325#4450,,,,,
89,1#4550000|325#4500,1#4550000|325#4500,1#4550000|325#4500,1#4550000|325#4500,1#4550000|325#4500,,,,,
90,1#4600000|326#500,1#4600000|326#500,1#4600000|326#500,1#4600000|326#500,1#4600000|326#500,8,12,16,20,20
91,1#4650000|325#4600,1#4650000|325#4600,1#4650000|325#4600,1#4650000|325#4600,1#4650000|325#4600,,,,,
92,1#4700000|325#4650,1#4700000|325#4650,1#4700000|325#4650,1#4700000|325#4650,1#4700000|325#4650,,,,,
93,1#4750000|325#4700,1#4750000|325#4700,1#4750000|325#4700,1#4750000|325#4700,1#4750000|325#4700,,,,,
94,1#4800000|325#4750,1#4800000|325#4750,1#4800000|325#4750,1#4800000|325#4750,1#4800000|325#4750,,,,,
95,1#4850000|325#4800,1#4850000|325#4800,1#4850000|325#4800,1#4850000|325#4800,1#4850000|325#4800,,,,,
96,1#4900000|325#4850,1#4900000|325#4850,1#4900000|325#4850,1#4900000|325#4850,1#4900000|325#4850,,,,,
97,1#4950000|325#4900,1#4950000|325#4900,1#4950000|325#4900,1#4950000|325#4900,1#4950000|325#4900,,,,,
98,1#5000000|325#4950,1#5000000|325#4950,1#5000000|325#4950,1#5000000|325#4950,1#5000000|325#4950,,,,,
99,1#5050000|325#5000,1#5050000|325#5000,1#5050000|325#5000,1#5050000|325#5000,1#5050000|325#5000,,,,,
