id,name,水鏡深戀淨靈皮膚,type,pos,qlt,star,item_lv,price,base1,base2,base3,skill_id,ex_skill,group,job,act,form,suit_name,suit1,suit2,suit3,suit_skills,icon,formula,need_formula,treasure_upgrade,treasure_all_upgrade,treasure_refresh,treasure_lock_up,treasure_max,treasure_weight,artifact_exp,artifact_upg,artifact_next,initial_artifact,power,partner_model,avatar,fx_index,get_ways
3032,-1,-1,8,3,3,2,6,400,atk#57,,,,,,,,,,,,,,equip_3_3,3041#3|1#10000,3031#3|1#5000,,,,,,,,,,,,,,,
4032,-1,-1,9,4,3,2,6,400,hp#289,,,,,,,,,,,,,,equip_3_4,4041#3|1#10000,4031#3|1#5000,,,,,,,,,,,,,,,
1033,-1,-1,6,1,3,3,7,500,atk#107,,,,,,,,,,,,,,equip_3_1,,,,,,,,,,,,,,,,,
2033,-1,-1,7,2,3,3,7,500,hp#546,,,,,,,,,,,,,,equip_3_2,,,,,,,,,,,,,,,,,
3033,-1,-1,8,3,3,3,7,500,atk#71,,,,,,,,,,,,,,equip_3_3,,,,,,,,,,,,,,,,,
4033,-1,-1,9,4,3,3,7,500,hp#364,,,,,,,,,,,,,,equip_3_4,,,,,,,,,,,,,,,,,
1041,-1,-1,6,1,4,1,8,1000,atk#168,,,,,,,,,,,,,,equip_4_1,1042#3|1#20000,1032#3|1#10000,,,,,,,,,,,,,,,
2041,-1,-1,7,2,4,1,8,1000,hp#970,,,,,,,,,,,,,,equip_4_2,2042#3|1#20000,2032#3|1#10000,,,,,,,,,,,,,,,
3041,-1,-1,8,3,4,1,8,1000,atk#112,,,,,,,,,,,,,,equip_4_3,3042#3|1#20000,3032#3|1#10000,,,,,,,,,,,,,,,
4041,-1,-1,9,4,4,1,8,1000,hp#647,,,,,,,,,,,,,,equip_4_4,4042#3|1#20000,4032#3|1#10000,,,,,,,,,,,,,,,
1042,-1,-1,6,1,4,2,9,2000,atk#218,,,,,,,,,,,,,,equip_4_1,1043#3|1#35000,1041#3|1#20000,,,,,,,,,,,,,,,
2042,-1,-1,7,2,4,2,9,2000,hp#1255,,,,,,,,,,,,,,equip_4_2,2043#3|1#35000,2041#3|1#20000,,,,,,,,,,,,,,,
3042,-1,-1,8,3,4,2,9,2000,atk#145,,,,,,,,,,,,,,equip_4_3,3043#3|1#35000,3041#3|1#20000,,,,,,,,,,,,,,,
4042,-1,-1,9,4,4,2,9,2000,hp#837,,,,,,,,,,,,,,equip_4_4,4043#3|1#35000,4041#3|1#20000,,,,,,,,,,,,,,,
1043,-1,-1,6,1,4,3,10,3000,atk#267,,,,,,,,1043|2043|3043|4043,-1,hpP#0.02,atkP#0.03,hpP#0.01,,equip_5_1,1051#3|1#100000,1042#3|1#35000,,,,,,,,,,,,,,,
2043,-1,-1,7,2,4,3,10,3000,hp#1541,,,,,,,,1043|2043|3043|4043,-1,hpP#0.02,atkP#0.03,hpP#0.01,,equip_5_2,2051#3|1#100000,2042#3|1#35000,,,,,,,,,,,,,,,
3043,-1,-1,8,3,4,3,10,3000,atk#178,,,,,,,,1043|2043|3043|4043,-1,hpP#0.02,atkP#0.03,hpP#0.01,,equip_5_3,3051#3|1#100000,3042#3|1#35000,,,,,,,,,,,,,,,
4043,-1,-1,9,4,4,3,10,3000,hp#1027,,,,,,,,1043|2043|3043|4043,-1,hpP#0.02,atkP#0.03,hpP#0.01,,equip_5_4,4051#3|1#100000,4042#3|1#35000,,,,,,,,,,,,,,,
1044,-1,-1,6,1,4,4,11,10000,atk#317,,,,,,,,1044|2044|3044|4044,-1,hpP#0.03,atkP#0.04,hpP#0.01,,equip_5_1,,,,,,,,,,,,,,,,,
2044,-1,-1,7,2,4,4,11,10000,hp#1826,,,,,,,,1044|2044|3044|4044,-1,hpP#0.03,atkP#0.04,hpP#0.01,,equip_5_2,,,,,,,,,,,,,,,,,
3044,-1,-1,8,3,4,4,11,10000,atk#211,,,,,,,,1044|2044|3044|4044,-1,hpP#0.03,atkP#0.04,hpP#0.01,,equip_5_3,,,,,,,,,,,,,,,,,
4044,-1,-1,9,4,4,4,11,10000,hp#1217,,,,,,,,1044|2044|3044|4044,-1,hpP#0.03,atkP#0.04,hpP#0.01,,equip_5_4,,,,,,,,,,,,,,,,,
1051,-1,-1,6,1,5,1,12,20000,atk#414,,,,,,,,1051|2051|3051|4051,-1,hpP#0.04,atkP#0.05,hpP#0.02,,equip_6_1,1052#3|1#200000,1043#3|1#100000,,,,,,,,,,,,,,,
2051,-1,-1,7,2,5,1,12,20000,hp#2645,,,,,,,,1051|2051|3051|4051,-1,hpP#0.04,atkP#0.05,hpP#0.02,,equip_6_2,2052#3|1#200000,2043#3|1#100000,,,,,,,,,,,,,,,
3051,-1,-1,8,3,5,1,12,20000,atk#276,,,,,,,,1051|2051|3051|4051,-1,hpP#0.04,atkP#0.05,hpP#0.02,,equip_6_3,3052#3|1#200000,3043#3|1#100000,,,,,,,,,,,,,,,
4051,-1,-1,9,4,5,1,12,20000,hp#1763,,,,,,,,1051|2051|3051|4051,-1,hpP#0.04,atkP#0.05,hpP#0.02,,equip_6_4,4052#3|1#200000,4043#3|1#100000,,,,,,,,,,,,,,,
1052,-1,-1,6,1,5,2,13,30000,atk#502,,,,,,,,1052|2052|3052|4052,-1,hpP#0.05,atkP#0.07,hpP#0.04,,equip_7_1,1053#3|1#400000,1051#3|1#200000,,,,,,,,,,,,,,,
2052,-1,-1,7,2,5,2,13,30000,hp#3207,,,,,,,,1052|2052|3052|4052,-1,hpP#0.05,atkP#0.07,hpP#0.04,,equip_7_2,2053#3|1#400000,2051#3|1#200000,,,,,,,,,,,,,,,
3052,-1,-1,8,3,5,2,13,30000,atk#335,,,,,,,,1052|2052|3052|4052,-1,hpP#0.05,atkP#0.07,hpP#0.04,,equip_7_3,3053#3|1#400000,3051#3|1#200000,,,,,,,,,,,,,,,
4052,-1,-1,9,4,5,2,13,30000,hp#2138,,,,,,,,1052|2052|3052|4052,-1,hpP#0.05,atkP#0.07,hpP#0.04,,equip_7_4,4053#3|1#400000,4051#3|1#200000,,,,,,,,,,,,,,,
1053,-1,-1,6,1,5,3,14,40000,atk#590,,,,,,,,1053|2053|3053|4053,-1,hpP#0.07,atkP#0.09,hpP#0.04,,equip_8_1,1054#3|1#600000,1052#3|1#400000,,,,,,,,,,,,,,,
2053,-1,-1,7,2,5,3,14,40000,hp#3770,,,,,,,,1053|2053|3053|4053,-1,hpP#0.07,atkP#0.09,hpP#0.04,,equip_8_2,2054#3|1#600000,2052#3|1#400000,,,,,,,,,,,,,,,
3053,-1,-1,8,3,5,3,14,40000,atk#393,,,,,,,,1053|2053|3053|4053,-1,hpP#0.07,atkP#0.09,hpP#0.04,,equip_8_3,3054#3|1#600000,3052#3|1#400000,,,,,,,,,,,,,,,
4053,-1,-1,9,4,5,3,14,40000,hp#2513,,,,,,,,1053|2053|3053|4053,-1,hpP#0.07,atkP#0.09,hpP#0.04,,equip_8_4,4054#3|1#600000,4052#3|1#400000,,,,,,,,,,,,,,,
1054,-1,-1,6,1,5,4,15,60000,atk#678,,,,,,,,1054|2054|3054|4054,-1,hpP#0.08,atkP#0.11,hpP#0.05,,equip_9_1,1061#3|1#800000,1053#3|1#600000,,,,,,,,,,,,,,,
2054,-1,-1,7,2,5,4,15,60000,hp#4333,,,,,,,,1054|2054|3054|4054,-1,hpP#0.08,atkP#0.11,hpP#0.05,,equip_9_2,2061#3|1#800000,2053#3|1#600000,,,,,,,,,,,,,,,
3054,-1,-1,8,3,5,4,15,60000,atk#452,,,,,,,,1054|2054|3054|4054,-1,hpP#0.08,atkP#0.11,hpP#0.05,,equip_9_3,3061#3|1#800000,3053#3|1#600000,,,,,,,,,,,,,,,
4054,-1,-1,9,4,5,4,15,60000,hp#2889,,,,,,,,1054|2054|3054|4054,-1,hpP#0.08,atkP#0.11,hpP#0.05,,equip_9_4,4061#3|1#800000,4053#3|1#600000,,,,,,,,,,,,,,,
1061,-1,-1,6,1,6,1,16,100000,atk#914,,,,,,,,1061|2061|3061|4061,-1,hpP#0.1,atkP#0.13,hpP#0.05,,equip_10_1,1062#3|1#1000000,1054#3|1#800000,,,,,,,,,,,,,,,
2061,-1,-1,7,2,6,1,16,100000,hp#6401,,,,,,,,1061|2061|3061|4061,-1,hpP#0.1,atkP#0.13,hpP#0.05,,equip_10_2,2062#3|1#1000000,2054#3|1#800000,,,,,,,,,,,,,,,
3061,-1,-1,8,3,6,1,16,100000,atk#610,,,,,,,,1061|2061|3061|4061,-1,hpP#0.1,atkP#0.13,hpP#0.05,,equip_10_3,3062#3|1#1000000,3054#3|1#800000,,,,,,,,,,,,,,,
4061,-1,-1,9,4,6,1,16,100000,hp#4267,,,,,,,,1061|2061|3061|4061,-1,hpP#0.1,atkP#0.13,hpP#0.05,,equip_10_4,4062#3|1#1000000,4054#3|1#800000,,,,,,,,,,,,,,,
1062,-1,-1,6,1,6,2,17,150000,atk#1116,,,,,,,,1062|2062|3062|4062,-1,hpP#0.11,atkP#0.15,hpP#0.06,,equip_11_1,1063#3|1#1200000,1061#3|1#1000000,,,,,,,,,,,,,,,
2062,-1,-1,7,2,6,2,17,150000,hp#7811,,,,,,,,1062|2062|3062|4062,-1,hpP#0.11,atkP#0.15,hpP#0.06,,equip_11_2,2063#3|1#1200000,2061#3|1#1000000,,,,,,,,,,,,,,,
3062,-1,-1,8,3,6,2,17,150000,atk#744,,,,,,,,1062|2062|3062|4062,-1,hpP#0.11,atkP#0.15,hpP#0.06,,equip_11_3,3063#3|1#1200000,3061#3|1#1000000,,,,,,,,,,,,,,,
4062,-1,-1,9,4,6,2,17,150000,hp#5207,,,,,,,,1062|2062|3062|4062,-1,hpP#0.11,atkP#0.15,hpP#0.06,,equip_11_4,4063#3|1#1200000,4061#3|1#1000000,,,,,,,,,,,,,,,
1063,-1,-1,6,1,6,3,18,200000,atk#1317,,,,,,,,1063|2063|3063|4063,-1,hpP#0.12,atkP#0.17,hpP#0.07,,equip_12_1,1064#3|1#1600000,1062#3|1#1200000,,,,,,,,,,,,,,,
2063,-1,-1,7,2,6,3,18,200000,hp#9222,,,,,,,,1063|2063|3063|4063,-1,hpP#0.12,atkP#0.17,hpP#0.07,,equip_12_2,2064#3|1#1600000,2062#3|1#1200000,,,,,,,,,,,,,,,
3063,-1,-1,8,3,6,3,18,200000,atk#878,,,,,,,,1063|2063|3063|4063,-1,hpP#0.12,atkP#0.17,hpP#0.07,,equip_12_3,3064#3|1#1600000,3062#3|1#1200000,,,,,,,,,,,,,,,
4063,-1,-1,9,4,6,3,18,200000,hp#6148,,,,,,,,1063|2063|3063|4063,-1,hpP#0.12,atkP#0.17,hpP#0.07,,equip_12_4,4064#3|1#1600000,4062#3|1#1200000,,,,,,,,,,,,,,,
1064,-1,-1,6,1,6,4,19,250000,atk#1519,,,,,,,,1064|2064|3064|4064,-1,hpP#0.14,atkP#0.19,hpP#0.07,,equip_13_1,1065#3|1#2000000,1063#3|1#1600000,,,,,,,,,,,,,,,
2064,-1,-1,7,2,6,4,19,250000,hp#10632,,,,,,,,1064|2064|3064|4064,-1,hpP#0.14,atkP#0.19,hpP#0.07,,equip_13_2,2065#3|1#2000000,2063#3|1#1600000,,,,,,,,,,,,,,,
3064,-1,-1,8,3,6,4,19,250000,atk#1013,,,,,,,,1064|2064|3064|4064,-1,hpP#0.14,atkP#0.19,hpP#0.07,,equip_13_3,3065#3|1#2000000,3063#3|1#1600000,,,,,,,,,,,,,,,
4064,-1,-1,9,4,6,4,19,250000,hp#7088,,,,,,,,1064|2064|3064|4064,-1,hpP#0.14,atkP#0.19,hpP#0.07,,equip_13_4,4065#3|1#2000000,4063#3|1#1600000,,,,,,,,,,,,,,,
1065,-1,-1,6,1,6,5,20,300000,atk#2464,critTime#60,,,,,,,1065|2065|3065|4065,-1,hpP#0.15,atkP#0.2,hpP#0.08,,equip_14_1,1066#3|1#2500000,1064#3|1#2000000,,,,,,,,,,,,,,,
2065,-1,-1,7,2,6,5,20,300000,hp#32455,decDmg#10,,,,,,,1065|2065|3065|4065,-1,hpP#0.15,atkP#0.2,hpP#0.08,,equip_14_2,2066#3|1#2500000,2064#3|1#2000000,,,,,,,,,,,,,,,
3065,-1,-1,8,3,6,5,20,300000,atk#1643,sklP#30,,,,,,,1065|2065|3065|4065,-1,hpP#0.15,atkP#0.2,hpP#0.08,,equip_14_3,3066#3|1#2500000,3064#3|1#2000000,,,,,,,,,,,,,,,
4065,-1,-1,9,4,6,5,20,300000,hp#20146,miss#40,,,,,,,1065|2065|3065|4065,-1,hpP#0.15,atkP#0.2,hpP#0.08,,equip_14_4,4066#3|1#2500000,4064#3|1#2000000,,,,,,,,,,,,,,,
1066,-1,-1,6,1,6,6,21,500000,atk#3704,critTime#100,,,,,,,1066|2066|3066|4066,-1,hpP#0.16,atkP#0.21,hpP#0.08,,equip_15_1,,1065#3|1#2500000,,,,,,,,,,,,,,,
2066,-1,-1,7,2,6,6,21,500000,hp#52449,decDmg#20,,,,,,,1066|2066|3066|4066,-1,hpP#0.16,atkP#0.21,hpP#0.08,,equip_15_2,,2065#3|1#2500000,,,,,,,,,,,,,,,
3066,-1,-1,8,3,6,6,21,500000,atk#2469,sklP#50,,,,,,,1066|2066|3066|4066,-1,hpP#0.16,atkP#0.21,hpP#0.08,,equip_15_3,,3065#3|1#2500000,,,,,,,,,,,,,,,
4066,-1,-1,9,4,6,6,21,500000,hp#32367,miss#80,,,,,,,1066|2066|3066|4066,-1,hpP#0.16,atkP#0.21,hpP#0.08,,equip_15_4,,4065#3|1#2500000,,,,,,,,,,,,,,,
1166,-1,-1,6,1,6,6,22,500000,atk#3704,atkP#0.07,,,,,1,atkP#0.06|miss#200,,,,,,,equip_15_1,,,,,,,,,,,,,,,,,
2166,-1,-1,7,2,6,6,22,500000,hp#52449,hpP#0.07,,,,,1,hpP#0.06|decDmg#50,,,,,,,equip_15_2,,,,,,,,,,,,,,,,,
3166,-1,-1,8,3,6,6,22,500000,atk#2469,atkP#0.07,,,,,1,atkP#0.06|free#50,,,,,,,equip_15_3,,,,,,,,,,,,,,,,,
4166,-1,-1,9,4,6,6,22,500000,hp#32367,hpP#0.07,,,,,1,hpP#0.06|spd#20,,,,,,,equip_15_4,,,,,,,,,,,,,,,,,
1266,-1,-1,6,1,6,6,22,500000,atk#3704,atkP#0.07,,,,,2,atkP#0.06|crit#100,,,,,,,equip_15_1,,,,,,,,,,,,,,,,,
2266,-1,-1,7,2,6,6,22,500000,hp#52449,hpP#0.07,,,,,2,hpP#0.06|hit#200,,,,,,,equip_15_2,,,,,,,,,,,,,,,,,
3266,-1,-1,8,3,6,6,22,500000,atk#2469,atkP#0.07,,,,,2,atkP#0.06|sklP#100,,,,,,,equip_15_3,,,,,,,,,,,,,,,,,
4266,-1,-1,9,4,6,6,22,500000,hp#32367,hpP#0.07,,,,,2,hpP#0.06|spd#20,,,,,,,equip_15_4,,,,,,,,,,,,,,,,,
1366,-1,-1,6,1,6,6,22,500000,atk#3704,atkP#0.07,,,,,3,atkP#0.06|crit#100,,,,,,,equip_15_1,,,,,,,,,,,,,,,,,
2366,-1,-1,7,2,6,6,22,500000,hp#52449,hpP#0.07,,,,,3,hpP#0.06|miss#100,,,,,,,equip_15_2,,,,,,,,,,,,,,,,,
3366,-1,-1,8,3,6,6,22,500000,atk#2469,atkP#0.07,,,,,3,atkP#0.06|decDmg#50,,,,,,,equip_15_3,,,,,,,,,,,,,,,,,
4366,-1,-1,9,4,6,6,22,500000,hp#32367,hpP#0.07,,,,,3,hpP#0.06|spd#20,,,,,,,equip_15_4,,,,,,,,,,,,,,,,,
1466,-1,-1,6,1,6,6,22,500000,atk#3704,atkP#0.07,,,,,4,atkP#0.06|crit#100,,,,,,,equip_15_1,,,,,,,,,,,,,,,,,
2466,-1,-1,7,2,6,6,22,500000,hp#52449,hpP#0.07,,,,,4,hpP#0.06|brk#100,,,,,,,equip_15_2,,,,,,,,,,,,,,,,,
3466,-1,-1,8,3,6,6,22,500000,atk#2469,atkP#0.07,,,,,4,atkP#0.06|critTime#100,,,,,,,equip_15_3,,,,,,,,,,,,,,,,,
4466,-1,-1,9,4,6,6,22,500000,hp#32367,hpP#0.07,,,,,4,hpP#0.06|spd#20,,,,,,,equip_15_4,,,,,,,,,,,,,,,,,
1566,-1,-1,6,1,6,6,22,500000,atk#3704,atkP#0.07,,,,,5,atkP#0.06|atkP#0.05,,,,,,,equip_15_1,,,,,,,,,,,,,,,,,
2566,-1,-1,7,2,6,6,22,500000,hp#52449,hpP#0.07,,,,,5,hpP#0.06|decDmg#50,,,,,,,equip_15_2,,,,,,,,,,,,,,,,,
3566,-1,-1,8,3,6,6,22,500000,atk#2469,atkP#0.07,,,,,5,atkP#0.06|hpP#0.05,,,,,,,equip_15_3,,,,,,,,,,,,,,,,,
4566,-1,-1,9,4,6,6,22,500000,hp#32367,hpP#0.07,,,,,5,hpP#0.06|spd#20,,,,,,,equip_15_4,,,,,,,,,,,,,,,,,
1167,-1,-1,6,1,7,1,23,500000,atk#3704,atkP#0.07,,,,,1,atkP#0.07|miss#240,1167|2167|3167|4167,-1,,,,300101|300201|300301,equip_15_1,,,,,,,,,,,,,,,,,
2167,-1,-1,7,2,7,1,23,500000,hp#52449,hpP#0.07,,,,,1,hpP#0.07|decDmg#60,1167|2167|3167|4167,-1,,,,300101|300201|300301,equip_15_2,,,,,,,,,,,,,,,,,
3167,-1,-1,8,3,7,1,23,500000,atk#2469,atkP#0.07,,,,,1,atkP#0.07|free#60,1167|2167|3167|4167,-1,,,,300101|300201|300301,equip_15_3,,,,,,,,,,,,,,,,,
4167,-1,-1,9,4,7,1,23,500000,hp#32367,hpP#0.07,,,,,1,hpP#0.07|spd#25,1167|2167|3167|4167,-1,,,,300101|300201|300301,equip_15_4,,,,,,,,,,,,,,,,,
1267,-1,-1,6,1,7,1,23,500000,atk#3704,atkP#0.07,,,,,2,atkP#0.07|crit#120,1267|2267|3267|4267,-1,,,,300401|300501|300601,equip_15_1,,,,,,,,,,,,,,,,,
2267,-1,-1,7,2,7,1,23,500000,hp#52449,hpP#0.07,,,,,2,hpP#0.07|hit#240,1267|2267|3267|4267,-1,,,,300401|300501|300601,equip_15_2,,,,,,,,,,,,,,,,,
3267,-1,-1,8,3,7,1,23,500000,atk#2469,atkP#0.07,,,,,2,atkP#0.07|sklP#120,1267|2267|3267|4267,-1,,,,300401|300501|300601,equip_15_3,,,,,,,,,,,,,,,,,
4267,-1,-1,9,4,7,1,23,500000,hp#32367,hpP#0.07,,,,,2,hpP#0.07|spd#25,1267|2267|3267|4267,-1,,,,300401|300501|300601,equip_15_4,,,,,,,,,,,,,,,,,
1367,-1,-1,6,1,7,1,23,500000,atk#3704,atkP#0.07,,,,,3,atkP#0.07|crit#120,1367|2367|3367|4367,-1,,,,300701|300801|300901,equip_15_1,,,,,,,,,,,,,,,,,
2367,-1,-1,7,2,7,1,23,500000,hp#52449,hpP#0.07,,,,,3,hpP#0.07|miss#120,1367|2367|3367|4367,-1,,,,300701|300801|300901,equip_15_2,,,,,,,,,,,,,,,,,
3367,-1,-1,8,3,7,1,23,500000,atk#2469,atkP#0.07,,,,,3,atkP#0.07|decDmg#60,1367|2367|3367|4367,-1,,,,300701|300801|300901,equip_15_3,,,,,,,,,,,,,,,,,
4367,-1,-1,9,4,7,1,23,500000,hp#32367,hpP#0.07,,,,,3,hpP#0.07|spd#25,1367|2367|3367|4367,-1,,,,300701|300801|300901,equip_15_4,,,,,,,,,,,,,,,,,
1467,-1,-1,6,1,7,1,23,500000,atk#3704,atkP#0.07,,,,,4,atkP#0.07|crit#120,1467|2467|3467|4467,-1,,,,301001|301101|301201,equip_15_1,,,,,,,,,,,,,,,,,
2467,-1,-1,7,2,7,1,23,500000,hp#52449,hpP#0.07,,,,,4,hpP#0.07|brk#120,1467|2467|3467|4467,-1,,,,301001|301101|301201,equip_15_2,,,,,,,,,,,,,,,,,
3467,-1,-1,8,3,7,1,23,500000,atk#2469,atkP#0.07,,,,,4,atkP#0.07|critTime#120,1467|2467|3467|4467,-1,,,,301001|301101|301201,equip_15_3,,,,,,,,,,,,,,,,,
4467,-1,-1,9,4,7,1,23,500000,hp#32367,hpP#0.07,,,,,4,hpP#0.07|spd#25,1467|2467|3467|4467,-1,,,,301001|301101|301201,equip_15_4,,,,,,,,,,,,,,,,,
1567,-1,-1,6,1,7,1,23,500000,atk#3704,atkP#0.07,,,,,5,atkP#0.07|atkP#0.06,1567|2567|3567|4567,-1,,,,301301|301401|301501,equip_15_1,,,,,,,,,,,,,,,,,
2567,-1,-1,7,2,7,1,23,500000,hp#52449,hpP#0.07,,,,,5,hpP#0.07|decDmg#60,1567|2567|3567|4567,-1,,,,301301|301401|301501,equip_15_2,,,,,,,,,,,,,,,,,
3567,-1,-1,8,3,7,1,23,500000,atk#2469,atkP#0.07,,,,,5,atkP#0.07|hpP#0.06,1567|2567|3567|4567,-1,,,,301301|301401|301501,equip_15_3,,,,,,,,,,,,,,,,,
4567,-1,-1,9,4,7,1,23,500000,hp#32367,hpP#0.07,,,,,5,hpP#0.07|spd#25,1567|2567|3567|4567,-1,,,,301301|301401|301501,equip_15_4,,,,,,,,,,,,,,,,,
1168,-1,-1,6,1,7,2,24,500000,atk#3704,atkP#0.07,,,,,1,atkP#0.08|miss#280,1168|2168|3168|4168,-1,,,,300102|300202|300302,equip_15_1,,,,,,,,,,,,,,,,,
2168,-1,-1,7,2,7,2,24,500000,hp#52449,hpP#0.07,,,,,1,hpP#0.08|decDmg#70,1168|2168|3168|4168,-1,,,,300102|300202|300302,equip_15_2,,,,,,,,,,,,,,,,,
3168,-1,-1,8,3,7,2,24,500000,atk#2469,atkP#0.07,,,,,1,atkP#0.08|free#70,1168|2168|3168|4168,-1,,,,300102|300202|300302,equip_15_3,,,,,,,,,,,,,,,,,
4168,-1,-1,9,4,7,2,24,500000,hp#32367,hpP#0.07,,,,,1,hpP#0.08|spd#30,1168|2168|3168|4168,-1,,,,300102|300202|300302,equip_15_4,,,,,,,,,,,,,,,,,
1268,-1,-1,6,1,7,2,24,500000,atk#3704,atkP#0.07,,,,,2,atkP#0.08|crit#140,1268|2268|3268|4268,-1,,,,300402|300502|300602,equip_15_1,,,,,,,,,,,,,,,,,
2268,-1,-1,7,2,7,2,24,500000,hp#52449,hpP#0.07,,,,,2,hpP#0.08|hit#280,1268|2268|3268|4268,-1,,,,300402|300502|300602,equip_15_2,,,,,,,,,,,,,,,,,
3268,-1,-1,8,3,7,2,24,500000,atk#2469,atkP#0.07,,,,,2,atkP#0.08|sklP#140,1268|2268|3268|4268,-1,,,,300402|300502|300602,equip_15_3,,,,,,,,,,,,,,,,,
4268,-1,-1,9,4,7,2,24,500000,hp#32367,hpP#0.07,,,,,2,hpP#0.08|spd#30,1268|2268|3268|4268,-1,,,,300402|300502|300602,equip_15_4,,,,,,,,,,,,,,,,,
1368,-1,-1,6,1,7,2,24,500000,atk#3704,atkP#0.07,,,,,3,atkP#0.08|crit#140,1368|2368|3368|4368,-1,,,,300702|300802|300902,equip_15_1,,,,,,,,,,,,,,,,,
2368,-1,-1,7,2,7,2,24,500000,hp#52449,hpP#0.07,,,,,3,hpP#0.08|miss#140,1368|2368|3368|4368,-1,,,,300702|300802|300902,equip_15_2,,,,,,,,,,,,,,,,,
3368,-1,-1,8,3,7,2,24,500000,atk#2469,atkP#0.07,,,,,3,atkP#0.08|decDmg#70,1368|2368|3368|4368,-1,,,,300702|300802|300902,equip_15_3,,,,,,,,,,,,,,,,,
4368,-1,-1,9,4,7,2,24,500000,hp#32367,hpP#0.07,,,,,3,hpP#0.08|spd#30,1368|2368|3368|4368,-1,,,,300702|300802|300902,equip_15_4,,,,,,,,,,,,,,,,,
1468,-1,-1,6,1,7,2,24,500000,atk#3704,atkP#0.07,,,,,4,atkP#0.08|crit#140,1468|2468|3468|4468,-1,,,,301002|301102|301202,equip_15_1,,,,,,,,,,,,,,,,,
2468,-1,-1,7,2,7,2,24,500000,hp#52449,hpP#0.07,,,,,4,hpP#0.08|brk#140,1468|2468|3468|4468,-1,,,,301002|301102|301202,equip_15_2,,,,,,,,,,,,,,,,,
