id,name,summon_type,dropbox_id,active_dropbox_id,new_sever_dropbox_id,summon_num,special,award,cost,vip_need,freetime_interval,is_partner,awaken_lv,is_use_fragment,activity_id
10120,-1,6,930119,,,1,,0#0,930119#50,,,1,,1,
10121,-1,6,930120,,,1,,0#0,930120#50,,,1,,1,
10122,-1,6,930121,,,1,,0#0,930121#50,,,1,,1,
10123,-1,6,930122,,,1,,0#0,930122#50,,,1,,1,
10124,-1,6,930123,,,1,,0#0,930123#50,,,1,,1,
10125,-1,6,930125,,,1,,0#0,930125#30,,,1,,1,
10126,-1,6,930126,,,1,,0#0,930126#30,,,1,,1,
10127,-1,6,930127,,,1,,0#0,930127#30,,,1,,1,
10128,-1,6,930128,,,1,,0#0,930128#30,,,1,,1,
10129,-1,6,930129,,,1,,0#0,930129#30,,,1,,1,
10130,-1,6,930130,,,1,,0#0,930130#30,,,1,,1,
10131,-1,6,930131,,,1,,0#0,930131#30,,,1,,1,
10132,-1,6,930132,,,1,,0#0,930132#30,,,1,,1,
10133,-1,6,930133,,,1,,0#0,930133#50,,,1,,1,
10134,-1,6,930134,,,1,,0#0,930134#50,,,1,,1,
10135,-1,6,930135,,,1,,0#0,930135#50,,,1,,1,
10136,-1,6,930136,,,1,,0#0,930136#50,,,1,,1,
10137,-1,6,930137,,,1,,0#0,930137#50,,,1,,1,
10138,-1,6,930138,,,1,,0#0,930138#50,,,1,,1,
10139,-1,6,930139,,,1,,0#0,930139#50,,,1,,1,
10140,-1,6,930140,,,1,,0#0,930140#50,,,1,,1,
10141,-1,6,930141,,,1,,0#0,930141#50,,,1,,1,
10142,-1,6,930142,,,1,,0#0,930142#50,,,1,,1,
10143,-1,6,930143,,,1,,0#0,930143#50,,,1,,1,
10144,-1,6,930144,,,1,,0#0,930144#50,,,1,,1,
10145,-1,6,930145,,,1,,0#0,930145#50,,,1,,1,
10146,-1,6,930146,,,1,,0#0,930146#50,,,1,,1,
10147,-1,6,930147,,,1,,0#0,930147#50,,,1,,1,
10148,-1,6,930148,,,1,,0#0,930148#50,,,1,,1,
10149,-1,6,930149,,,1,,0#0,930149#50,,,1,,1,
10150,-1,6,930150,,,1,,0#0,930150#50,,,1,,1,
10151,-1,6,930151,,,1,,0#0,930151#50,,,1,,1,
10152,-1,6,930152,,,1,,0#0,930152#50,,,1,,1,
10153,-1,6,930153,,,1,,0#0,930153#50,,,1,,1,
10154,-1,6,930154,,,1,,0#0,930154#50,,,1,,1,
10155,-1,6,930155,,,1,,0#0,930155#50,,,1,,1,
10156,-1,6,930156,,,1,,0#0,930156#50,,,1,,1,
10157,-1,6,930157,,,1,,0#0,930157#50,,,1,,1,
10158,-1,6,930158,,,1,,0#0,930158#50,,,1,,1,
10159,-1,6,930159,,,1,,0#0,930159#50,,,1,,1,
10160,-1,6,930160,,,1,,0#0,930160#50,,,1,,1,
10161,-1,6,930161,,,1,,0#0,930161#50,,,1,,1,
10162,-1,6,930162,,,1,,0#0,930162#50,,,1,,1,
10163,-1,6,930163,,,1,,0#0,930163#50,,,1,,1,
10164,-1,6,930164,,,1,,0#0,930164#50,,,1,,1,
10165,-1,6,930165,,,1,,0#0,930165#50,,,1,,1,
10166,-1,6,930166,,,1,,0#0,930166#50,,,1,,1,
10167,-1,6,930167,,,1,,0#0,930167#50,,,1,,1,
10168,-1,6,930168,,,1,,0#0,930168#50,,,1,,1,
10169,-1,6,930169,,,1,,0#0,930169#50,,,1,,1,
10170,-1,6,930170,,,1,,0#0,930170#30,,,1,,1,
10171,-1,6,930171,,,1,,0#0,930171#30,,,1,,1,
10172,-1,6,930172,,,1,,0#0,930172#50,,,1,,1,
10173,-1,6,930173,,,1,,0#0,930173#50,,,1,,1,
10174,-1,6,930174,,,1,,0#0,930174#50,,,1,,1,
10175,-1,6,940001,,,1,,0#0,940001#30,,,1,,1,
10176,-1,6,940002,,,1,,0#0,940002#50,,,1,,1,
10177,-1,6,940003,,,1,,0#0,940003#20,,,1,,1,
10178,-1,6,940011,,,1,,0#0,940011#50,,,1,,1,
10179,-1,6,940012,,,1,,0#0,940012#50,,,1,,1,
10180,-1,6,940013,,,1,,0#0,940013#50,,,1,,1,
10181,-1,6,940014,,,1,,0#0,940014#50,,,1,,1,
10182,-1,6,940015,,,1,,0#0,940015#50,,,1,,1,
10183,-1,6,940016,,,1,,0#0,940016#50,,,1,,1,
10184,-1,6,940021,,,1,,0#0,940021#30,,,1,,1,
10185,-1,6,940022,,,1,,0#0,940022#30,,,1,,1,
10186,-1,6,940023,,,1,,0#0,940023#30,,,1,,1,
10187,-1,6,940024,,,1,,0#0,940024#30,,,1,,1,
10188,-1,6,940025,,,1,,0#0,940025#30,,,1,,1,
10189,-1,6,940026,,,1,,0#0,940026#30,,,1,,1,
10190,-1,7,953001,,,1,,0#0,953001#20,,,,,1,
10191,-1,7,954001,,,1,,0#0,954001#30,,,,,1,
10192,-1,7,955001,,,1,,0#0,955001#50,,,,,1,
10193,-1,7,955099,,,1,,0#0,955099#50,,,,,1,
10194,-1,7,956001,,,1,,0#0,956001#50,,,,,1,
10195,-1,7,956099,,,1,,0#0,956099#50,,,,,1,
10196,-1,8,960001,,,1,,0#0,960001#10,,,,,1,
10197,-1,6,930175,,,1,,0#0,930175#50,,,1,,1,
10198,-1,6,930176,,,1,,0#0,930176#50,,,1,,1,
10199,-1,6,930177,,,1,,0#0,930177#50,,,1,,1,
10200,-1,6,930178,,,1,,0#0,930178#50,,,1,,1,
10201,-1,6,930179,,,1,,0#0,930179#50,,,1,,1,
10202,-1,6,940004,,,1,,0#0,940004#50,,,1,,1,
10203,-1,6,940005,,,1,,0#0,940005#50,,,1,,1,
10204,-1,6,940006,,,1,,0#0,940006#50,,,1,,1,
10205,-1,6,930180,,,1,,0#0,930180#50,,,1,,1,
10206,-1,6,930181,,,1,,0#0,930181#50,,,1,,1,
10207,-1,6,930182,,,1,,0#0,930182#50,,,1,,1,
10208,-1,6,930183,,,1,,0#0,930183#50,,,1,,1,
10209,-1,6,930184,,,1,,0#0,930184#50,,,1,,1,
10210,-1,6,930185,,,1,,0#0,930185#50,,,1,,1,
10211,-1,6,940031,,,1,,0#0,940031#50,,,1,,1,
10212,-1,6,940032,,,1,,0#0,940032#50,,,1,,1,
10213,-1,6,940033,,,1,,0#0,940033#50,,,1,,1,
10214,-1,6,940034,,,1,,0#0,940034#50,,,1,,1,
10215,-1,6,940035,,,1,,0#0,940035#50,,,1,,1,
10216,-1,6,940036,,,1,,0#0,940036#50,,,1,,1,
10217,-1,6,930186,,,1,,0#0,930186#50,,,1,,1,
10218,-1,6,940041,,,1,,0#0,940041#50,,,1,3,1,
10219,-1,6,940042,,,1,,0#0,940042#50,,,1,3,1,
10220,-1,6,940043,,,1,,0#0,940043#50,,,1,3,1,
10221,-1,6,940044,,,1,,0#0,940044#50,,,1,3,1,
10222,-1,6,940045,,,1,,0#0,940045#50,,,1,3,1,
10223,-1,6,940046,,,1,,0#0,940046#50,,,1,3,1,
10224,-1,6,930187,,,1,,0#0,930187#50,,,1,,1,
10225,-1,6,930188,,,1,,0#0,930188#50,,,1,,1,
10226,-1,6,930189,,,1,,0#0,930189#50,,,1,,1,
10227,-1,6,930190,,,1,,0#0,930190#50,,,1,,1,
10228,-1,6,930191,,,1,,0#0,930191#50,,,1,,1,
10229,-1,6,940047,,,1,,0#0,940047#50,,,1,,1,
10230,-1,6,940048,,,1,,0#0,940048#50,,,1,,1,
10231,-1,6,940049,,,1,,0#0,940049#50,,,1,,1,
10232,-1,6,940050,,,1,,0#0,940050#50,,,1,,1,
10233,-1,6,940051,,,1,,0#0,940051#50,,,1,,1,
10234,-1,6,940052,,,1,,0#0,940052#50,,,1,,1,
10235,-1,6,930192,,,1,,0#0,930192#50,,,1,,1,
10236,-1,6,930193,,,1,,0#0,930193#50,,,1,,1,
10237,-1,6,930194,,,1,,0#0,930194#50,,,1,,1,
10238,-1,6,930195,,,1,,0#0,930195#50,,,1,,1,
10239,-1,6,930196,,,1,,0#0,930196#50,,,1,,1,
10240,-1,6,930197,,,1,,0#0,930197#50,,,1,,1,
10241,-1,6,930198,,,1,,0#0,930198#50,,,1,,1,
10242,-1,6,930199,,,1,,0#0,930199#50,,,1,,1,
10243,-1,6,930200,,,1,,0#0,930200#50,,,1,,1,
10244,-1,6,930201,,,1,,0#0,930201#50,,,1,,1,
10245,-1,6,930202,,,1,,0#0,930202#50,,,1,,1,
10246,-1,6,930203,,,1,,0#0,930203#50,,,1,,1,
10247,-1,6,930204,,,1,,0#0,930204#50,,,1,,1,
10248,-1,6,930205,,,1,,0#0,930205#50,,,1,,1,
10249,-1,6,930206,,,1,,0#0,930206#50,,,1,,1,
10250,-1,6,930207,,,1,,0#0,930207#50,,,1,,1,
