id,cost,all_exp,all_money
1,0,9#0,1#0
2,1#80|9#20,9#20,1#80
294,1#2000763|9#5952672,9#324046524,1#156475449
295,1#2033011|9#6048673,9#330095197,1#158508460
296,1#2065259|9#6144674,9#336239871,1#160573719
297,1#2097507|9#6240675,9#342480546,1#162671226
298,1#2129755|9#6336676,9#348817222,1#164800981
299,1#2162003|9#6432677,9#355249899,1#166962984
300,1#2194251|9#6528678,9#361778577,1#169157235
301,1#2258777|9#6720681,9#368499258,1#171416012
302,1#2323303|9#6912684,9#375411942,1#173739315
303,1#2387829|9#7104687,9#382516629,1#176127144
304,1#2452355|9#7296690,9#389813319,1#178579499
305,1#2516881|9#7488693,9#397302012,1#181096380
306,1#2581407|9#7680696,9#404982708,1#183677787
307,1#2645933|9#7872699,9#412855407,1#186323720
308,1#2710459|9#8064702,9#420920109,1#189034179
309,1#2774985|9#8256705,9#429176814,1#191809164
310,1#2839511|9#8448708,9#437625522,1#194648675
311,1#2904037|9#8640711,9#446266233,1#197552712
312,1#2968563|9#8832714,9#455098947,1#200521275
313,1#3033089|9#9024717,9#464123664,1#203554364
314,1#3097615|9#9216720,9#473340384,1#206651979
315,1#3162141|9#9408723,9#482749107,1#209814120
316,1#3226667|9#9600726,9#492349833,1#213040787
317,1#3291193|9#9792729,9#502142562,1#216331980
318,1#3355719|9#9984732,9#512127294,1#219687699
319,1#3420245|9#10176735,9#522304029,1#223107944
320,1#3484771|9#10368738,9#532672767,1#226592715
321,1#3549297|9#10560741,9#543233508,1#230142012
322,1#3613823|9#10752744,9#553986252,1#233755835
323,1#3678349|9#10944747,9#564930999,1#237434184
324,1#3742875|9#11136750,9#576067749,1#241177059
325,1#3807401|9#11328753,9#587396502,1#244984460
326,1#3871927|9#11520756,9#598917258,1#248856387
327,1#3936453|9#11712759,9#610630017,1#252792840
328,1#4000979|9#11904762,9#622534779,1#256793819
329,1#4065505|9#12096765,9#634631544,1#260859324
330,1#4130031|9#12288768,9#646920312,1#264989355
