id,item,cost,limit
256,1140020#1,69#30,8
257,1140021#1,69#30,8
258,1140022#1,69#40,4
259,1140023#1,69#10,8
260,1140024#1,69#30,8
261,1140025#1,69#30,8
262,1140026#1,69#15,4
263,1140027#1,69#30,4
264,1140028#1,69#40,4
265,1140029#1,69#10,8
266,1140030#1,69#10,8
267,1140031#1,69#10,8
268,1140032#1,69#10,8
269,1140033#1,69#15,8
