key,value,desc
gacha_ensure_add_num,100,-1
gacha_ensure_guarantee,500,-1
gacha_ensure_partner,55011#655020#755010|56009#656019#756009,-1
gacha_ensure_partner_handbook,55011#655020#755010|56009#656019#756009,-1
daily_mail_awards_gacha,2,-1
daily_mail_awards_tree,3|42,-1
daily_mail_awards_gamble,18|37|24,-1
daily_mail_awards_drift,30|6|40|43,-1
daily_mail_awards_week,18|22,-1
daily_mail_awards_arena,30|8|19,-1
daily_mail_awards_boss,4|10,-1
partner_force_req_lev,29|39|49|59|79|99|139|159|179|199|249|259|269|289,-1
friend_energy_cd,7200,-1
friend_energy_max,10,-1
love_coin_daily_max,30,-1
friend_max_num,50,-1
friend_search_level,36,-1
friend_recommend_num,10,-1
friend_recommend_update,7200,-1
friend_search_cd,28800,-1
friend_love_sum_max,1000,-1
friend_recommend_servernum,50,-1
friend_recommend_level,10,-1
friend_recommend_power,200000,-1
mail_cd,30,-1
arena_robot_min_score,900,-1
arena_robot_add_score,30,-1
facebook_follow_award,36#1|9#100000,-1
activity_arena_win,2,-1
activity_arena_lose,1,-1
guild_recruit,3600,-1
week_card_extra_output,1,-1
create_guild_cost,2#500,-1
guild_dissolve_cd,7200,-1
modify_guild_name_cost,2#1000,-1
guild_sign_in_coin,4#50,-1
guild_sign_in_exp,30,-1
guild_sign_in_show,4#50|5#30,-1
shelter_model_scale,1,-1
guild_boss_fight_cost,0#0|0#0|2#40|2#80,-1
guild_boss_fight_cd,57600,-1
guild_reset_skill_cost,2#2000,-1
guild_mill_donate,1#100000|1#1000000,-1
guild_order_cd,43200,-1
talk_guild_cd,0,-1
guild_name_num_max,3|12,-1
guild_order_open,8,-1
chat_blacklist_num,30,-1
chat_player_save_num,100,-1
chat_list_num_max,50,-1
guild_boss_exp_num_max,5,-1
arena_3v3_open_awards,34#5,-1
arena_3v3_ticket_cost,34#3,-1
activity_boss_buy_limit,9999999999,-1
activity_boss_buy_cost,2#50,-1
activity_boss_fight_cost,28#1,-1
activity_boss_open_award,9,-1
activity_cv_share_award,2#100,-1
stage_activity_dropbox,74,-1
stage_activity_dropbox2,20,-1
stage_activity_dropbox3,74,-1
stage_activity_dropbox4,74,-1
guild_transfer_cd,604800,-1
activity_guard_boss_hp,100,-1
activity_guard_item_atk,49#10,-1
activity_guard_fixed_award,2#288|1#1000000,-1
activity_guard_random_award,700001,-1
COMMIC_NUM,2,-1
activity_guard_random_award_1,20#1#25,-1
activity_guard_random_award_2,940002#20#40,-1
activity_guard_random_award_3,43#20#35,-1
activity_guard_random_award_num,3,-1
arena_team_energy_max,12,-1
arena_team_energy_cd,3600,-1
arena_team_energy_start,6,-1
guild_war_battle_min_num,10,-1
guild_war_battle_max_num,15,-1
guild_war_battle_hide_num,3,-1
guild_war_energy_cd,10800,-1
guild_war_energy_max,40,-1
guild_war_energy_start,1,-1
guild_war_point_start,1000,-1
guild_war_avatar_cd,25200,-1
comic_comment_length_limit_zh_tw,12|120,-1
comic_comment_length_limit_en_en,8|72,-1
comic_comment_length_limit_ja_jp,12|120,-1
comic_update_time,900,-1
comic_comment_cd,10,-1
comic_cancel_cd,60,-1
initial_background_girl,652002|652002,-1
guild_war_time_interval,432000|489600|496800|604800,-1
guild_war_open,12,-1
prophet_cost,20#1|20#10,-1
activity_jigsaw_buy_limit,50,-1
activity_jigsaw_energy_init,40#1,-1
activity_jigsaw_use_cost,40#1,-1
subscription_rate_gold,1,-1
subscription_rate_juice,0.6,-1
gm_image_limit,5,-1
partner_comment_length_limit_zh_tw,12|400,-1
partner_comment_length_limit_en_en,12|400,-1
partner_comment_length_limit_ja_jp,12|400,-1
partner_comment_length_limit_ko_kr,12|400,-1
partner_comment_length_limit_de_de,12|400,-1
love_point_max_base,10000,-1
love_point_max_grow,12000,-1
love_point_max_wall_papper,8000,-1
love_point_time_interval,99999999,-1
love_gift_cost,44#10,-1
love_gift_point,0|20|40,-1
love_point_icon_vow,love_point_icon6,-1
gm_image_open_lv,0,-1
pub_mission_max,200,-1
love_gift_item_num,1000001|40,-1
partner_sound_keys,start_sound|click_sound1|click_sound2|click_sound3|click_sound4|click_sound5|battle_sound|skill_sound|lvlup_sound|gradeup_sound|shengxue_sound|awake_sound|equip_sound1|equip_sound2|hangteam_sound|house_sound|house_set_sound|idle_sound|dagong_sound|daily_mission_sound|new_stage_sound|gift_sound1|gift_sound2|gift_sound3|login_sound|victory_sound|failed_sound|vow_sound,-1
partner_sound_text,dialog|click_dialog1|click_dialog2|click_dialog3|click_dialog4|click_dialog5|battle_dialog|skill_dialog|lvlup_dialog|gradeup_dialog|shengxue_dialog|awake_dialog|equip_dialog1|equip_dialog2|hangteam_dialog|house_set_dialog|house_dialog|idle_dialog|dagong_dialog|daily_mission_dialog|new_stage_dialog|love_gift_dialog1|love_gift_dialog2|love_gift_dialog3|login_dialog|victory_dialog|failed_dialog|vow_dialog,-1
love_point_vow_cost,45#1,-1
limit_duration_time_rate,20,-1
partner_data_lev,2000|4000|6000|8000,-1
love_gift_initial,1000001#1|1000006#1|1000018#1,-1
guild_boss_max_id,61,-1
partner_achievement_cost,1|2|43|44,-1
login_loop_exclude,30,-1
login_loop_max,390,-1
hang_up_time_max,36000,-1
activity_10_replace_cost,47#5,-1
pet_frame_use,pet_bg03|pet_bg03|pet_bg04|pet_bg04|pet_bg05,-1
sakura_date_energy_init,1,-1
sakura_date_buy_cost,2#60,-1
sakura_date_buy_limit,10,-1
sakura_date_plot_1st_page,10000001,-1
sakura_date_plot_end_pages,10000380|10000391|10000444|10000457|10000526|10000533,-1
announcement_repeat_times,4,-1
announcement_blanking,8,-1
wedding_vote_time_interval,4|8|14|15|17,-1
wedding_vote_cost,51#1,-1
activity_dorm_finish_awards,6437#1,-1
activity_dorm_finish_awards_mail,72,-1
activity_delegated_test_awards,2#150|20#1|36#2,-1
activity_delegated_test_complete,16,-1
main_window_bgm_switch,2005|2,-1
activity_fit_up_dorm_get_time,25,-1
activity_fit_up_dorm_get_item,52#10,-1
basic_frame,8007,-1
activity_equip_gacha_cost,54#1,-1
activity_equip_gacha_dropbox,900001,-1
activity_equip_gacha_buy_limit,20,-1
activity_equip_gacha_buy_cost,2#300,-1
activity_equip_gacha_insure_time,50,-1
activity_equip_gacha_appoint,1066|2066|3066|4066,-1
activity_equip_gacha_cost_all,54#1|54#10,-1
activity_equip_gacha_list,1066|2066|3066|4066|1065|2065|3065|4065|1064|2064|3064|4064|1063|2063|3063|4063|1062|2062|3062|4062|1061|2061|3061|4061|1054|2054|3054|4054|1053|2053|3053|4053|1052|2052|3052|4052|1051|2051|3051|4051,-1
activity_beach_pink_damage,1,-1
activity_beach_blue_damage,3,-1
activity_beach_red_damage,5,-1
activity_beach_free_attack_num,5,-1
activity_beach_buy_attack_num,5,-1
activity_beach_critical_times,3,-1
activity_beach_buy_attack_price,2#200,-1
activity_beach_buy_critical_price,2#100,-1
activity_beach_buy_game_price,2#300,-1
challenge_voucher_init,55#10,-1
challenge_voucher_max,10,-1
challenge_voucher_cd,1800,-1
partner_challenge_cost,55#1,-1
challenge_random_partner,20001|20074,-1
challenge_random_pet,101|201|301|401|501|601,-1
challenge_pet_lv,90,-1
challenge_pet_skill,30|30|30|30,-1
challenge_pet_tier,4,-1
challenge_reset_cost,55#1,-1
activity_jackpot_energy_initial,57#15,-1
activity_jackpot_energy_cd,14400,-1
activity_jackpot_energy_add,1,-1
activity_jackpot_energy_limit,20,-1
activity_jackpot_energy_bet_num,1|2|5|10,-1
activity_jackpot_exchange_item,58,-1
govern_team_kick_limit,6,-1
govern_team_join_limit,3,-1
govern_team_time,172800,-1
govern_team_apply_interval,86400,-1
govern_team_challenge_num,2,-1
govern_team_buy_num,1,-1
govern_team_buy_price,1#1000000,-1
govern_team_modify_interval,259200,-1
govern_team_kill_monster_hurt,0.2,-1
questionnaire_award,2#100|36#1,-1
player_return_award,50002,-1
music_game_perfect_inter,19,-1
music_game_great_inter,38,-1
music_game_good_inter,58,-1
music_game_miss_inter,77,-1
music_game_beat_invalid,154,-1
music_game_beat_disappear,77,-1
music_game_perfect_score,2,-1
music_game_great_score,1,-1
music_game_good_score,0.5,-1
music_game_miss_score,0,-1
music_game_perfect_fever,2,-1
music_game_great_fever,1,-1
music_game_good_fever,0.5,-1
music_game_miss_fever,-1,-1
music_game_drop_time,2.8|1.6|1|0.6,-1
music_game_drop_acceleration,50,-1
music_game_basic_score,100,-1
music_game_basic_fever,1,-1
music_game_fever_decline,1,-1
music_game_fever_time,10,-1
music_game_fever_end,50,-1
music_game_long_score,50,-1
music_game_long_period,150,-1
music_game_mult_score,20,-1
music_game_fever_score,2,-1
background_default,1,-1
loading_default,4|5|6|7|8|9|10|11|12|13,-1
activity_music_day_jigsaw_award,7051#1,-1
activity_music_day_jigsaw_mail,84,-1
activity_music_day_unlock_normal,2#100,-1
activity_music_day_unlock_hard,2#1000,-1
activity_music_day_plot_start,59,-1
activity_music_day_plot_main,1|2|6|7|12|13|17|18|19|20,-1
activity_music_day_plot_branch,3|4|5|8|9|10|11|14|15|16,-1
player_sign_num_max,100,-1
music_game_accuracy,0.9|0.8|0.65|0.5|0,-1
activity_music_day_hard_award,7052#1,-1
activity_music_day_hard_award_mail,86,-1
music_game_inter_multiple,1|1.75|2.8|4.6,-1
music_game_weight,1|0.8|0.5|0,-1
music_game_long_release,1.2,-1
new_story_lock_time,1570752000,-1
arena_all_server_bet_times,17280,-1
nsshaft_bg_speed,0#0.22|200#0.232|500#0.244|1000#0.255|2000#0.2784|3000#0.3016|4000#0.3132|6000#0.3248|8000#0.3364|10000#0.348|12000#0.36|14000#0.371|16000#0.383|18000#0.394|20000#0.406|22000#0.418|24000#0.429|26000#0.441|28000#0.452|30000#0.464,-1
nsshaft_player_volume,60|100,-1
nsshaft_player_xspeed,0.4,-1
nsshaft_player_a,0.002,-1
nsshaft_init_hp,12,-1
nsshaft_max_hp,12,-1
nsshaft_top_dmg,10,-1
nsshaft_floor_heal,1,-1
nsshaft_floor_space,150,-1
nsshaft_line2_time,200,-1
nsshaft_line3_dmg,5,-1
nsshaft_line4_yspeed,0.63,-1
nsshaft_line5_xspeed,0.133,-1
nsshaft_rd_limit_x,220|4,-1
nsshaft_rd_limit_type,4#10|7#11|5#15|5#13|5#17|7#11,-1
nsshaft_init_point,0,-1
nsshaft_line_point,10,-1
nsshaft_ex_point,5,-1
nsshaft_ex_point_line,1|5,-1
nsshaft_max_empty_line,3,-1
first_all_server_arena_time,1570406400,-1
funopen_all_server_arena_time,1570406400,-1
nsshaft_bgm,8006,-1
new_questionnaire_begin_time,1638489600,-1
new_questionnaire_end_time,1639094400,-1
new_questionnaire_award,2#100|36#1,-1
new_questionnaire_level_limit,70,-1
new_questionnaire_type,9,-1
govern_team_kill_result,1#0|4#0,-1
school_practise_ticket_default,2,-1
school_practise_ticket_limit_up,9|18|30,-1
school_practise_ticket_buy_limit,10,-1
school_practise_ticket02_default,10,-1
school_practise_ticket02_buy,2#25,-1
dorm_comfort_top_num_by_type,999|999|9999|9999|9999|9999|9999|9999|9999|999,-1
dorm_top_num_by_type,1|1|40|20|20|20|20|40|30|1,-1
dorm_max_partner,5,-1
dorm_show_furniture_type,0|1|2|10|3|4|5|6|8|9,-1
replace_10_cost_hero,5|6|7|7|8|9,-1
hero_break_lv_cap,260|270|290|310|330,-1
hero_break_attr_up,0.14|0.1,-1
house_partner_speed,1,-1
house_shadow,0.75|1,-1
therm_story_level_adapt,60|90|120|150|180,-1
house_furniture_initial,1010001#1|1010002#1|1010003#1|1010004#1|1010005#1|1010006#1|1010007#1|1010009#1|1010013#1|1010017#1|1010018#1|1090022#1|1100003#1,-1
house_furniture_unit_initial,1,-1
activity_therm_story_adapt_rate,2|7,-1
activity_therm_story_adapt_level,101|141,-1
return_10star_partner_exp_return_ratio,0.65,-1
return_10star_treasure_return_ratio,0.6,-1
return_10star_grade_coin_return,10#8000|10#16000|10#24000|10#36000|10#48000|10#64000,-1
return_10star_puppet_id,561001|562001|563001|564001|565001|566001|661001|662001|663001|664001|665001|666001|761001|762001|763001|764001|765001|766001,-1
return_10star_cost,47#5,-1
picture_max,1.4,-1
picture_min,0.6,-1
warmup_challenge_partner,0,-1
girls_model_bubble_time,5000,-1
partner_data_record_time,0,-1
house_dialog_area,8|8,-1
house_dialog_init_count,0.8,-1
house_dialog_count,-0.2|0.2,-1
house_dialog_count_cd,20,-1
house_dialog_cd1,4,-1
house_dialog_cd2,900,-1
house_dialog_cd3,180,-1
direct_partner_point_full,5,-1
lucky_device_max_per_server,5,-1
lucky_device_min_interval,899,-1
lucky_device_max_day,7,-1
wedding_vote_award_avatar,8006|8021,-1
lucky_player_phone_models,"iPhone11,1|iPhone11,2|iPhone11,3|iPhone11,4|iPhone11,5|iPhone11,6|iPhone11,7|iPhone11,8",-1
wedding_vote2_time_interval,4|8|14|15|17,-1
wedding_vote2_cost,156#1|157#1|158#1,-1
activity_newyear_box2_item,36#1|29#1|20#1|940002#10|956001#5,-1
activity_newyear_box1_item,1#388000|9#388000|10#388|14#388|26#388|27#66,-1
direct_partner_appear_full,143,-1
giftbag_japan_interval,1|3|7,-1
partner_comment_length_limit_fr_fr,12|400,-1
questionnaire_str_limit,1000|50,-1
guild_final_boss_begin_time,1581638400,-1
scratch_card_item_id,86,-1
scratch_card_dropbox_id,800006,-1
scratch_card_buy_cost,2#170,-1
scratch_card_buy_limit,1000,-1
scratch_card_awards_identical_1,263#1,-1
scratch_card_awards_identical_2,940001#5,-1
scratch_card_awards_identical_3,940001#30,-1
scratch_card_awards_identical_4,940002#50,-1
scratch_card_awards_identical_5,93#1,-1
scratch_card_unmask_r,25,-1
main_window_icon_position,-80#990|-80#1110|-80#1230|-200#990|-320#990|-200#1110|-320#1110|-200#1230|-320#1230|-440#990|-440#1110|-440#1230,-1
show_in_game,1579212000,-1
warmup_no_partner,1640304000,-1
direct_partner_appear_full_new,157,-1
dorm_comfort_version,2,-1
activity_making_coffee_speedup,7200,-1
test_server_prophet_entry_time,1597622400,-1
test_server_prophet_test_time,1597968000|1598572800,-1
test_server_entry_level_limit,120,-1
test_server_entry_tower_limit,400,-1
activity_pray_buy_price,2#100,-1
activity_pray_buy_limit,300,-1
activity_pray_select_price,2#500,-1
activity_pray_submit_award,32003,-1
activity_pray_submit_rate_normal,1,-1
activity_pray_submit_rate_special,1,-1
activity_pray_submit_bonus,1#6000|2#3000|3#1000,-1
activity_pray_cost,269#1,-1
activity_pray_submit_bonus_special,1#8500|2#1300|3#200,-1
activity_plot_list,81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101|102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120,-1
pub_mission_ensure_weight,1000000|338|5,-1
partner_jackpot_start,1582934400,-1
partner_jackpot_cd,345600,-1
partner_jackpot_cost,93#1,-1
partner_challenge_speed_fort,11,-1
partner_challenge_speed_img,partner_challenge_yinyue,-1
new_trial_drop,1100001,-1
new_trial_drop_cost,97#10,-1
new_trial_drop_show,1#500000|9#500000|14#600|10#600|940004#10|73#5,-1
activity_factory_item_price,1#50000,-1
activity_factory_easter_egg_weight,500,-1
player_red_point_lev,50,-1
player_red_point_partner_num,6,-1
tour_time_interval,14400,-1
tour_point,120|140,-1
tour_award,108#6-10|1#100000-100000|9#100000-100000,-1
tour_ex_award,108#3|1#50000|9#50000,-1
soft_guide_to_select_hero_lev,30,-1
hero_select_soft_guide_pos,40|430,-1
gacha_bg_replace_activity_id,99,-1
activity_easter_egg_submit_award,32001|32002,-1
activity_easter_egg_submit_point,1|2,-1
activity_easter_egg_bonus_weight,10000|600|1000,-1
activity_easter_egg_cost,186#1,-1
activity_sports_time_interval,86400|864000|7200|252000|86400,-1
activity_sports_energy_start,6,-1
activity_sports_pvp3_score,10|-6,-1
activity_sports_score_limit,100,-1
activity_sports_guess_cost,109#1|109#3|109#5,-1
activity_sports_guess_award,109#2|109#7|109#13,-1
activity_sports_match,1100|1200|1500,-1
activity_easter_egg_show,1#750000#10|9#750000#10|940001#30#10|14#500#10|10#500#10|26#400#10|27#50#10|216#20#10|198#500#10|199#100#10,-1
activity_easter_egg_show_bonus,940002#50#5|73#5#5|170#5#5|20#1#15|29#1#30|36#1#40,-1
activity_sports_top_num,100,-1
activity_sports_rank_pattern,1100|1200|1400|1600,-1
activity_sports_limit_lev,30,-1
activity_sports_start_item,109#1,-1
mail_last_time,1728000,-1
bp_start_time,1583452800,-1
bp_duration,3628800,-1
bp_buy_level_duration,2419200,-1
activity_preview_plot,3766,-1
battle_pass_plot,3641,-1
trial_enter_girl_pos_scale,150|1260|0.81,-1
trial_boss_levs,30|60|80|100,-1
mail_limit,40,-1
collection_point_level,500|1500|2500,-1
max_partner_equip,1066|2066|3066|4066|0|0|0,-1
activity_date_cost_dice,131#1|132#1,-1
activity_warmup_arena_default_partner,755009|756008,-1
activity_date_buydice_cost,2#100|2#150|2#200,-1
activity_date_buydice,131#3|132#1,-1
avtivity_date_gift,131#12|132#4,-1
act_summon_energy_pool,930178#50|930177#50|930179#50|930182#50|930176#50,-1
act_summon_energy_weight,2350|2350|2350|2350|600,-1
act_summon_energy_weight_add,175|525|0|0|0,-1
act_summon_energy_cost,2000,-1
act_summon_energy_limit,200|500,-1
act_summon_energy_num,10|10,-1
is_unity_initial_background_girl,27030,-1
activity_45_hero_model,dianna_pifu01_lihui01|389|-1426|0.8|5101602|7226,-1
act_summon_energy_item,136,-1
activity_chose_gift_free,10115|10121,-1
activity_date_buydice_limit,3,-1
bp_start_time_season2,1593129600,-1
activity_date_public_favor_limit,100,-1
activity_date_unique_favor_limit,300,-1
school_explore_energy_cd,10800,-1
school_explore_energy_max,5,-1
school_explore_energy_start,5,-1
activity_fanpai_weight_reset,1,-1
activity_fanpai_weight_add,2,-1
activity_fanpai_buy_limit,73,-1
activity_fanpai_buy_cost,2#120,-1
activity_fanpai_card_cost,146#1,-1
is_unity_background_default,34,-1
school_explore_items,137|138|139|140|141|142|143|144|145,-1
language_order,zh_tw|en_en|zh_cn|ja_jp|fr_fr|ko_kr,-1
comic_comment_length_limit_fr_fr,8|72,-1
comic_comment_length_limit_ko_kr,12|120,-1
activity_letter,36#10|2#1000|940002#50,-1
activity_birthday_colour_awards,1#18000|1#16000,-1
activity_birthday_colour_limit,100000,-1
activity_44_hero_model,liubei_pifu03_lihui01|280|-1362|0.7|5401306|7227,-1
activity_birthday_colour_cost,147#1,-1
activity_birthday_cake_cost,148#1,-1
activity_birthday_cake_rounds_limit,25,-1
activity_birthday_colour_colour,0x666666|0xffffff|0xff8080|0xffb57f|0xffff7f|0x80ff7f|0x00aaff|0xff7fff,-1
activity_birthday_cake_random,4,-1
activity_birthday_probability,2|4|4,-1
activity_privileged_card_trial_rewards,1*2000|15*2000,-1
activity_privileged_card_dungeon_rewards,1*1000|2*1000|10*1000|26*1000|27*1000,-1
activity_privileged_card_dungeon_drugs,2,-1
activity_birthday_colour_progress_bit,0.1,-1
merge_server_now_next,506|522|1699999999,-1
activity_privileged_card_ui_type,0#0|1#0,-1
arena_revenge_cd,300,-1
activity_swimsuit_cost,154#1,-1
activity_swimsuit_mission_cost_2,114,-1
activity_swimsuit_mail,128,-1
activity_privileged_card_function_open,18|19,-1
activity_ice_secret_weight,100|50|70|100|150|240|322|420|502|700|880|966|1000|966|880|700|502|420|322|240|150|100|70|50|100,-1
activity_ice_secret_hammer,180#15,-1
activity_ice_secret_boss,3000100,-1
activity_ice_secret_limit,1,-1
activity_ice_secret_skill,200000702|200000703|200000704|200000705,-1
house_no_jamb,1100001|1100002|1140001|1140002,-1
activity_return_player_lv_limit,50,-1
activity_return_player_offline_limit,2592000,-1
activity_return_player_time_range,2419200,-1
activity_return_binding_limit,2,-1
activity_return_apply_limit,15,-1
activity_return_drop_period,1209600,-1
partner_challenge_weight_balance,-60,-1
activity_return_recommend_reason1,150,-1
activity_return_recommend_reason2,10,-1
activity_return_recommend_reason3,86400,-1
activity_return_recommend_reason4,1200000,-1
house_furniture_type_num,10,-1
activity_fairytale_energy_init,166#10,-1
activity_fairytale_energy_cd,7200,-1
activity_fairytale_energy_max,10,-1
wish_gacha_partners,51016|51015|51014|51013|52017|52016|52015|52014|53016|53015|53014|53013|54017|54016|54015|54013|55010|55009|55008|55007|56008|56007|56006|56005,-1
wish_gacha_dropbox_id,10009,-1
wish_gacha_weight_ini_total,1000000,-1
wish_gacha_weight_ini_get,198,-1
wish_gacha_weight_add,198,-1
wish_gacha_weight_add_num,100,-1
wish_gacha_guarantee,500,-1
wish_gacha_mail_id,131,-1
activity_keyboard_cost,169#1,-1
match_group_limit,2,-1
arena_all_server_time,5,-1
arena_all_server_lock_limit_time,7200,-1
activity_fairytale_energy_cost,166#1,-1
chosen_arena_init_partner_ids,751009|751009,-1
chosen_arena_buy_costs,2#30|2#30|2#30|2#30|2#50|2#50|2#50|2#50|2#80|2#80|2#80|2#80,-1
house_wallpaper,1100003,-1
activity_sprouts_cost,171#1,-1
one_click_upgrade_level,100,-1
one_click_upgrade_duration,5,-1
activity_sprouts_limit,400,-1
activity_fairytale_main_cell,1.25,-1
school_practise_season1_start_time,1600387200,-1
school_practise_season_duration,1209600,-1
school_practise_display_duration,86400,-1
activity_red_riding_hood_mail,193|192|138|137|136,-1
activity_fairytale_boss_skill,12701|12703|12704|12705,-1
activity_fairytale_first_plot,4455,-1
activity_red_riding_hood_awards_1,940004#50|170#15,-1
school_practise_effect_pos,1#-45#-45|1#-130#-10|1#-60#-5|1#0#0|-1#470#-70|-1#540#-90,-1
treasure_reserve_unlock,2#0|2#1000|2#2000,-1
altar_6up_day_limit,5,-1
activity_tower_fund_bonus,4200|5000|5000|5000,-1
slot_sort_type_show_list,10|9|4|5|6|7|0|1|8,-1
partner_challenge_chess_cost1,3,-1
partner_challenge_chess_cost2,1,-1
partner_challenge_chess_award2,10,-1
partner_challenge_chess_hp,50,-1
partner_challenge_chess_sell,2|7,-1
entrance_test_slot_sort_type_show_list,9|4|5|6|7|0|1|8,-1
activity_147_hero_model,fanhexin_pifu02_lihui01|476|-1684|0.7|5101403|7229,-1
school_practise_ticket02_default_2,25,-1
school_practise_new_help_tips,2,-1
plot_fade_time,0.5,-1
up_dorm_limit,0|200,-1
activity_sports_term,3,-1
partner_warmup_random_seed,666665,-1
herobag_buy_new_cost,2#100|2#200|2#300|2#400|2#500|2#600|2#700|2#800|2#900|2#1000|2#1100|2#1200|2#1300|2#1400|2#1500|2#1600|2#1700|2#1800|2#1900|2#2000|2#2000|2#2000|2#2000|2#2000|2#2000|2#2000|2#2000|2#2000|2#2000|2#2000|2#2000|2#2000,-1
daily_mission_award,101|186#1,-1
halloween_buy,2#150|182#1,-1
halloween_limit,30,-1
halloween_cost,182#1,-1
midas_time_interval,86400,-1
school_practise_point_time_stamp,1604016000,-1
old_rookie_ddl,1606694400|1605830400,-1
friend_boss_skip_limit,3,-1
activity_limit_gacha_boss,3000200,-1
activity_limit_gacha_boss_effect,88200|88201,-1
activity_limit_gacha_boss_limit,2,-1
activity_limit_gacha_boss_skill,75101401|75101402|75101403|75101404,-1
activity_limit_gacha_security_time,50|52017,-1
activity_limit_gacha_10_dropbox,10|40003,-1
activity_limit_gacha_partner_award,52017,-1
activity_limit_gacha_partner_show,52017,-1
activity_limit_gacha_partner_jump,52017,-1
activity_limit_gacha_buy,2#300|265#1,-1
activity_limit_gacha_limit,50,-1
new_trial_match_chance,0.7,-1
new_trial_match_partner,655016|656016|755006|756006,-1
tower_giftbag_floors1,20|80|140|200,-1
tower_giftbag_floors2,220|280|340|400,-1
tower_giftbag_floors3,420|480|540|600,-1
tower_giftbag_floors4,620|680|740|800,-1
level_fund_window_lvl,40|50|60,-1
battle_pass_time,7|3|1,-1
battle_pass_level,10,-1
battle_pass_item_light,2|120|222|976001|940002|940004|7174|7191|7208|7221|1129999|1900002|1900004|1900005|1900006,-1
battle_speed_up,1|1.8|2.5,-1
battle_skip_level,30,-1
treasures_refresh_gurantee,4,-1
activity_lafuli_star,21,-1
activity_lafuli_cost1,189#1,-1
activity_lafuli_cost2,190#1,-1
activity_lafuli_recover,2,-1
activity_lafuli_buy,2#150|189#1,-1
activity_lafuli_limit,30,-1
partner_picture_show_animation,animation_show,-1
shengdan_zhujiemian_stop,1609977600,-1
activity_doll_3,193#11,-1
activity_doll_4,193#55,-1
activity_doll_5,193#500,-1
activity_year_fund_sell_time,3,-1
activity_year_fund_get_time,30,-1
new_limit_skin_item_id,,-1
old_building_floor_limit,300,-1
old_building_star_limit,22,-1
old_building_time_interval,1123200|86400,-1
activity_newyear_item_id,196|197,-1
partner_exskill_reset_cost,2#500,-1
activity_study_energy,4,-1
activity_study_energy_limit,4,-1
activity_study_host,6,-1
old_building_start_time,1610668800,-1
artifact_shop_start_time,1611273600,-1
travel_train_grade_limit,1#0|2#1|3#1|4#2|5#2|6#3|7#3|8#4|9#4|10#5|11#5|12#6|13#6|14#7|15#7|16#8|17#8|18#9|19#9|20#10|21#10|22#11|23#11|24#12|25#12|26#13|27#13|28#14|29#14|30#15,-1
travel_train_slot_limit,1#1|11#2|21#3,-1
travel_building_slot_limit,1#1|15#2|25#3|35#4,-1
travel_train_facility_limit,1#0|2#3|3#6|4#9|5#12|6#15|7#18|8#21|9#24|10#27|11#30|12#33|13#36|14#39|15#42|16#45|17#48|18#51|19#54|20#57|21#60|22#63|23#66|24#69|25#72|26#75|27#78|28#81|29#84|30#87|31#90|32#93|33#96|34#99|35#102|36#105|37#108|38#111|39#114|40#117|41#120|42#123|43#126|44#129|45#132|46#135|47#138|48#141|49#144|50#147,-1
travel_facility_cd,3600|3600|3600,-1
