id,host_1,id_text,host_trial,host_arena,host_team,host_32,host_guild_war,host_chat,server_name,host_mix,host_old_building,host_music,host_nsshaft,host_52,host_all_server_arena,host_partner_warm,host_partner_data_station,host_all_server,host_fair_arena,host_mix_show
86,83,S84,83,83,83,83,83,83,,83,83,3,3,1,3,3,3,3,3,83
87,83,S85,83,83,83,83,83,83,,83,83,3,3,1,3,3,3,3,3,83
88,83,S86,83,83,83,83,83,83,,83,83,3,3,1,3,3,3,3,3,83
89,83,S87,83,83,83,83,83,83,,83,83,3,3,1,3,3,3,3,3,83
90,83,S88,83,83,83,83,83,83,,83,83,3,3,1,3,3,3,3,3,83
91,91,S89,91,91,91,91,91,91,,91,83,3,3,1,3,3,3,3,3,91
92,91,S90,91,91,91,91,91,91,,91,83,3,3,1,3,3,3,3,3,91
93,91,S91,91,91,91,91,91,91,,91,83,3,3,1,3,3,3,3,3,91
94,91,S92,91,91,91,91,91,91,,91,83,3,3,1,3,3,3,3,3,91
95,91,S93,91,91,91,91,91,91,,91,83,3,3,1,3,3,3,3,3,91
96,91,S94,91,91,91,91,91,91,,91,83,3,3,1,3,3,3,3,3,91
97,91,S95,91,91,91,91,91,91,,91,83,3,3,1,3,3,3,3,3,91
98,91,S96,91,91,91,91,91,91,,91,83,3,3,1,3,3,3,3,3,91
99,99,S97,99,99,99,99,99,99,,99,99,3,3,1,3,3,3,3,3,99
100,99,S98,99,99,99,99,99,99,,99,99,3,3,1,3,3,3,3,3,99
101,99,S99,99,99,99,99,99,99,,99,99,3,3,1,3,3,3,3,3,99
102,99,S100,99,99,99,99,99,99,,99,99,3,3,1,3,3,3,3,3,99
103,99,S101,99,99,99,99,99,99,,99,99,3,3,1,3,3,3,3,3,99
104,99,S102,99,99,99,99,99,99,,99,99,3,3,1,3,3,3,3,3,99
105,99,S103,99,99,99,99,99,99,,99,99,3,3,1,3,3,3,3,3,99
106,99,S104,99,99,99,99,99,99,,99,99,3,3,1,3,3,3,3,3,99
107,107,S105,107,107,107,107,107,107,,107,99,3,3,1,3,3,3,3,3,107
108,107,S106,107,107,107,107,107,107,,107,99,3,3,1,3,3,3,3,3,107
109,107,S107,107,107,107,107,107,107,,107,99,3,3,1,3,3,3,3,3,107
110,107,S108,107,107,107,107,107,107,,107,99,3,3,1,3,3,3,3,3,107
111,107,S109,107,107,107,107,107,107,,107,99,3,3,1,3,3,3,3,3,107
112,107,S110,107,107,107,107,107,107,,107,99,3,3,1,3,3,3,3,3,107
113,107,S111,107,107,107,107,107,107,,107,99,3,3,1,3,3,3,3,3,107
114,107,S112,107,107,107,107,107,107,,107,99,3,3,1,3,3,3,3,3,107
115,115,S113,115,115,115,115,115,115,,115,115,3,3,1,3,3,3,3,3,115
116,115,S114,115,115,115,115,115,115,,115,115,3,3,1,3,3,3,3,3,115
117,115,S115,115,115,115,115,115,115,,115,115,3,3,1,3,3,3,3,3,115
118,115,S116,115,115,115,115,115,115,,115,115,3,3,1,3,3,3,3,3,115
119,115,S117,115,115,115,115,115,115,,115,115,3,3,1,3,3,3,3,3,115
120,115,S118,115,115,115,115,115,115,,115,115,3,3,1,3,3,3,3,3,115
121,115,S119,115,115,115,115,115,115,,115,115,3,3,1,3,3,3,3,3,115
122,115,S120,115,115,115,115,115,115,,115,115,3,3,1,3,3,3,3,3,115
123,123,S121,123,123,123,123,123,123,,123,115,3,3,1,3,3,3,3,3,123
124,123,S122,123,123,123,123,123,123,,123,115,3,3,1,3,3,3,3,3,123
125,123,S123,123,123,123,123,123,123,,123,115,3,3,1,3,3,3,3,3,123
126,123,S124,123,123,123,123,123,123,,123,115,3,3,1,3,3,3,3,3,123
127,123,S125,123,123,123,123,123,123,,123,115,3,3,1,3,3,3,3,3,123
128,123,S126,123,123,123,123,123,123,,123,115,3,3,1,3,3,3,3,3,123
129,123,S127,123,123,123,123,123,123,,123,115,3,3,1,3,3,3,3,3,123
130,123,S128,123,123,123,123,123,123,,123,115,3,3,1,3,3,3,3,3,123
131,131,S129,131,131,131,131,131,131,,131,131,3,3,1,3,3,3,3,3,131
132,131,S130,131,131,131,131,131,131,,131,131,3,3,1,3,3,3,3,3,131
133,131,S131,131,131,131,131,131,131,,131,131,3,3,1,3,3,3,3,3,131
134,131,S132,131,131,131,131,131,131,,131,131,3,3,1,3,3,3,3,3,131
135,131,S133,131,131,131,131,131,131,,131,131,3,3,1,3,3,3,3,3,131
136,131,S134,131,131,131,131,131,131,,131,131,3,3,1,3,3,3,3,3,131
137,131,S135,131,131,131,131,131,131,,131,131,3,3,1,3,3,3,3,3,131
138,131,S136,131,131,131,131,131,131,,131,131,3,3,1,3,3,3,3,3,131
139,139,S137,139,139,139,139,139,139,,139,131,3,3,1,3,3,3,3,3,139
140,139,S138,139,139,139,139,139,139,,139,131,3,3,1,3,3,3,3,3,139
141,139,S139,139,139,139,139,139,139,,139,131,3,3,1,3,3,3,3,3,139
142,139,S140,139,139,139,139,139,139,,139,131,3,3,1,3,3,3,3,3,139
143,139,S141,139,139,139,139,139,139,,139,131,3,3,1,3,3,3,3,3,139
144,139,S142,139,139,139,139,139,139,,139,131,3,3,1,3,3,3,3,3,139
145,139,S143,139,139,139,139,139,139,,139,131,3,3,1,3,3,3,3,3,139
146,139,S144,139,139,139,139,139,139,,139,131,3,3,1,3,3,3,3,3,139
147,147,S145,147,147,147,147,147,147,,147,147,3,3,1,3,3,3,3,3,147
148,147,S146,147,147,147,147,147,147,,147,147,3,3,1,3,3,3,3,3,147
149,147,S147,147,147,147,147,147,147,,147,147,3,3,1,3,3,3,3,3,147
150,147,S148,147,147,147,147,147,147,,147,147,3,3,1,3,3,3,3,3,147
151,147,S149,147,147,147,147,147,147,,147,147,3,3,1,3,3,3,3,3,147
152,147,S150,147,147,147,147,147,147,,147,147,3,3,1,3,3,3,3,3,147
153,147,S151,147,147,147,147,147,147,,147,147,3,3,1,3,3,3,3,3,147
154,147,S152,147,147,147,147,147,147,,147,147,3,3,1,3,3,3,3,3,147
155,155,S153,155,155,155,155,155,155,,155,147,3,3,1,3,3,3,3,3,155
156,155,S154,155,155,155,155,155,155,,155,147,3,3,1,3,3,3,3,3,155
157,155,S155,155,155,155,155,155,155,,155,147,3,3,1,3,3,3,3,3,155
158,155,S156,155,155,155,155,155,155,,155,147,3,3,1,3,3,3,3,3,155
159,155,S157,155,155,155,155,155,155,,155,147,3,3,1,3,3,3,3,3,155
160,155,S158,155,155,155,155,155,155,,155,147,3,3,1,3,3,3,3,3,155
161,155,S159,155,155,155,155,155,155,,155,147,3,3,1,3,3,3,3,3,155
162,155,S160,155,155,155,155,155,155,,155,147,3,3,1,3,3,3,3,3,155
163,163,S161,163,163,163,163,163,163,,163,163,3,3,1,3,3,3,3,3,163
164,163,S162,163,163,163,163,163,163,,163,163,3,3,1,3,3,3,3,3,163
165,163,S163,163,163,163,163,163,163,,163,163,3,3,1,3,3,3,3,3,163
166,163,S164,163,163,163,163,163,163,,163,163,3,3,1,3,3,3,3,3,163
167,163,S165,163,163,163,163,163,163,,163,163,3,3,1,3,3,3,3,3,163
168,163,S166,163,163,163,163,163,163,,163,163,3,3,1,3,3,3,3,3,163
169,163,S167,163,163,163,163,163,163,,163,163,3,3,1,3,3,3,3,3,163
170,163,S168,163,163,163,163,163,163,,163,163,3,3,1,3,3,3,3,3,163
171,171,S169,171,171,171,171,171,171,,171,163,3,3,1,3,3,3,3,3,171
172,171,S170,171,171,171,171,171,171,,171,163,3,3,1,3,3,3,3,3,171
173,171,S171,171,171,171,171,171,171,,171,163,3,3,1,3,3,3,3,3,171
174,171,S172,171,171,171,171,171,171,,171,163,3,3,1,3,3,3,3,3,171
175,171,S173,171,171,171,171,171,171,,171,163,3,3,1,3,3,3,3,3,171
176,171,S174,171,171,171,171,171,171,,171,163,3,3,1,3,3,3,3,3,171
177,171,S175,171,171,171,171,171,171,,171,163,3,3,1,3,3,3,3,3,171
178,171,S176,171,171,171,171,171,171,,171,163,3,3,1,3,3,3,3,3,171
179,179,S177,179,179,179,179,179,179,,179,179,3,3,1,3,3,3,3,3,179
180,179,S178,179,179,179,179,179,179,,179,179,3,3,1,3,3,3,3,3,179
181,179,S179,179,179,179,179,179,179,,179,179,3,3,1,3,3,3,3,3,179
182,179,S180,179,179,179,179,179,179,,179,179,3,3,1,3,3,3,3,3,179
183,179,S181,179,179,179,179,179,179,,179,179,3,3,1,3,3,3,3,3,179
184,179,S182,179,179,179,179,179,179,,179,179,3,3,1,3,3,3,3,3,179
185,179,S183,179,179,179,179,179,179,,179,179,3,3,1,3,3,3,3,3,179
186,179,S184,179,179,179,179,179,179,,179,179,3,3,1,3,3,3,3,3,179
187,187,S185,187,187,187,187,187,187,,187,179,3,3,1,3,3,3,3,3,187
188,187,S186,187,187,187,187,187,187,,187,179,3,3,1,3,3,3,3,3,187
189,187,S187,187,187,187,187,187,187,,187,179,3,3,1,3,3,3,3,3,187
190,187,S188,187,187,187,187,187,187,,187,179,3,3,1,3,3,3,3,3,187
191,187,S189,187,187,187,187,187,187,,187,179,3,3,1,3,3,3,3,3,187
192,187,S190,187,187,187,187,187,187,,187,179,3,3,1,3,3,3,3,3,187
193,187,S191,187,187,187,187,187,187,,187,179,3,3,1,3,3,3,3,3,187
194,187,S192,187,187,187,187,187,187,,187,179,3,3,1,3,3,3,3,3,187
195,195,S193,195,195,195,195,195,195,,195,195,3,3,1,3,3,3,3,3,195
196,195,S194,195,195,195,195,195,195,,195,195,3,3,1,3,3,3,3,3,195
197,195,S195,195,195,195,195,195,195,,195,195,3,3,1,3,3,3,3,3,195
198,195,S196,195,195,195,195,195,195,,195,195,3,3,1,3,3,3,3,3,195
199,195,S197,195,195,195,195,195,195,,195,195,3,3,1,3,3,3,3,3,195
200,195,S198,195,195,195,195,195,195,,195,195,3,3,1,3,3,3,3,3,195
201,195,S199,195,195,195,195,195,195,,195,195,3,3,1,3,3,3,3,3,195
202,195,S200,195,195,195,195,195,195,,195,195,3,3,1,3,3,3,3,3,195
203,203,S201,203,203,203,203,203,203,,203,195,3,3,1,3,3,3,3,3,203
204,203,S202,203,203,203,203,203,203,,203,195,3,3,1,3,3,3,3,3,203
205,203,S203,203,203,203,203,203,203,,203,195,3,3,1,3,3,3,3,3,203
206,203,S204,203,203,203,203,203,203,,203,195,3,3,1,3,3,3,3,3,203
207,203,S205,203,203,203,203,203,203,,203,195,3,3,1,3,3,3,3,3,203
208,203,S206,203,203,203,203,203,203,,203,195,3,3,1,3,3,3,3,3,203
209,203,S207,203,203,203,203,203,203,,203,195,3,3,1,3,3,3,3,3,203
210,203,S208,203,203,203,203,203,203,,203,195,3,3,1,3,3,3,3,3,203
211,211,S209,211,211,211,211,211,211,,211,211,3,3,1,3,3,3,3,3,211
212,211,S210,211,211,211,211,211,211,,211,211,3,3,1,3,3,3,3,3,211
213,211,S211,211,211,211,211,211,211,,211,211,3,3,1,3,3,3,3,3,211
214,211,S212,211,211,211,211,211,211,,211,211,3,3,1,3,3,3,3,3,211
215,211,S213,211,211,211,211,211,211,,211,211,3,3,1,3,3,3,3,3,211
216,211,S214,211,211,211,211,211,211,,211,211,3,3,1,3,3,3,3,3,211
217,211,S215,211,211,211,211,211,211,,211,211,3,3,1,3,3,3,3,3,211
218,211,S216,211,211,211,211,211,211,,211,211,3,3,1,3,3,3,3,3,211
219,219,S217,219,219,219,219,219,219,,219,211,3,3,1,3,3,3,3,3,219
220,219,S218,219,219,219,219,219,219,,219,211,3,3,1,3,3,3,3,3,219
221,219,S219,219,219,219,219,219,219,,219,211,3,3,1,3,3,3,3,3,219
222,219,S220,219,219,219,219,219,219,,219,211,3,3,1,3,3,3,3,3,219
223,219,S221,219,219,219,219,219,219,,219,211,3,3,1,3,3,3,3,3,219
224,219,S222,219,219,219,219,219,219,,219,211,3,3,1,3,3,3,3,3,219
225,219,S223,219,219,219,219,219,219,,219,211,3,3,1,3,3,3,3,3,219
226,219,S224,219,219,219,219,219,219,,219,211,3,3,1,3,3,3,3,3,219
227,227,S225,227,227,227,227,227,227,,227,227,3,3,1,3,3,3,3,3,227
228,227,S226,227,227,227,227,227,227,,227,227,3,3,1,3,3,3,3,3,227
229,227,S227,227,227,227,227,227,227,,227,227,3,3,1,3,3,3,3,3,227
230,227,S228,227,227,227,227,227,227,,227,227,3,3,1,3,3,3,3,3,227
231,227,S229,227,227,227,227,227,227,,227,227,3,3,1,3,3,3,3,3,227
232,227,S230,227,227,227,227,227,227,,227,227,3,3,1,3,3,3,3,3,227
233,227,S231,227,227,227,227,227,227,,227,227,3,3,1,3,3,3,3,3,227
234,227,S232,227,227,227,227,227,227,,227,227,3,3,1,3,3,3,3,3,227
235,235,S233,235,235,235,235,235,235,,235,227,3,3,1,3,3,3,3,3,235
236,235,S234,235,235,235,235,235,235,,235,227,3,3,1,3,3,3,3,3,235
237,235,S235,235,235,235,235,235,235,,235,227,3,3,1,3,3,3,3,3,235
238,235,S236,235,235,235,235,235,235,,235,227,3,3,1,3,3,3,3,3,235
239,235,S237,235,235,235,235,235,235,,235,227,3,3,1,3,3,3,3,3,235
240,235,S238,235,235,235,235,235,235,,235,227,3,3,1,3,3,3,3,3,235
241,235,S239,235,235,235,235,235,235,,235,227,3,3,1,3,3,3,3,3,235
242,235,S240,235,235,235,235,235,235,,235,227,3,3,1,3,3,3,3,3,235
243,243,S241,243,243,243,243,243,243,,243,243,3,3,1,3,3,3,3,3,243
244,243,S242,243,243,243,243,243,243,,243,243,3,3,1,3,3,3,3,3,243
245,243,S243,243,243,243,243,243,243,,243,243,3,3,1,3,3,3,3,3,243
246,243,S244,243,243,243,243,243,243,,243,243,3,3,1,3,3,3,3,3,243
247,243,S245,243,243,243,243,243,243,,243,243,3,3,1,3,3,3,3,3,243
248,243,S246,243,243,243,243,243,243,,243,243,3,3,1,3,3,3,3,3,243
249,243,S247,243,243,243,243,243,243,,243,243,3,3,1,3,3,3,3,3,243
250,243,S248,243,243,243,243,243,243,,243,243,3,3,1,3,3,3,3,3,243
251,251,S249,251,251,251,251,251,251,,251,243,3,3,1,3,3,3,3,3,251
252,251,S250,251,251,251,251,251,251,,251,243,3,3,1,3,3,3,3,3,251
253,251,S251,251,251,251,251,251,251,,251,243,3,3,1,3,3,3,3,3,251
254,251,S252,251,251,251,251,251,251,,251,243,3,3,1,3,3,3,3,3,251
255,251,S253,251,251,251,251,251,251,,251,243,3,3,1,3,3,3,3,3,251
256,251,S254,251,251,251,251,251,251,,251,243,3,3,1,3,3,3,3,3,251
257,251,S255,251,251,251,251,251,251,,251,243,3,3,1,3,3,3,3,3,251
258,251,S256,251,251,251,251,251,251,,251,243,3,3,1,3,3,3,3,3,251
259,259,S257,259,259,259,259,259,259,,259,259,3,3,1,3,3,3,3,3,259
260,259,S258,259,259,259,259,259,259,,259,259,3,3,1,3,3,3,3,3,259
261,259,S259,259,259,259,259,259,259,,259,259,3,3,1,3,3,3,3,3,259
262,259,S260,259,259,259,259,259,259,,259,259,3,3,1,3,3,3,3,3,259
263,259,S261,259,259,259,259,259,259,,259,259,3,3,1,3,3,3,3,3,259
264,259,S262,259,259,259,259,259,259,,259,259,3,3,1,3,3,3,3,3,259
265,259,S263,259,259,259,259,259,259,,259,259,3,3,1,3,3,3,3,3,259
266,259,S264,259,259,259,259,259,259,,259,259,3,3,1,3,3,3,3,3,259
267,267,S265,267,267,267,267,267,267,,267,259,3,3,1,3,3,3,3,3,267
268,267,S266,267,267,267,267,267,267,,267,259,3,3,1,3,3,3,3,3,267
269,267,S267,267,267,267,267,267,267,,267,259,3,3,1,3,3,3,3,3,267
270,267,S268,267,267,267,267,267,267,,267,259,3,3,1,3,3,3,3,3,267
271,267,S269,267,267,267,267,267,267,,267,259,3,3,1,3,3,3,3,3,267
272,267,S270,267,267,267,267,267,267,,267,259,3,3,1,3,3,3,3,3,267
273,267,S271,267,267,267,267,267,267,,267,259,3,3,1,3,3,3,3,3,267
274,267,S272,267,267,267,267,267,267,,267,259,3,3,1,3,3,3,3,3,267
275,275,S273,275,275,275,275,275,275,,275,275,3,3,1,3,3,3,3,3,275
276,275,S274,275,275,275,275,275,275,,275,275,3,3,1,3,3,3,3,3,275
277,275,S275,275,275,275,275,275,275,,275,275,3,3,1,3,3,3,3,3,275
278,275,S276,275,275,275,275,275,275,,275,275,3,3,1,3,3,3,3,3,275
279,275,S277,275,275,275,275,275,275,,275,275,3,3,1,3,3,3,3,3,275
280,275,S278,275,275,275,275,275,275,,275,275,3,3,1,3,3,3,3,3,275
281,275,S279,275,275,275,275,275,275,,275,275,3,3,1,3,3,3,3,3,275
282,275,S280,275,275,275,275,275,275,,275,275,3,3,1,3,3,3,3,3,275
283,283,S281,283,283,283,283,283,283,,283,275,3,3,1,3,3,3,3,3,283
284,283,S282,283,283,283,283,283,283,,283,275,3,3,1,3,3,3,3,3,283
285,283,S283,283,283,283,283,283,283,,283,275,3,3,1,3,3,3,3,3,283
286,283,S284,283,283,283,283,283,283,,283,275,3,3,1,3,3,3,3,3,283
287,283,S285,283,283,283,283,283,283,,283,275,3,3,1,3,3,3,3,3,283
288,283,S286,283,283,283,283,283,283,,283,275,3,3,1,3,3,3,3,3,283
289,283,S287,283,283,283,283,283,283,,283,275,3,3,1,3,3,3,3,3,283
290,283,S288,283,283,283,283,283,283,,283,275,3,3,1,3,3,3,3,3,283
291,291,S289,291,291,291,291,291,291,,291,291,3,3,1,3,3,3,3,3,291
292,291,S290,291,291,291,291,291,291,,291,291,3,3,1,3,3,3,3,3,291
293,291,S291,291,291,291,291,291,291,,291,291,3,3,1,3,3,3,3,3,291
294,291,S292,291,291,291,291,291,291,,291,291,3,3,1,3,3,3,3,3,291
295,291,S293,291,291,291,291,291,291,,291,291,3,3,1,3,3,3,3,3,291
296,291,S294,291,291,291,291,291,291,,291,291,3,3,1,3,3,3,3,3,291
297,291,S295,291,291,291,291,291,291,,291,291,3,3,1,3,3,3,3,3,291
298,291,S296,291,291,291,291,291,291,,291,291,3,3,1,3,3,3,3,3,291
299,299,S297,299,299,299,299,299,299,,299,291,3,3,1,3,3,3,3,3,299
300,299,S298,299,299,299,299,299,299,,299,291,3,3,1,3,3,3,3,3,299
301,299,S299,299,299,299,299,299,299,,299,291,3,3,1,3,3,3,3,3,299
302,299,S300,299,299,299,299,299,299,,299,291,3,3,1,3,3,3,3,3,299
303,299,S301,299,299,299,299,299,299,,299,291,3,3,1,3,3,3,3,3,299
304,299,S302,299,299,299,299,299,299,,299,291,3,3,1,3,3,3,3,3,299
305,299,S303,299,299,299,299,299,299,,299,291,3,3,1,3,3,3,3,3,299
306,299,S304,299,299,299,299,299,299,,299,291,3,3,1,3,3,3,3,3,299
307,307,S305,307,307,307,307,307,307,,307,307,3,3,1,3,3,3,3,3,307
308,307,S306,307,307,307,307,307,307,,307,307,3,3,1,3,3,3,3,3,307
309,307,S307,307,307,307,307,307,307,,307,307,3,3,1,3,3,3,3,3,307
310,307,S308,307,307,307,307,307,307,,307,307,3,3,1,3,3,3,3,3,307
311,307,S309,307,307,307,307,307,307,,307,307,3,3,1,3,3,3,3,3,307
312,307,S310,307,307,307,307,307,307,,307,307,3,3,1,3,3,3,3,3,307
313,307,S311,307,307,307,307,307,307,,307,307,3,3,1,3,3,3,3,3,307
314,307,S312,307,307,307,307,307,307,,307,307,3,3,1,3,3,3,3,3,307
315,315,S313,315,315,315,315,315,315,,315,307,3,3,1,3,3,3,3,3,315
316,315,S314,315,315,315,315,315,315,,315,307,3,3,1,3,3,3,3,3,315
317,315,S315,315,315,315,315,315,315,,315,307,3,3,1,3,3,3,3,3,315
318,315,S316,315,315,315,315,315,315,,315,307,3,3,1,3,3,3,3,3,315
319,315,S317,315,315,315,315,315,315,,315,307,3,3,1,3,3,3,3,3,315
320,315,S318,315,315,315,315,315,315,,315,307,3,3,1,3,3,3,3,3,315
321,315,S319,315,315,315,315,315,315,,315,307,3,3,1,3,3,3,3,3,315
322,315,S320,315,315,315,315,315,315,,315,307,3,3,1,3,3,3,3,3,315
323,323,S321,323,323,323,323,323,323,,323,323,3,3,1,3,3,3,3,3,323
324,323,S322,323,323,323,323,323,323,,323,323,3,3,1,3,3,3,3,3,323
325,323,S323,323,323,323,323,323,323,,323,323,3,3,1,3,3,3,3,3,323
