id,type,buff,num,round,prob
1460003,1460,mayaBuffResist,1019954,3,1
1460004,1460,mayaBuffResist,1019955,3,1
1460005,1460,mayaBuffResist,1019956,3,1
1460006,1460,mayaBuffResist,1019957,3,1
1460007,1460,mayaBuffResist,1019958,3,1
1460008,1460,mayaBuffResist,1019959,3,1
1461001,1461,mayaHpLoseSeal,0.04|0.4|0.02|0.4,6,1
1461002,1461,mayaHpLoseSeal,0.06|0.4|0.03|0.4,6,1
1461003,1461,mayaHpLoseSeal,0.08|0.4|0.05|0.4,6,1
1461004,1461,mayaHpLoseSeal,0.1|0.4|0.05|0.4,6,1
1462001,1462,allDmgC40,-0.1,99,1
1462002,1462,allDmgC40,-0.15,99,1
1462003,1462,allDmgC40,-0.2,99,1
1462004,1462,allDmgC40,-0.22,99,1
1463001,1463,roundUseTimes,1023112|6,0,1
1463002,1463,roundUseTimes,1023113|6,0,1
1464001,1464,mayaHpLoseSealFx,,0,1
1465001,1465,snowWindMix,0.1|0.1|0.1,99,1
1465002,1465,snowWindMix,0.15|0.15|0.15,99,1
1465003,1465,snowWindMix,0.2|0.2|0.2,99,1
1466001,1466,harmShareOnce,1,2,1
1467001,1467,attrBuffClear,,0,0.3
1467002,1467,attrBuffClear,,0,0.5
1467003,1467,attrBuffClear,,0,1
