id,name,avatar_id,decision_id,hp
44,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457325
45,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454207
46,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457546
47,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454219
48,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455734
49,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456701
50,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457003
51,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457891
52,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456117
53,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456820
54,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454807
55,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456592
56,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454754
57,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457607
58,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457236
59,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457017
60,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455652
61,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457140
62,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456760
63,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454675
64,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455812
65,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455861
66,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456103
67,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456197
68,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457447
69,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454264
70,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455065
71,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454018
72,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454448
73,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456238
74,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454030
75,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454379
76,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457871
77,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455837
78,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457733
79,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457193
80,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455378
81,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1457815
82,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455863
83,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454437
84,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454028
85,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454116
86,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455359
87,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455254
88,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454177
89,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455509
90,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455909
91,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455816
92,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455197
93,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1455720
94,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1454029
95,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,1456192
96,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,19346856
97,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,19346856
98,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,4840636
99,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,19346856
100,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,19346856
101,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,19346856
102,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,4840035
103,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,19346856
104,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,19346856
105,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,19346856
106,,11002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,19346856
107,,11003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,4838534
108,,12001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,19346856
109,,12002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,4838436
110,,12003,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,4838486
111,,13001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,4837276
112,,13002,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,4836531
113,,11001,1001#1002|2001#2002|3001#3002|4001#4002|5001#5002|6001#6002|7001#7002|8001#8002|9001#9002|10001#10002,4839825
