id,day_limit,type,text_type,data_type,label,mission_detail,complete_show,complete_value,award,award2,func_id,go_window,go_params
63,5,3,3,1,1,-1,8000,8000,2#4000|74#210,1,,vip_window,
64,5,14,14,1,2,-1,2,2,9#50000|35#1,1,17,tavern_window,
65,5,14,14,1,2,-1,4,4,9#150000|35#1,1,17,tavern_window,
66,5,15,15,1,2,-1,1,1,9#250000|35#2,1,17,tavern_window,
67,5,15,15,1,2,-1,3,3,9#350000|35#3,1,17,tavern_window,
68,5,15,15,1,2,-1,5,5,9#500000|35#4,1,17,tavern_window,
69,5,16,16,1,2,-1,1,1,9#600000|29#1,1,17,tavern_window,
70,5,17,17,1,3,-1,10,10,1#50000|6#300,1,14,gamble_window,{'type':1}
71,5,17,17,1,3,-1,30,30,1#150000|6#500,1,14,gamble_window,{'type':1}
72,5,17,17,1,3,-1,50,50,1#300000|6#1000,1,14,gamble_window,{'type':1}
73,5,31,31,1,3,-1,5,5,1#500000|35#2,1,,midas_window,
74,5,31,31,1,3,-1,10,10,1#200000|35#4,1,,midas_window,
75,5,31,31,1,3,-1,20,20,1#400000|35#6,1,,midas_window,
76,6,1,1,1,1,-1,1,1,2#50|115#1,1,,,
77,6,2,2,2,1,-1,60000,60000,14#500|3051#1,1,,slot_window,
78,6,3,3,1,1,-1,12000,12000,2#6000|93#1,1,,vip_window,
79,6,19,19,2,2,-1,1,5201,1#50000|14#200,1,,slot_window|partner_detail_window,{'enterType':2}
80,6,19,20,2,2,-1,1,5209,1#100000|14#300,1,,slot_window|partner_detail_window,{'enterType':2}
81,6,19,21,2,2,-1,1,5301,1#150000|14#500,1,,slot_window|partner_detail_window,{'enterType':2}
82,6,19,22,2,2,-1,1,5309,1#250000|14#800,1,,slot_window|partner_detail_window,{'enterType':2}
83,6,19,23,2,2,-1,1,5317,1#400000|14#1000,1,,slot_window|partner_detail_window,{'enterType':2}
84,6,19,24,2,2,-1,1,5401,1#600000|930115#50,1,,slot_window|partner_detail_window,{'enterType':2}
85,6,25,25,1,3,-1,5,5,9#50000|940001#10,1,,backpack_window,
86,6,25,25,1,3,-1,10,10,9#150000|940001#10,1,,backpack_window,
87,6,25,25,1,3,-1,20,20,9#250000|940001#10,1,,backpack_window,
88,6,25,25,1,3,-1,30,30,9#350000|7#100,1,,backpack_window,
89,6,25,25,1,3,-1,40,40,9#500000|7#150,1,,backpack_window,
90,6,25,25,1,3,-1,50,50,9#600000|930092#50,1,,backpack_window,
91,7,1,1,1,1,-1,1,1,2#50|116#1,1,,,
92,7,2,2,2,1,-1,70000,70000,940001#30|1052#1,1,,slot_window,
93,7,3,3,1,1,-1,20000,20000,2#10000|956001#50,1,,vip_window,
94,7,26,26,1,2,-1,2,2,9#50000|1#50000,1,,summon_window,
95,7,26,26,1,2,-1,4,4,9#200000|1#200000,1,,summon_window,
96,7,26,26,1,2,-1,6,6,9#500000|10#100,1,,summon_window,
97,7,26,26,1,2,-1,10,10,1#700000|10#200,1,,summon_window,
98,7,27,27,1,2,-1,1,1,9#1500000|10#300,1,,slot_window,
99,7,28,28,1,2,-1,1,1,1#2000000|73#10,1,,slot_window,
100,7,29,29,2,3,-1,50,50,14#200|10#100,1,,slot_window,
101,7,29,29,2,3,-1,100,100,14#500|10#200,1,,slot_window,
102,7,29,29,2,3,-1,120,120,14#900|1#250000,1,,slot_window,
103,7,30,30,2,3,-1,200,200,2#50|1#50000,1,,collection_window,
104,7,30,30,2,3,-1,400,400,2#150|1#100000,1,,collection_window,
105,7,30,30,2,3,-1,600,600,2#300|1#150000,1,,collection_window,
