id,picture,picture_small_size,type,group,name,unlock_type,unlock_value,unlock_desc,price,is_default,item_id,effect,animation,effect_background,offset,picture_offset,redmark_time
63,laboratory,laboratory_small,1,2,-1,7,5,-1,1#50000,,2000063,,,,,,0
64,xunlianchang,xunlianchang_small,1,2,-1,7,1,-1,1#50000,,2000064,,,,,,0
65,yingxinhuichang_outside,yingxinhuichang_outside_small,1,2,-1,5,13,-1,1#50000,,2000065,,,,,,0
66,login_fool_loading,login_fool_small,2,5,-1,11,1,-1,2#300,,2000066,login_fool_loading,animation,login_fool_bg,-410|640,0|0,0
67,login_liquor_0,login_liquor_small,2,5,-1,11,1,-1,2#300,,2000067,login_liquor,animation,login_liquor_bg,-410|640,0|0,0
68,houyi_summer_scene,houyi_summer_scene_small,1,5,-1,11,1,-1,2#300,,2000068,,,,,,0
69,feisina_summer_scene,feisina_summer_scene_small,1,5,-1,11,1,-1,2#300,,2000069,,,,,,0
70,login_sunshine1,login_sunshine_small,2,5,-1,11,1,-1,2#300,,2000070,login_sunshine,animation,login_sunshine_bg,-410|640,0|0,0
71,login_Halloween2021_scene,login_Halloween2021_small,2,5,-1,11,1,-1,2#300,,2000071,login_Halloween2021,texiao01,login_Halloween2021_bg,-410|641,0|0,0
72,login_maxs2021_big,login_maxs2021_small,2,5,-1,11,1,-1,2#300,,2000072,login_maxs2021,texiao01,login_maxs2021_bg,-410|641,0|0,1643932800
