id,next_id,select_next_ids,select,plot,name,image_path,type,res_path,spine_path,map_swap,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,is_memory,scale,partner_picture_xy,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,image_mirror,cg_show,cg_path,cg_scale,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,expression,face,face_scale,face_pos,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_scale,effect_xy,effect_layer,effect_count,jitter
23,24,,,,-1,shrine_shenshebaitian,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
24,25,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,,,,-1,shrine_shenshebaitian,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
28,29,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,,,,-1,leader_office,0,partner_picture_54008,,1,,,,,,,,1,0.85,100|200,11,12,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,,,,-1,leader_office,0,partner_picture_54008,,0,,,,,,,,1,0.85,100|200,11,12,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,,,,-1,leader_office,0,partner_picture_52012,,0,,,,,,,,1,1,0|0,11,12,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,,,,-1,leader_office,0,partner_picture_52012,,0,,,,,,,,1,1,0|0,11,12,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,,,,-1,leader_office,0,partner_picture_54008,,0,,,,,,,,1,0.85,100|200,11,12,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,,,,-1,leader_office,0,partner_picture_54008,,0,,,,,,,,1,0.85,100|200,11,12,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,,,,-1,leader_office,0,56007_noface,,0,,,,,,,,1,0.8,240|320,11,12,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
42,43,,,,*,shrine_shenshebaitian,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,-1,,,,-1,shrine_shenshebaitian,0,mamei_wunv_1,,0,,,,,,,,,0.7,180|370,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,,,-1,-1,shrine_main_bg,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
63,64,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,,,,-1,shrine_main_bg,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
65,66,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,,,,,shrine_main_bg,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,,,,-1,shrine_main_bg,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
68,69,,,,？？？,shrine_main_bg,0,mob_girl,,0,,,,,,,,,1.3,-100|-80,2,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,,,,？？？,shrine_main_bg,0,mob_girl,,0,,,,,,,,,1.3,-100|-80,1,7,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,,,,-1,shrine_main_bg,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
72,73,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,,,,？？？,shrine_main_bg,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,,,,-1,shrine_main_bg,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,84,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,88,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,89,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,90,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,91,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,92,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,93,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,94,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,95,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,96,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,97,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,98,,,,-1,shrine_main_bg,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
98,99,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,100,,,,-1,shrine_main_bg,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_surprise,1,869|456,,,,,,,,,,
100,101,,,,-1,shrine_main_bg,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_sad,1,869|456,,,,,,,,,,
101,102,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,-1,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,104,,,-1,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,105,,,,-1,shrine_shenshebaitian,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
105,106,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,107,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,108,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,109,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,110,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,111,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,112,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,113,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,114,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,115,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,116,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,117,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,118,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,119,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,120,,,,-1,shrine_shenshebaitian,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
120,121,,,,-1,shrine_shenshebaitian,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
121,122,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,123,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,124,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,125,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,126,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,127,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,128,,,,-1,shrine_shenshebaitian,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
128,129,,,,-1,shrine_shenshebaitian,0,51018_noface,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,51018_face_happy,1,922|555,,,,,,,,,,
129,130,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,131,,,,-1,shrine_shenshebaitian,0,partner_picture_51018,,0,,,,,,,,,0.8,200|250,1,8,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,132,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,133,,,,-1,shrine_shenshebaitian,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
133,134,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,135,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,136,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,137,,,,？？？,shrine_shenshebaitian,0,yixienamei5_jianying,,1,,,,,,,,,0.9,150|160,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,138,,,,？？？,shrine_shenshebaitian,0,yixienamei5_jianying,,0,,,,,,,,,0.9,150|160,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,139,,,,？？？,shrine_shenshebaitian,0,yixienamei5_jianying,,0,,,,,,,,,0.9,150|160,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,140,,,,？？？,shrine_shenshebaitian,0,yixienamei5_jianying,,0,,,,,,,,,0.9,150|160,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,141,,,,-1,shrine_shenshebaitian,0,55008_noface,,0,,,,,,,,,0.8,240|450,1,6,1,1,,0,,,,,,,,,,,,,,,55008_face_normal,1,878|241,,,,,,,,,,
141,142,,,,-1,shrine_shenshebaitian,0,55008_noface,,0,,,,,,,,,0.8,240|450,1,6,1,1,,0,,,,,,,,,,,,,,,55008_face_normal,1,878|241,,,,,,,,,,
142,143,,,,-1,shrine_shenshebaitian,0,55008_noface,,0,,,,,,,,,0.8,240|450,1,6,1,1,,0,,,,,,,,,,,,,,,55008_face_normal,1,878|241,,,,,,,,,,
143,144,,,,-1,shrine_shenshebaitian,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
144,145,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,146,,,,-1,shrine_shenshebaitian,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
146,-1,,,,*,shrine_shenshebaitian,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,148,,,-1,-1,shrine_main_bg,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
148,149,,,,*,shrine_main_bg,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,150,,,,-1,shrine_main_bg,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
150,151,,,,-1,shrine_main_bg,0,56007_noface,,0,,,,,,,,,0.8,240|320,1,6,1,1,,0,,,,,,,,,,,,,,,56007_face_normal,1,869|456,,,,,,,,,,
151,152,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,153,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,154,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,155,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,156,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,157,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,158,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,159,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,160,,,,-1,shrine_main_bg,0,quanhui_wunv_3,,0,,,,,,,,,0.7,200|500,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
