id,next_id,select_next_ids,select,plot,day,activity_plot_list_id,name,image_path,type,res_path,spine_path,map_swap,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,is_memory,scale,partner_picture_xy,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,image_mirror,cg_show,cg_path,cg_scale,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,expression,face,face_scale,face_pos,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_scale,effect_xy,effect_layer,effect_count,jitter
64,65,,,,,,-1,qilizhiwu,0,partner_picture_54007,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,,,,,,-1,qilizhiwu,0,partner_picture_52012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,,,,,,-1,qilizhiwu,0,partner_picture_52012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,,,,,,-1,qilizhiwu,0,partner_picture_54007,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,-1,,,,,164,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,,,,2,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,,,,,,-1,qilizhiwu,0,partner_picture_52012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,,,,,,-1,qilizhiwu,0,partner_picture_52012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,,,,,,-1,qilizhiwu,0,partner_picture_52012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,,,,,,-1,qilizhiwu,0,partner_picture_52012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,84,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85,,,,,,-1,qilizhiwu,0,partner_picture_51012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,88,,,,,,-1,qilizhiwu,0,partner_picture_51012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,89,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,90,,,,,,-1,qilizhiwu,0,partner_picture_51012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,91,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,92,,,,,,-1,qilizhiwu,0,partner_picture_51012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,93,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,94,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,95,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,96,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,97,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,98,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,99,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,100,,,,,,-1,qilizhiwu,0,partner_picture_51012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,101,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,102,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,103,,,,,,-1,qilizhiwu,0,partner_picture_51012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,104,,,,,,-1,qilizhiwu,0,partner_picture_51012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,105,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,106,,,,,,-1,qilizhiwu,0,partner_picture_51012,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,107,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,108,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,109,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,110,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,111,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,112,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,113,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,114,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,115,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,116,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,117,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,118,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,119,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,120,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,121,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,122,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,123,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,124,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,0,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,125,,,,,,-1,qilizhiwu,0,158,158,0,,,0,,,,,,1,95|500,0,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,126,,,,,,-1,qilizhiwu,0,157,157,0,,,0,,,,,,1,10|300,0,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,127,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,128,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,-1,,,,,165,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,130,,,,3,,,pet_scene1,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,131,,,,,,,pet_scene1,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,132,,,,,,,pet_scene1,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,133,,,,,,,pet_scene1,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,134,,,,,,？？,pet_scene1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,135,,,,,,？？？,pet_scene1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,136,,,,,,,pet_scene1,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,137,,,,,,-1,pet_scene1,0,partner_picture_14001,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,138,,,,,,-1,pet_scene1,0,partner_picture_21002,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,139,,,,,,-1,pet_scene1,0,partner_picture_54010,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,140,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,141,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,142,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,143,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,144,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,145,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,146,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,147,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,148,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,149,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,150,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,151,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,152,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,153,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,154,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,155,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,156,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,157,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,158,,,,,,-1,qilizhiwu,0,partner_picture_51013,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,159,,,,,,-1,qilizhiwu,0,partner_picture_huatuo,,0,,,0,,,,,,1,0|0,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,160,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,161,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,162,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,163,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,164,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,165,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,166,,,,,,,qilizhiwu,1,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
