id,next_id,lv,battle_id,guild_exp,battle_awards,final_1,final_2,final_3,final_10,final_15,final_20,final_30,kill_awards,show,show_word,power,hp
48,49,30,600048,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_753009,-1,880000000,2856087612.0
49,50,30,600049,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_755001,-1,890000000,3078417054.0
50,51,30,600050,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_755003,-1,900000000,3194965287.0
51,52,30,600051,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_752006,-1,910000000,3861164808.0
52,53,30,600052,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_753006,-1,920000000,3963353043.0
53,54,30,600053,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_751005,-1,930000000,2798878524.0
54,55,30,600054,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_751010,-1,940000000,3639072720.0
55,56,30,600055,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_752010,-1,950000000,3930745242.0
56,57,30,600056,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_752002,-1,955000000,4189505034.0
57,58,30,600057,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_751003,-1,960000000,4547789298.0
58,59,30,600058,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_753009,-1,965000000,4537084701.0
59,60,30,600059,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_755003,-1,970000000,4862461509.0
60,61,30,600060,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_756004,-1,975000000,3585572100.0
61,62,30,600061,90,,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,,partner_card_1000015,-1,999999999,
62,63,30,600060,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,,,,
