id,table_ids,unknown_3,name,group,max_grade,desc,point_atk,point_arm,point_spd,point_ctrl,point_hp,partner_type,label_id1,label_id2,label_id3,skill_id1,skill_desc1,skill_id2,skill_desc2,skill_id3,skill_desc3,skill_id4,skill_desc4,artifact_id1,artifact_desc1,artifact_id2,artifact_desc2
854005,54005|653002|754004,-1,-1,4,5,,3.4,4,3.63,0,2.22,2,3,9,22,75400401,,75400402,,75400403,,75400404,,6448,,6362,
854006,54006|653003|754005,-1,-1,4,5,,2.63,4.36,4.5,0,4.21,1,1,7,21,75400501,,75400502,,75400503,,75400504,,6436,,6362,
854007,54007|654013|754008,-1,-1,4,5,,2.48,4.36,4.29,0,3,1|2,26,22,3,75400801,,75400802,,75400803,,75400804,,6442,,6361,
854008,54008|654016|754009,-1,-1,4,5,,4.02,4.14,3.17,4.16666666667,3.07,1|2|3,6,8,16,75400901,,75400902,,75400903,,75400904,,6460,,6448,
854009,54009|653004|754006,-1,-1,4,5,,3.97,4.14,4.08,0,2.4,2,3,11,13,75400601,,75400602,,75400603,,75400604,,6406,,6363,
854010,54010|654017|754010,-1,-1,4,5,,4.64,4.14,4.75,0,3.09,1|2,3,12,20,75401001,,75401002,,75401003,,75401004,,6361,,6362,
855001,,-1,-1,5,5,,,,,,,,,,,5500101,,,,,,,,,,,
855002,55002|653005|755001,-1,-1,5,5,,4.05,4,3.75,3.25,2.97,1|2,3,10,18,75500101,,75500102,,75500103,,75500104,,6436,,6364,
855003,55003|655014|755004,-1,-1,5,5,,4.91,4.14,4.92,0,3.46,2,9,18,7,75500401,,75500402,,75500403,,75500404,,6448,,6364,
855004,55004|655011|755002,-1,-1,5,5,,4.8,4.36,4.5,0.45,3.61,1,2,27,7,75500201,,75500202,,75500203,,75500204,,6350,,6424,
855005,55005|655013|755003,-1,-1,5,5,,4.74,4.14,4.25,0,3.74,2,12,10,22,75500301,,75500302,,75500303,,75500304,,6448,,6454,
855006,55006|655015|755005,-1,-1,5,5,,4.81,4,4.42,0.45,3.34,1|2,10,14,19,75500501,,75500502,,75500503,,75500504,,6460,,6350,
856001,56001|653006|756001,-1,-1,6,5,,3.18,4.36,3.33,0,3.45,1|2|3,2,7,16,75600101,,75600102,,75600103,,75600104,,6460,,6365,
856002,56002|656011|756002,-1,-1,6,5,,4.29,4.36,4.5,0,4.38,1|2,3,10,22,75600201,,75600202,,75600203,,75600204,,6454,,6365,
856003,56003|656013|756003,-1,-1,6,5,,3.95,4.14,4.33,4.44444444444,2.78,1|2|3,2,27,16,75600301,,75600302,,75600303,,75600304,,6436,,6400,
856004,56004|656014|756004,-1,-1,6,5,,4.73,4.14,4.92,2.40740740741,2.66,2,12,23,18,75600401,,75600402,,75600403,,75600404,,6448,,6436,
856005,56005|656015|756005,-1,-1,6,5,,2.88,4.14,3.33,0,3.34,3,6,8,25,75600501,,75600502,,75600503,,75600504,,6460,,6454,
854011,54011|654018|754011,-1,-1,4,5,,4.34,4.14,3.87,0,3.62,1|2,2,11,16,75401101,,75401102,,75401103,,75401104,,6466,,6362,
852012,52012|652019|752012,-1,-1,2,5,,4.35,4.36,5,0,2.49,2,3,11,23,75201201,,75201202,,75201203,,75201204,,6472,,6460,
853012,53012|653019|753012,-1,-1,3,5,,3.74,4.2,3.43,4.8,3.83,2,3,4,21,75301201,,75301202,,75301203,,75301204,,6478,,6448,
851012,51012|651019|751012,-1,-1,1,5,,4.95,4.36,4.3,0,3.86,2,3,7,25,75101201,,75101202,,75101203,,75101204,,6484,,6448,
852013,52013|652020|752013,-1,-1,2,5,,3.44,4.21,3.61,0,3.51,2,3,11,25,75201301,,75201302,,75201303,,75201304,,6496,,6448,
855007,55007|655016|755006,-1,-1,5,5,,4.93,4.36,4.5,2.77777777778,4.54,1|2,3,12,37,75500601,,75500602,,75500603,,75500604,,6448,,6454,
856006,56006|656016|756006,-1,-1,6,5,,4.92,4,4.95,0,3.59,3,3,10,19,75600601,,75600602,,75600603,,75600604,,6454,,6436,
854012,54012|654019|754012,-1,-1,4,5,,3.47,4.36,3.915,4.8,3.49,2|3,4,17,25,75401201,,75401202,,75401203,,75401204,,6436,,6454,
853013,53013|653020|753013,-1,-1,3,5,,5,4.36,5,0,2.71,2,3,10,12,75301301,,75301302,,75301303,,75301304,,6706,,6448,
852014,52014|652021|752014,-1,-1,2,5,,4.88,4.14,4.5,0,4.04,2,3,9,21,75201401,,75201402,,75201403,,75201404,,6448,,6496,
851013,51013|651020|751013,-1,-1,1,5,,3.22,4.36,3.95,1.65,4.2,3,5,20,31,75101301,,75101302,,75101303,,75101304,,6454,,6460,
854013,54013|654020|754013,-1,-1,4,1,,3.74,4.36,4.4805,0,4.34,2,3,11,25,75401301,,75401302,,75401303,,75401304,,6442,,6363,
856007,56007|656017|756007,-1,-1,6,1,,3,4.4,4.4805,3.6,5,1,1,4,12,75600701,,75600702,,75600703,,75600704,,6478,,6365,
855008,55008|655017|755007,-1,-1,5,1,,3.06,4.36,4.4805,0.7,4.39,3,5,8,31,75500701,,75500702,,75500703,,75500704,,6436,,6424,
854014,54014|654021|754014,-1,-1,4,1,,2.98,4.14,4.3935,1.2,3.73,3,5,13,30,75401401,,75401402,,75401403,,75401404,,6436,,6362,
855009,55009|655018|755008,-1,-1,5,1,,4.74,4.14,4.3935,0,3.93975714286,2,12,10,19,75500801,,75500802,,75500803,,75500804,,6436,,6724,
853014,53014|653021|753014,-1,-1,3,1,,4.26,4,4.3,0,3.66554285714,2|3,16,5,22,75301401,,75301402,,75301403,,75301404,,6436,,6351,
851014,51014|651021|751014,-1,-1,1,1,,4.86,4.36,4.5675,0,3,2,3,9,19,75101401,,75101402,,75101403,,75101404,,6448,,6634,
852015,52015|652022|752015,-1,-1,2,1,,4.43,4.85,3.21,1.8,4.8,1,1,14,4,75201501,,75201502,,75201503,,75201504,,6724,,6664,
853015,53015|653022|753015,-1,-1,3,1,,4.74,3.93,4.3935,0,4.01427857143,2,3,13,22,75301501,,75301502,,75301503,,75301504,,6448,,6706,
851015,51015|651022|751015,-1,-1,1,1,,4.9,4.36,4.9155,0,3.84045,2,3,9,19,75101501,,75101502,,75101503,,75101504,,6634,,6460,
854015,54015|654022|754015,-1,-1,4,1,,2.13,3.93,4.97205,0,4.61427857143,1,1,7,13,75401501,,75401502,,75401503,,75401504,,6362,,6718,
852016,52016|652023|752016,-1,-1,2,1,,2.13,4.14,3.90195,0.825,4.22221428571,1|2,2,7,25,75201601,,75201602,,75201603,,75201604,,6478,,6718,
855010,55010|655019|755009,-1,-1,5,1,,4.9,4.14,4.9155,0,4.12575714286,2,5,11,13,75500901,,75500902,,75500903,,75500904,,6724,,6718,
856008,56008|656018|756008,-1,-1,5,1,,4.95,4.4,4.3935,0.2,3.66706428571,2,3,10,12,75600801,,75600802,,75600803,,75600804,,6490,,6442,
854016,54016|654023|754016,-1,-1,4,1,,4.9,4.14,4.9155,0,3.59023571429,2|3,3,13,20,75401601,,75401602,,75401603,,75401604,,6362,,6718,
852017,52017|652024|752017,-1,-1,2,1,,3.35,4.42,3.82,0,4.01,3,5,17,20,75201701,,75201702,,75201703,,75201704,,6718,,6724,
851016,51016|651023|751016,-1,-1,1,1,,4.85,4.14,3.96,1.65,4.21,2,3,10,23,75101601,,75101602,,75101603,,75101604,,6718,,6730,
853016,53016|653023|753016,-1,-1,3,1,,3.75,3.93,3.2625,0,4.32306428571,3,5,6,8,75301601,,75301602,,75301603,,75301604,,6718,,6736,
