id,need_exp,all_exp,level_reward
203,11650556,973099426,2#10
204,11653052,984749982,2#10
205,11655548,996403034,2#10
206,11770140,1008058582,2#10
207,11772660,1019828722,2#10
208,11775180,1031601382,2#10
209,11777700,1043376562,2#10
210,11780220,1055154262,2#10
211,11894957,1066934482,2#10
212,11897501,1078829439,2#10
213,11900045,1090726940,2#10
214,11902589,1102626985,2#10
215,11905133,1114529574,2#10
216,12020013,1126434707,2#10
217,12022581,1138454720,2#10
218,12025149,1150477301,2#10
219,12027717,1162502450,2#10
220,12030285,1174530167,2#10
221,12145310,1186560452,2#10
222,12147902,1198705762,2#10
223,12150494,1210853664,2#10
224,12153086,1223004158,2#10
225,12155678,1235157244,2#10
226,12270846,1247312922,2#10
227,12273462,1259583768,2#10
228,12276078,1271857230,2#10
229,12278694,1284133308,2#10
230,12281310,1296412002,2#10
231,12396623,1308693312,2#10
232,12399263,1321089935,2#10
233,12401903,1333489198,2#10
234,12404543,1345891101,2#10
235,12407183,1358295644,2#10
236,12522640,1370702827,2#10
237,12525304,1383225467,2#10
238,12527968,1395750771,2#10
239,12530632,1408278739,2#10
240,12533296,1420809371,2#10
241,12648896,1433342667,2#10
242,12651584,1445991563,2#10
243,12654272,1458643147,2#10
244,12656960,1471297419,2#10
245,12659648,1483954379,2#10
246,12775393,1496614027,2#10
247,12778105,1509389420,2#10
248,12780817,1522167525,2#10
249,12783529,1534948342,2#10
250,12786241,1547731871,2#10
251,13354836,1560518112,2#10
252,13923671,1573872948,2#10
253,14492745,1587796619,2#10
254,15062060,1602289364,2#10
255,15631615,1617351424,2#10
256,16201410,1632983039,2#10
257,16771445,1649184449,2#10
258,17341720,1665955894,2#10
259,17912235,1683297614,2#10
260,18482990,1701209849,2#10
261,19053985,1719692839,2#10
262,19625219,1738746824,2#10
263,20196694,1758372043,2#10
264,20768409,1778568737,2#10
265,21340364,1799337146,2#10
266,21912559,1820677510,2#10
267,22484994,1842590069,2#10
268,23057669,1865075063,2#10
269,23630584,1888132732,2#10
270,24203739,1911763316,2#10
271,24777133,1935967055,2#10
272,25350768,1960744188,2#10
273,25924643,1986094956,2#10
274,26498758,2012019599,2#10
275,27073113,2038518357,2#10
276,27647708,2065591470,2#10
277,28222543,2093239178,2#10
278,28797618,2121461721,2#10
279,29372933,2150259339.0,2#10
280,29948487,2179632272.0,2#10
281,30524282,2209580759.0,2#10
282,31100317,2240105041.0,2#10
283,31676592,2271205358.0,2#10
284,32253107,2302881950.0,2#10
285,32829862,2335135057.0,2#10
286,33406857,2367964919.0,2#10
287,33984092,2401371776.0,2#10
288,34561567,2435355868.0,2#10
289,35139281,2469917435.0,2#10
290,35717236,2505056716.0,2#10
291,36295431,2540773952.0,2#10
292,36873866,2577069383.0,2#10
293,37452541,2613943249.0,2#10
294,38031456,2651395790.0,2#10
295,38610611,2689427246.0,2#10
296,39190006,2728037857.0,2#10
297,39769641,2767227863.0,2#10
298,40349515,2806997504.0,2#10
299,40929630,2847347019.0,2#10
300,41509985,2888276649.0,2#10
301,42090580,2929786634.0,2#10
302,42671415,2971877214.0,2#10
303,43252490,3014548629.0,2#10
304,43833805,3057801119.0,2#10
305,44415360,3101634924.0,2#10
306,44997155,3146050284.0,2#10
307,45579190,3191047439.0,2#10
308,46161465,3236626629.0,2#10
309,46743980,3282788094.0,2#10
310,47326735,3329532074.0,2#10
311,47909730,3376858809.0,2#10
312,48492965,3424768539.0,2#10
313,49076440,3473261504.0,2#10
314,49660155,3522337944.0,2#10
315,50244110,3571998099.0,2#10
316,50828305,3622242209.0,2#10
317,51412740,3673070514.0,2#10
318,51997415,3724483254.0,2#10
319,52582330,3776480669.0,2#10
320,53167485,3829062999.0,2#10
321,53752880,3882230484.0,2#10
322,54338515,3935983364.0,2#10
323,54924390,3990321879.0,2#10
324,55510505,4045246269.0,2#10
325,56096860,4100756774.0,2#10
326,56683455,4156853634.0,2#10
327,57270290,4213537089.0,2#10
328,57857365,4270807379.0,2#10
329,58444680,4328664744.0,2#10
330,59032235,4387109424.0,2#10
331,59620030,4446141659.0,2#10
332,60208065,4505761689.0,2#10
333,60796340,4565969754.0,2#10
334,61384855,4626766094.0,2#10
335,61973610,4688150949.0,2#10
336,62562605,4750124559.0,2#10
337,63151840,4812687164.0,2#10
338,63741315,4875839004.0,2#10
339,64331030,4939580319.0,2#10
340,64920985,5003911349.0,2#10
341,65511180,5068832334.0,2#10
342,66101615,5134343514.0,2#10
343,66692290,5200445129.0,2#10
344,67283205,5267137419.0,2#10
345,67874360,5334420624.0,2#10
346,68465755,5402294984.0,2#10
347,69057390,5470760739.0,2#10
348,69649265,5539818129.0,2#10
349,70241380,5609467394.0,2#10
350,70833735,5679708774.0,2#10
351,71426330,5750542509.0,2#10
352,72019165,5821968839.0,2#10
353,72612240,5893988004.0,2#10
354,73205555,5966600244.0,2#10
355,73799110,6039805799.0,2#10
356,74392905,6113604909.0,2#10
357,74986940,6187997814.0,2#10
358,75581215,6262984754.0,2#10
359,76175730,6338565969.0,2#10
360,76770485,6414741699.0,2#10
361,77365480,6491512184.0,2#10
362,77960715,6568877664.0,2#10
363,78556190,6646838379.0,2#10
364,79151905,6725394569.0,2#10
365,79747860,6804546474.0,2#10
366,80344055,6884294334.0,2#10
367,80940490,6964638389.0,2#10
368,81537165,7045578879.0,2#10
369,82134080,7127116044.0,2#10
370,82731235,7209250124.0,2#10
371,83328630,7291981359.0,2#10
372,83926265,7375309989.0,2#10
373,84524140,7459236254.0,2#10
374,85122255,7543760394.0,2#10
375,85720610,7628882649.0,2#10
376,86319205,7714603259.0,2#10
377,86918040,7800922464.0,2#10
378,87517115,7887840504.0,2#10
379,88116430,7975357619.0,2#10
380,88715985,8063474049.0,2#10
381,89315780,8152190034.0,2#10
382,89915815,8241505814.0,2#10
383,90516090,8331421629.0,2#10
384,91116605,8421937719.0,2#10
385,91717360,8513054324.0,2#10
386,92318355,8604771684.0,2#10
387,92919590,8697090039.0,2#10
388,93521065,8790009629.0,2#10
389,94122780,8883530694.0,2#10
390,94724735,8977653474.0,2#10
391,95326930,9072378209.0,2#10
392,95929365,9167705139.0,2#10
393,96532040,9263634504.0,2#10
394,97134955,9360166544.0,2#10
395,97738110,9457301499.0,2#10
396,98341505,9555039609.0,2#10
397,98945140,9653381114.0,2#10
398,99549015,9752326254.0,2#10
399,100153130,9851875269.0,2#10
400,0,9952028399.0,2#10
