id,name,fort_id,fort_finish,next,fort_final,lv,power,battle_id,monsterShow,monsterskin,battle_effect,battle_time,reward,gold,exp_partner,exp_player,dropbox_ids,dropbox_show,dropbox_id_activity,dropbox_show_activity,dropbox_id_activity2,dropbox_show_activity2,dropbox_id_activity3,dropbox_show_activity3,dropbox_id_activity4,dropbox_show_activity4,set_map,stage_img,tips_type,function_id
13,1,2,1,14,0,6,0,100013,53005|53005|21003|21003|21003|21003,,,10,3#340|1#2600|9#540|3021#1,1#21,9#3,3#7,100013|100999,3021|3011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_3,3,
14,2,2,1,15,0,6,650,100014,52004|52004|13001|13001|13001|13001,,,10,3#345|1#2600|9#540|4021#1,1#21,9#3,3#7,100014|100999,4021|4011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_31_1,stage_img,3,
15,3,2,1,16,0,9,950,100015,42007|13001|13001,,,10,3#350|1#2600|9#540|33#2,1#21,9#3,3#7,100015|100999,940003|1021|2021|3021|4021|1011|2011|3011|4011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img,3,
16,4,2,1,17,0,9,950,100016,54005|54005|13003|13003|11002|11002,,,10,3#355|1#3400|9#720|1022#1,1#21,9#4,3#8,100016|100999,1021|1011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_51,3,
17,5,2,1,18,0,9,950,100017,52002|52002|22001|22001|22001|22001,,,10,3#360|1#3400|9#720|2022#1,1#21,9#4,3#8,100017|100999,2021|2011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_52,3,11
18,6,2,1,19,0,9,950,100018,14003|14003|24001|24001|24002|24002,,,10,3#365|1#3400|9#720|3022#1,1#21,9#4,3#8,100018|100999,3021|3011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_22,3,
19,7,2,1,20,0,9,950,100019,34004|34004|31004|31004|34002|34002,,,10,3#370|1#3400|9#720|4022#1,1#21,9#4,3#8,100019|100999,4021|4011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_50,3,
20,8,2,1,21,0,9,1890,100020,54005|54005|14003|52002|14003,,,10,3#375|1#3400|9#720|36#1,1#21,9#4,3#8,100020|100999,940003|1021|2021|3021|4021|1011|2011|3011|4011|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_36,3,
21,9,2,1,22,0,9,1890,100021,655013|655013|23002|23002|23002|23002,,,10,3#380|1#4000|9#1080,1#22,9#6,3#9,100021|100999,1022|1012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_37,3,
22,10,2,2,23,2,9,1890,100022,655013|655013|34005|34005|32001|32001,,,10,3#385|1#4000|9#1080|2031#1,1#22,9#6,3#9,100022|100999,2022|2012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_38,3,15
23,1,3,2,24,0,12,0,100023,22002|22002|32004|32004|33005|33005,,,10,3#390|1#4000|9#1080,1#22,9#6,3#9,100023|100999,3022|3012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_26,3,
24,2,3,2,25,0,12,1890,100024,33004|33004|34002|34002|32003|32003,,,10,3#395|1#4000|9#1080|4031#1,1#22,9#6,3#9,100024|100999,4022|4012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img,3,
25,3,3,2,26,0,12,2670,100025,44006|44001,,,10,3#400|1#4000|9#1080|930031#20,1#22,9#6,3#9,100025|100999,940003|1022|2022|3022|4022|1012|2012|3012|4012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_36,3,
26,4,3,2,27,0,12,2670,100026,54005|54005|14003|14003|14003|14003,,,10,3#405|1#5000|9#1440|33#3,1#22,9#8,3#10,100026|100999,1022|1012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_37,3,
27,5,3,2,28,0,12,2670,100027,32005|32005|32001|32001|32002|32002,,,10,3#410|1#5000|9#1440|2031#1,1#22,9#8,3#10,100027|100999,2022|2012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_28_1,stage_img_7,3,14
28,6,3,2,29,0,15,2670,100028,651003|651003|651003|651003|651003|651003,,,10,3#415|1#5000|9#1440,1#22,9#8,3#10,100028|100999,3022|3012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_28_1,stage_img_6,3,
29,7,3,2,30,0,15,2670,100029,651003|651003|33003|33003|33005|33005,,,10,3#420|1#5000|9#1440|4031#1,1#22,9#8,3#10,100029|100999,4022|4012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_28_1,stage_img_8,3,
30,8,3,2,31,0,15,3040,100030,651003|44002|33002|42001|36001|35001,,,10,3#425|1#5000|9#1440|930032#20,1#22,9#8,3#10,100030|100999,940003|1022|2022|3022|4022|1012|2012|3012|4012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_28_1,stage_img_9,3,
31,9,3,2,32,0,15,3040,100031,655013|655013|13001|13001|13001|13001,,,10,3#430|1#5000|9#1800,1#23,9#10,3#11,100031|100999,1022|1012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_28_1,stage_img_10,3,
32,10,3,3,33,3,15,3040,100032,32005|32005|22004|22004|22004|22004,,,10,3#435|1#5000|9#1800|1032#1,1#23,9#10,3#11,100032|100999,2022|2012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_28_1,stage_img_6,3,22
33,1,4,3,34,0,15,0,100033,54002|31001|21002|21002|31003|31003,,,10,3#440|1#5000|9#1800,1#23,9#10,3#11,100033|100999,3022|3012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img,3,
34,2,4,3,35,0,20,3040,100034,51002|51002|32002|32002|31003|31003,,,10,3#450|1#5000|9#1800|2032#1,1#23,9#10,3#11,100034|100999,4022|4012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_16_1,stage_img_1,3,
35,3,4,3,36,0,20,3830,100035,51002|42003,,,10,3#500|1#5000|9#1800|940001#10|33#4,1#23,9#10,3#11,100035|100999,940021|1022|2022|3022|4022|1012|2012|3012|4012|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_16_1,stage_img_60,3,
36,4,4,3,37,0,20,3830,100036,34004|44002|34001|34001|34001|34001,,,10,3#550|1#5000|9#2100,1#23,9#12,3#12,100036|100999,1031|1021|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_36_1,stage_img_59,3,
37,5,4,3,38,0,20,3830,100037,31005|42002|33002|36001|35001|44001,,,10,3#600|1#5000|9#2100|3032#1,1#23,9#12,3#12,100037|100999,2031|2021|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_36_1,stage_img_58,3,16
38,6,4,3,39,0,20,3830,100038,41006|41006|34005|34005|34005|34005,,,10,3#650|1#5000|9#2100,1#23,9#12,3#12,100038|100999,3031|3021|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_36_1,stage_img_1,3,
39,7,4,3,40,0,20,3830,100039,42003|41003|32005|32005|31003|31003,,,10,3#700|1#5000|9#2100|4032#1,1#23,9#12,3#12,100039|100999,4031|4021|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img,3,
40,8,4,3,41,0,23,4220,100040,43003|46002|44003|44003|41004|41004,,,10,3#750|1#5000|9#2100|940001#10,1#23,9#12,3#12,100040|100999,940022|1031|2031|3031|4031|1021|2021|3021|4021|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img,3,
41,9,4,3,42,0,23,4220,100041,52004|52004|32002|32002|42005|42005,,,10,3#780|1#6000|9#2400,1#24,9#14,3#14,100041|100999,1031|1021|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img,3,
42,10,4,4,43,4,23,4220,100042,752009|752009|36001|36001|32003|32003,,,10,3#780|1#6000|9#2400|1032#1,1#24,9#14,3#14,100042|100999,2031|2021|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img,3,17
43,1,5,4,44,0,23,0,100043,44002|44006|34004|34004|34004|34004,,,10,3#780|1#6000|9#2400,1#24,9#14,3#14,100043|100999,3031|3021|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img,3,
44,2,5,4,45,0,23,4220,100044,41001|24003|32001|23004|45001|46001,,,10,3#780|1#6000|9#2400|2032#1,1#24,9#14,3#14,100044|100999,4031|4021|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_19_1,stage_img_20,3,
45,3,5,4,46,0,25,5300,100045,51002|43002|43006|43002|43006,,,10,3#780|1#6000|9#2400|940001#10,1#24,9#14,3#14,100045|100999,940023|1031|2031|3031|4031|1021|2021|3021|4021|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_19_1,stage_img_21,3,
46,4,5,4,47,0,25,5300,100046,53005|53005|31003|31003|21001|21001,,,10,3#840|1#6000|9#2400,1#24,9#16,3#16,100046|100999,1031|1021|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_25_1,stage_img_39,3,
47,5,5,4,48,0,25,5300,100047,51002|51002|33002|33002|33005|33005,,,10,3#840|1#6000|9#2400|3032#1,1#24,9#16,3#16,100047|100999,2031|2021|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_25_1,stage_img_40,3,26
48,6,5,4,49,0,25,5300,100048,41006|41006|31004|31004|31004|31004,,,10,3#840|1#6000|9#2400,1#24,9#16,3#16,100048|100999,3031|3021|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_19_1,stage_img_19,3,
49,7,5,4,50,0,25,5300,100049,41001|41001|42003|42003|43004|43004,,,10,3#840|1#6000|9#2400|4032#1,1#24,9#16,3#16,100049|100999,4031|4021|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_19_1,stage_img_41,3,
50,8,5,4,51,0,30,7490,100050,41002|41002|54002|45001,,,10,3#840|1#6000|9#2400|940001#10,1#24,9#16,3#16,100050|100999,940024|1031|2031|3031|4031|1021|2021|3021|4021|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_31_1,stage_img,3,
51,9,5,4,52,0,30,7490,100051,53005|53005|31001|31001|32005|32005,,,10,3#900|1#8000|9#3600,1#25,9#18,3#20,100051|100999,1032|1022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_25_1,stage_img_18,3,
52,10,5,5,53,5,30,7490,100052,53005|53005|42004|32003|32003|42004,,,10,3#900|1#8000|9#3600|1041#1,1#25,9#18,3#20,100052|100999,2032|2022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_25_1,stage_img_40,3,18
53,1,6,5,54,0,30,0,100053,45002|45002|35001|35001|35001|35001,,,10,3#900|1#8000|9#3600,1#25,9#18,3#20,100053|100999,3032|3022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_16_1,stage_img_56,3,
54,2,6,5,55,0,30,7490,100054,22004|22004|44001|44001|44005|44005,,,10,3#900|1#8000|9#3600|2041#1,1#25,9#18,3#20,100054|100999,4032|4022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_35_1,stage_img_53,3,
55,3,6,5,56,0,35,7790,100055,41005|41005|45001,,,10,3#900|1#8000|9#3600|940001#10,1#25,9#18,3#20,100055|100999,940021|1032|2032|3032|4032|1022|2022|3022|4022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_33_1,stage_img_47,3,
56,4,6,5,57,0,35,7790,100056,41006|41006|41004|41004|41004|41004,,,10,3#960|1#8000|9#3600,1#25,9#20,3#23,100056|100999,1032|1022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_33_1,stage_img_48,3,
57,5,6,5,58,0,35,7790,100057,23001|23001|23003|23003|42004|42004,,,10,3#960|1#8000|9#3600|3041#1,1#25,9#20,3#23,100057|100999,2032|2022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_33_1,stage_img_49,3,
58,6,6,5,59,0,35,7790,100058,46002|45002|44006|41006|42006|43006,,,10,3#960|1#8000|9#3600,1#25,9#20,3#23,100058|100999,3032|3022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_33_1,stage_img_57,3,
59,7,6,5,60,0,35,7790,100059,43003|43003|43002|43002|43002|43002,,,10,3#960|1#8000|9#3600|4041#1,1#25,9#20,3#23,100059|100999,4032|4022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_33_1,stage_img_56,3,
60,8,6,5,61,0,40,8530,100060,43003|46001|46001|46001|46001,,,10,3#960|1#8000|9#3600|940001#10,1#25,9#20,3#23,100060|100999,940022|1032|2032|3032|4032|1022|2022|3022|4022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_25,3,
61,9,6,5,62,0,40,8530,100061,53005|53005|35001|35001|36001|36001,,,10,3#1020|1#9000|9#4000,1#26,9#22,3#26,100061|100999,1032|1022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_26,3,
62,10,6,6,63,6,40,8530,100062,53005|655013|44004|44004|44001|44001,,,10,3#1020|1#9000|9#4000|1041#1,1#26,9#22,3#26,100062|100999,2032|2022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_28,3,23
63,1,7,6,64,0,40,0,100063,655013|43003|44003|44003|44003|44003,,,10,3#1020|1#9000|9#4000,1#26,9#22,3#26,100063|100999,3032|3022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_24,3,
64,2,7,6,65,0,40,8530,100064,55005|55005|43002|43002|43001|43001,,,10,3#1020|1#9000|9#4000|2041#1,1#26,9#22,3#26,100064|100999,4032|4022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_25,3,
65,3,7,6,66,0,45,9270,100065,51004|43001|43001|42004|42004,,,10,3#1020|1#9000|9#4000|940001#10,1#26,9#22,3#26,100065|100999,940023|1032|2032|3032|4032|1022|2022|3022|4022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_26,3,
66,4,7,6,67,0,45,9270,100066,42006|42006|42001|42001|42001|42001,,,10,3#1080|1#9000|9#4000,1#26,9#24,3#29,100066|100999,1032|1022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_27,3,
67,5,7,6,68,0,45,9270,100067,55005|55005|53005|53005|44001|44001,,,10,3#1080|1#9000|9#4000|3041#1,1#26,9#24,3#29,100067|100999,2032|2022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_28,3,
68,6,7,6,69,0,45,9270,100068,54005|54005|41004|41004|41004|41004,,,10,3#1080|1#9000|9#4000,1#26,9#24,3#29,100068|100999,3032|3022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_24,3,
69,7,7,6,70,0,45,9270,100069,53005|44002|42005|44005|42005|44005,,,10,3#1080|1#9000|9#4000|4041#1,1#26,9#24,3#29,100069|100999,4032|4022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_25,3,
70,8,7,6,71,0,50,10550,100070,55005|53005|53005|42003|42003,,,10,3#1080|1#9000|9#4000|940001#10,1#26,9#24,3#29,100070|100999,940024|1032|2032|3032|4032|1022|2022|3022|4022|14|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_26,3,
71,9,7,6,72,0,50,10615,100071,56003|56003|21003|21003|21003|21003,,,10,3#1140|1#10000|9#5000,1#35,9#34,3#32,100071|100999,1041|1031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_27,3,
72,10,7,7,73,7,50,10680,100072,54005|54005|23004|23004|23004|23004,,,10,3#1140|1#10000|9#5000|1042#1,1#35,9#34,3#32,100072|100999,2041|2031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_29_1,stage_img_28,3,25
73,1,8,7,74,0,50,0,100073,55005|44006|34002|34002|34002|34002,,,10,3#1140|1#10000|9#5000,1#35,9#34,3#32,100073|100999,3041|3031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_2,3,
74,2,8,7,75,0,50,10810,100074,42006|46002|41002|43002|44005|45001,,,10,3#1140|1#10000|9#5000|2042#1,1#35,9#34,3#32,100074|100999,4041|4031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_36,3,
75,3,8,7,76,0,55,10950,100075,46002|46002|36001|36001|46001|46001,,,10,3#1140|1#10000|9#5000|940001#10,1#35,9#34,3#32,100075|100999,940021|1041|2041|3041|4041|1031|2031|3031|4031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_37,3,
76,4,8,7,77,0,55,10960,100076,56003|56003|32001|32001|32001|32001,,,10,3#1200|1#10000|9#5000,1#35,9#36,3#35,100076|100999,1041|1031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_38,3,
77,5,8,7,78,0,55,11090,100077,42002|42002|42005|42005|42005|42005,,,10,3#1200|1#10000|9#5000|3042#1,1#35,9#36,3#35,100077|100999,2041|2031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_50,3,
78,6,8,7,79,0,55,11230,100078,43003|43003|33004|33004|43005|43005,,,10,3#1200|1#10000|9#5000,1#35,9#36,3#35,100078|100999,3041|3031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_52,3,
79,7,8,7,80,0,55,11370,100079,55005|55005|55005|55005|55005|55005,,,10,3#1200|1#10000|9#5000|4042#1,1#35,9#36,3#35,100079|100999,4041|4031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_36,3,
80,8,8,7,81,0,60,12320,100080,44006|44006|52008|52009,,,10,3#1200|1#10000|9#5000|940001#10,1#35,9#36,3#35,100080|100999,940022|1041|2041|3041|4041|1031|2031|3031|4031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_37,3,
81,9,8,7,82,0,60,12470,100081,41002|41002|31002|31002|31002|31002,,,10,3#1260|1#11000|9#5500,1#36,9#39,3#38,100081|100999,1041|1031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_38,3,
82,10,8,8,83,8,60,12610,100082,43003|43003|43003|43003|43001|43001,,,10,3#1260|1#11000|9#5500|1042#1,1#36,9#39,3#38,100082|100999,2041|2031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_23_1,stage_img_35,3,28
83,1,9,8,84,0,60,0,100083,42002|42002|43004|43004|43004|43004,,1,10,3#1260|1#11000|9#5500,1#36,9#39,3#38,100083|100999,3041|3031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_20_1,stage_img_35,3,
84,2,9,8,85,0,60,12900,100084,42006|42006|42006|42006|42006|42006,,1,10,3#2520|1#11000|9#5500|2042#1,1#36,9#39,3#38,100084|100999,4041|4031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_20_1,stage_img_32,3,
85,3,9,8,86,0,64,13050,100085,52003|54003,,1,10,3#2520|1#11000|9#5500|940001#10,1#36,9#39,3#38,100085|100999,940023|1041|2041|3041|4041|1031|2031|3031|4031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_20_1,stage_img_33,3,
86,4,9,8,87,0,64,13200,100086,42006|42006|32005|32005|32005|32005,,1,10,3#2640|1#11000|9#5500,1#36,9#42,3#41,100086|100999,1041|1031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_20_1,stage_img_34,3,
87,5,9,8,88,0,64,13340,100087,44006|44006|34004|34004|34004|34004,,1,10,3#2640|1#11000|9#5500|3042#1,1#36,9#42,3#41,100087|100999,2041|2031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_22_1,stage_img_42,3,
88,6,9,8,89,0,64,13360,100088,56003|41002|45001|45001|45001|45001,,1,10,3#2640|1#11000|9#5500,1#36,9#42,3#41,100088|100999,3041|3031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_22_1,stage_img_43,3,
89,7,9,8,90,0,64,13500,100089,56003|55005|51004|43007|44005|45001,,1,10,3#2640|1#11000|9#5500|4042#1,1#36,9#42,3#41,100089|100999,4041|4031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_22_1,stage_img_44,3,
90,8,9,8,91,0,68,14800,100090,54002|54005,,1,10,3#2640|1#11000|9#5500|940001#10,1#36,9#42,3#41,100090|100999,940024|1041|2041|3041|4041|1031|2031|3031|4031|14|24|25|10|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_22_1,stage_img_45,3,
91,9,9,8,92,0,68,14880,100091,43005|43004|13002|13002|13002|13002,,1,10,3#2760|1#12000|9#6000,1#38,9#44,3#43,100091|100999,1042|1032|14|6001|6002|6003|6004|6005|24|25|10|1022|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_22_1,stage_img_46,3,
92,10,9,9,93,9,68,14960,100092,23001|23001|23002|23002|23002|23002,,1,10,3#2760|1#12000|9#6000|1043#1,1#38,9#44,3#43,100092|100999,2042|2032|14|6001|6002|6003|6004|6005|24|25|10|2022|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_34_1,stage_img_42,3,19
93,1,10,9,94,0,68,0,100093,41006|41006|41006|41006|41006|41006,,1,10,3#2760|1#12000|9#6000,1#38,9#44,3#43,100093|100999,3042|3032|14|6001|6002|6003|6004|6005|24|25|10|3022|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_34_1,stage_img_55,3,
94,2,10,9,95,0,68,15110,100094,43005|43005|41003|41003|42005|42005,,1,10,3#2760|1#12000|9#6000|2043#1,1#38,9#44,3#43,100094|100999,4042|4032|14|6001|6002|6003|6004|6005|24|25|10|4022|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img_54,3,
95,3,10,9,96,0,72,15270,100095,52003|52006,,1,10,3#2760|1#12000|9#6000|940002#10,1#38,9#44,3#43,100095|100999,940014|1042|2042|3042|4042|1032|2032|3032|4032|14|6001|6002|6003|6004|6005|24|25|10|1022|2022|3022|4022|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_26_1,stage_img_7,3,
96,4,10,9,97,0,72,15280,100096,44003|44003|44003|44003|44003|44003,,1,10,3#2880|1#12000|9#6000,1#38,9#47,3#45,100096|100999,1042|1032|14|6001|6002|6003|6004|6005|24|25|10|1022|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_30_1,stage_img_31,3,
97,5,10,9,98,0,72,15450,100097,43003|43002|44001|44001|42004|42004,,1,10,3#2880|1#12000|9#6000|3043#1,1#38,9#47,3#45,100097|100999,2042|2032|14|6001|6002|6003|6004|6005|24|25|10|2022|43|69|28,130999,40|255,120999,114,150999,212|213,110999,200,battle_map_30_1,stage_img_29,3,
