id,next_id,select_next_ids,select,plot,name,image_path,type,res_path,map_swap,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,is_memory,scale,partner_picture_xy,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,image_mirror,cg_show,cg_path,cg_scale,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,expression,face,face_scale,face_pos,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_scale,effect_xy,effect_layer,effect_count,jitter
22,23,,,,-1,login_beach,0,partner_swimsuit_xiahoudun,0,,,,,,,,,0.8,362|384,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,,,,-1,login_beach,0,partner_picture_52001,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,,,,-1,login_beach,0,partner_picture_yinyue,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,,,,-1,login_beach,0,partner_picture_51011,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,,,,-1,login_beach,2,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,,,,-1,login_beach,2,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,,,,-1,login_beach,2,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,,,,-1,login_beach,2,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,,,,-1,login_beach,0,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,,,,-1,login_beach,2,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,,,,-1,login_beach,0,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,,,,-1,login_beach,2,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,,,,-1,login_beach,0,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,,,,,login_beach,1,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1
36,37,,,,-1,login_beach,0,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,,,,-1,login_beach,2,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,,,,,login_beach,1,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,,,,-1,login_beach,2,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,,,,-1,login_beach,0,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,,,,-1,login_beach,0,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,,,,-1,login_beach,2,partner_swimsuit_simazhao,0,,,,,,,,,0.8,150|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,-1,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,,,2,-1,login_beach,0,partner_swimsuit_yinyue,1,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,,,,-1,login_beach,2,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,,,,-1,login_beach,2,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,28,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,49|49,1,,-1,login_beach,0,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,,,,-1,login_beach,0,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,,,,-1,login_beach,2,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,,,,,login_beach,1,,1,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,,,,-1,login_beach,2,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,,,,-1,login_beach,0,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,,,,-1,login_beach,2,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,,,,-1,login_beach,0,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,,,,-1,login_beach,2,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,,,,-1,login_beach,0,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,,,,-1,login_beach,2,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,,,,-1,login_beach,0,partner_swimsuit_banila,0,,,,,,,,,0.6,362|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,,,,,login_beach,1,partner_swimsuit_banila,0,,,,,,,,,0.6,362|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,,,,-1,login_beach,2,partner_swimsuit_banila,0,,,,,,,,,0.6,362|412,28,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,,,,-1,login_beach,0,partner_swimsuit_banila,0,,,,,,,,,0.6,362|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,,,,-1,login_beach,2,partner_swimsuit_banila,0,,,,,,,,,0.6,362|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,,,,-1,login_beach,0,partner_swimsuit_banila,0,,,,,,,,,0.6,362|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,,,,-1,login_beach,0,partner_swimsuit_banila,0,,,,,,,,,0.6,362|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,,,,-1,login_beach,0,partner_swimsuit_banila,0,,,,,,,,,0.6,362|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69,,,,-1,login_beach,0,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,,,,-1,login_beach,0,partner_swimsuit_banila,0,,,,,,,,,0.6,362|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,,,,-1,login_beach,2,partner_swimsuit_banila,0,,,,,,,,,0.6,362|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,,,,-1,login_beach,0,partner_swimsuit_tuling,1,,,,,,,,,0.8,162|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,,,,-1,login_beach,2,partner_swimsuit_tuling,0,,,,,,,,,0.8,162|412,28,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,,,,-1,login_beach,0,partner_swimsuit_tuling,0,,,,,,,,,0.8,162|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,,,,-1,login_beach,2,partner_swimsuit_tuling,0,,,,,,,,,0.8,162|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,,,,-1,login_beach,0,partner_swimsuit_fangtian,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,,,,-1,login_beach,0,partner_swimsuit_fangtian,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,,,,-1,login_beach,0,partner_swimsuit_fangtian,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,,,,-1,login_beach,0,partner_swimsuit_tuling,0,,,,,,,,,0.8,162|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80,,,,-1,login_beach,2,partner_swimsuit_tuling,0,,,,,,,,,0.8,162|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81,,,,-1,login_beach,0,partner_swimsuit_tuling,0,,,,,,,,,0.8,162|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82,,,,-1,login_beach,0,partner_picture_4300702,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,83|83,1,,-1,login_beach,2,partner_picture_4300702,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,84,,,,-1,login_beach,0,partner_picture_4300702,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,85,,,,-1,login_beach,0,partner_swimsuit_tuling,0,,,,,,,,,0.8,162|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,,,,-1,login_beach,2,partner_swimsuit_tuling,0,,,,,,,,,0.8,162|412,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,,,,-1,login_beach,0,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,88,,,,-1,login_beach,2,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,89,,,,-1,login_beach,0,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,90,,,,-1,login_beach,2,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,-1,,,,-1,login_beach,0,partner_swimsuit_yinyue,0,,,,,,,,,1,62|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,92,,,3,-1,login_beach,2,,1,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,93,,,,-1,login_beach,2,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,94,,,,-1,login_beach,2,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,95,,,,-1,login_beach,0,partner_swimsuit_luxifa,0,,,,,,,,,0.8,212|512,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,96,,,,-1,login_beach,0,partner_swimsuit_luxifa,0,,,,,,,,,0.8,212|512,28,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,97,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,98,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,28,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,99,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,100,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,101,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,102,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,103,,,,-1,login_beach,2,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,104,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,105,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,106,,,,-1,market_scene2,0,partner_picture_56005,1,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,107,,,,-1,market_scene2,0,partner_picture_56005,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,108,,,,-1,market_scene2,0,partner_picture_56005,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,109,,,,-1,market_scene2,0,partner_picture_56005,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,110,,,,-1,market_scene2,0,partner_picture_56003,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,111,,,,-1,market_scene2,0,partner_picture_56005,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,112,,,,-1,market_scene2,0,partner_picture_56003,0,,,,,,,,,1,0|0,1,2,1,1,0|1024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,113,,,,-1,market_scene2,0,partner_picture_56005,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,114,,,,-1,market_scene2,0,partner_picture_56005,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,115,,,,-1,market_scene2,0,partner_picture_56005,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,116,,,,-1,login_beach,0,partner_swimsuit_mijiale,1,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,117,,,,-1,login_beach,0,partner_picture_56002,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,118,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,119,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,120,,,,-1,login_beach,0,partner_picture_56002,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,121,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,122,,,,-1,login_beach,0,partner_picture_56002,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,123,,,,-1,login_beach,0,partner_picture_56002,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,124,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,125,,,,-1,login_beach,0,partner_picture_56002,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,126,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,127,,,,-1,login_beach,0,partner_picture_56002,0,,,,,,,,,1,0|0,5,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,128,,,,-1,login_beach,2,partner_picture_56002,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,129,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,130,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,131,,,,,login_beach,1,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,132,,,,-1,login_beach,2,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,133,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,134,134|143,1,,-1,login_beach,2,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,135,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,136,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,137,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,138,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,139,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,140,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,141,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,142,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,148,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,144,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,145,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,146,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,147,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,148,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,149,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,150,,,,-1,login_beach,0,partner_picture_56002,0,,,,,,,,,1,0|0,1,2,1,1,0|1024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,151,,,,-1,login_beach,0,partner_swimsuit_mijiale,0,,,,,,,,,0.8,212|312,1,2,1,1,0|1024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,152,,,,-1,login_beach,2,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,153,,,,,login_beach,1,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,-1,,,,-1,login_beach,2,,0,,,,,,,,,,,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,155,,,4,-1,login_beach,0,partner_picture_yisao,1,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,156,,,,-1,login_beach,0,partner_picture_yage,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,157,,,,-1,login_beach,0,partner_picture_yisao,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,158,,,,-1,login_beach,0,partner_picture_yage,1,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,159,,,,-1,login_beach,0,partner_picture_yisao,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,160,,,,-1,login_beach,0,partner_picture_yage,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,161,,,,-1,login_beach,0,partner_picture_yisao,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,162,,,,-1,login_beach,0,partner_picture_yage,0,,,,,,,,,1,0|0,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,163,,,,-1,login_beach,0,partner_swimsuit_diaochan,1,,,,,,,,,0.8,112|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,164,,,,-1,login_beach,0,partner_swimsuit_diaochan,0,,,,,,,,,0.8,112|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,165,,,,-1,login_beach,0,partner_swimsuit_diaochan,0,,,,,,,,,0.8,112|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,166,,,,-1,login_beach,2,partner_swimsuit_diaochan,0,,,,,,,,,0.8,112|112,1,6,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
