id,gold,gold_new
117,1#44800,1#134400
118,1#45100,1#135300
119,1#45400,1#136200
120,1#45700,1#137100
121,1#46000,1#138000
122,1#46300,1#138900
123,1#46600,1#139800
124,1#46900,1#140700
125,1#47200,1#141600
126,1#47500,1#142500
127,1#47800,1#143400
128,1#48100,1#144300
129,1#48400,1#145200
130,1#48700,1#146100
131,1#49000,1#147000
132,1#49300,1#147900
133,1#49600,1#148800
134,1#49900,1#149700
135,1#50200,1#150600
136,1#50500,1#151500
137,1#50800,1#152400
138,1#51100,1#153300
139,1#51400,1#154200
140,1#51700,1#155100
141,1#52000,1#156000
142,1#52300,1#156900
143,1#52600,1#157800
144,1#52900,1#158700
145,1#53200,1#159600
146,1#53500,1#160500
147,1#53800,1#161400
148,1#54100,1#162300
149,1#54400,1#163200
150,1#54700,1#164100
151,1#55000,1#165000
152,1#55300,1#165900
153,1#55600,1#166800
154,1#55900,1#167700
155,1#56200,1#168600
156,1#56500,1#169500
157,1#56800,1#170400
158,1#57100,1#171300
159,1#57400,1#172200
160,1#57700,1#173100
161,1#58000,1#174000
162,1#58300,1#174900
163,1#58600,1#175800
164,1#58900,1#176700
165,1#59200,1#177600
166,1#59500,1#178500
167,1#59800,1#179400
168,1#60100,1#180300
169,1#60400,1#181200
170,1#60700,1#182100
171,1#61000,1#183000
172,1#61300,1#183900
173,1#61600,1#184800
174,1#61900,1#185700
175,1#62200,1#186600
176,1#62500,1#187500
177,1#62800,1#188400
178,1#63100,1#189300
179,1#63400,1#190200
180,1#63700,1#191100
181,1#64000,1#192000
182,1#64300,1#192900
183,1#64600,1#193800
184,1#64900,1#194700
185,1#65200,1#195600
186,1#65500,1#196500
187,1#65800,1#197400
188,1#66100,1#198300
189,1#66400,1#199200
190,1#66700,1#200100
191,1#67000,1#201000
192,1#67300,1#201900
193,1#67600,1#202800
194,1#67900,1#203700
195,1#68200,1#204600
196,1#68500,1#205500
197,1#68800,1#206400
198,1#69100,1#207300
199,1#69400,1#208200
200,1#69700,1#209100
201,1#70000,1#210000
202,1#70000,1#210000
203,1#70000,1#210000
204,1#70000,1#210000
205,1#70000,1#210000
206,1#70000,1#210000
207,1#70000,1#210000
208,1#70000,1#210000
209,1#70000,1#210000
210,1#70000,1#210000
211,1#80000,1#240000
212,1#80000,1#240000
213,1#80000,1#240000
214,1#80000,1#240000
215,1#80000,1#240000
216,1#80000,1#240000
217,1#80000,1#240000
218,1#80000,1#240000
219,1#80000,1#240000
220,1#80000,1#240000
221,1#90000,1#270000
222,1#90000,1#270000
223,1#90000,1#270000
224,1#90000,1#270000
225,1#90000,1#270000
226,1#90000,1#270000
227,1#90000,1#270000
228,1#90000,1#270000
229,1#90000,1#270000
230,1#90000,1#270000
231,1#100000,1#300000
232,1#100000,1#300000
233,1#100000,1#300000
234,1#100000,1#300000
235,1#100000,1#300000
236,1#100000,1#300000
237,1#100000,1#300000
238,1#100000,1#300000
239,1#100000,1#300000
240,1#100000,1#300000
241,1#120000,1#360000
242,1#120000,1#360000
243,1#120000,1#360000
244,1#120000,1#360000
245,1#120000,1#360000
246,1#120000,1#360000
247,1#120000,1#360000
248,1#120000,1#360000
249,1#120000,1#360000
250,1#120000,1#360000
251,1#140000,1#420000
252,1#140000,1#420000
253,1#140000,1#420000
254,1#140000,1#420000
255,1#140000,1#420000
256,1#140000,1#420000
257,1#140000,1#420000
258,1#140000,1#420000
259,1#140000,1#420000
260,1#140000,1#420000
261,1#160000,1#480000
262,1#160000,1#480000
263,1#160000,1#480000
264,1#160000,1#480000
265,1#160000,1#480000
266,1#160000,1#480000
267,1#160000,1#480000
268,1#160000,1#480000
269,1#160000,1#480000
270,1#160000,1#480000
271,1#180000,1#540000
272,1#180000,1#540000
273,1#180000,1#540000
274,1#180000,1#540000
275,1#180000,1#540000
276,1#180000,1#540000
277,1#180000,1#540000
278,1#180000,1#540000
279,1#180000,1#540000
280,1#180000,1#540000
281,1#200000,1#600000
282,1#200000,1#600000
283,1#200000,1#600000
284,1#200000,1#600000
285,1#200000,1#600000
286,1#200000,1#600000
287,1#200000,1#600000
288,1#200000,1#600000
289,1#200000,1#600000
290,1#200000,1#600000
291,1#220000,1#660000
292,1#220000,1#660000
293,1#220000,1#660000
294,1#220000,1#660000
295,1#220000,1#660000
296,1#220000,1#660000
297,1#220000,1#660000
298,1#220000,1#660000
299,1#220000,1#660000
300,1#220000,1#660000
301,1#240000,1#720000
302,1#240000,1#720000
303,1#240000,1#720000
304,1#240000,1#720000
305,1#240000,1#720000
306,1#240000,1#720000
307,1#240000,1#720000
308,1#240000,1#720000
309,1#240000,1#720000
310,1#240000,1#720000
311,1#260000,1#780000
312,1#260000,1#780000
313,1#260000,1#780000
314,1#260000,1#780000
315,1#260000,1#780000
316,1#260000,1#780000
317,1#260000,1#780000
318,1#260000,1#780000
319,1#260000,1#780000
320,1#260000,1#780000
321,1#280000,1#840000
322,1#280000,1#840000
323,1#280000,1#840000
324,1#280000,1#840000
325,1#280000,1#840000
326,1#280000,1#840000
327,1#280000,1#840000
328,1#280000,1#840000
329,1#280000,1#840000
330,1#280000,1#840000
331,1#300000,1#900000
332,1#300000,1#900000
333,1#300000,1#900000
334,1#300000,1#900000
335,1#300000,1#900000
336,1#300000,1#900000
337,1#300000,1#900000
338,1#300000,1#900000
339,1#300000,1#900000
340,1#300000,1#900000
341,1#320000,1#960000
342,1#320000,1#960000
343,1#320000,1#960000
344,1#320000,1#960000
345,1#320000,1#960000
346,1#320000,1#960000
347,1#320000,1#960000
348,1#320000,1#960000
349,1#320000,1#960000
350,1#320000,1#960000
351,1#340000,1#1020000
352,1#340000,1#1020000
353,1#340000,1#1020000
354,1#340000,1#1020000
355,1#340000,1#1020000
356,1#340000,1#1020000
357,1#340000,1#1020000
358,1#340000,1#1020000
359,1#340000,1#1020000
360,1#340000,1#1020000
361,1#360000,1#1080000
362,1#360000,1#1080000
363,1#360000,1#1080000
364,1#360000,1#1080000
365,1#360000,1#1080000
366,1#360000,1#1080000
367,1#360000,1#1080000
368,1#360000,1#1080000
369,1#360000,1#1080000
370,1#360000,1#1080000
371,1#380000,1#1140000
372,1#380000,1#1140000
373,1#380000,1#1140000
374,1#380000,1#1140000
375,1#380000,1#1140000
376,1#380000,1#1140000
377,1#380000,1#1140000
378,1#380000,1#1140000
379,1#380000,1#1140000
380,1#380000,1#1140000
381,1#400000,1#1200000
382,1#400000,1#1200000
383,1#400000,1#1200000
384,1#400000,1#1200000
385,1#400000,1#1200000
386,1#400000,1#1200000
387,1#400000,1#1200000
388,1#400000,1#1200000
389,1#400000,1#1200000
390,1#400000,1#1200000
391,1#420000,1#1260000
392,1#420000,1#1260000
393,1#420000,1#1260000
394,1#420000,1#1260000
395,1#420000,1#1260000
396,1#420000,1#1260000
397,1#420000,1#1260000
398,1#420000,1#1260000
399,1#420000,1#1260000
400,1#420000,1#1260000
