id,name,resource,texiao_name,size,enter_dialog,enter_dialog_scale,enter_sound,enter_texiao,click_dialog1,click_dialog1_scale,click_sound1,click_texiao1,click_dialog2,click_dialog2_scale,click_sound2,click_texiao2,click_dialog3,click_dialog3_scale,click_sound3,click_texiao3,click_dialog4,click_dialog4_scale,click_sound4,click_texiao4,click_dialog5,click_dialog5_scale,click_sound5,click_texiao5,click_dialog6,click_dialog6_scale,click_sound6,click_texiao6,chosen_dialog1,chosen_dialog1_scale,chosen_sound1,chosen_texiao1
60,-1,qianbenying_pifu02_lihui01,Animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,-1,luxun_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,-1,spcaocao_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,-1,pangtong_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,-1,zhugeliang_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,-1,ganfuren_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,-1,dengai_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,-1,pangtong_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,-1,fenlier_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,-1,degula_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,-1,xunyu_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,-1,lvbu_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,-1,xiahoudun_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,-1,banila_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,-1,luxun_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,-1,tuling_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,-1,luxifa_pifu05_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,-1,mijiale_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,-1,zhanghe_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,-1,yinyue_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,-1,shuangzi_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,-1,spweiyan_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,-1,lvbu_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,-1,luxifeier_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,-1,dongzhuo_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,-1,guojia_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,-1,school_practise_degula,texiao01,1030|1285,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,,,,,,,,,
87,-1,school_practise_caocao,texiao01,1120|1680,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,,,,,,,,,
88,-1,school_practise_zhitian,texiao01,1065|1550,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,,,,,,,,,
89,-1,school_practise_zhugeliang,texiao01,760|1345,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,,,,,,,,,
90,-1,school_practise_luxifa,texiao01,1140|1755,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,,,,,,,,,
91,-1,school_practise_mijiale,texiao01,1390|1560,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,texiao02,-1,260|145,,,,,,,,,,
92,-1,chilian_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,-1,zuoci_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,-1,ganfuren_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,-1,school_practise_degula,texiao01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,-1,school_practise_caocao,texiao01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,-1,school_practise_zhitian,texiao01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,-1,school_practise_zhugeliang,texiao01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,-1,school_practise_luxifa,texiao01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-1,school_practise_mijiale,texiao01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,-1,luxifeier_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,-1,shuijing_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,-1,banila_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,-1,yinyue_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,-1,jiabailie_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,-1,keruisi_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,-1,zhitianxinchang_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,-1,banbenlongma_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,-1,luxifeier_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,-1,huatuo_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,-1,lvbu_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,-1,banbenlongma_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,-1,lvlingqi_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,-1,lvbu_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,-1,wangyi_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,-1,wulieer_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,-1,yixienamei_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,-1,qianbenying_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,-1,huatuo_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,-1,huangyueying_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,-1,daqiao_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,-1,simazhao_shop,texiao01,500|1400,1,260|145,,texiao01,2,260|145,,texiao02,3,260|145,,texiao01,4,260|145,,texiao02,5,300|185,,texiao02,6,300|185,,texiao01,7,300|185,,texiao02,8,260|145,,texiao02
123,-1,spcaocao_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,-1,banbenlongma_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,-1,huangyueying_pifu05_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,-1,fenlier_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,-1,sunshangxiang_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,-1,liubei_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,-1,weiweian_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,-1,simazhao_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,-1,simayi_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,-1,chilian_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,-1,spweiyan_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,-1,keruisi_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,-1,apate_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,-1,lvmeng_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,-1,luxun_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,-1,jiabailie_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,-1,tuling_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,-1,jiangwei_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,-1,wulieer_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,-1,xifeng_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,-1,yixienamei_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,-1,guohuan_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,-1,weila_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,-1,fenlier_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-1,shuijing_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,-1,pipiluo_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,-1,yunmu_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,-1,hanlingdi_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,-1,fanhexin_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,-1,banbenlongma_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,-1,huatuo_pifu05_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,-1,sunwukong_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,-1,hujisheng_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,-1,anyue_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,-1,fenlier_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,-1,yinyue_pifu05_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,-1,weila_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,-1,yixienamei_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,-1,lvbu_pifu05_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,-1,weiweian_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,-1,teleisha_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,-1,yidazhengzong_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,-1,anyue_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,-1,guanyu_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,-1,liubei_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,-1,yixienamei_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,-1,apate_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,-1,luxifeier_pifu04_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,-1,yunmu_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,-1,houyi_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,-1,feisina_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,-1,wangyi_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,-1,pipiluo_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,-1,apate_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,-1,teleisha_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,-1,shuangzi_pifu05_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,-1,hujisheng_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,-1,zhouyu_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,-1,monika_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,-1,weiweian_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,-1,pipiluo_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,-1,feisina_pifu02_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,-1,weila_pifu03_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,-1,luxifeier_pifu05_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,-1,liubiao_pifu01_lihui01,animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
