id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,miss,hit,crit,critTime,sklP,decDmg,free,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill
22030211,751005,,-1,250,10,,,2.5,2,1.3,2.4,,0,150,200,200,100,100,100,0,0,,250,,,,,0|0|0|0
22030301,755005,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,150,200,100,0,,300,,,,,0|0|0|0
22030302,751012,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,150,200,100,0,,300,,,,,0|0|0|0
22030303,756005,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,150,200,100,0,,300,,,,,0|0|0|0
22030304,754009,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,250,200,100,0,,300,,,,,0|0|0|0
22030305,755007,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,150,200,100,0,,300,,,,,0|0|0|0
22030306,752017,,-1,300,10,,,3.2,2.5,1.6,2.8,,200,200,300,300,200,150,200,100,0,,300,,,,,0|0|0|0
22030401,756006,,-1,350,10,,,4.5,3,2,3.5,,300,250,400,400,300,200,300,200,0,,350,,,,,0|0|0|0
22030402,754013,,-1,350,10,,,4.5,3,2,3.2,,300,250,400,400,300,250,300,200,0,,350,,,,,0|0|0|0
22030403,754014,,-1,350,10,,,4,3,2,3.5,,300,250,400,400,300,250,300,200,0,,350,,,,,0|0|0|0
22030404,755007,,-1,350,10,,,4,3,2,3.5,,300,250,400,400,300,200,400,200,0,,350,,,,,0|0|0|0
22030405,753017,,-1,350,10,,,4,3,2,3.2,,300,250,400,400,300,300,300,200,0,,350,,,,,0|0|0|0
22030406,751013,,-1,350,10,,,5,3,2,3.2,,300,250,400,400,300,200,300,200,0,,350,,,,,0|0|0|0
22030407,755005,,-1,350,10,,,4.5,4,2,3.2,,300,250,400,400,300,200,300,200,0,,350,,,,,0|0|0|0
22030408,751012,,-1,350,10,,,4.5,3,2,3.2,,500,250,400,400,300,200,300,200,0,,350,,,,,0|0|0|0
22030409,756005,,-1,350,10,,,4,3,2,3.2,,300,250,400,400,300,200,300,200,0,,350,,,,,0|0|0|0
22030410,752010,,-1,350,10,,,5,3,2.5,3.2,,300,250,400,400,300,200,300,200,0,,350,,,,,0|0|0|0
22030411,755002,,-1,350,10,,,4,4,2,3.2,,300,250,400,400,300,200,300,200,0,,350,,,,,0|0|0|0
22030412,755005,,-1,350,10,,,4,3,2,3.2,,300,250,400,400,300,200,300,200,0,,350,,,,,0|0|0|0
22030413,751012,,-1,350,10,,,4.5,3,2,3.2,,500,250,400,400,300,200,300,200,0,,350,,,,,0|0|0|0
22030414,756005,,-1,350,10,,,4,4,2,3.2,,300,250,400,400,300,200,300,200,0,,350,,,,,0|0|0|0
22030415,753016,,-1,350,10,,,4.5,3,2,3.2,,300,250,400,400,300,200,400,200,0,,350,,,,,0|0|0|0
22030501,754015,,-1,400,10,,,6,3.5,2.5,3.6,,400,300,500,500,400,350,400,300,0,,400,,,,,5|5|5|5
22030502,752017,,-1,400,10,,,6,3.5,2.5,3.6,,400,300,500,500,400,350,400,300,0,,400,,,,,5|5|5|5
22030503,753016,,-1,400,10,,,6,3.5,2.5,3.6,,400,300,500,500,400,350,400,300,0,,400,,,,,5|5|5|5
22030504,755007,,-1,400,10,,,5.5,3.5,2.5,4,,400,300,500,500,400,350,400,300,0,,400,,,,,5|5|5|5
22030505,754014,,-1,400,10,,,5.5,3.5,2.5,4,,400,300,500,500,400,350,400,300,0,,400,,,,,5|5|5|5
22030506,751013,,-1,400,10,,,6,3.5,2.5,4,,400,300,500,500,400,250,400,300,0,,400,,,,,5|5|5|5
22030507,756006,,-1,400,10,,,5.5,3.5,2.5,4,,400,300,500,500,400,250,500,300,0,,400,,,,,5|5|5|5
22030508,753017,,-1,400,10,,,5.5,4,2.5,3.6,,400,300,500,500,400,350,400,300,0,,400,,,,,5|5|5|5
22030509,756005,,-1,400,10,,,5,4.5,2.5,3.6,,400,300,500,500,400,250,400,300,0,,400,,,,,5|5|5|5
22030510,751012,,-1,400,10,,,5.5,3.5,2.5,3.6,,700,300,500,500,400,250,400,300,0,,400,,,,,5|5|5|5
22040501,2000011,,-1,400,10,,,5,3.5,3,3.6,,400,500,500,500,0,0,500,0,0,,400,,,,,
23010211,751010,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010212,751010,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010213,751011,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010214,751011,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010215,751011,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010216,751011,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010311,751001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010312,751001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010313,751001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010314,751001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010315,751001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010316,751001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010321,751002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010322,751002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010323,751002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010324,751002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010325,751002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010326,751002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010411,752001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010412,752001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010413,752001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010414,752001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010415,752001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010416,752001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010421,752005,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010422,752005,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010423,752005,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010424,752005,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010425,752005,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010426,752005,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010511,753005,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010512,753005,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010513,752012,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010514,752012,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010515,752003,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010516,752003,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010521,754005,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010522,754005,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010523,752012,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010524,752012,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010525,752002,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010526,752002,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010711,751001,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010712,751001,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010713,751007,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010714,751007,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010715,751015,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010716,751015,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010721,751003,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010722,751003,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010723,751008,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010724,751008,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010725,751014,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010726,751014,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010811,752008,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010812,752008,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010813,752013,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010814,752013,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010815,752013,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010816,752013,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010821,752010,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010822,752010,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010823,752011,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010824,752011,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010825,752011,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010826,752011,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010911,752016,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010912,752016,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010913,752016,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010914,752016,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010915,752007,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23010916,752007,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011111,752018,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011112,752014,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011113,752014,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011114,751005,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011115,752006,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011116,754007,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011121,752018,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011122,752014,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011123,752014,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011124,751007,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011125,752003,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011126,754003,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011211,752005,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011212,752005,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011213,751016,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011214,752017,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011215,756004,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011216,756004,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011221,751009,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011222,751009,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011223,751016,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011224,751004,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011225,755003,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011226,755003,,-1,330,10,3200000,64000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011311,751012,,-1,330,10,4000000,80000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011312,751012,,-1,330,10,4000000,80000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011313,751013,,-1,330,10,4000000,80000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011314,751013,,-1,330,10,4000000,80000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011315,751017,,-1,330,10,4000000,80000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23011316,751017,,-1,330,10,4000000,80000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23019999,752015,,-1,330,10,9999999999999.0,200000,,,1,1,,0,500,0,0,0,0,0,0,0,1,999,1.2,,,,5|5|5|5
23050211,755002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050212,755002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050213,755003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050214,755003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050215,755003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050216,755003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050311,45001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050312,45001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050313,45001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050314,45001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050315,45001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050316,45001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050321,45002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050322,45002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050323,45002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050324,45002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050325,45002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050326,45002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050331,45003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050332,45003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050333,45003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050334,45003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050335,45003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050336,45003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050411,46001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050412,46001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050413,46001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050414,46001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050415,46001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050416,46001,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050421,46002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050422,46002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050423,46002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050424,46002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050425,46002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050426,46002,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050431,46003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050432,46003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050433,46003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050434,46003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050435,46003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050436,46003,,-1,330,10,2000000,40000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,
23050511,755006,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050512,755006,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050513,752004,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050514,752004,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050515,754004,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050516,754004,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050521,755006,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050522,755006,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050523,751007,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050524,751007,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050525,752009,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050526,752009,,-1,330,10,2400000,48000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050711,755002,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050712,755002,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050713,751003,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050714,752005,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050715,753005,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050716,753005,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050721,755002,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050722,755002,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050723,754008,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050724,752002,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050725,753004,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050726,753004,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050811,756004,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050812,755004,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050813,756004,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
23050814,756004,,-1,330,10,2800000,56000,,,1,1,,0,500,0,0,0,0,0,0,0,,300,,,,,5|5|5|5
