id,name,qlt,star,icon,base1,base2,base3,skill_ids,group,dress_id,next_id,upgrade_cost,upgrade_cost2,dress_shard
3100029,-1,5,5,icon_dress_1000501|icon_dress_1000502,51,37,28,1000707,2,101005,3100030,260#4000|261#340|3200025#120,4#180|3#200|2#100,3200025#40
3100030,-1,5,6,icon_dress_1000501|icon_dress_1000502,66,48,36,1000707,2,101005,,,,3200025#40
3100031,-1,5,1,icon_dress_1000601|icon_dress_1000602,29,15,23,1000708,2,101006,3100032,260#45,,3200031#40
3100032,-1,5,2,icon_dress_1000601|icon_dress_1000602,31,16,24,1000708,2,101006,3100033,260#110,,3200031#40
3100033,-1,5,3,icon_dress_1000601|icon_dress_1000602,34,17,27,1000708,2,101006,3100034,260#240|261#20|3200031#40,4#90|3#100|2#50,3200031#40
3100034,-1,5,4,icon_dress_1000601|icon_dress_1000602,40,20,32,1000708,2,101006,3100035,260#1000|261#80|3200031#80,4#120|3#140|2#70,3200031#40
3100035,-1,5,5,icon_dress_1000601|icon_dress_1000602,50,25,40,1000708,2,101006,3100036,260#4000|261#340|3200031#120,4#180|3#200|2#100,3200031#40
3100036,-1,5,6,icon_dress_1000601|icon_dress_1000602,65,33,52,1000708,2,101006,,,,3200031#40
3100037,-1,5,1,icon_dress_1000701|icon_dress_1000702,32,20,15,1000709,2,101007,3100038,260#45,,3200037#40
3100038,-1,5,2,icon_dress_1000701|icon_dress_1000702,33,21,16,1000709,2,101007,3100039,260#110,,3200037#40
3100039,-1,5,3,icon_dress_1000701|icon_dress_1000702,36,23,18,1000709,2,101007,3100040,260#240|261#20|3200037#40,4#90|3#100|2#50,3200037#40
3100040,-1,5,4,icon_dress_1000701|icon_dress_1000702,43,28,22,1000709,2,101007,3100041,260#1000|261#80|3200037#80,4#120|3#140|2#70,3200037#40
3100041,-1,5,5,icon_dress_1000701|icon_dress_1000702,54,35,27,1000709,2,101007,3100042,260#4000|261#340|3200037#120,4#180|3#200|2#100,3200037#40
3100042,-1,5,6,icon_dress_1000701|icon_dress_1000702,70,45,35,1000709,2,101007,,,,3200037#40
3100043,-1,5,1,icon_dress_1000801|icon_dress_1000802,29,14,24,1000710,2,101008,3100044,260#45,,3200043#40
3100044,-1,5,2,icon_dress_1000801|icon_dress_1000802,30,15,25,1000710,2,101008,3100045,260#110,,3200043#40
3100045,-1,5,3,icon_dress_1000801|icon_dress_1000802,33,17,28,1000710,2,101008,3100046,260#240|261#20|3200043#40,4#90|3#100|2#50,3200043#40
3100046,-1,5,4,icon_dress_1000801|icon_dress_1000802,40,20,33,1000710,2,101008,3100047,260#1000|261#80|3200043#80,4#120|3#140|2#70,3200043#40
3100047,-1,5,5,icon_dress_1000801|icon_dress_1000802,49,25,42,1000710,2,101008,3100048,260#4000|261#340|3200043#120,4#180|3#200|2#100,3200043#40
3100048,-1,5,6,icon_dress_1000801|icon_dress_1000802,64,32,54,1000710,2,101008,,,,3200043#40
3100049,-1,5,1,icon_dress_1000901,32,21,14,1000711,2,101009,3100050,260#45,,3200049#40
3100050,-1,5,2,icon_dress_1000901,34,22,15,1000711,2,101009,3100051,260#110,,3200049#40
3100051,-1,5,3,icon_dress_1000901,37,24,17,1000711,2,101009,3100052,260#240|261#20|3200049#40,4#90|3#100|2#50,3200049#40
3100052,-1,5,4,icon_dress_1000901,45,29,20,1000711,2,101009,3100053,260#1000|261#80|3200049#80,4#120|3#140|2#70,3200049#40
3100053,-1,5,5,icon_dress_1000901,55,35,25,1000711,2,101009,3100054,260#4000|261#340|3200049#120,4#180|3#200|2#100,3200049#40
3100054,-1,5,6,icon_dress_1000901,72,46,32,1000711,2,101009,,,,3200049#40
3100055,-1,6,1,icon_dress_1001001|icon_dress_1001002,30,21,39,1000307,3,101010,3100056,260#45,,3200055#50
3100056,-1,6,2,icon_dress_1001001|icon_dress_1001002,31,22,40,1000307,3,101010,3100057,260#120,,3200055#50
3100057,-1,6,3,icon_dress_1001001|icon_dress_1001002,34,24,45,1000307,3,101010,3100058,260#240|261#25|3200055#50,5#80|4#120|3#120|2#60,3200055#50
3100058,-1,6,4,icon_dress_1001001|icon_dress_1001002,41,29,53,1000307,3,101010,3100059,260#1000|261#100|3200055#100,5#120|4#180|3#180|2#90,3200055#50
3100059,-1,6,5,icon_dress_1001001|icon_dress_1001002,51,35,66,1000307,3,101010,3100060,260#4000|261#420|3200055#150,5#160|4#240|3#240|2#120,3200055#50
3100060,-1,6,6,icon_dress_1001001|icon_dress_1001002,66,46,86,1000307,3,101010,,,,3200055#50
3100061,-1,6,1,icon_dress_1001101|icon_dress_1001102,20,26,43,1000308,3,101011,3100062,260#45,,3200061#50
3100062,-1,6,2,icon_dress_1001101|icon_dress_1001102,21,27,45,1000308,3,101011,3100063,260#120,,3200061#50
3100063,-1,6,3,icon_dress_1001101|icon_dress_1001102,23,30,49,1000308,3,101011,3100064,260#240|261#25|3200061#50,5#80|4#120|3#120|2#60,3200061#50
3100064,-1,6,4,icon_dress_1001101|icon_dress_1001102,28,36,59,1000308,3,101011,3100065,260#1000|261#100|3200061#100,5#120|4#180|3#180|2#90,3200061#50
3100065,-1,6,5,icon_dress_1001101|icon_dress_1001102,35,45,73,1000308,3,101011,3100066,260#4000|261#420|3200061#150,5#160|4#240|3#240|2#120,3200061#50
3100066,-1,6,6,icon_dress_1001101|icon_dress_1001102,45,58,95,1000308,3,101011,,,,3200061#50
3100067,-1,6,1,icon_dress_1001201|icon_dress_1001202,28,20,41,1000309,3,101012,3100068,260#45,,3200067#50
3100068,-1,6,2,icon_dress_1001201|icon_dress_1001202,30,21,42,1000309,3,101012,3100069,260#120,,3200067#50
3100069,-1,6,3,icon_dress_1001201|icon_dress_1001202,33,23,47,1000309,3,101012,3100070,260#240|261#25|3200067#50,5#80|4#120|3#120|2#60,3200067#50
3100070,-1,6,4,icon_dress_1001201|icon_dress_1001202,39,28,56,1000309,3,101012,3100071,260#1000|261#100|3200067#100,5#120|4#180|3#180|2#90,3200067#50
3100071,-1,6,5,icon_dress_1001201|icon_dress_1001202,49,35,69,1000309,3,101012,3100072,260#4000|261#420|3200067#150,5#160|4#240|3#240|2#120,3200067#50
3100072,-1,6,6,icon_dress_1001201|icon_dress_1001202,63,45,90,1000309,3,101012,,,,3200067#50
3100073,-1,6,1,icon_dress_1001301|icon_dress_1001302,21,27,41,1000310,3,101013,3100074,260#45,,3200073#50
3100074,-1,6,2,icon_dress_1001301|icon_dress_1001302,22,28,43,1000310,3,101013,3100075,260#120,,3200073#50
3100075,-1,6,3,icon_dress_1001301|icon_dress_1001302,24,31,48,1000310,3,101013,3100076,260#240|261#25|3200073#50,5#80|4#120|3#120|2#60,3200073#50
3100076,-1,6,4,icon_dress_1001301|icon_dress_1001302,29,37,57,1000310,3,101013,3100077,260#1000|261#100|3200073#100,5#120|4#180|3#180|2#90,3200073#50
3100077,-1,6,5,icon_dress_1001301|icon_dress_1001302,36,45,71,1000310,3,101013,3100078,260#4000|261#420|3200073#150,5#160|4#240|3#240|2#120,3200073#50
3100078,-1,6,6,icon_dress_1001301|icon_dress_1001302,47,59,92,1000310,3,101013,,,,3200073#50
3100079,-1,6,1,icon_dress_1001401,27,22,40,1000311,3,101014,3100080,260#45,,3200079#50
3100080,-1,6,2,icon_dress_1001401,29,23,42,1000311,3,101014,3100081,260#120,,3200079#50
3100081,-1,6,3,icon_dress_1001401,32,25,46,1000311,3,101014,3100082,260#240|261#25|3200079#50,5#80|4#120|3#120|2#60,3200079#50
3100082,-1,6,4,icon_dress_1001401,38,30,55,1000311,3,101014,3100083,260#1000|261#100|3200079#100,5#120|4#180|3#180|2#90,3200079#50
3100083,-1,6,5,icon_dress_1001401,47,37,69,1000311,3,101014,3100084,260#4000|261#420|3200079#150,5#160|4#240|3#240|2#120,3200079#50
3100084,-1,6,6,icon_dress_1001401,61,48,89,1000311,3,101014,,,,3200079#50
3100085,-1,5,1,icon_dress_1001501|icon_dress_1001502,22,30,15,1000607,4,101015,3100086,260#45,,3200085#40
3100086,-1,5,2,icon_dress_1001501|icon_dress_1001502,23,31,16,1000607,4,101015,3100087,260#110,,3200085#40
3100087,-1,5,3,icon_dress_1001501|icon_dress_1001502,25,34,18,1000607,4,101015,3100088,260#240|261#20|3200085#40,4#90|3#100|2#50,3200085#40
3100088,-1,5,4,icon_dress_1001501|icon_dress_1001502,30,41,22,1000607,4,101015,3100089,260#1000|261#80|3200085#80,4#120|3#140|2#70,3200085#40
3100089,-1,5,5,icon_dress_1001501|icon_dress_1001502,38,51,27,1000607,4,101015,3100090,260#4000|261#340|3200085#120,4#180|3#200|2#100,3200085#40
3100090,-1,5,6,icon_dress_1001501|icon_dress_1001502,49,66,35,1000607,4,101015,,,,3200085#40
3100091,-1,5,1,icon_dress_1001601|icon_dress_1001602,14,31,23,1000608,4,101016,3100092,260#45,,3200091#40
3100092,-1,5,2,icon_dress_1001601|icon_dress_1001602,15,32,24,1000608,4,101016,3100093,260#110,,3200091#40
3100093,-1,5,3,icon_dress_1001601|icon_dress_1001602,17,35,26,1000608,4,101016,3100094,260#240|261#20|3200091#40,4#90|3#100|2#50,3200091#40
3100094,-1,5,4,icon_dress_1001601|icon_dress_1001602,20,42,31,1000608,4,101016,3100095,260#1000|261#80|3200091#80,4#120|3#140|2#70,3200091#40
3100095,-1,5,5,icon_dress_1001601|icon_dress_1001602,25,52,39,1000608,4,101016,3100096,260#4000|261#340|3200091#120,4#180|3#200|2#100,3200091#40
3100096,-1,5,6,icon_dress_1001601|icon_dress_1001602,32,68,50,1000608,4,101016,,,,3200091#40
3100097,-1,5,1,icon_dress_1001701|icon_dress_1001702,21,30,16,1000609,4,101017,3100098,260#45,,3200097#40
3100098,-1,5,2,icon_dress_1001701|icon_dress_1001702,22,31,17,1000609,4,101017,3100099,260#110,,3200097#40
3100099,-1,5,3,icon_dress_1001701|icon_dress_1001702,24,35,19,1000609,4,101017,3100100,260#240|261#20|3200097#40,4#90|3#100|2#50,3200097#40
3100100,-1,5,4,icon_dress_1001701|icon_dress_1001702,29,42,22,1000609,4,101017,3100101,260#1000|261#80|3200097#80,4#120|3#140|2#70,3200097#40
3100101,-1,5,5,icon_dress_1001701|icon_dress_1001702,36,52,28,1000609,4,101017,3100102,260#4000|261#340|3200097#120,4#180|3#200|2#100,3200097#40
3100102,-1,5,6,icon_dress_1001701|icon_dress_1001702,47,67,36,1000609,4,101017,,,,3200097#40
3100103,-1,5,1,icon_dress_1001801|icon_dress_1001802,15,30,22,1000610,4,101018,3100104,260#45,,3200103#40
3100104,-1,5,2,icon_dress_1001801|icon_dress_1001802,16,31,23,1000610,4,101018,3100105,260#110,,3200103#40
3100105,-1,5,3,icon_dress_1001801|icon_dress_1001802,18,34,25,1000610,4,101018,3100106,260#240|261#20|3200103#40,4#90|3#100|2#50,3200103#40
3100106,-1,5,4,icon_dress_1001801|icon_dress_1001802,22,41,30,1000610,4,101018,3100107,260#1000|261#80|3200103#80,4#120|3#140|2#70,3200103#40
3100107,-1,5,5,icon_dress_1001801|icon_dress_1001802,27,51,38,1000610,4,101018,3100108,260#4000|261#340|3200103#120,4#180|3#200|2#100,3200103#40
3100108,-1,5,6,icon_dress_1001801|icon_dress_1001802,35,66,49,1000610,4,101018,,,,3200103#40
3100109,-1,5,1,icon_dress_1001901,23,31,14,1000611,4,101019,3100110,260#45,,3200109#40
3100110,-1,5,2,icon_dress_1001901,24,32,15,1000611,4,101019,3100111,260#110,,3200109#40
3100111,-1,5,3,icon_dress_1001901,26,35,17,1000611,4,101019,3100112,260#240|261#20|3200109#40,4#90|3#100|2#50,3200109#40
3100112,-1,5,4,icon_dress_1001901,31,42,20,1000611,4,101019,3100113,260#1000|261#80|3200109#80,4#120|3#140|2#70,3200109#40
3100113,-1,5,5,icon_dress_1001901,39,52,25,1000611,4,101019,3100114,260#4000|261#340|3200109#120,4#180|3#200|2#100,3200109#40
3100114,-1,5,6,icon_dress_1001901,50,68,32,1000611,4,101019,,,,3200109#40
3100115,-1,5,1,icon_dress_1002001|icon_dress_1002002,23,15,29,1001507,5,101020,3100116,260#45,,3200115#40
3100116,-1,5,2,icon_dress_1002001|icon_dress_1002002,24,16,30,1001507,5,101020,3100117,260#110,,3200115#40
3100117,-1,5,3,icon_dress_1002001|icon_dress_1002002,27,18,33,1001507,5,101020,3100118,260#240|261#20|3200115#40,4#90|3#100|2#50,3200115#40
3100118,-1,5,4,icon_dress_1002001|icon_dress_1002002,32,22,40,1001507,5,101020,3100119,260#1000|261#80|3200115#80,4#120|3#140|2#70,3200115#40
3100119,-1,5,5,icon_dress_1002001|icon_dress_1002002,39,27,49,1001507,5,101020,3100120,260#4000|261#340|3200115#120,4#180|3#200|2#100,3200115#40
3100120,-1,5,6,icon_dress_1002001|icon_dress_1002002,51,35,64,1001507,5,101020,,,,3200115#40
3100121,-1,5,1,icon_dress_1002101|icon_dress_1002102,14,24,29,1001508,5,101021,3100122,260#45,,3200121#40
3100122,-1,5,2,icon_dress_1002101|icon_dress_1002102,15,25,31,1001508,5,101021,3100123,260#110,,3200121#40
3100123,-1,5,3,icon_dress_1002101|icon_dress_1002102,17,28,34,1001508,5,101021,3100124,260#240|261#20|3200121#40,4#90|3#100|2#50,3200121#40
3100124,-1,5,4,icon_dress_1002101|icon_dress_1002102,20,33,40,1001508,5,101021,3100125,260#1000|261#80|3200121#80,4#120|3#140|2#70,3200121#40
3100125,-1,5,5,icon_dress_1002101|icon_dress_1002102,25,41,50,1001508,5,101021,3100126,260#4000|261#340|3200121#120,4#180|3#200|2#100,3200121#40
3100126,-1,5,6,icon_dress_1002101|icon_dress_1002102,32,53,65,1001508,5,101021,,,,3200121#40
3100127,-1,5,1,icon_dress_1002201|icon_dress_1002202,20,15,32,1001509,5,101022,3100128,260#45,,3200127#40
3100128,-1,5,2,icon_dress_1002201|icon_dress_1002202,21,16,33,1001509,5,101022,3100129,260#110,,3200127#40
3100129,-1,5,3,icon_dress_1002201|icon_dress_1002202,23,18,36,1001509,5,101022,3100130,260#240|261#20|3200127#40,4#90|3#100|2#50,3200127#40
3100130,-1,5,4,icon_dress_1002201|icon_dress_1002202,28,22,43,1001509,5,101022,3100131,260#1000|261#80|3200127#80,4#120|3#140|2#70,3200127#40
3100131,-1,5,5,icon_dress_1002201|icon_dress_1002202,35,27,54,1001509,5,101022,3100132,260#4000|261#340|3200127#120,4#180|3#200|2#100,3200127#40
3100132,-1,5,6,icon_dress_1002201|icon_dress_1002202,45,35,70,1001509,5,101022,,,,3200127#40
3100133,-1,5,1,icon_dress_1002301,15,20,32,1001510,5,101023,3100134,260#45,,3200133#40
3100134,-1,5,2,icon_dress_1002301,16,21,33,1001510,5,101023,3100135,260#110,,3200133#40
3100135,-1,5,3,icon_dress_1002301,18,23,37,1001510,5,101023,3100136,260#240|261#20|3200133#40,4#90|3#100|2#50,3200133#40
3100136,-1,5,4,icon_dress_1002301,21,28,44,1001510,5,101023,3100137,260#1000|261#80|3200133#80,4#120|3#140|2#70,3200133#40
3100137,-1,5,5,icon_dress_1002301,26,35,55,1001510,5,101023,3100138,260#4000|261#340|3200133#120,4#180|3#200|2#100,3200133#40
3100138,-1,5,6,icon_dress_1002301,34,45,71,1001510,5,101023,,,,3200133#40
3100139,-1,6,1,icon_dress_1002401|icon_dress_1002402,38,32,20,,6,101024,3100140,260#45,,3200139#50
3100140,-1,6,2,icon_dress_1002401|icon_dress_1002402,39,33,21,,6,101024,3100141,260#120,,3200139#50
3100141,-1,6,3,icon_dress_1002401|icon_dress_1002402,44,36,23,,6,101024,3100142,260#240|261#25|3200139#50,5#80|4#120|3#120|2#60,3200139#50
3100142,-1,6,4,icon_dress_1002401|icon_dress_1002402,52,43,27,,6,101024,3100143,260#1000|261#100|3200139#100,5#120|4#180|3#180|2#90,3200139#50
3100143,-1,6,5,icon_dress_1002401|icon_dress_1002402,65,54,34,,6,101024,3100144,260#4000|261#420|3200139#150,5#160|4#240|3#240|2#120,3200139#50
3100144,-1,6,6,icon_dress_1002401|icon_dress_1002402,84,70,44,,6,101024,,,,3200139#50
3100145,-1,6,1,icon_dress_1002501|icon_dress_1002502,41,21,27,,6,101025,3100146,260#45,,3200145#50
3100146,-1,6,2,icon_dress_1002501|icon_dress_1002502,43,22,28,,6,101025,3100147,260#120,,3200145#50
3100147,-1,6,3,icon_dress_1002501|icon_dress_1002502,47,24,31,,6,101025,3100148,260#240|261#25|3200145#50,5#80|4#120|3#120|2#60,3200145#50
3100148,-1,6,4,icon_dress_1002501|icon_dress_1002502,56,29,37,,6,101025,3100149,260#1000|261#100|3200145#100,5#120|4#180|3#180|2#90,3200145#50
3100149,-1,6,5,icon_dress_1002501|icon_dress_1002502,70,36,46,,6,101025,3100150,260#4000|261#420|3200145#150,5#160|4#240|3#240|2#120,3200145#50
3100150,-1,6,6,icon_dress_1002501|icon_dress_1002502,91,47,60,,6,101025,,,,3200145#50
3100151,-1,6,1,icon_dress_1002601|icon_dress_1002602,38,32,20,,6,101026,3100152,260#45,,3200151#50
3100152,-1,6,2,icon_dress_1002601|icon_dress_1002602,39,33,21,,6,101026,3100153,260#120,,3200151#50
3100153,-1,6,3,icon_dress_1002601|icon_dress_1002602,44,36,23,,6,101026,3100154,260#240|261#25|3200151#50,5#80|4#120|3#120|2#60,3200151#50
3100154,-1,6,4,icon_dress_1002601|icon_dress_1002602,52,43,27,,6,101026,3100155,260#1000|261#100|3200151#100,5#120|4#180|3#180|2#90,3200151#50
3100155,-1,6,5,icon_dress_1002601|icon_dress_1002602,65,54,34,,6,101026,3100156,260#4000|261#420|3200151#150,5#160|4#240|3#240|2#120,3200151#50
3100156,-1,6,6,icon_dress_1002601|icon_dress_1002602,84,70,44,,6,101026,,,,3200151#50
3100157,-1,6,1,icon_dress_1002701|icon_dress_1002702,43,21,25,,6,101027,3100158,260#45,,3200157#50
3100158,-1,6,2,icon_dress_1002701|icon_dress_1002702,45,22,26,,6,101027,3100159,260#120,,3200157#50
3100159,-1,6,3,icon_dress_1002701|icon_dress_1002702,50,24,29,,6,101027,3100160,260#240|261#25|3200157#50,5#80|4#120|3#120|2#60,3200157#50
3100160,-1,6,4,icon_dress_1002701|icon_dress_1002702,60,29,34,,6,101027,3100161,260#1000|261#100|3200157#100,5#120|4#180|3#180|2#90,3200157#50
3100161,-1,6,5,icon_dress_1002701|icon_dress_1002702,74,36,42,,6,101027,3100162,260#4000|261#420|3200157#150,5#160|4#240|3#240|2#120,3200157#50
3100162,-1,6,6,icon_dress_1002701|icon_dress_1002702,96,47,55,,6,101027,,,,3200157#50
3100163,-1,6,1,icon_dress_1002801,41,28,20,,6,101028,3100164,260#45,,3200163#50
3100164,-1,6,2,icon_dress_1002801,42,30,21,,6,101028,3100165,260#120,,3200163#50
3100165,-1,6,3,icon_dress_1002801,47,33,23,,6,101028,3100166,260#240|261#25|3200163#50,5#80|4#120|3#120|2#60,3200163#50
3100166,-1,6,4,icon_dress_1002801,56,39,28,,6,101028,3100167,260#1000|261#100|3200163#100,5#120|4#180|3#180|2#90,3200163#50
3100167,-1,6,5,icon_dress_1002801,69,49,35,,6,101028,3100168,260#4000|261#420|3200163#150,5#160|4#240|3#240|2#120,3200163#50
3100168,-1,6,6,icon_dress_1002801,90,63,45,,6,101028,,,,3200163#50
3100169,-1,3,1,icon_dress_1002901|icon_dress_1002902,29,16,14,,7,101029,3100170,260#45,,3200169#20
3100170,-1,3,2,icon_dress_1002901|icon_dress_1002902,31,17,15,,7,101029,3100171,260#90,,3200169#20
3100171,-1,3,3,icon_dress_1002901|icon_dress_1002902,34,19,17,,7,101029,3100172,260#240|261#10|3200169#20,2#30,3200169#20
3100172,-1,3,4,icon_dress_1002901|icon_dress_1002902,41,23,20,,7,101029,,,,3200169#20
3100173,-1,3,5,icon_dress_1002901|icon_dress_1002902,,,,,7,101029,,,,3200169#20
3100174,-1,3,6,icon_dress_1002901|icon_dress_1002902,,,,,7,101029,,,,3200169#20
3100175,-1,3,1,icon_dress_1003001|icon_dress_1003002,28,14,18,,7,101030,3100176,260#45,,3200175#20
3100176,-1,3,2,icon_dress_1003001|icon_dress_1003002,29,15,19,,7,101030,3100177,260#90,,3200175#20
3100177,-1,3,3,icon_dress_1003001|icon_dress_1003002,33,17,21,,7,101030,3100178,260#240|261#10|3200175#20,2#30,3200175#20
3100178,-1,3,4,icon_dress_1003001|icon_dress_1003002,39,20,25,,7,101030,,,,3200175#20
3100179,-1,3,5,icon_dress_1003001|icon_dress_1003002,,,,,7,101030,,,,3200175#20
3100180,-1,3,6,icon_dress_1003001|icon_dress_1003002,,,,,7,101030,,,,3200175#20
3100181,-1,3,1,icon_dress_1003101|icon_dress_1003102,28,18,13,,7,101031,3100182,260#45,,3200181#20
3100182,-1,3,2,icon_dress_1003101|icon_dress_1003102,30,19,14,,7,101031,3100183,260#90,,3200181#20
3100183,-1,3,3,icon_dress_1003101|icon_dress_1003102,34,21,16,,7,101031,3100184,260#240|261#10|3200181#20,2#30,3200181#20
3100184,-1,3,4,icon_dress_1003101|icon_dress_1003102,40,25,19,,7,101031,,,,3200181#20
3100185,-1,3,5,icon_dress_1003101|icon_dress_1003102,,,,,7,101031,,,,3200181#20
3100186,-1,3,6,icon_dress_1003101|icon_dress_1003102,,,,,7,101031,,,,3200181#20
3100187,-1,3,1,icon_dress_1003201|icon_dress_1003202,26,13,21,,7,101032,3100188,260#45,,3200187#20
3100188,-1,3,2,icon_dress_1003201|icon_dress_1003202,27,14,22,,7,101032,3100189,260#90,,3200187#20
3100189,-1,3,3,icon_dress_1003201|icon_dress_1003202,30,16,24,,7,101032,3100190,260#240|261#10|3200187#20,2#30,3200187#20
3100190,-1,3,4,icon_dress_1003201|icon_dress_1003202,36,19,29,,7,101032,,,,3200187#20
3100191,-1,3,5,icon_dress_1003201|icon_dress_1003202,,,,,7,101032,,,,3200187#20
3100192,-1,3,6,icon_dress_1003201|icon_dress_1003202,,,,,7,101032,,,,3200187#20
3100193,-1,3,1,icon_dress_1003301,26,21,13,,7,101033,3100194,260#45,,3200193#20
3100194,-1,3,2,icon_dress_1003301,28,22,14,,7,101033,3100195,260#90,,3200193#20
3100195,-1,3,3,icon_dress_1003301,31,24,15,,7,101033,3100196,260#240|261#10|3200193#20,2#30,3200193#20
3100196,-1,3,4,icon_dress_1003301,37,29,18,,7,101033,,,,3200193#20
3100197,-1,3,5,icon_dress_1003301,,,,,7,101033,,,,3200193#20
3100198,-1,3,6,icon_dress_1003301,,,,,7,101033,,,,3200193#20
3100199,-1,4,1,icon_dress_1003401|icon_dress_1003402,31,22,14,,8,101034,3100200,260#45,,3200199#30
3100200,-1,4,2,icon_dress_1003401|icon_dress_1003402,32,23,15,,8,101034,3100201,260#100,,3200199#30
3100201,-1,4,3,icon_dress_1003401|icon_dress_1003402,36,26,16,,8,101034,3100202,260#240|261#15|3200199#30,3#80|2#40,3200199#30
3100202,-1,4,4,icon_dress_1003401|icon_dress_1003402,43,31,19,,8,101034,3100203,260#1000|261#60|3200199#60,3#120|2#60,3200199#30
3100203,-1,4,5,icon_dress_1003401|icon_dress_1003402,53,38,24,,8,101034,,,,3200199#30
3100204,-1,4,6,icon_dress_1003401|icon_dress_1003402,,,,,8,101034,,,,3200199#30
3100205,-1,4,1,icon_dress_1003501|icon_dress_1003502,31,15,21,,8,101035,3100206,260#45,,3200205#30
3100206,-1,4,2,icon_dress_1003501|icon_dress_1003502,32,16,22,,8,101035,3100207,260#100,,3200205#30
3100207,-1,4,3,icon_dress_1003501|icon_dress_1003502,36,18,24,,8,101035,3100208,260#240|261#15|3200205#30,3#80|2#40,3200205#30
3100208,-1,4,4,icon_dress_1003501|icon_dress_1003502,43,21,29,,8,101035,3100209,260#1000|261#60|3200205#60,3#120|2#60,3200205#30
3100209,-1,4,5,icon_dress_1003501|icon_dress_1003502,53,26,36,,8,101035,,,,3200205#30
3100210,-1,4,6,icon_dress_1003501|icon_dress_1003502,,,,,8,101035,,,,3200205#30
3100211,-1,4,1,icon_dress_1003601|icon_dress_1003602,32,20,15,,8,101036,3100212,260#45,,3200211#30
3100212,-1,4,2,icon_dress_1003601|icon_dress_1003602,33,21,16,,8,101036,3100213,260#100,,3200211#30
3100213,-1,4,3,icon_dress_1003601|icon_dress_1003602,36,23,18,,8,101036,3100214,260#240|261#15|3200211#30,3#80|2#40,3200211#30
3100214,-1,4,4,icon_dress_1003601|icon_dress_1003602,43,27,22,,8,101036,3100215,260#1000|261#60|3200211#60,3#120|2#60,3200211#30
3100215,-1,4,5,icon_dress_1003601|icon_dress_1003602,54,34,27,,8,101036,,,,3200211#30
3100216,-1,4,6,icon_dress_1003601|icon_dress_1003602,,,,,8,101036,,,,3200211#30
3100217,-1,4,1,icon_dress_1003701|icon_dress_1003702,32,16,19,,8,101037,3100218,260#45,,3200217#30
3100218,-1,4,2,icon_dress_1003701|icon_dress_1003702,34,17,20,,8,101037,3100219,260#100,,3200217#30
3100219,-1,4,3,icon_dress_1003701|icon_dress_1003702,37,19,22,,8,101037,3100220,260#240|261#15|3200217#30,3#80|2#40,3200217#30
