id,partner_id,name,box_id,weight,lv,grade,equips,is_new,is_up
66,53008,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
67,53009,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
68,53010,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
69,54001,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
70,54002,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
71,54003,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
72,54004,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
73,54005,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
74,54006,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
75,54007,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
76,54008,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
77,54009,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
78,54010,-1,1001|1002|1003|1004,187|150|135|100,100,5,1061|2061|3061|4061|0|0,,
79,51011,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
80,51012,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
81,51013,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
82,51014,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
83,52011,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
84,52012,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
85,52013,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
86,52014,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
87,52015,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
88,53011,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
89,53012,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
90,53013,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
91,53014,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
92,53015,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
93,54011,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
94,54012,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
95,54013,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
96,54014,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,,
97,55002,-1,1001|1002|1003|1004,125|125|125|125,100,5,1061|2061|3061|4061|0|0,,
98,55003,-1,1001|1002|1003|1004,125|125|125|125,100,5,1061|2061|3061|4061|0|0,,
99,55004,-1,1001|1002|1003|1004,125|125|125|125,100,5,1061|2061|3061|4061|0|0,,
100,55005,-1,1001|1002|1003|1004,125|125|125|125,100,5,1061|2061|3061|4061|0|0,,
101,56001,-1,1001|1002|1003|1004,125|125|125|125,100,5,1061|2061|3061|4061|0|0,,
102,56002,-1,1001|1002|1003|1004,125|125|125|125,100,5,1061|2061|3061|4061|0|0,,
103,56003,-1,1001|1002|1003|1004,125|125|125|125,100,5,1061|2061|3061|4061|0|0,,
104,56004,-1,1001|1002|1003|1004,125|125|125|125,100,5,1061|2061|3061|4061|0|0,,
105,55006,-1,1002|1003|1004,11|67|111,100,5,1061|2061|3061|4061|0|0,,
106,55007,-1,1002|1003|1004,11|67|111,100,5,1061|2061|3061|4061|0|0,,
107,55008,-1,1002|1003|1004,11|67|111,100,5,1061|2061|3061|4061|0|0,,
108,55009,-1,1002|1003|1004,11|67|111,100,5,1061|2061|3061|4061|0|0,,
109,56005,-1,1002|1003|1004,11|67|111,100,5,1061|2061|3061|4061|0|0,,
110,56006,-1,1002|1003|1004,11|67|111,100,5,1061|2061|3061|4061|0|0,,
111,56007,-1,1002|1003|1004,11|67|111,100,5,1061|2061|3061|4061|0|0,,
112,51015,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,1,
113,51016,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,1,
114,52016,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,1,
115,52017,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,1,
116,53016,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,1,
117,54015,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,1,
118,54016,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,1,
119,54017,-1,1001|1002|1003|1004,58|73|115|159,100,5,1061|2061|3061|4061|0|0,1,
120,55010,-1,1002|1003|1004,11|67|111,100,5,1061|2061|3061|4061|0|0,1,
121,56008,-1,1002|1003|1004,11|67|111,100,5,1061|2061|3061|4061|0|0,1,
