id,ex_id,desc_num1,desc_num2,desc_num3,desc_num4,desc_num5
75100504,751005041|751005042|751005043|751005044|751005045,102%%,104%%,106%%,108%%,110%%|35%%
75100601,751006011|751006012|751006013|751006014|751006015,162%%|67%%,165%%|68%%,168%%|69%%,171%%|70%%,174%%|71%%
75100602,751006021|751006022|751006023|751006024|751006025,77%%,79%%,81%%,83%%,85%%
75100603,751006031|751006032|751006033|751006034|751006035,127%%,129%%,131%%,135%%,137%%
75100604,751006041|751006042|751006043|751006044|751006045,42%%|35%%,42%%|37%%,42.5%%|37%%,42.5%%|37.5%%,43%%|38%%
75100701,751007011|751007012|751007013|751007014|751007015,224%%|68%%,228%%|69%%,232%%|70%%,236%%|71%%,240%%|72%%|55%%
75100702,751007021|751007022|751007023|751007024|751007025,37%%|15%%,37%%|17%%,37.5%%|17%%,37.5%%|17.5%%,38%%|18%%
75100703,751007031|751007032|751007033|751007034|751007035,102%%,104%%,106%%,108%%,110%%
75100704,751007041|751007042|751007043|751007044|751007045,204%%,208%%,212%%,216%%,220%%
75100801,751008011|751008012|751008013|751008014|751008015,154%%|145%%,156%%|147%%,158%%|149%%,160%%|151%%,162%%|153%%|185%%
75100802,751008021|751008022|751008023|751008024|751008025,47%%,48%%,49%%,49.5%%,50%%|18.8%%
75100803,751008031|751008032|751008033|751008034|751008035,32%%|30%%,32%%|32%%,32.5%%|32%%,32.5%%|32.5%%,33%%|33%%
75100804,751008041|751008042|751008043|751008044|751008045,183.5%%,187%%,190%%,194%%,198%%
75100901,751009011|751009012|751009013|751009014|751009015,177%%,180%%,183%%,187%%,191%%|75%%
75100902,751009021|751009022|751009023|751009024|751009025,22%%|35%%,22%%|37%%,25%%|37%%,25%%|40%%,30%%|45%%
75100903,751009031|751009032|751009033|751009034|751009035,17%%|40%%,17%%|42%%,17.5%%|42%%,17.5%%|42.5%%,18%%|43%%
75100904,751009041|751009042|751009043|751009044|751009045,31%%,32%%,33%%,34%%,35%%
75101001,751010011|751010012|751010013|751010014|751010015,196%%,200%%,204%%,208%%,212%%|35%%
75101002,751010021|751010022|751010023|751010024|751010025,37%%|25%%,37%%|27%%,37.5%%|27%%,37.5%%|27.5%%,38%%|28%%
75101003,751010031|751010032|751010033|751010034|751010035,164%%|95%%,164%%|98%%,168%%|98%%,168%%|103%%,175%%|105%%
75101004,751010041|751010042|751010043|751010044|751010045,52%%,53%%,54%%,54.5%%,55%%
75101101,751011011|751011012|751011013|751011014|751011015,240%%|150%%,240%%|153%%,250%%|153%%,250%%|159%%,260%%|165%%
75101102,751011021|751011022|751011023|751011024|751011025,123%%|20%%,123%%|22%%,128%%|22%%,128%%|22.5%%,135%%|23%%
75101103,751011031|751011032|751011033|751011034|751011035,22%%|25%%,22%%|27%%,22.5%%|27%%,22.5%%|27.5%%,23%%|28%%
75101104,751011041|751011042|751011043|751011044|751011045,285%%,290%%,295%%,300%%,305%%|25
75101201,751012011|751012012|751012013|751012014|751012015,210%%,214%%,218%%,222%%,226%%|110%%
75101202,751012021|751012022|751012023|751012024|751012025,42%%|30%%,42%%|32%%,42.5%%|32%%,42.5%%|32.5%%,43%%|33%%
75101203,751012031|751012032|751012033|751012034|751012035,5.2%%|2%%,5.2%%|2.2%%,5.4%%|2.2%%,5.4%%|2.4%%,5.5%%|2.5%%
75101204,751012041|751012042|751012043|751012044|751012045,22%%|40%%,22%%|42%%,22.5%%|42%%,22.5%%|43%%,23%%|44%%
75101301,751013011|751013012|751013013|751013014|751013015,306%%,312%%,318%%,324%%,330%%|30%%
75101302,751013021|751013022|751013023|751013024|751013025,27%%|30,27%%|35,27.5%%|35,27.5%%|40,28%%|40
75101303,751013031|751013032|751013033|751013034|751013035,75%%|70%%,75%%|75%%,77%%|75%%,77%%|77%%,80%%|80%%
75101304,751013041|751013042|751013043|751013044|751013045,79%%,80%%,81%%,82%%,83%%|40%%
75101401,751014011|751014012|751014013|751014014|751014015,204%%|122%%,208%%|124%%,212%%|126%%,216%%|128%%,220%%|130%%|22%%|12%%
75101402,751014021|751014022|751014023|751014024|751014025,37%%|3.3%%,37%%|27%%|3.6%%,37.5%%|27%%|4%%,37.5%%|27.5%%|4.5%%,38%%|28%%|5%%
75101403,751014031|751014032|751014033|751014034|751014035,153%%,156%%,159%%,162%%,165%%|22%%|12%%
75101404,751014041|751014042|751014043|751014044|751014045,26%%|51%%,26.5%%|52%%,27%%|53%%,27.5%%|54%%,28%%|55%%|90%%
75101501,751015011|751015012|751015013|751015014|751015015,448%%|102%%,456%%|104%%,464%%|106%%,472%%|108%%,480%%|110%%
75101502,751015021|751015022|751015023|751015024|751015025,37%%|35%%,37%%|37%%,37.5%%|37%%,37.5%%|37.5%%,38%%|38%%
75101503,751015031|751015032|751015033|751015034|751015035,51%%|51%%|102%%,52%%|52%%|104%%,53%%|53%%|106%%,54%%|54%%|108%%,55%%|55%%|110%%
75101504,751015041|751015042|751015043|751015044|751015045,184%%|102%%,188%%|104%%,192%%|106%%,196%%|108%%,200%%|110%%
75200101,752001011|752001012|752001013|752001014|752001015,139%%,142%%,145%%,148%%,151%%|35%%
75200102,752001021|752001022|752001023|752001024|752001025,50%%|40%%,50%%|42%%,50.5%%|42%%,50.5%%|42.5%%,51%%|43%%
75200103,752001031|752001032|752001033|752001034|752001035,143%%,146%%,149%%,152%%,155%%
75200104,752001041|752001042|752001043|752001044|752001045,105%%,110%%,115%%,120%%,125%%|25%%
75200201,752002011|752002012|752002013|752002014|752002015,151%%,154%%,157%%,160%%|40,163%%|35%%|50
75200202,752002021|752002022|752002023|752002024|752002025,42%%|25%%,42%%|27%%,42.5%%|27%%,42.5%%|27.5%%,43%%|28%%
75200203,752002031|752002032|752002033|752002034|752002035,10%%|9%%,10%%|10%%,10.5%%|10%%,10.5%%|11%%,11%%|11%%
75200204,752002041|752002042|752002043|752002044|752002045,112%%,114%%,116%%,118%%,120%%
75200301,752003011|752003012|752003013|752003014|752003015,118%%,120%%,122%%|30%%,124%%|30%%,126%%|35%%
75200302,752003021|752003022|752003023|752003024|752003025,27%%|35%%,27%%|37%%,27.5%%|37%%,27.5%%|37.5%%,28%%|38%%
75200303,752003031|752003032|752003033|752003034|752003035,92%%,94%%,96%%,98%%,100%%
75200304,752003041|752003042|752003043|752003044|752003045,102%%,104%%,106%%,108%%,110%%|70%%
75200401,752004011|752004012|752004013|752004014|752004015,224%%|104%%,228%%|106%%,232%%|108%%,236%%|110%%,240%%|112%%
75200402,752004021|752004022|752004023|752004024|752004025,98%%,100%%,102%%,104%%,106%%
75200403,752004031|752004032|752004033|752004034|752004035,37%%|40%%,37%%|42%%,37.5%%|42%%,37.5%%|42.5%%,38%%|43%%
75200404,752004041|752004042|752004043|752004044|752004045,122%%,124%%,126%%,128%%,130%%|22%%
75200501,752005011|752005012|752005013|752005014|752005015,165%%|46%%|46%%,168%%|47%%|47%%,171%%|48%%|48%%,174%%|49%%|49%%,177%%|50%%|50%%|53%%
75200502,752005021|752005022|752005023|752005024|752005025,27%%,65|27%%,65|27.5%%,70|27.5%%,70|28%%
75200503,752005031|752005032|752005033|752005034|752005035,11%%|16%%,11%%|17%%,11.5%%|17%%,11.5%%|17.5%%,12%%|18%%
75200504,752005041|752005042|752005043|752005044|752005045,96%%,97%%,98%%,99%%,100%%|15%%|15%%
75200601,752006011|752006012|752006013|752006014|752006015,149%%|163%%,152%%|166%%,155%%|169%%,158%%|172%%,161%%|175%%
75200602,752006021|752006022|752006023|752006024|752006025,12%%,12.5%%,13%%,13.5%%,14%%
75200603,752006031|752006032|752006033|752006034|752006035,52%%,99%%|52%%,99%%|52.5%%,103%%|52.5%%,105%%|53%%
75200604,752006041|752006042|752006043|752006044|752006045,16%%|25%%,16%%|26%%,17%%|26%%,17%%|27%%,85%%
75200701,752007011|752007012|752007013|752007014|752007015,127%%|204%%|346%%,129%%|208%%|352%%,131%%|212%%|358%%,133%%|216%%|364%%,135%%|220%%|370%%
75200702,752007021|752007022|752007023|752007024|752007025,51%%|51%%,52%%|52%%,53%%|53%%,54%%|54%%,55%%|55%%
75200703,752007031|752007032|752007033|752007034|752007035,37%%|25%%,37%%|27%%,37.5%%|27%%,37.5%%|27.5%%,38%%|28%%
75200704,752007041|752007042|752007043|752007044|752007045,137%%,140%%,143%%,145%%,147%%
75200801,752008011|752008012|752008013|752008014|752008015,118%%,120%%,122%%,125%%,128%%|22%%|22%%
75200802,752008021|752008022|752008023|752008024|752008025,42%%|50,42%%|55,42.5%%|55,42.5%%|60,43%%|60
75200803,752008031|752008032|752008033|752008034|752008035,82%%,84%%,86%%,88%%,90%%
75200804,752008041|752008042|752008043|752008044|752008045,30.5%%|29%%,30.5%%|30.5%%,31.5%%|30.5%%,31.5%%|31.5%%,32%%|32%%
75200901,752009011|752009012|752009013|752009014|752009015,139%%|66.5%%,142%%|67.5%%,145%%|68.5%%,148%%|69.5%%,151%%|71%%|32%%|32%%
75200902,752009021|752009022|752009023|752009024|752009025,26%%|30%%,26%%|31%%,27%%|31%%,27%%|32%%,28%%|33%%
75200903,752009031|752009032|752009033|752009034|752009035,21%%|30%%,21%%|31%%,22%%|31%%,22%%|32%%,23%%|33%%
75200904,752009041|752009042|752009043|752009044|752009045,42%%|20%%,42%%|22%%,42.5%%|22%%,42.5%%|22.5%%,43%%|23%%
75201001,752010011|752010012|752010013|752010014|752010015,169%%,172%%,175%%,178%%,181%%|59%%|91%%
75201002,752010021|752010022|752010023|752010024|752010025,47%%|40%%,47%%|42%%,48%%|42%%,48%%|43%%,50%%|45%%
75201003,752010031|752010032|752010033|752010034|752010035,37%%|30%%,37%%|32%%,37.5%%|32%%,37.5%%|32.5%%,38%%|33%%
75201004,752010041|752010042|752010043|752010044|752010045,183%%,186%%,189%%,192%%,195%%
75201101,752011011|752011012|752011013|752011014|752011015,168%%|199%%|219%%|280%%,171%%|205%%|225%%|285%%,175%%|210%%|230%%|290%%,179%%|213%%|233%%|300%%,181%%|215%%|235%%|303%%
75201102,752011021|752011022|752011023|752011024|752011025,168%%,171%%,175%%,179%%,181%%|25
75201103,752011031|752011032|752011033|752011034|752011035,32%%|20%%,32%%|22%%,32.5%%|22%%,32.5%%|22.5%%,33%%|23%%
75201104,752011041|752011042|752011043|752011044|752011045,54%%,56%%,58%%,59%%,60%%|22%%
75201201,752012011|752012012|752012013|752012014|752012015,404%%|295%%,411%%|300%%,426%%|305%%,431%%|315%%,436%%|320%%
75201202,752012021|752012022|752012023|752012024|752012025,37%%|35%%,37%%|37%%,37.5%%|37%%,37.5%%|37.5%%,38%%|38%%
75201203,752012031|752012032|752012033|752012034|752012035,243%%,248%%,253%%,258%%,262%%|191%%
75201204,752012041|752012042|752012043|752012044|752012045,243%%,248%%,253%%,258%%,262%%|191%%
75201301,752013011|752013012|752013013|752013014|752013015,184%%,188%%,190%%,194%%,198%%
75201302,752013021|752013022|752013023|752013024|752013025,27%%|25%%,27%%|27%%,27.5%%|27%%,27.5%%|27.5%%,28%%|28%%
75201303,752013031|752013032|752013033|752013034|752013035,81%%,82%%,84%%,86%%,88%%
75201304,752013041|752013042|752013043|752013044|752013045,5.5%%,85%%|85%%,5.6%%,5.8%%,6%%|90%%|90%%
75201401,752014011|752014012|752014013|752014014|752014015,460%%,468%%,475%%,485%%,490%%|165%%
75201402,752014021|752014022|752014023|752014024|752014025,27%%|30%%,27%%|32%%,27.5%%|32%%,27.5%%|32.5%%,28%%|33%%
75201403,752014031|752014032|752014033|752014034|752014035,184%%,188%%,190%%,196%%,198%%|44%%
75201404,752014041|752014042|752014043|752014044|752014045,102%%,104%%,106%%,108%%,110%%
75201501,752015011|752015012|752015013|752015014|752015015,428%%|52%%,436%%|54%%,444%%|56%%,452%%|58%%,460%%|60%%|22%%
75201502,752015021|752015022|752015023|752015024|752015025,42%%|25%%,42%%|27%%,42.5%%|27%%,42.5%%|27.5%%,43%%|28%%
75201503,752015031|752015032|752015033|752015034|752015035,153%%,156%%,159%%,162%%,165%%|22%%|35%%
75201504,752015041|752015042|752015043|752015044|752015045,126%%,132%%,138%%,145%%,150%%|55%%
75300101,753001011|753001012|753001013|753001014|753001015,73.5%%|104%%,75%%|106%%,76.5%%|108%%,78%%|110%%,79.5%%|112%%|30%%
75300102,753001021|753001022|753001023|753001024|753001025,81.5%%,83%%,84.5%%,86%%,85%%|88%%
75300103,753001031|753001032|753001033|753001034|753001035,107%%,109%%,111%%,113%%,115%%
75300104,753001041|753001042|753001043|753001044|753001045,73.5%%,75%%,76.5%%,78%%,65%%|79.5%%
75300201,753002011|753002012|753002013|753002014|753002015,134.5%%|153%%,137%%|156%%,139.5%%|159%%,142%%|162%%,145%%|165%%
75300202,753002021|753002022|753002023|753002024|753002025,21%%|20%%,21%%|21%%,21.5%%|21%%,21.5%%|21.5%%,22%%|22%%
75300203,753002031|753002032|753002033|753002034|753002035,52%%|25%%,52%%|27%%,52.5%%|27%%,52.5%%|27.5%%,53%%|28%%
75300204,753002041|753002042|753002043|753002044|753002045,204%%,208%%,212%%,216%%,220%%
75300301,753003011|753003012|753003013|753003014|753003015,326%%|570%%,332%%|580%%,338%%|590%%,344%%|600%%,350%%|610%%|65%%
75300302,753003021|753003022|753003023|753003024|753003025,19%%,19.5%%,20%%,20.5%%,21%%
75300303,753003031|753003032|753003033|753003034|753003035,42%%|40%%,42%%|42%%,42.5%%|42%%,42.5%%|42.5%%,43%%|43%%
75300304,753003041|753003042|753003043|753003044|753003045,122%%,124%%,126%%,128%%,130%%
75300401,753004011|753004012|753004013|753004014|753004015,185%%|132%%,188%%|134%%,191%%|136%%,194%%|138%%,197%%|140%%|22%%
75300402,753004021|753004022|753004023|753004024|753004025,37%%|30%%,37%%|32%%,37.5%%|32%%,37.5%%|32.5%%,38%%|33%%
75300403,753004031|753004032|753004033|753004034|753004035,112%%,114%%,116%%,118%%,80%%|120%%
75300404,753004041|753004042|753004043|753004044|753004045,122%%,124%%,126%%,128%%,95%%|130%%
75300501,753005011|753005012|753005013|753005014|753005015,152%%|255%%,154%%|260%%,156%%|265%%,158%%|270%%,160%%|37%%|275%%
75300502,753005021|753005022|753005023|753005024|753005025,42%%|40%%,42%%|42%%,42.5%%|42%%,42.5%%|42.5%%,43%%|43%%
75300503,753005031|753005032|753005033|753005034|753005035,326%%,332%%,338%%,344%%,350%%
75300504,753005041|753005042|753005043|753005044|753005045,46%%|255%%,47%%|260%%,48%%|265%%,49%%|270%%,50%%|275%%
75300601,753006011|753006012|753006013|753006014|753006015,193%%,196%%,199%%,202%%,205%%|35%%
75300602,753006021|753006022|753006023|753006024|753006025,37%%|20%%,37%%|22%%,37.5%%|22%%,37.5%%|22.5%%,38%%|23%%
75300603,753006031|753006032|753006033|753006034|753006035,31%%,31.5%%,32%%,32.5%%,33%%
75300604,753006041|753006042|753006043|753006044|753006045,132.5%%,135%%,137.5%%,140%%,143%%|50%%
75300701,753007011|753007012|753007013|753007014|753007015,149%%|143%%,152%%|146%%,155%%|149%%,158%%|152%%,161%%|155%%|14%%
75300702,753007021|753007022|753007023|753007024|753007025,27%%|40%%,27%%|42%%,27.5%%|42%%,27.5%%|42.5%%,28%%|43%%
75300703,753007031|753007032|753007033|753007034|753007035,21%%,21.5%%,22%%,22.5%%,23%%|4%%
75300704,753007041|753007042|753007043|753007044|753007045,102%%,104%%,106%%,108%%,110%%
75300801,753008011|753008012|753008013|753008014|753008015,202%%,204%%,206%%,208%%,210%%|20%%
75300802,753008021|753008022|753008023|753008024|753008025,26%%,26.5%%,27%%,27.5%%,28%%
75300803,753008031|753008032|753008033|753008034|753008035,42%%|35%%,42%%|37%%,42.5%%|37%%,42.5%%|37.5%%,43%%|38%%
75300804,753008041|753008042|753008043|753008044|753008045,102%%,104%%,106%%,108%%,65%%|110%%
75300901,753009011|753009012|753009013|753009014|753009015,116%%,118%%,120%%,122%%,124%%|35%%
75300902,753009021|753009022|753009023|753009024|753009025,37%%|20%%,37%%|22%%,37.5%%|22%%,37.5%%|22.5%%,38%%|23%%
75300903,753009031|753009032|753009033|753009034|753009035,11%%,12%%,13%%,14%%,15%%
75300904,753009041|753009042|753009043|753009044|753009045,16%%,17%%,18%%,19%%,20%%
75301001,753010011|753010012|753010013|753010014|753010015,153%%,156%%,159%%,162%%,165%%|55%%
75301002,753010021|753010022|753010023|753010024|753010025,92%%,94%%,96%%,98%%,99%%|22%%
75301003,753010031|753010032|753010033|753010034|753010035,32%%|20%%,32%%|22%%,32.5%%|22%%,32.5%%|22.5%%,33%%|23%%
75301004,753010041|753010042|753010043|753010044|753010045,77%%,78%%,79%%,80%%,83%%
75301101,753011011|753011012|753011013|753011014|753011015,255%%|10%%,260%%|20%%,265%%|40%%,270%%|70%%,275%%|44%%|14%%|100%%
75301102,753011021|753011022|753011023|753011024|753011025,127.5%%,130%%,132.5%%,135%%,137%%|35%%
75301103,753011031|753011032|753011033|753011034|753011035,42%%|35%%,42%%|37%%,42.5%%|37%%,42.5%%|37.5%%,43%%|38%%
75301104,753011041|753011042|753011043|753011044|753011045,153%%,156%%,159%%,162%%,165%%|33%%
75301201,753012011|753012012|753012013|753012014|753012015,204%%,208%%,212%%,216%%,220%%|80%%|110%%
75301202,753012021|753012022|753012023|753012024|753012025,37%%|30%%,37%%|32%%,37.5%%|32%%,37.5%%|32.5%%,38%%|33%%
75301203,753012031|753012032|753012033|753012034|753012035,37%%|12.5%%,37.5%%|12.8%%,38%%|13%%,38.5%%|13.2%%,39%%|13.5%%
75301204,753012041|753012042|753012043|753012044|753012045,10%%|125%%,10%%|128%%,10.5%%|128%%,10.5%%|133%%,11%%|135%%
75301301,753013011|753013012|753013013|753013014|753013015,255%%,260%%,265%%,270%%,275%%|22%%
75301302,753013021|753013022|753013023|753013024|753013025,37%%|2%%,37%%|32%%|4%%,37.5%%|32%%|6%%,37.5%%|32.5%%|8%%,38%%|33%%|10%%
75301303,753013031|753013032|753013033|753013034|753013035,2.5%%|10%%,2.5%%|10.5%%,2.8%%|10.5%%,2.8%%|10.8%%,3%%|11%%
75301304,753013041|753013042|753013043|753013044|753013045,112.5%%,114%%,116%%,118%%,122%%
75301401,753014011|753014012|753014013|753014014|753014015,214%%|254,218%%|258,222%%|262,226%%|266,230%%|270|10%%
75301402,753014021|753014022|753014023|753014024|753014025,158%%|3%%,161%%|3%%|5,164%%|4%%|5,167%%|4%%|10,170%%|5%%|10|10%%
75301403,753014031|753014032|753014033|753014034|753014035,32%%|3%%|2%%|2%%,32%%|32%%|6%%|3%%,32.5%%|32%%|9%%|4%%,32.5%%|32.5%%|12%%|5%%,33%%|33%%|15%%|6%%
75301404,753014041|753014042|753014043|753014044|753014045,81%%,82%%,83%%,84%%,85%%|10%%
75301501,753015011|753015012|753015013|753015014|753015015,408%%|408%%|408%%|75%%,416%%|416%%|416%%|80%%,424%%|424%%|424%%|85%%,432%%|432%%|432%%|90%%,440%%|440%%|440%%|100%%
75301502,753015021|753015022|753015023|753015024|753015025,32%%|40%%,32%%|42%%,32.5%%|42%%,32.5%%|42.5%%,33%%|43%%
75301503,753015031|753015032|753015033|753015034|753015035,255%%|255%%|255%%,260%%|260%%|260%%,265%%|265%%|265%%,270%%|270%%|270%%,275%%|275%%|275%%
75301504,753015041|753015042|753015043|753015044|753015045,15%%,25%%,35%%,45%%,4|55%%
75400101,754001011|754001012|754001013|754001014|754001015,106%%,107%%,108%%,109%%,110%%|55%%
75400102,754001021|754001022|754001023|754001024|754001025,32%%|30%%,32%%|32%%,32.5%%|32%%,32.5%%|32.5%%,33%%|33%%
75400103,754001031|754001032|754001033|754001034|754001035,21%%|15%%,21.5%%|15%%,22%%|15%%,22.5%%|15%%,23%%|17%%
75400104,754001041|754001042|754001043|754001044|754001045,204%%,208%%,212%%,216%%,220%%|20%%
75400201,754002011|754002012|754002013|754002014|754002015,119%%|51%%,121%%|52%%,123%%|53%%,125%%|54%%,127%%|55%%|22%%
75400202,754002021|754002022|754002023|754002024|754002025,42%%|45%%,42%%|47%%,42.5%%|47%%,42.5%%|47.5%%,43%%|48%%
75400203,754002031|754002032|754002033|754002034|754002035,92%%,94%%,96%%,98%%,100%%
75400204,754002041|754002042|754002043|754002044|754002045,51%%,52%%,53%%,54%%,17%%|55%%
75400301,754003011|754003012|754003013|754003014|754003015,214%%,218%%,222%%,226%%,230%%|190%%
75400302,754003021|754003022|754003023|754003024|754003025,17%%|30%%,17%%|32%%,17.5%%|32%%,17.5%%|32.5%%,18%%|33%%
75400303,754003031|754003032|754003033|754003034|754003035,122%%,124%%,126%%,128%%,130%%|22%%
75400304,754003041|754003042|754003043|754003044|754003045,127%%,129%%,131%%,133%%,85%%|135%%
75400401,754004011|754004012|754004013|754004014|754004015,151%%,154%%,157%%,160%%,163%%|40%%|55%%
75400402,754004021|754004022|754004023|754004024|754004025,26%%,26.5%%,27%%,27.5%%,28%%
75400403,754004031|754004032|754004033|754004034|754004035,47%%|20%%,47%%|22%%,47.5%%|22%%,47.5%%|22.5%%,48%%|23%%
75400404,754004041|754004042|754004043|754004044|754004045,184%%,188%%,192%%,196%%,200%%
75400501,754005011|754005012|754005013|754005014|754005015,188%%|173%%,191%%|176%%,194%%|179%%,197%%|182%%,200%%|185%%
75400502,754005021|754005022|754005023|754005024|754005025,31%%|20%%,31%%|21%%,32%%|21%%,32%%|21.5%%,33%%|22%%
75400503,754005031|754005032|754005033|754005034|754005035,46%%|26%%,46%%|28%%,46.5%%|28%%,46.5%%|28.5%%,47%%|29%%
75400504,754005041|754005042|754005043|754005044|754005045,204%%,208%%,212%%,216%%,75%%|220%%
75400601,754006011|754006012|754006013|754006014|754006015,128%%|56%%,131%%|57%%,134%%|58%%,137%%|59%%,140%%|35|60%%
75400602,754006021|754006022|754006023|754006024|754006025,22%%,32%%|22%%,32%%|22.5%%,32.5%%|22.5%%,33%%|23%%
75400603,754006031|754006032|754006033|754006034|754006035,79.5%%,81%%,82.5%%,84%%,86%%
75400604,754006041|754006042|754006043|754006044|754006045,92%%,94%%,96%%,98%%,100%%
75400701,754007011|754007012|754007013|754007014|754007015,97%%|224%%,99%%|228%%,101%%|232%%,103%%|236%%,105%%|15%%|240%%
75400702,754007021|754007022|754007023|754007024|754007025,42%%|30%%,42%%|32%%,42.5%%|32%%,42.5|32.5%%,43%%|33%%
75400703,754007031|754007032|754007033|754007034|754007035,22.4%%|20%%,22.4%%|22%%,22.9%%|22%%,22.9%%|22.5%%,23.4%%|23%%
75400704,754007041|754007042|754007043|754007044|754007045,44%%,44.5%%,45%%,45.5%%,46%%
75400801,754008011|754008012|754008013|754008014|754008015,161%%|367%%,164%%|374%%,167%%|381%%,170%%|388%%,173%%|395%%|33%%|33%%
75400802,754008021|754008022|754008023|754008024|754008025,31%%|70%%,31%%|73%%,32%%|73%%,32%%|75%%,33%%|77%%
75400803,754008031|754008032|754008033|754008034|754008035,31%%|62%%,31%%|36%%|62%%|31%%,32%%|36%%|64%%|31%%,32%%|37%%|64%%|32%%,33%%|38%%|66%%|33%%
75400804,754008041|754008042|754008043|754008044|754008045,29%%|31%%,29.5%%|31.5%%,30%%|32%%,30.5%%|32.5%%,31%%|33%%
75400901,754009011|754009012|754009013|754009014|754009015,277%%|122%%,282%%|124%%,287%%|126%%,292%%|128%%,297%%|130%%
75400902,754009021|754009022|754009023|754009024|754009025,32%%|25%%,32%%|27%%,32.5%%|27%%,32.5%%|27.5%%,33%%|28%%
75400903,754009031|754009032|754009033|754009034|754009035,153%%,156%%,159%%,162%%,165%%|33%%
75400904,754009041|754009042|754009043|754009044|754009045,62%%|3%%,64%%|6%%,66%%|9%%,68%%|12%%,70%%|15%%
75401001,754010011|754010012|754010013|754010014|754010015,260%%,265%%,270%%,275%%,280%%|27.5%%
75401002,754010021|754010022|754010023|754010024|754010025,32%%|20%%,32%%|22%%,32.5%%|22%%,32.5%%|22.5%%,33%%|23%%
75401003,754010031|754010032|754010033|754010034|754010035,286%%,292%%,296%%,302%%,308%%
75401004,754010041|754010042|754010043|754010044|754010045,112%%,114%%,116%%,118%%,121%%
75401101,754011011|754011012|754011013|754011014|754011015,165%%,168%%,171%%,174%%,178%%|20%%
75401102,754011021|754011022|754011023|754011024|754011025,37%%|25%%,37%%|27%%,37.5%%|27%%,37.5%%|27.5%%,38%%|28%%
75401103,754011031|754011032|754011033|754011034|754011035,97%%,99%%,101%%,103%%,105%%|14%%
75401104,754011041|754011042|754011043|754011044|754011045,204%%,208%%,212%%,216%%,220%%|3.5%%
75401201,754012011|754012012|754012013|754012014|754012015,194%%|240%%|286%%,198%%|245%%|292%%,202%%|250%%|296%%,205%%|253%%|300%%,209%%|258%%|308%%
75401202,754012021|754012022|754012023|754012024|754012025,37%%|30%%,37%%|32%%,37.5%%|32%%,37.5%%|32.5%%,38%%|33%%
75401203,754012031|754012032|754012033|754012034|754012035,104%%,106%%,108%%,109%%,110%%
75401204,754012041|754012042|754012043|754012044|754012045,184%%,188%%,190%%,194%%,198%%|22%%
75401301,754013011|754013012|754013013|754013014|754013015,490%%|326%%,500%%|332%%,508%%|340%%,518%%|345%%,528%%|352%%
75401302,754013021|754013022|754013023|754013024|754013025,32%%|25%%,32%%|27%%,32.5%%|27%%,32.5%%|27.5%%,33%%|28%%
75401303,754013031|754013032|754013033|754013034|754013035,255%%|2|2%%,260%%|4|4%%,265%%|6|6%%,270%%|8|8%%,275%%|10|10%%
75401304,754013041|754013042|754013043|754013044|754013045,32%%,33%%,34%%,34.5%%,35%%
