id,battle_id,reward,power,map,data_record
200,200200,1#100000|10#100|4053#1,170518,2,
201,200201,1#105000|10#105,171638,3,1
202,200202,1#105000|10#105,172758,4,
203,200203,1#105000|10#105,173878,5,
204,200204,1#105000|10#105,174998,6,
205,200205,1#105000|10#105|940002#50,176118,8,
206,200206,1#105000|10#105,177238,9,
207,200207,1#105000|10#105,178358,10,
208,200208,1#105000|10#105,179478,11,
209,200209,1#105000|10#105,180598,12,
210,200210,1#105000|10#105|1061#1,181718,13,
211,200211,1#110000|10#110,182838,14,
212,200212,1#110000|10#110,183958,15,
213,200213,1#110000|10#110,185078,16,
214,200214,1#110000|10#110,186198,17,
215,200215,1#110000|10#110|2061#1,187318,18,
216,200216,1#110000|10#110,188438,19,
217,200217,1#110000|10#110,189558,20,
218,200218,1#110000|10#110,190678,31,
219,200219,1#110000|10#110,191798,23,
220,200220,1#110000|10#110|3061#1,192918,30,
221,200221,1#115000|10#115,194038,32,1
222,200222,1#115000|10#115,195158,27,
223,200223,1#115000|10#115,196278,24,
224,200224,1#115000|10#115,197398,25,
225,200225,1#115000|10#115|4061#1,198518,21,
226,200226,1#115000|10#115,199638,28,
227,200227,1#115000|10#115,200758,22,
228,200228,1#115000|10#115,201878,26,
229,200229,1#115000|10#115,202998,29,
230,200230,1#115000|10#115|940002#50,204118,33,
231,200231,1#120000|10#120,205238,34,
232,200232,1#120000|10#120,206358,1,
233,200233,1#120000|10#120,207478,2,
234,200234,1#120000|10#120,208598,3,
235,200235,1#120000|10#120|1061#1,209718,4,
236,200236,1#120000|10#120,210838,5,
237,200237,1#120000|10#120,211958,6,
238,200238,1#120000|10#120,213078,8,
239,200239,1#120000|10#120,214198,9,
240,200240,1#120000|10#120|2061#1,215318,10,
241,200241,1#125000|10#125,216438,11,
242,200242,1#125000|10#125,217558,12,
243,200243,1#125000|10#125,218678,13,
244,200244,1#125000|10#125,219798,14,
245,200245,1#125000|10#125|3061#1,220918,15,
246,200246,1#125000|10#125,222038,16,
247,200247,1#125000|10#125,223158,17,
248,200248,1#125000|10#125,224278,18,
249,200249,1#125000|10#125,225398,19,
250,200250,1#125000|10#125|4061#1,226518,20,
251,200251,1#130000|10#130,200821,31,1
252,200252,1#130000|10#130,202834,23,
253,200253,1#130000|10#130,204853,30,
254,200254,1#130000|10#130,206866,32,
255,200255,1#130000|10#130|940002#50,208879,27,
256,200256,1#130000|10#130,210892,24,
257,200257,1#130000|10#130,212911,25,
258,200258,1#130000|10#130,214924,21,
259,200259,1#130000|10#130,216937,28,
260,200260,1#130000|10#130|1061#1,218950,22,
261,200261,1#135000|10#135,220969,26,
262,200262,1#135000|10#135,222982,29,
263,200263,1#135000|10#135,224491,33,
264,200264,1#135000|10#135,226005,34,
265,200265,1#135000|10#135|2061#1,227513,1,
266,200266,1#135000|10#135,229027,2,
267,200267,1#135000|10#135,230536,3,
268,200268,1#135000|10#135,232050,4,
269,200269,1#135000|10#135,233558,5,
270,200270,1#135000|10#135|3061#1,235072,6,
271,200271,1#140000|10#140,236581,8,
272,200272,1#140000|10#140,238095,9,
273,200273,1#140000|10#140,239603,10,
274,200274,1#140000|10#140,241117,11,
275,200275,1#140000|10#140|4061#1,242626,12,
276,200276,1#140000|10#140,244134,13,
277,200277,1#140000|10#140,245648,14,
278,200278,1#140000|10#140,247156,15,
279,200279,1#140000|10#140,248671,16,
280,200280,1#140000|10#140|940002#50,250179,17,
281,200281,1#145000|10#145,314155,18,1
282,200282,1#145000|10#145,316105,19,
283,200283,1#145000|10#145,318062,20,
284,200284,1#145000|10#145,320013,31,
285,200285,1#145000|10#145|1061#1,321969,23,
286,200286,1#145000|10#145,323926,30,
287,200287,1#145000|10#145,325877,32,
288,200288,1#145000|10#145,327833,27,
289,200289,1#145000|10#145,329784,24,
290,200290,1#145000|10#145|2061#1,331741,25,
291,200291,1#150000|10#150,333691,21,
292,200292,1#150000|10#150,335648,28,
293,200293,1#150000|10#150,337599,22,
294,200294,1#150000|10#150,339555,26,
295,200295,1#150000|10#150|3061#1,341506,29,
296,200296,1#150000|10#150,343463,33,
297,200297,1#150000|10#150,345420,34,
298,200298,1#150000|10#150,347370,1,
299,200299,1#150000|10#150,349327,2,
300,200300,1#150000|10#150|4061#1,351278,3,
301,200301,1#155000|10#155,353234,4,1
302,200302,1#155000|10#155,355185,5,
303,200303,1#155000|10#155,357142,6,
304,200304,1#155000|10#155,359092,8,
305,200305,1#155000|10#155|940002#50,361049,9,
306,200306,1#155000|10#155,363006,10,
307,200307,1#155000|10#155,364956,11,
308,200308,1#155000|10#155,366913,12,
309,200309,1#155000|10#155,368864,13,
310,200310,1#155000|10#155|1061#1,370820,14,
311,200311,1#160000|10#160,468858,15,
312,200312,1#160000|10#160,471371,16,
313,200313,1#160000|10#160,473891,17,
314,200314,1#160000|10#160,476404,18,
315,200315,1#160000|10#160|2061#1,478923,19,
316,200316,1#160000|10#160,481436,20,
317,200317,1#160000|10#160,483955,31,
318,200318,1#160000|10#160,486468,23,
319,200319,1#160000|10#160,488987,30,
320,200320,1#160000|10#160|3061#1,491500,32,
321,200321,1#165000|10#165,494020,27,1
322,200322,1#165000|10#165,496533,24,
323,200323,1#165000|10#165,499052,25,
324,200324,1#165000|10#165,501565,21,
325,200325,1#165000|10#165|4061#1,504078,28,
326,200326,1#165000|10#165,506597,22,
327,200327,1#165000|10#165,509110,26,
328,200328,1#165000|10#165,511629,29,
329,200329,1#165000|10#165,514143,33,
330,200330,1#165000|10#165|940002#50,516662,34,
331,200331,1#170000|10#170,519175,1,
332,200332,1#170000|10#170,521694,2,
333,200333,1#170000|10#170,524207,3,
334,200334,1#170000|10#170,526726,4,
335,200335,1#170000|10#170|1061#1,529239,5,
336,200336,1#170000|10#170,531758,6,
337,200337,1#170000|10#170,534272,8,
338,200338,1#170000|10#170,536791,9,
339,200339,1#170000|10#170,539304,10,
340,200340,1#170000|10#170|2061#1,541817,11,
341,200341,1#175000|10#175,544336,12,
342,200342,1#175000|10#175,546849,13,
343,200343,1#175000|10#175,549368,14,
344,200344,1#175000|10#175,551881,15,
345,200345,1#175000|10#175|3061#1,554401,16,
346,200346,1#175000|10#175,556914,17,
347,200347,1#175000|10#175,559433,18,
348,200348,1#175000|10#175,561946,19,
349,200349,1#175000|10#175,564465,20,
350,200350,1#175000|10#175|4061#1,566978,31,
351,200351,1#180000|10#180,554563,23,1
352,200352,1#180000|10#180,561038,30,
353,200353,1#180000|10#180,567514,32,
354,200354,1#180000|10#180,573990,27,
355,200355,1#180000|10#180|940002#50,580465,24,
356,200356,1#180000|10#180,586941,25,
357,200357,1#180000|10#180,593416,21,
358,200358,1#180000|10#180,599892,28,
359,200359,1#180000|10#180,606367,22,
360,200360,1#180000|10#180|1061#1,612849,26,
361,200361,1#185000|10#185,668388,29,
362,200362,1#185000|10#185,677141,33,
363,200363,1#185000|10#185,685895,34,
364,200364,1#185000|10#185,694648,1,
365,200365,1#185000|10#185|2061#1,703402,2,
366,200366,1#185000|10#185,712155,3,
367,200367,1#185000|10#185,720909,4,
368,200368,1#185000|10#185,729662,5,
369,200369,1#185000|10#185,738422,6,
370,200370,1#185000|10#185|3061#1,747175,8,
371,200371,1#190000|10#190,811853,9,
372,200372,1#190000|10#190,823149,10,
373,200373,1#190000|10#190,834445,11,
374,200374,1#190000|10#190,845742,12,
375,200375,1#190000|10#190|4061#1,857038,13,
376,200376,1#190000|10#190,868334,14,
377,200377,1#190000|10#190,879630,15,
378,200378,1#190000|10#190,890927,16,
379,200379,1#190000|10#190,902223,17,
380,200380,1#190000|10#190|940002#50,913519,18,
381,200381,1#195000|10#195,990932,19,1
382,200382,1#195000|10#195,1007049,20,
383,200383,1#195000|10#195,1023166,31,
384,200384,1#195000|10#195,1039283,23,
385,200385,1#195000|10#195|1061#1,1055400,30,
386,200386,1#195000|10#195,1071517,32,
387,200387,1#195000|10#195,1087634,27,
388,200388,1#195000|10#195,1103751,24,
389,200389,1#195000|10#195,1119867,25,
390,200390,1#195000|10#195|2061#1,1135984,21,
391,200391,1#200000|10#200,1229298,28,
392,200392,1#200000|10#200,1250766,22,
393,200393,1#200000|10#200,1272233,26,
394,200394,1#200000|10#200,1293694,29,
395,200395,1#200000|10#200|3061#1,1315161,33,
396,200396,1#200000|10#200,1358096,34,
397,200397,1#200000|10#200,1401024,1,
398,200398,1#200000|10#200,1443958,2,
399,200399,1#200000|10#200,1486887,3,
400,200400,1#200000|10#200|4061#1,1529815,4,
401,200401,1#205000|10#205,1575082,5,1
402,200402,1#205000|10#205,1620349,6,
403,200403,1#205000|10#205,1665616,8,
404,200404,1#205000|10#205,1710883,9,
405,200405,1#205000|10#205|20#5,1756150,10,
406,200406,1#205000|10#205,1801417,11,
407,200407,1#205000|10#205,1846684,12,
408,200408,1#205000|10#205,1891951,13,
409,200409,1#205000|10#205,1937218,14,
410,200410,1#205000|10#205|1062#1,1982485,15,
411,200411,1#210000|10#210,2027752,16,
412,200412,1#210000|10#210,2073019,17,
413,200413,1#210000|10#210,2118286,18,
414,200414,1#210000|10#210,2163553,19,
415,200415,1#210000|10#210|2062#1,2208820,20,
416,200416,1#210000|10#210,2254087,31,
417,200417,1#210000|10#210,2299354,23,
418,200418,1#210000|10#210,2344621,30,
419,200419,1#210000|10#210,2389888,32,
420,200420,1#210000|10#210|3062#1,2435155,27,
421,200421,1#215000|10#215,2480422,24,1
422,200422,1#215000|10#215,2525689,25,
423,200423,1#215000|10#215,2570956,21,
424,200424,1#215000|10#215,2616223,28,
425,200425,1#215000|10#215|4062#1,2661490,22,
426,200426,1#215000|10#215,2706757,26,
427,200427,1#215000|10#215,2752024,29,
428,200428,1#215000|10#215,2797291,33,
429,200429,1#215000|10#215,2842558,34,
430,200430,1#215000|10#215|29#10,2887825,1,
431,200431,1#220000|10#220,2933092,2,
432,200432,1#220000|10#220,2978359,3,
433,200433,1#220000|10#220,3023626,4,
434,200434,1#220000|10#220,3068893,5,
435,200435,1#220000|10#220|1063#1,3114160,6,
436,200436,1#220000|10#220,3159427,8,
437,200437,1#220000|10#220,3204694,9,
438,200438,1#220000|10#220,3249961,10,
439,200439,1#220000|10#220,3295228,11,
440,200440,1#220000|10#220|2063#1,3340495,12,
441,200441,1#225000|10#225,3385762,13,1
442,200442,1#225000|10#225,3431029,14,
443,200443,1#225000|10#225,3476296,15,
444,200444,1#225000|10#225,3521563,16,
445,200445,1#225000|10#225|3063#1,3566830,17,
446,200446,1#225000|10#225,3612097,18,
447,200447,1#225000|10#225,3657364,19,
448,200448,1#225000|10#225,3702631,20,
449,200449,1#225000|10#225,3747898,31,
450,200450,1#225000|10#225|4063#1,3793165,23,
451,200451,1#230000|10#230,3793621,30,
452,200452,1#230000|10#230,3794077,32,
453,200453,1#230000|10#230,3794533,27,
454,200454,1#230000|10#230,3794989,24,
455,200455,1#230000|10#230|20#5,3795445,25,
456,200456,1#230000|10#230,3795901,21,
457,200457,1#230000|10#230,3796357,28,
458,200458,1#230000|10#230,3796813,22,
459,200459,1#230000|10#230,3797269,26,
460,200460,1#230000|10#230|1063#1,3797725,29,
461,200461,1#235000|10#235,3798181,33,1
462,200462,1#235000|10#235,3798637,34,
463,200463,1#235000|10#235,3799093,1,
464,200464,1#235000|10#235,3799549,2,
465,200465,1#235000|10#235|2063#1,3800005,3,
466,200466,1#235000|10#235,3800461,4,
467,200467,1#235000|10#235,3800917,5,
468,200468,1#235000|10#235,3801373,6,
469,200469,1#235000|10#235,3801829,8,
470,200470,1#235000|10#235|3063#1,3802285,9,
471,200471,1#240000|10#240,3802741,10,
472,200472,1#240000|10#240,3803197,11,
473,200473,1#240000|10#240,3803653,12,
474,200474,1#240000|10#240,3804109,13,
475,200475,1#240000|10#240|4063#1,3804565,14,
476,200476,1#240000|10#240,3805021,15,
477,200477,1#240000|10#240,3805477,16,
478,200478,1#240000|10#240,3805933,17,
479,200479,1#240000|10#240,3806389,18,
480,200480,1#240000|10#240|29#10,3806845,19,
481,200481,1#245000|10#245,3807301,20,1
482,200482,1#245000|10#245,3807757,31,
483,200483,1#245000|10#245,3808213,23,
484,200484,1#245000|10#245,3808669,30,
485,200485,1#245000|10#245|1063#1,3809125,32,
486,200486,1#245000|10#245,3809581,27,
487,200487,1#245000|10#245,3810037,24,
488,200488,1#245000|10#245,3810493,25,
489,200489,1#245000|10#245,3810949,21,
490,200490,1#245000|10#245|2063#1,3811405,28,
491,200491,1#250000|10#250,3811861,22,
492,200492,1#250000|10#250,3812317,26,
493,200493,1#250000|10#250,3812773,29,
494,200494,1#250000|10#250,3813229,33,
495,200495,1#250000|10#250|3063#1,3813685,34,
496,200496,1#250000|10#250,3814141,1,
497,200497,1#250000|10#250,3814597,2,
498,200498,1#250000|10#250,3815053,3,
499,200499,1#250000|10#250,3815509,4,
500,200500,1#250000|10#250|4063#1,3815965,5,
501,200501,1#255000|10#255,3826421,6,1
502,200502,1#255000|10#255,3835877,8,
503,200503,1#255000|10#255,3845333,9,
504,200504,1#255000|10#255,3854789,10,
505,200505,1#255000|10#255|20#5,3864245,11,
506,200506,1#255000|10#255,3873701,12,
507,200507,1#255000|10#255,3883157,13,
508,200508,1#255000|10#255,3892613,14,
509,200509,1#255000|10#255,3902069,15,
510,200510,1#255000|10#255|1064#1,3911525,16,
511,200511,1#260000|10#260,3920981,17,
512,200512,1#260000|10#260,3930437,18,
513,200513,1#260000|10#260,3939893,19,
514,200514,1#260000|10#260,3949349,20,
515,200515,1#260000|10#260|2064#1,3958805,31,
516,200516,1#260000|10#260,3968261,23,
517,200517,1#260000|10#260,3977717,30,
518,200518,1#260000|10#260,3987173,32,
519,200519,1#260000|10#260,3996629,27,
520,200520,1#260000|10#260|3064#1,4006085,24,
521,200521,1#265000|10#265,4015541,25,1
522,200522,1#265000|10#265,4024997,21,
523,200523,1#265000|10#265,4034453,28,
524,200524,1#265000|10#265,4043909,22,
525,200525,1#265000|10#265|4064#1,4053365,26,
526,200526,1#265000|10#265,4062821,29,
527,200527,1#265000|10#265,4072277,33,
528,200528,1#265000|10#265,4081733,34,
529,200529,1#265000|10#265,4091189,1,
530,200530,1#265000|10#265|29#10,4100645,2,
531,200531,1#270000|10#270,4110101,3,
532,200532,1#270000|10#270,4119557,4,
533,200533,1#270000|10#270,4129013,5,
534,200534,1#270000|10#270,4138469,6,
535,200535,1#270000|10#270|1064#1,4147925,8,
536,200536,1#270000|10#270,4157381,9,
537,200537,1#270000|10#270,4166837,10,
538,200538,1#270000|10#270,4176293,11,
539,200539,1#270000|10#270,4185749,12,
540,200540,1#270000|10#270|2064#1,4195205,13,
541,200541,1#275000|10#275,4204661,14,1
542,200542,1#275000|10#275,4214117,15,
543,200543,1#275000|10#275,4223573,16,
544,200544,1#275000|10#275,4233029,17,
545,200545,1#275000|10#275|3064#1,4242485,18,
546,200546,1#275000|10#275,4251941,19,
547,200547,1#275000|10#275,4261397,20,
548,200548,1#275000|10#275,4270853,31,
549,200549,1#275000|10#275,4280309,23,
550,200550,1#275000|10#275|4064#1,4289765,30,
551,200551,1#280000|10#280,4299221,32,
552,200552,1#280000|10#280,4308677,27,
553,200553,1#280000|10#280,4318133,24,
554,200554,1#280000|10#280,4327589,25,
555,200555,1#280000|10#280|20#5,4337045,21,
556,200556,1#280000|10#280,4346501,28,
557,200557,1#280000|10#280,4355957,22,
558,200558,1#280000|10#280,4365413,26,
559,200559,1#280000|10#280,4374869,29,
560,200560,1#280000|10#280|1064#1,4384325,33,
561,200561,1#285000|10#285,4393781,34,1
562,200562,1#285000|10#285,4403237,1,
563,200563,1#285000|10#285,4412693,2,
564,200564,1#285000|10#285,4422149,3,
565,200565,1#285000|10#285|2064#1,4431605,4,
566,200566,1#285000|10#285,4441061,5,
567,200567,1#285000|10#285,4450517,6,
568,200568,1#285000|10#285,4459973,8,
569,200569,1#285000|10#285,4469429,9,
570,200570,1#285000|10#285|3064#1,4478885,10,
571,200571,1#290000|10#290,4488341,11,
572,200572,1#290000|10#290,4497797,12,
573,200573,1#290000|10#290,4507253,13,
574,200574,1#290000|10#290,4516709,14,
575,200575,1#290000|10#290|4064#1,4526165,15,
576,200576,1#290000|10#290,4535621,16,
577,200577,1#290000|10#290,4545077,17,
578,200578,1#290000|10#290,4554533,18,
579,200579,1#290000|10#290,4563989,19,
580,200580,1#290000|10#290|29#10,4573445,20,
581,200581,1#295000|10#295,4582901,31,1
582,200582,1#295000|10#295,4592357,23,
583,200583,1#295000|10#295,4601813,30,
584,200584,1#295000|10#295,4611269,32,
585,200585,1#295000|10#295|1064#1,4620725,27,
586,200586,1#295000|10#295,4630181,24,
587,200587,1#295000|10#295,4639637,25,
588,200588,1#295000|10#295,4649093,21,
589,200589,1#295000|10#295,4658549,28,
590,200590,1#295000|10#295|2064#1,4668005,22,
591,200591,1#300000|10#300,4677461,26,
592,200592,1#300000|10#300,4686917,29,
593,200593,1#300000|10#300,4696373,33,
594,200594,1#300000|10#300,4705829,34,
595,200595,1#300000|10#300|3064#1,4715285,1,
596,200596,1#300000|10#300,4724741,2,
597,200597,1#300000|10#300,4734197,3,
598,200598,1#300000|10#300,4743653,4,
599,200599,1#300000|10#300,4753109,5,
600,200600,1#300000|10#300|4064#1,4762565,6,
601,200601,1#330000|10#310,4781477,8,1
602,200602,1#330000|10#310,4800389,9,
603,200603,1#330000|10#310,4819301,10,
604,200604,1#330000|10#310,4838213,11,
605,200605,1#330000|10#310|20#10,4857125,12,
606,200606,1#330000|10#310,4876037,13,
607,200607,1#330000|10#310,4894949,14,
608,200608,1#330000|10#310,4913861,15,
609,200609,1#330000|10#310,4932773,16,
610,200610,1#330000|10#310|1065#1,4951685,17,
611,200611,1#360000|10#320,4970597,18,
612,200612,1#360000|10#320,4989509,19,
613,200613,1#360000|10#320,5008421,20,
614,200614,1#360000|10#320,5027333,31,
615,200615,1#360000|10#320|2065#1,5046245,23,
616,200616,1#360000|10#320,5065157,30,
617,200617,1#360000|10#320,5084069,32,
618,200618,1#360000|10#320,5102981,27,
619,200619,1#360000|10#320,5121893,24,
620,200620,1#360000|10#320|3065#1,5140805,25,
621,200621,1#390000|10#330,5159717,21,1
622,200622,1#390000|10#330,5178629,28,
623,200623,1#390000|10#330,5197541,22,
624,200624,1#390000|10#330,5216453,26,
625,200625,1#390000|10#330|4065#1,5235365,29,
626,200626,1#390000|10#330,5254277,33,
627,200627,1#390000|10#330,5273189,34,
628,200628,1#390000|10#330,5292101,1,
629,200629,1#390000|10#330,5311013,2,
630,200630,1#390000|10#330|29#20,5329925,3,
631,200631,1#420000|10#340,5348837,4,
632,200632,1#420000|10#340,5367749,5,
633,200633,1#420000|10#340,5386661,6,
634,200634,1#420000|10#340,5405573,8,
635,200635,1#420000|10#340|1065#1,5424485,9,
636,200636,1#420000|10#340,5443397,10,
637,200637,1#420000|10#340,5462309,11,
638,200638,1#420000|10#340,5481221,12,
639,200639,1#420000|10#340,5500133,13,
640,200640,1#420000|10#340|2065#1,5519045,14,
641,200641,1#450000|10#350,5537957,15,1
642,200642,1#450000|10#350,5556869,16,
643,200643,1#450000|10#350,5575781,17,
644,200644,1#450000|10#350,5594693,18,
645,200645,1#450000|10#350|3065#1,5613605,19,
646,200646,1#450000|10#350,5632517,20,
647,200647,1#450000|10#350,5651429,31,
648,200648,1#450000|10#350,5670341,23,
649,200649,1#450000|10#350,5689253,30,
650,200650,1#450000|10#350|4065#1,5708165,32,
651,200651,1#480000|10#360,5727077,27,
