name,res_name
yuji_awaken,yuji_awaken|yuji_hurt01|yuji_hurt02|yujifuhuo
zhangzhao,zhangzhao|ganfuren_hurt01|ganfuren_unit|meiyingdu_hurt02
zhangzhongjing,zhangzhongjing|hanlingdi_hurt02|zhangchunhua_unit01|zhangchunhua_hurt01
zhangzhongjing_awaken,zhangzhongjing_awaken|hanlingdi_hurt02|zhangchunhua_unit01|zhangchunhua_hurt01
zhaoyun,zhaoyun|zhaoyun_hurt01|zhaoyun_hurt02
zhaoyun_awaken,zhaoyun_awaken|zhaoyun_hurt01|zhaoyun_hurt02
change,change|xuchu_hurt02|xuchu_hurt01
gongsunzan,gongsunzan|gongsunzan_unit|gongsunzan_hurt01|gongsunzan_hurt02
mijiale,mijiale|mijiale_fuhuo|mijiale_hurt01|mijiale_hurt02
mijiale_awaken,mijiale_awaken|mijiale_awaken_fuhuo|mijiale_hurt01|mijiale_hurt02
mijiale_10,mijiale_10|mijiale_10_fuhuo|mijiale_hurt01|mijiale_hurt02
chengyu,chengyu|shuijing_unit|shuijing_hurt01|fazheng_hurt02
liru,liru|liru_unit|liru_hurt01|liru_hurt02
liru_awaken,liru_awaken|liru_unit|liru_hurt01|liru_hurt02
caocao,caocao|caocao_hurt01|caocao_hurt02
caocao_pifu01,caocao_pifu01|caocao_pifu01_hurt01|caocao_pifu01_hurt02
caocao_pifu02,caocao_pifu02|caocao_pifu02_hurt01|caocao_pifu02_hurt02
caocao_awaken,caocao_awaken|caocao_hurt01|caocao_hurt02
hanxiandi,hanxiandi|hanxiandi_hurt01|hanxiandi_hurt02
hanxiandi_pifu01,hanxiandi_pifu01|hanxiandi_pifu01_hurt01|hanxiandi_pifu01_hurt02
hanxiandi_awaken,hanxiandi_awaken|hanxiandi_hurt01|hanxiandi_hurt02
zhangfei,zhangfei|zhangfei_hurt01|zhangfei_hurt02
zhangfei_pifu01,zhangfei_pifu01|zhangfei_pifu01_hurt01|zhangfei_pifu01_hurt02
zhangfei_awaken,zhangfei_awaken|zhangfei_hurt01|zhangfei_hurt02
sunce_pifu01,sunce_pifu01|sunce_pifu01_unit|sunce_pifu01_hurt01|sunce_pifu01_hurt02
dongzhuo_10,dongzhuo_10|dongzhuo_hurt01|dongzhuo_hurt02
degula_10,degula_10|degula_hurt01|degula_hurt02|degula_unit
menghuo_10,menghuo_10|menghuo_hurt01|menghuo_hurt02
ganfuren_10,ganfuren_10|ganfuren_hurt01|ganfuren_skill|ganfuren_unit
zhouyu_10,zhouyu_10|zhouyu_unit|zhouyu_hurt01|zhouyu_hurt02
sunwukong_10,sunwukong_10|sunwukong_hurt02
simayi_10,simayi_10|simayi_unit|simayi_hurt01|simayi_hurt02
zhanghe_10,zhanghe_10|zhanghe_unit01|zhanghe_hurt01|zhanghe_hurt02
xiahoudun_10,xiahoudun_10|xiahoudun_hurt01|xiahoudun_hurt02
zhaoyun_10,zhaoyun_10|zhaoyun_hurt01|zhaoyun_hurt02
daqiao_10,daqiao_10|daqiao_unit|daqiao_hurt01|daqiao_hurt02
xiahouyuan_10,xiahouyuan_10|xiahouyuan_unit01|xiahouyuan_unit02|xiahouyuan_hurt01|xiahouyuan_hurt02
guanyu_10,guanyu_10|guanyu_hurt01|guanyu_hurt02
caozhi_10,caozhi_10|caozhi_unit|caozhi_hurt01|caozhi_hurt02
xunyu_10,xunyu_10|xunyu_hurt01|xunyu_hurt02|xunyu_unit
diaochan_10,diaochan_10|diaochan_unit|diaochan_hurt01|diaochan_hurt02
caocao_10,caocao_10|caocao_hurt01|caocao_hurt02
zhangfei_10,zhangfei_10|zhangfei_hurt01|zhangfei_hurt02
hanlingdi_10,hanlingdi_10|hanlingdi_hurt01|hanlingdi_hurt02|hanlingdi_hurt03|hanlingdi_unit
zhitianxinchang_10,zhitianxinchang_10|zhitianxinchang_hurt|zhitianxinchang_hurt02
jiangwei_10,jiangwei_10|jiangwei_hurt01|jiangwei_hurt02
fengchenxiuji_10,fengchenxiuji_10|fengchenxiuji_awaken_unit|fengchenxiuji_hurt02
yidazhengzong_10,yidazhengzong_10|yidazhengzong_hurt01|yidazhengzong_hurt02
fangtianhuaji_10,fangtianhuaji_10|fangtianhuaji_hurt01|fangtianhuaji_hurt02
yanyue_10,yanyue_10|yanyue_hurt01|yanyue_hurt02
hanxiandi_10,hanxiandi_10|hanxiandi_hurt01|hanxiandi_hurt02
zuoci_10,zuoci_10|zuoci_hurt01|zuoci_hurt02|zuoci_unit01|buff_yinyangbiaoji
huangzhong_10,huangzhong_10|huangzhong_unit|huangzhong_hurt01|huangzhong_hurt02
xuchu_10,xuchu_10|xuchu_hurt01|xuchu_hurt02
zhurong_10,zhurong_10|zhurong_unit|zhurong_hurt01|zhurong_hurt02
guohuan_10,guohuan_10|guohuan_hurt01|guohuan_hurt02
sunshangxiang_10,sunshangxiang_10|sunshangxiang_hurt01|sunshangxiang_hurt02|sunshangxiang_unit
caiwenji_10,caiwenji_10|caiwenji_unit01|caiwenji_hurt01|caiwenji_hurt02
lvmeng_10,lvmeng_10|lvmeng_hurt01|lvmeng_hurt02
simazhao_10,simazhao_10|simazhao_unit|simazhao_hurt01|simazhao_hurt02
yuji_10,yuji_10|yuji_hurt01|yuji_hurt02|yujifuhuo
guojia_10,guojia_10|guojia_unit01|guojia_unit02|guojia_hurt01|guojia_hurt02
shuijing_10,shuijing_10|shuijing_unit|shuijing_hurt01|shuijing_hurt02
jiabailie_10,jiabailie_10|jiabailie_unit|jiabailie_hurt01|jiabailie_hurt02
luxifa,luxifa|luxifa_unit|luxifa_hurt01|luxifa_hurt02
luxifa_awaken,luxifa_awaken|luxifa_unit|luxifa_hurt01|luxifa_hurt02
luxifa_10,luxifa_10|luxifa_unit|luxifa_hurt01|luxifa_hurt02
liubiao_10,liubiao_10|ailier_unit|ailier_hurt01|ailier_hurt02
luxifa_pifu01,luxifa_pifu01|luxifa_pifu01_hurt01|luxifa_pifu01_hurt02
mijiale_pifu01,mijiale_pifu01|mijiale_pifu01_hurt01|mijiale_pifu01_hurt02|mijiale_pifu01_fuhuo
lvmeng_pifu01,lvmeng_pifu01|lvmeng_pifu01_hurt01|lvmeng_pifu01_hurt02
zhaoyun_pifu01,zhaoyun_pifu01|zhaoyun_pifu01_hurt01|zhaoyun_pifu01_hurt02
zhugeliang,zhugeliang|zhugeliang_unit|zhugeliang_hurt01|zhugeliang_hurt02
zhugeliang_awaken,zhugeliang_awaken|zhugeliang_unit|zhugeliang_hurt01|zhugeliang_hurt02
zhugeliang_10,zhugeliang_10|zhugeliang_unit|zhugeliang_hurt01|zhugeliang_hurt02
zuoci_pifu01,zuoci_pifu01|zuoci_pifu01_hurt01|zuoci_pifu01_hurt02|zuoci_pifu01_unit|buff_yinyangbiaoji
diaochan_pifu,diaochan_pifu|diaochan_pifu_unit01|diaochan_pifu_hurt01|diaochan_pifu_hurt02
dengai,dengai|dengai_hurt01|dengai_hurt02
dengai_awaken,dengai_awaken|dengai_hurt01|dengai_hurt02
dengai_10,dengai_10|dengai_hurt01|dengai_hurt02
xunyu_pifu01,xunyu_pifu01|xunyu_pifu01_unit|xunyu_pifu01_hurt01|xunyu_pifu01_unit02|xunyu_pifu01_hurt02
shimo_mao_1,shimo_mao_1|wangshuang_hurt02|shimo_mao_scenes
shimo_mao_2,shimo_mao_2|wangshuang_hurt02|shimo_mao_scenes
shimo_mao_3,shimo_mao_3|wangshuang_hurt02|shimo_mao_scenes
shimo_mao_4,shimo_mao_4|wangshuang_hurt02|shimo_mao_scenes
shimo_zhangyu_1,shimo_zhangyu_1|ailier_hurt02|shimo_zhangyu_scenes
shimo_zhangyu_2,shimo_zhangyu_2|ailier_hurt02|shimo_zhangyu_scenes
shimo_zhangyu_3,shimo_zhangyu_3|ailier_hurt02|shimo_zhangyu_scenes
shimo_zhangyu_4,shimo_zhangyu_4|ailier_hurt02|shimo_zhangyu_scenes
shimo_lu_1,shimo_lu_1|shimo_lu_scenes|shimo_lu_hurt
shimo_lu_2,shimo_lu_2|shimo_lu_scenes|shimo_lu_hurt
shimo_lu_3,shimo_lu_3|shimo_lu_scenes|shimo_lu_hurt
shimo_lu_4,shimo_lu_4|shimo_lu_scenes|shimo_lu_hurt
shimo_wumian_1,shimo_wumian_1|caozhi_hurt02|shimo_wumian_scenes
shimo_wumian_2,shimo_wumian_2|caozhi_hurt02|shimo_wumian_scenes
shimo_wumian_3,shimo_wumian_3|caozhi_hurt02|shimo_wumian_scenes
shimo_wumian_4,shimo_wumian_4|caozhi_hurt02|shimo_wumian_scenes
qianbenying,qianbenying|qianbenying_hurt01|qianbenying_hurt02
qianbenying_awaken,qianbenying_awaken|qianbenying_hurt01|qianbenying_awaken_hurt02
qianbenying_10,qianbenying_10|qianbenying_hurt01|qianbenying_10_hurt02
zhugeliang_pifu02,zhugeliang_pifu02|zhugeliang_pifu02_unit01|zhugeliang_pifu02_hurt01|zhugeliang_pifu02_hurt02
degula_pifu02,degula_pifu02|degula_pifu02_unit|degula_pifu02_hurt01|degula_pifu02_hurt02
simayi_pifu01,simayi_pifu01|simayi_pifu01_unit01|simayi_pifu01_hurt01|simayi_pifu01_hurt02
weiyan_pifu02,weiyan_pifu02|weiyan_pifu02_hurt01|weiyan_pifu02_hurt02
dengai_pifu01,dengai_pifu01|dengai_pifu01_hurt01|dengai_pifu01_hurt02
mijiale_pifu02,mijiale_pifu02|mijiale_pifu02_hurt01|mijiale_pifu02_hurt0201|mijiale_pifu02_hurt0202|mijiale_pifu02_fuhuo
zhouyu_pifu01,zhouyu_pifu01|zhouyu_pifu01_hurt01|zhouyu_pifu01_hurt02|zhouyu_pifu01_unit01
shuijing_pifu01,shuijing_pifu01|shuijing_pifu01_hurt01|shuijing_pifu01_hurt02|shuijing_pifu01_unit01
huangyueying,huangyueying|huangyueying_hurt01|huangyueying_hurt02
huangyueying_awaken,huangyueying_awaken|huangyueying_hurt01|huangyueying_hurt02
huangyueying_10,huangyueying_10|huangyueying_hurt01|huangyueying_hurt02
zhugeliang_pifu01,zhugeliang_pifu01|zhugeliang_pifu01_hurt01|zhugeliang_pifu01_hurt02|zhugeliang_pifu01_unit01
luxifa_pifu02,luxifa_pifu02|luxifa_pifu02_hurt01|luxifa_pifu02_hurt02
xuchu_pifu01,xuchu_pifu01|xuchu_pifu01_hurt01|xuchu_pifu01_hurt02
mijiale_pifu03,mijiale_pifu03|mijiale_pifu03_hurt01|mijiale_pifu03_hurt02|mijiale_pifu03_hurt03|mijiale_pifu03_fuhuo
caocao_pifu03,caocao_pifu03|caocao_pifu03_hurt01|caocao_pifu03_hurt02
huangyueying_pifu01,huangyueying_pifu01|huangyueying_pifu01_hurt01|huangyueying_pifu01_hurt02
zhitianxinchang_pifu01,zhitianxinchang_pifu01|zhitianxinchang_pifu01_hurt01|zhitianxinchang_pifu01_hurt02
simazhao_pifu01,simazhao_pifu01|simazhao_pifu01_hurt01|simazhao_pifu01_hurt02|simazhao_pifu01_unit
dengai_pifu02,dengai_pifu02|dengai_pifu02_hurt01|dengai_pifu02_hurt02
luxifa_pifu03,luxifa_pifu03|luxifa_pifu03_hurt01|luxifa_pifu03_hurt02
zhangfei_pifu02,zhangfei_pifu02|zhangfei_pifu02_hurt01|zhangfei_pifu02_hurt02
jiabailie_pifu01,jiabailie_pifu01|jiabailie_pifu01_hurt01|jiabailie_pifu01_unit01|jiabailie_pifu01_hurt02
pangtong_5,pangtong_5|pangtong_5_hurt01|pangtong_5_unit01|pangtong_5_hurt02
pangtong_awaken,pangtong_awaken|pangtong_awaken_hurt01|pangtong_5_unit01|pangtong_5_hurt02
pangtong_10,pangtong_10|pangtong_10_hurt01|pangtong_5_unit01|pangtong_5_hurt02
fangtian_pifu01,fangtian_pifu01|fangtian_pifu01_hurt01|fangtian_pifu01_hurt02
zuoci_pifu02,zuoci_pifu02|zuoci_pifu02_hurt01|zuoci_pifu02_hurt02|buff_yinyangbiaoji
huangzhong_pifu02,huangzhong_pifu02|huangzhong_pifu02_hurt01|huangzhong_pifu02_hurt02|huangzhong_pifu02_unit01
fangtian_pifu02,fangtian_pifu02|fangtian_pifu02_hurt01|fangtian_pifu02_hurt02
zhugeliang_pifu03,zhugeliang_pifu03|zhugeliang_pifu03_unit|zhugeliang_pifu03_hurt01|zhugeliang_pifu03_hurt02
guojia_pifu01,guojia_pifu01|guojia_pifu01_hurt01|guojia_pifu01_unit01|guojia_pifu01_hurt02
zhitianxinchang_pifu02,zhitianxinchang_pifu02|zhitianxinchang_pifu02_hurt01|zhitianxinchang_pifu02_hurt02
degula_pifu03,degula_pifu03|degula_pifu03_unit|degula_pifu03_hurt01|degula_pifu03_hurt02
lvlingqi,lvlingqi|lvlingqi_hurt01|lvlingqi_hurt02|buff_mifengbiaoji
lvlingqi_awaken,lvlingqi_awaken|lvlingqi_hurt01|lvlingqi_hurt02|buff_mifengbiaoji
lvlingqi_10,lvlingqi_10|lvlingqi_hurt01|lvlingqi_hurt02|buff_mifengbiaoji
shimo_robot_1,shimo_robot_1|shimo_robot_scenes|shimo_robot_hurt
shimo_robot_2,shimo_robot_2|shimo_robot_scenes|shimo_robot_hurt
shimo_robot_3,shimo_robot_3|shimo_robot_scenes|shimo_robot_hurt
shimo_robot_4,shimo_robot_4|shimo_robot_scenes|shimo_robot_hurt
hundun,hundun|ganfuren_hurt01|ganfuren_skill|zhouyu_hurt02|zhitianxinchang_hurt02|hundun_buff|xuchu_hurt02
heiqishi,heiqishi|heianqishi_hurt01|heianqishi_hurt02|buff_mindcontrol
shuijing_pifu02,shuijing_pifu02|shuijing_pifu02_hurt01|shuijing_pifu02_hurt02
diaochan_pifu02,diaochan_pifu02|diaochan_pifu02_unit01|diaochan_pifu02_hurt01|diaochan_pifu02_hurt02
pangtong_pifu01,pangtong_pifu01|pangtong_pifu01_hurt01|pangtong_pifu01_hurt02
guojia_pifu02,guojia_pifu02|guojia_pifu02_hurt01|guojia_pifu02_hurt02
luxun,luxun|luxun_unit|luxun_hurt01|luxun_hurt02|luxun_hurt03
