id,id_text,host,group
129,S127,126,2
130,S128,114,3
131,S129,132,3
132,S130,132,1
133,S131,133,1
134,S132,133,1
135,S133,127,2
136,S134,126,2
137,S135,132,1
138,S136,126,3
139,S137,112,2
140,S138,117,1
141,S139,117,2
142,S140,127,2
143,S141,132,2
144,S142,133,2
145,S143,127,1
146,S144,112,2
147,S145,111,1
148,S146,112,3
149,S147,126,1
150,S148,112,3
151,S149,117,3
152,S150,117,2
153,S151,160,2
154,S152,160,2
155,S153,111,3
156,S154,117,3
157,S155,160,3
158,S156,133,3
159,S157,160,3
160,S158,160,1
161,S159,160,1
162,S160,127,3
163,S161,112,1
164,S162,114,1
165,S163,173,3
166,S164,166,1
167,S165,166,2
168,S166,171,3
169,S167,169,1
170,S168,169,2
171,S169,171,1
172,S170,195,3
173,S171,173,1
174,S172,174,1
175,S173,174,1
176,S174,171,1
177,S175,189,2
178,S176,169,3
179,S177,174,3
180,S178,166,2
181,S179,166,3
182,S180,173,2
183,S181,195,2
184,S182,169,1
185,S183,189,3
186,S184,174,2
187,S185,201,2
188,S186,171,2
189,S187,189,1
190,S188,169,3
191,S189,169,2
192,S190,173,1
193,S191,204,3
194,S192,195,3
195,S193,195,1
196,S194,166,1
197,S195,201,3
198,S196,171,3
199,S197,189,2
200,S198,189,1
201,S199,201,1
202,S200,189,3
203,S201,195,2
204,S202,204,1
205,S203,204,1
206,S204,201,1
207,S205,174,3
208,S206,173,3
209,S207,204,2
210,S208,201,2
211,S209,173,2
212,S210,201,3
213,S211,166,3
214,S212,204,2
215,S213,171,2
216,S214,204,3
217,S215,174,2
218,S216,195,1
219,S217,245,2
220,S218,228,2
221,S219,231,3
222,S220,228,3
223,S221,223,1
224,S222,240,2
225,S223,262,3
226,S224,240,3
227,S225,223,2
228,S226,228,1
229,S227,252,2
230,S228,230,1
231,S229,231,1
232,S230,252,3
233,S231,230,2
234,S232,223,3
235,S233,228,3
236,S234,251,3
237,S235,251,2
238,S236,223,1
239,S237,231,2
240,S238,240,1
241,S239,245,3
242,S240,262,3
243,S241,230,1
244,S242,231,1
245,S243,245,1
246,S244,251,2
247,S245,240,1
248,S246,230,3
249,S247,245,3
250,S248,223,2
251,S249,251,1
252,S250,252,1
253,S251,252,2
254,S252,231,3
255,S253,230,3
256,S254,240,3
257,S255,240,2
258,S256,245,2
259,S257,223,3
260,S258,262,2
261,S259,228,2
262,S260,262,1
263,S261,252,3
264,S262,252,1
265,S263,228,1
266,S264,262,2
267,S265,251,1
268,S266,230,2
269,S267,251,3
270,S268,231,2
271,S269,245,1
272,S270,262,1
273,S271,307,2
274,S272,288,3
275,S273,280,3
276,S274,276,1
277,S275,280,2
278,S276,292,3
279,S277,276,2
280,S278,280,1
281,S279,280,1
282,S280,286,2
283,S281,307,3
284,S282,276,3
285,S283,288,3
286,S284,286,1
287,S285,276,1
288,S286,288,1
289,S287,290,3
290,S288,290,1
291,S289,286,3
292,S290,292,1
293,S291,292,2
294,S292,288,2
295,S293,286,2
296,S294,300,3
297,S295,300,2
298,S296,290,2
299,S297,292,3
300,S298,300,1
301,S299,307,3
302,S300,280,3
303,S301,276,2
304,S302,306,2
305,S303,286,1
306,S304,306,1
307,S305,307,1
308,S306,290,2
309,S307,292,1
310,S308,300,1
311,S309,307,2
312,S310,280,2
313,S311,286,3
314,S312,288,2
315,S313,290,1
316,S314,276,3
317,S315,290,3
318,S316,300,3
319,S317,306,3
320,S318,292,2
321,S319,306,1
322,S320,306,2
323,S321,300,2
324,S322,306,3
325,S323,288,1
326,S324,307,1
327,S325,348,3
328,S326,343,3
329,S327,329,1
330,S328,373,3
331,S329,348,2
332,S330,332,1
333,S331,332,3
334,S332,351,3
335,S333,373,2
336,S334,351,2
337,S335,343,2
338,S336,332,2
339,S337,341,3
340,S338,329,3
341,S339,341,1
342,S340,373,3
343,S341,343,1
344,S342,341,2
345,S343,351,2
346,S344,350,2
347,S345,350,3
348,S346,348,1
349,S347,343,3
350,S348,350,1
351,S349,351,1
352,S350,350,2
353,S351,354,2
354,S352,354,1
355,S353,329,3
356,S354,348,2
357,S355,354,3
358,S356,354,2
359,S357,351,3
360,S358,329,2
361,S359,332,1
362,S360,341,1
363,S361,350,1
364,S362,350,3
365,S363,341,2
366,S364,329,1
367,S365,354,1
368,S366,341,3
369,S367,348,3
370,S368,343,2
371,S369,373,2
372,S370,343,1
373,S371,373,1
374,S372,373,1
375,S373,354,3
376,S374,332,3
377,S375,348,1
378,S376,332,2
379,S377,351,1
380,S378,329,2
381,S379,394,3
382,S380,404,3
383,S381,389,3
384,S382,410,2
385,S383,397,2
386,S384,393,2
387,S385,393,3
388,S386,389,2
389,S387,389,1
390,S388,394,2
391,S389,413,2
392,S390,407,3
393,S391,393,1
394,S392,394,1
395,S393,407,2
396,S394,413,3
397,S395,397,1
398,S396,404,2
399,S397,404,2
400,S398,413,3
401,S399,394,1
402,S400,397,3
403,S401,394,2
404,S402,404,1
405,S403,410,3
406,S404,397,1
407,S405,407,1
408,S406,394,3
409,S407,407,3
410,S408,410,1
411,S409,397,3
412,S410,432,2
413,S411,413,1
414,S412,389,2
415,S413,404,3
416,S414,407,1
417,S415,410,1
418,S416,413,2
419,S417,410,3
420,S418,389,1
421,S419,432,3
422,S420,410,2
423,S421,393,2
424,S422,393,3
425,S423,389,3
426,S424,413,1
427,S425,432,3
428,S426,407,2
429,S427,397,2
430,S428,432,2
431,S429,393,1
432,S430,432,1
433,S431,404,1
434,S432,432,1
435,S433,435,1
436,S434,436,1
437,S435,437,1
438,S436,463,2
439,S437,453,3
440,S438,437,2
441,S439,453,2
442,S440,463,3
443,S441,466,3
444,S442,444,1
445,S443,466,3
446,S444,444,2
447,S445,455,2
448,S446,455,3
449,S447,436,2
450,S448,450,1
451,S449,444,3
452,S450,450,2
453,S451,453,1
454,S452,466,2
455,S453,455,1
456,S454,437,3
457,S455,437,1
458,S456,436,2
459,S457,436,1
460,S458,435,3
461,S459,444,3
462,S460,435,3
463,S461,463,1
464,S462,455,3
465,S463,453,3
466,S464,466,1
467,S465,466,1
468,S466,466,2
469,S467,463,1
470,S468,450,2
471,S469,455,2
472,S470,435,1
473,S471,444,1
474,S472,444,2
475,S473,450,3
476,S474,436,3
477,S475,435,2
478,S476,455,1
479,S477,437,3
480,S478,463,3
481,S479,436,3
482,S480,437,2
483,S481,453,1
484,S482,435,2
485,S483,450,3
486,S484,450,1
487,S485,453,2
488,S486,463,2
489,S487,490,3
490,S488,490,1
491,S489,491,1
492,S490,505,3
493,S491,510,3
494,S492,491,2
495,S493,512,3
496,S494,496,1
497,S495,504,2
498,S496,496,2
499,S497,496,2
500,S498,505,2
501,S499,491,3
502,S500,504,3
503,S501,512,2
504,S502,504,1
505,S503,505,1
506,S504,496,3
507,S505,516,2
508,S506,505,2
509,S507,510,2
510,S508,510,1
511,S509,510,1
512,S510,512,1
513,S511,512,2
514,S512,512,3
515,S513,524,2
516,S514,516,1
517,S515,505,1
518,S516,512,1
519,S517,490,2
520,S518,524,3
521,S519,504,2
522,S520,510,3
523,S521,491,1
524,S522,524,1
525,S523,516,3
526,S524,496,1
527,S525,491,2
528,S526,516,3
529,S527,491,3
530,S528,490,1
531,S529,510,2
532,S530,490,3
533,S531,505,3
534,S532,490,2
535,S533,524,2
536,S534,524,3
537,S535,516,1
538,S536,504,1
539,S537,496,3
540,S538,516,2
541,S539,504,3
542,S540,524,1
543,S541,543,1
544,S542,543,1
545,S543,543,1
546,S544,543,2
547,S545,543,2
548,S546,543,2
549,S547,543,3
550,S548,543,3
551,S549,543,3
552,S550,552,1
553,S551,552,1
554,S552,552,1
555,S553,552,2
556,S554,552,2
557,S555,552,2
558,S556,552,3
559,S557,552,3
560,S558,552,3
561,S559,561,1
562,S560,561,1
563,S561,561,1
564,S562,561,2
565,S563,561,2
566,S564,561,2
567,S565,561,3
568,S566,561,3
569,S567,561,3
570,S568,570,1
571,S569,570,1
572,S570,570,1
573,S571,570,2
574,S572,570,2
575,S573,570,2
576,S574,570,3
577,S575,570,3
578,S576,570,3
579,S577,579,1
580,S578,579,1
581,S579,579,1
582,S580,579,2
583,S581,579,2
584,S582,579,2
585,S583,579,3
586,S584,579,3
587,S585,579,3
588,S586,588,1
589,S587,588,1
590,S588,588,1
591,S589,588,2
592,S590,588,2
593,S591,588,2
594,S592,588,3
595,S593,588,3
596,S594,588,3
597,S595,597,1
598,S596,597,1
599,S597,597,1
600,S598,597,2
601,S599,597,2
602,S600,597,2
603,S601,597,3
604,S602,597,3
605,S603,597,3
606,S604,606,1
607,S605,606,1
608,S606,606,1
609,S607,606,2
610,S608,606,2
611,S609,606,2
612,S610,606,3
613,S611,606,3
614,S612,606,3
615,S613,615,1
616,S614,615,1
617,S615,615,1
618,S616,615,2
619,S617,615,2
620,S618,615,2
621,S619,615,3
622,S620,615,3
623,S621,615,3
624,S622,624,1
625,S623,624,1
626,S624,624,1
627,S625,624,2
628,S626,624,2
629,S627,624,2
630,S628,624,3
631,S629,624,3
632,S630,624,3
633,S631,633,1
634,S632,633,1
635,S633,633,1
636,S634,633,2
637,S635,633,2
638,S636,633,2
639,S637,633,3
640,S638,633,3
641,S639,633,3
642,S640,642,1
643,S641,642,1
644,S642,642,1
645,S643,642,2
646,S644,642,2
647,S645,642,2
648,S646,642,3
649,S647,642,3
650,S648,642,3
651,S649,651,1
652,S650,651,1
653,S651,651,1
654,S652,651,2
655,S653,651,2
656,S654,651,2
657,S655,651,3
658,S656,651,3
659,S657,651,3
660,S658,660,1
661,S659,660,1
662,S660,660,1
663,S661,660,2
664,S662,660,2
665,S663,660,2
666,S664,660,3
667,S665,660,3
668,S666,660,3
669,S667,669,1
670,S668,669,1
671,S669,669,1
672,S670,669,2
673,S671,669,2
674,S672,669,2
675,S673,669,3
676,S674,669,3
677,S675,669,3
678,S676,678,1
679,S677,678,1
680,S678,678,1
681,S679,678,2
682,S680,678,2
683,S681,678,2
684,S682,678,3
685,S683,678,3
686,S684,678,3
687,S685,687,1
688,S686,687,1
689,S687,687,1
690,S688,687,2
691,S689,687,2
692,S690,687,2
693,S691,687,3
694,S692,687,3
695,S693,687,3
696,S694,696,1
697,S695,696,1
698,S696,696,1
699,S697,696,2
700,S698,696,2
701,S699,696,2
702,S700,696,3
703,S701,696,3
704,S702,696,3
705,S703,705,1
706,S704,705,1
707,S705,705,1
708,S706,705,2
709,S707,705,2
710,S708,705,2
711,S709,705,3
712,S710,705,3
713,S711,705,3
714,S712,714,1
715,S713,714,1
716,S714,714,1
717,S715,714,2
718,S716,714,2
719,S717,714,2
720,S718,714,3
721,S719,714,3
722,S720,714,3
723,S721,723,1
724,S722,723,1
725,S723,723,1
726,S724,723,2
727,S725,723,2
728,S726,723,2
729,S727,723,3
730,S728,723,3
731,S729,723,3
732,S730,732,1
733,S731,732,1
734,S732,732,1
735,S733,732,2
736,S734,732,2
737,S735,732,2
738,S736,732,3
739,S737,732,3
740,S738,732,3
741,S739,741,1
742,S740,741,1
743,S741,741,1
744,S742,741,2
745,S743,741,2
746,S744,741,2
747,S745,741,3
748,S746,741,3
749,S747,741,3
750,S748,750,1
751,S749,750,1
752,S750,750,1
753,S751,750,2
754,S752,750,2
755,S753,750,2
756,S754,750,3
757,S755,750,3
758,S756,750,3
759,S757,759,1
760,S758,759,1
761,S759,759,1
762,S760,759,2
763,S761,759,2
764,S762,759,2
765,S763,759,3
766,S764,759,3
767,S765,759,3
768,S766,768,1
769,S767,768,1
770,S768,768,1
771,S769,768,2
772,S770,768,2
773,S771,768,2
774,S772,768,3
775,S773,768,3
776,S774,768,3
777,S775,777,1
778,S776,777,1
779,S777,777,1
780,S778,777,2
781,S779,777,2
782,S780,777,2
783,S781,777,3
784,S782,777,3
785,S783,777,3
786,S784,786,1
787,S785,786,1
788,S786,786,1
789,S787,786,2
790,S788,786,2
791,S789,786,2
792,S790,786,3
793,S791,786,3
794,S792,786,3
795,S793,795,1
796,S794,795,1
797,S795,795,1
798,S796,795,2
799,S797,795,2
800,S798,795,2
801,S799,795,3
802,S800,795,3
803,S801,795,3
804,S802,804,1
805,S803,804,1
806,S804,804,1
807,S805,804,2
808,S806,804,2
809,S807,804,2
810,S808,804,3
811,S809,804,3
812,S810,804,3
813,S811,813,1
814,S812,813,1
815,S813,813,1
816,S814,813,2
817,S815,813,2
818,S816,813,2
819,S817,813,3
820,S818,813,3
821,S819,813,3
822,S820,822,1
823,S821,822,1
824,S822,822,1
825,S823,822,2
826,S824,822,2
827,S825,822,2
828,S826,822,3
829,S827,822,3
830,S828,822,3
831,S829,831,1
832,S830,831,1
833,S831,831,1
834,S832,831,2
835,S833,831,2
836,S834,831,2
837,S835,831,3
838,S836,831,3
839,S837,831,3
840,S838,840,1
841,S839,840,1
842,S840,840,1
843,S841,840,2
844,S842,840,2
845,S843,840,2
846,S844,840,3
847,S845,840,3
848,S846,840,3
849,S847,849,1
850,S848,849,1
851,S849,849,1
852,S850,849,2
853,S851,849,2
854,S852,849,2
855,S853,849,3
856,S854,849,3
857,S855,849,3
858,S856,858,1
859,S857,858,1
860,S858,858,1
861,S859,858,2
862,S860,858,2
863,S861,858,2
864,S862,858,3
865,S863,858,3
866,S864,858,3
867,S865,867,1
868,S866,867,1
869,S867,867,1
870,S868,867,2
871,S869,867,2
872,S870,867,2
873,S871,867,3
874,S872,867,3
875,S873,867,3
876,S874,876,1
877,S875,876,1
878,S876,876,1
879,S877,876,2
880,S878,876,2
881,S879,876,2
882,S880,876,3
883,S881,876,3
884,S882,876,3
885,S883,885,1
886,S884,885,1
887,S885,885,1
888,S886,885,2
889,S887,885,2
890,S888,885,2
891,S889,885,3
892,S890,885,3
893,S891,885,3
894,S892,894,1
895,S893,894,1
896,S894,894,1
897,S895,894,2
898,S896,894,2
899,S897,894,2
900,S898,894,3
901,S899,894,3
902,S900,894,3
903,S901,903,1
904,S902,903,1
905,S903,903,1
906,S904,903,2
907,S905,903,2
908,S906,903,2
909,S907,903,3
910,S908,903,3
911,S909,903,3
912,S910,912,1
913,S911,912,1
914,S912,912,1
915,S913,912,2
916,S914,912,2
917,S915,912,2
918,S916,912,3
919,S917,912,3
920,S918,912,3
921,S919,921,1
922,S920,921,1
923,S921,921,1
924,S922,921,2
925,S923,921,2
926,S924,921,2
927,S925,921,3
928,S926,921,3
929,S927,921,3
930,S928,930,1
931,S929,930,1
932,S930,930,1
933,S931,930,2
934,S932,930,2
935,S933,930,2
936,S934,930,3
937,S935,930,3
938,S936,930,3
939,S937,939,1
940,S938,939,1
941,S939,939,1
942,S940,939,2
943,S941,939,2
944,S942,939,2
945,S943,939,3
946,S944,939,3
947,S945,939,3
948,S946,948,1
949,S947,948,1
950,S948,948,1
951,S949,948,2
952,S950,948,2
953,S951,948,2
954,S952,948,3
955,S953,948,3
956,S954,948,3
957,S955,957,1
958,S956,957,1
959,S957,957,1
960,S958,957,2
961,S959,957,2
962,S960,957,2
963,S961,957,3
964,S962,957,3
965,S963,957,3
966,S964,966,1
967,S965,966,1
968,S966,966,1
969,S967,966,2
970,S968,966,2
971,S969,966,2
972,S970,966,3
973,S971,966,3
974,S972,966,3
975,S973,975,1
976,S974,975,1
977,S975,975,1
978,S976,975,2
979,S977,975,2
980,S978,975,2
981,S979,975,3
982,S980,975,3
983,S981,975,3
984,S982,984,1
985,S983,984,1
986,S984,984,1
987,S985,984,2
988,S986,984,2
989,S987,984,2
990,S988,984,3
991,S989,984,3
992,S990,984,3
993,S991,993,1
994,S992,993,2
9999,9999,993,3
