id,name_zh_tw,name_en_en,name_ja_jp,name_fr_fr,name_ko_kr,name_de_de
142,神威娃娃,Human Doll,神威人形,Poupée Humain,신위 인형,Menschen-Puppe
143,風見娃娃,Monster Doll,風見人形,Poupée Monstre,풍견 인형,Monster-Puppe
144,曇華娃娃,Fairy Doll,雲華人形,Poupée Fée,담화 인형,Feen-Puppe
145,修羅娃娃,Demon Doll,修羅人形,Poupée Démon,수라 인형,Dämonen Puppe
146,辰星娃娃,Angel Doll,辰星人形,Poupée Ange,진성 인형,Engels-Puppe
147,以掃＆雅各,Esau & Jacob,イサウ＆ヤコブ,Ésaü & Jacob,이사우&야곱,Esau & Jacob
148,華佗,Raphael,華佗,Isabelle,화타,Isabella
149,赤蓮,Mio,赤蓮,Kira,적련,Kira
150,銀月,Ithil,シルバー,Ithil,은월,Anastasia
151,青羽蛻夢·魏延,N-Gen Iron Fist,魏延（青羽）,Papillon,푸른 깃털 위연,Schmetterling
152,龍胤·曹操,Empress Saint,曹操（神龍）,Saint Majesté,용의 후손·조조,Königin Historia
153,芬里爾,Fenrir,フェンリル,Fenrir,펜리르,Fenrir
154,克瑞絲,Krystal,クリス,Chris,크리스,Krystal
155,呂布,Kratos,呂布,Kratos,여포,Kratos
156,路西菲爾,Nephilim,ルシフェル,Lucifael,루시퍼엘,Lucifal
157,王異,Trinity,王異,Sino,왕이,Trinity
158,坂本龍馬,Rogue,坂本龍馬,Rina,용마,Ronja
159,薇薇安,Vivian,ビビアン,Viviane,비비안,Vivian
160,劉備,Joan,劉備,Joan,유비,Joan
161,烏列爾,Uriel,ウリエル,Uriel,우리엘,Uriel
162,伊邪那美,Izanami,イザナミ,Izanami,이자나미,Izanami
163,薇拉,Vera,ヴェラ,Vera,베라,Vera
164,阿帕忒,Apate,アパテー,Azumi,아파테,Apate
165,稀風,Skye,アウラ,Shina,스카이,Skye
166,雲母,Mika,雲母,Ambre,미카,Glimmer
167,凡赫辛,Von Helsing,ヘルシング,Vanessa,반헬싱,Van Helsing
168,皮皮洛,Estel,ぺペロン,Estelle,피피로,Pippi
169,暗月,Blair,アンユエ,Éléanor,암월,Moonie
170,槲寄生,Holly,ミスルト,Lys,미슬토,Holly
171,特蕾莎,Teresa,テレサ,Térèsa,테레사,Teresa
172,菲斯納,Frexie,フェイズナ,Frexie,페리시나,Fiona
173,后羿,Angelica,后羿,Angélina,후예,Angie
174,凱茜,Kassy,ケーチェ,Cassie,캐시,Cassie
175,莫妮卡,Monica,モニカ,Monica,모니카,Monica
176,戴安娜,Diana,ディアンヌ,Diana,다이애나,Finja
177,魯班,Sivney,魯班,Ruben,노반,Alberta
178,諾麗絲,Aurora,ノーリス,Aurore,오로라,Lumi
179,羅比,Robbie,ロビー,Robbie,로미,Robbie
