id,next_id,monster1_avater,monster1_misc,monster1_skill,monster1_skill_id,monster1_battle_id,monster1_hp,monster1_xy,monster2_avater,monster2_misc,monster2_skill,monster2_skill_id,monster2_battle_id,monster2_hp,monster2_xy,monster3_avater,monster3_misc,monster3_skill,monster3_skill_id,monster3_battle_id,monster3_hp,monster3_xy
11,12,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007,100001504|100001501|100001502,900311,14909556,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900111,2607348,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900211,2570684,533|105
12,13,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007,100001504|100001501|100001502,900312,22645808,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900112,4018979,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900212,4112432,533|105
13,14,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007,100001504|100001501|100001502,900313,52778564,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900113,4321756,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900213,4477120,533|105
14,15,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007,100001504|100001501|100001502,900314,84626695,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900114,5763799,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900214,5690281,533|105
15,16,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007,100001504|100001501|100001502,900315,111321047,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900115,20777949,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900215,23129503,533|105
16,17,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900316,119063988,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900116,17801250,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900216,19180456,533|105
17,18,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900317,131129844,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900117,25662718,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900217,23615811,533|105
18,19,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900318,170324171,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900118,34585626,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900218,36771333,533|105
19,20,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900319,264228959,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900119,47761292,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900219,49212000,533|105
20,21,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900320,269513539,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900120,60284756,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900220,48850900,533|105
21,22,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900321,324096156,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900121,46585975,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900221,47200435,533|105
22,23,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900322,328932548,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900122,30696471,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900222,35843199,533|105
23,24,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900323,404081422,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900123,45161661,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900223,40502373,533|105
24,25,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900324,563697905,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900124,35062474,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900224,36894565,533|105
25,26,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900325,698103767,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900125,50095459,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900225,41529263,533|105
26,27,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900326,701867760,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900126,44699354,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900226,52106854,533|105
27,28,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900327,938470949,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900127,50037708,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900227,46641396,533|105
28,29,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900328,968696419,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900128,50089993,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900228,52064487,533|105
29,30,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900329,1233141757,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900129,54668957,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900229,52126052,533|105
30,31,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900330,1292590045,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900130,54299484,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900230,56776712,533|105
31,32,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900331,1587638871,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900131,55697147,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900231,56410463,533|105
32,33,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900332,1679071326,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900132,61429482,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900232,57835344,533|105
33,34,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900333,2007484990,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900133,60096960,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900233,63651870,533|105
34,35,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900334,2133662947,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900134,59700095,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900234,62309825,533|105
35,36,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900335,2498202795.0,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900135,65943811,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900235,63364922,533|105
36,37,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900336,2661887608.0,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900136,67690098,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900236,69714900,533|105
37,38,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900337,3065314975.0,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900137,70608029,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900237,71509361,533|105
38,39,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900338,3269267985.0,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900138,82072848,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900238,74489676,533|105
39,40,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900339,3714344227.0,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900139,84675326,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900239,86120756,533|105
40,40,partner_avatar_1000016,31001,31002|31003#31004|31005#31006|31007#31008|31009,100001504|100001501|100001502|100001503,900340,3961326779.0,116|133,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900140,80767287,407|-150,partner_avatar_1000015,32001,32002|32003#32004|32005#32006|32007#32008|32009,100001601|100001602|100001603|100001604,900240,88779289,533|105
