id,cost6,cost5,cost4
1,2#600|1#8000,2#500|1#8000,2#400|1#8000
89,2#600|1#8088,2#500|1#8088,2#400|1#8088
90,2#600|1#8089,2#500|1#8089,2#400|1#8089
91,2#600|1#8090,2#500|1#8090,2#400|1#8090
92,2#600|1#8091,2#500|1#8091,2#400|1#8091
93,2#600|1#8092,2#500|1#8092,2#400|1#8092
94,2#600|1#8093,2#500|1#8093,2#400|1#8093
95,2#600|1#8094,2#500|1#8094,2#400|1#8094
96,2#600|1#8095,2#500|1#8095,2#400|1#8095
97,2#600|1#8096,2#500|1#8096,2#400|1#8096
98,2#600|1#8097,2#500|1#8097,2#400|1#8097
99,2#600|1#8098,2#500|1#8098,2#400|1#8098
100,2#600|1#8099,2#500|1#8099,2#400|1#8099
