id,stage_id,fort_id,plot_id,memory_plot_id,chapter_icon,plot_fort_id,unlock,unlock_plot_list_id,activity_plot_list_id,plot_text_table
59,61,6-9,#1313#1320,1313|1320,main_plot_img_4,6,208#2,58,,2
60,62,6-10,#1326#,1326,main_plot_img_4,6,208#2,59,,2
61,63,7-1,#1347#1359,1347|1359,main_plot_img_4,7,208#2,60,,2
62,64,7-2,#1363#,1363,main_plot_img_4,7,208#2,61,,2
63,65,7-3,#1382#1405,1382|1405,main_plot_img_4,7,208#2,62,,2
64,66,7-4,#1408#,1408,main_plot_img_4,7,208#2,63,,2
65,67,7-5,#1426#,1426,main_plot_img_4,7,208#2,64,,2
66,68,7-6,#1434#,1434,main_plot_img_4,7,208#2,65,,2
67,69,7-7,#1443#,1443,main_plot_img_4,7,208#2,66,,2
68,70,7-8,#1474#1488,1474|1488,main_plot_img_4,7,208#2,67,,2
69,71,7-9,#1491#,1491,main_plot_img_4,7,208#2,68,,2
70,72,7-10,#1509#1510,1509|1510,main_plot_img_4,7,208#2,69,,2
71,73,8-1,#1534#1563,1534|1563,main_plot_img_20,8,208#2,70,,2
72,74,8-2,#1565#1574,1565|1574,main_plot_img_9,8,208#2,71,,2
73,75,8-3,#1592#1602,1592|1602,main_plot_img_9,8,208#2,72,,2
74,76,8-4,#1605#1612,1605|1612,main_plot_img_9,8,208#2,73,,2
75,77,8-5,#1615#,1615,main_plot_img_9,8,208#2,74,,2
76,78,8-6,#1630#,1630,main_plot_img_9,8,208#2,75,,2
77,79,8-7,#1648#,1648,main_plot_img_9,8,208#2,76,,2
78,80,8-8,#1662#,1662,main_plot_img_9,8,208#2,77,,2
79,81,8-9,#1679#,1679,main_plot_img_9,8,208#2,78,,2
80,82,8-10,#1693#1702,1693|1702,main_plot_img_9,8,208#2,79,,2
81,83,9-1,#1712#,1712,main_plot_img_8,9,208#2,80,,2
82,84,9-2,#1737#1739,1737|1739,main_plot_img_7,9,208#2,81,,2
83,85,9-3,#1766#,1766,main_plot_img_7,9,208#2,82,,2
84,86,9-4,#1778#1779,1778|1779,main_plot_img_7,9,208#2,83,,2
85,87,9-5,#1792#,1792,main_plot_img_12,9,208#2,84,,2
86,88,9-6,#1807#,1807,main_plot_img_12,9,208#2,85,,2
87,89,9-7,#1817#1824,1817|1824,main_plot_img_12,9,208#2,86,,2
88,90,9-8,#1848#,1848,main_plot_img_12,9,208#2,87,,2
89,91,9-9,#1869#,1869,main_plot_img_12,9,208#2,88,,2
90,92,9-10,#1889#1908,1889|1908,main_plot_img_12,9,208#2,89,,2
91,93,10-1,#1916#1924,1916|1924,main_plot_img_17,10,208#2,90,,2
92,94,10-2,#1936#,1936,main_plot_img_17,10,208#2,91,,2
93,95,10-3,#1947#,1947,main_plot_img_17,10,208#2,92,,2
94,96,10-4,#1961#1978,1961|1978,main_plot_img_6,10,208#2,93,,2
95,97,10-5,#1995#2007,1995|2007,main_plot_img_5,10,208#2,94,,2
96,98,10-6,#2011#2023,2011|2023,main_plot_img_5,10,208#2,95,,2
97,99,10-7,#2028#,2028,main_plot_img_17,10,208#2,96,,2
98,100,10-8,#2046#,2046,main_plot_img_17,10,208#2,97,,2
99,101,10-9,#2064#2089,2064|2089,main_plot_img_17,10,208#2,98,,2
100,102,10-10,#2091#2118,2091|2118,main_plot_img_17,10,208#2,99,,2
101,103,11-1,#2143#2160,2143|2160,main_plot_img_12,11,208#2,100,21,2
102,104,11-2,#2166#2184,2166|2184,main_plot_img_3,11,208#2,101,22,2
103,105,11-3,#2190#2223,2190|2223,main_plot_img_22,11,208#2,102,23,2
104,106,11-4,#2235#2269,2235|2269,main_plot_img_22,11,208#2,103,24,2
105,107,11-5,#2276#2289,2276|2289,main_plot_img_22,11,208#2,104,25,2
106,108,11-6,#2293#2315,2293|2315,main_plot_img_22,11,208#2,105,26,2
107,109,11-7,#2321#2344,2321|2344,main_plot_img_3,11,208#2,106,27,2
108,110,11-8,#2361#2379,2361|2379,main_plot_img_31,11,208#2,107,28,2
109,111,11-9,#2407#2420,2407|2420,main_plot_img_31,11,208#2,108,29,2
110,112,11-10,#2433#2442,2433|2442,main_plot_img_24,11,208#2,109,30,2
111,113,12-1,#2448#2457,2448|2457,main_plot_img_10,12,208#2,110,31,2
112,114,12-2,#2463#2478,2463|2478,main_plot_img_10,12,208#2,111,32,2
113,115,12-3,#2482#2511,2482|2511,main_plot_img_30,12,208#2,112,33,2
114,116,12-4,#2517#2525,2517|2525,main_plot_img_28,12,208#2,113,34,2
115,117,12-5,#2531#2536,2531|2544,main_plot_img_28,12,208#2,114,35,2
116,118,12-6,#2565#2574,2565|2574,main_plot_img_28,12,208#2,115,36,2
117,119,12-7,#2584#,2584,main_plot_img_33,12,208#2,116,37,2
118,120,12-8,#2610#2618,2610|2618,main_plot_img_33,12,208#2,117,38,2
119,121,12-9,#2623#2631,2623|2631,main_plot_img_33,12,208#2,118,39,2
120,122,12-10,#2636#2673,2636|2673,main_plot_img_29,12,208#2,119,40,2
121,123,13-1,#2678#,2678,main_plot_img_33,13,208#2,120,41,2
122,124,13-2,#2693#,2693,main_plot_img_33,13,208#2,121,42,2
123,125,13-3,#2706#2712,2706|2712,main_plot_img_33,13,208#2,122,43,2
124,126,13-4,#2721#2725,2721|2725,main_plot_img_33,13,208#2,123,44,2
125,127,13-5,#2731#2739,2731|2739,main_plot_img_33,13,208#2,124,45,2
126,128,13-6,#2745#,2745,main_plot_img_33,13,208#2,125,46,2
127,129,13-7,#2763#,2763,main_plot_img_33,13,208#2,126,47,2
128,130,13-8,#2783#2802,2783|2802,main_plot_img_27,13,208#2,127,48,2
129,131,13-9,#2805#2818,2805|2818,main_plot_img_32,13,208#2,128,49,2
130,132,13-10,#2821#2828,2821|2828,main_plot_img_32,13,208#2,129,50,2
131,133,14-1,#2854#2867,2854|2867,main_plot_img_30,14,208#2,130,51,2
132,134,14-2,#2881#2887,2881|2887,main_plot_img_30,14,208#2,131,52,2
133,135,14-3,#2893#2897,2893|2897,main_plot_img_30,14,208#2,132,53,2
134,136,14-4,#2912#,2912,main_plot_img_30,14,208#2,133,54,2
135,137,14-5,#2919#2925,2919|2925,main_plot_img_30,14,208#2,134,55,2
136,138,14-6,#2935#2946,2935|2946,main_plot_img_30,14,208#2,135,56,2
137,139,14-7,#2955#2961,2955|2961,main_plot_img_30,14,208#2,136,57,2
138,140,14-8,#2970#,2970,main_plot_img_30,14,208#2,137,58,2
139,141,14-9,#2981#2992,2981|2992,main_plot_img_30,14,208#2,138,59,2
140,142,14-10,#2998#,2998,main_plot_img_30,14,208#2,139,60,2
141,143,15-1,#3007#,3007,main_plot_img_27,15,208#2,140,61,2
142,144,15-2,#3018#3023,3018|3023,main_plot_img_15,15,208#2,141,62,2
143,145,15-3,#3032#,3032,main_plot_img_15,15,208#2,142,63,2
144,146,15-4,#3046#3051,3046|3051,main_plot_img_15,15,208#2,143,64,2
145,147,15-5,#3061#3065,3061|3065,main_plot_img_15,15,208#2,144,65,2
146,148,15-6,#3076#3080,3076|3080,main_plot_img_15,15,208#2,145,66,2
147,149,15-7,#3088#,3088,main_plot_img_15,15,208#2,146,67,2
148,150,15-8,#3106#,3106,main_plot_img_15,15,208#2,147,68,2
149,151,15-9,#3121#3126,3121|3126,main_plot_img_15,15,208#2,148,69,2
150,152,15-10,#3131#3133,3131|3133,main_plot_img_15,15,208#2,149,70,2
151,153,16-1,#3145#3149,3145|3149,main_plot_img_29,16,208#2,150,71,2
152,154,16-2,#3162#3180,3162|3180,main_plot_img_29,16,208#2,151,72,2
153,155,16-3,#3194#,3194,main_plot_img_29,16,208#2,152,73,2
154,156,16-4,#3209#3218,3209|3218,main_plot_img_29,16,208#2,153,74,2
155,157,16-5,#3225#,3225,main_plot_img_29,16,208#2,154,75,2
156,158,16-6,#3239#3249,3239|3249,main_plot_img_15,16,208#2,155,76,2
157,159,16-7,#3260#3269,3260|3269,main_plot_img_15,16,208#2,156,77,2
158,160,16-8,#3273#3289,3273|3289,main_plot_img_29,16,208#2,157,78,2
159,161,16-9,#3303#3315,3303|3315,main_plot_img_29,16,208#2,158,79,2
160,162,16-10,#3334#3348,3334|3348,activity_plot_img_2,16,208#2,159,80,2
161,,,#718#746,718|746,main_plot_img_21,17,208#2,160,81,3
162,,,#753#782,753|782,main_plot_img_ward,17,208#2,161,82,3
163,,,#801#839,801|839,main_plot_img_ward,17,208#2,162,83,3
164,,,#852#869,852|869,main_plot_img_30,17,208#2,163,84,3
165,,,#871#880,871|880,main_plot_img_28,17,208#2,164,85,3
166,,,#909#,909,main_plot_img_26,17,208#2,165,86,3
167,,,#953#969,953|969,main_plot_img_26,17,208#2,166,87,3
168,,,#995#1034,995|1034,main_plot_img_gate,17,208#2,167,88,3
169,,,#1041#1063,1041|1063,main_plot_img_forest,17,208#2,168,89,3
170,,,#1069#1088,1069|1088,main_plot_img_wild,17,208#2,169,90,3
171,,,#1127#,1127,main_plot_img_hot_spring,17,208#2,170,91,3
172,,,#1158#,1158,main_plot_img_hot_spring,17,208#2,171,92,3
173,,,#1189#,1189,main_plot_img_cave,17,208#2,172,93,3
174,,,#1217#,1217,main_plot_img_hot_spring,17,208#2,173,94,3
175,,,#1244#,1244,main_plot_img_camp,17,208#2,174,95,3
176,,,#1266#,1266,main_plot_img_camp,17,208#2,175,96,3
177,,,#1296#,1296,main_plot_img_camp,17,208#2,176,97,3
178,,,#1332#,1332,main_plot_img_camp,17,208#2,177,98,3
179,,,#1365#1401,1365|1401,main_plot_img_wild,17,208#2,178,99,3
180,,,#1416#,1416,main_plot_img_28,17,208#2,179,100,3
181,,,##1478,1478,main_plot_img_28,18,208#2,180,101,3
182,,,#1515#1525,1515|1525,main_plot_img_school_night,18,208#2,181,102,3
183,,,##1570,1570,main_plot_img_26,18,208#2,182,103,3
184,,,##1633,1633,main_plot_img_school_night,18,208#2,183,104,3
185,,,##1674,1674,main_plot_img_forest_night,18,208#2,184,105,3
186,,,##1748,1748,main_plot_img_forest_night,18,208#2,185,106,3
187,,,##1823,1823,main_plot_img_forest_night,18,208#2,186,107,3
188,,,##1869,1869,main_plot_img_forest_night,18,208#2,187,108,3
189,,,#1914#1939,1914|1939,main_plot_img_forest_night,18,208#2,188,109,3
190,,,##1955,1955,main_plot_img_forest_night,18,208#2,189,110,3
191,,,##1986,1986,main_plot_img_wild_night,18,208#2,190,111,3
192,,,##2039,2039,main_plot_img_wild_night,18,208#2,191,112,3
193,,,#2075#2093,2075|2093,main_plot_img_cave_fresco,18,208#2,192,113,3
194,,,#2117#2130,2117|2130,main_plot_img_unconscious,18,208#2,193,114,3
195,,,##2135,2135,main_plot_img_wild_night,18,208#2,194,115,3
196,,,#2195#2220,2195|2220,main_plot_img_cave_fresco_dark,18,208#2,195,116,3
197,,,##2248,2248,main_plot_img_cave_fresco_dark,18,208#2,196,117,3
198,,,##2287,2287,main_plot_img_cave_dark,18,208#2,197,118,3
199,,,#2344#2364,2344|2364,main_plot_img_cave_dark,18,208#2,198,119,3
200,,,##2396,2396,main_plot_img_cave_dark,18,208#2,199,120,3
201,,,#2454,2454,main_plot_img_cave_fresco,19,208#2,200,121,3
202,,,#2490,2490,main_plot_img_cave_dark,19,208#2,201,122,3
203,,,#2515,2515,main_plot_img_cave_fresco,19,208#2,202,123,3
204,,,#2545,2545,main_plot_img_cave_fresco,19,208#2,203,124,3
205,,,#2596,2596,main_plot_img_cave_fresco,19,208#2,204,125,3
206,,,#2614#2629#2633#2638,2614|2629|2633|2638,main_plot_img_cave_fresco,19,208#2,205,126,3
207,,,#2657,2657,main_plot_img_cave_fresco,19,208#2,206,127,3
208,,,#2682,2682,main_plot_img_cave_fresco,19,208#2,207,128,3
209,,,#2714,2714,main_plot_img_volcano,19,208#2,208,129,3
210,,,#2739,2739,main_plot_img_cave_fresco,19,208#2,209,130,3
211,,,#2785,2785,main_plot_img_cave_fresco_dark,19,208#2,210,131,3
212,,,#2824,2824,main_plot_img_crater,19,208#2,211,132,3
213,,,#2840###2854,2840|||2854,main_plot_img_unconscious,19,208#2,212,133,3
214,,,#2859,2859,main_plot_img_cave_fresco,19,208#2,213,134,3
215,,,#2893,2893,main_plot_img_cave_dark,19,208#2,214,135,3
216,,,#2924#2966#2971,2924|2966|2971,main_plot_img_volcano,19,208#2,215,136,3
217,,,#2973,2973,main_plot_img_volcano,19,208#2,216,137,3
218,,,#3005#3057#3059,3005|3057|3059,main_plot_img_crater,19,208#2,217,138,3
219,,,#3063,3063,main_plot_img_7,19,208#2,218,139,3
220,,,#3109,3109,main_plot_img_crater,19,208#2,219,140,3
221,,,#3154,3154,main_plot_img_cave_fresco,19,208#2,220,141,3
222,,,#3186,3186,main_plot_img_cave_fresco,19,208#2,221,142,3
223,,,#3222,3222,main_plot_img_volcano_erupt,19,208#2,222,143,3
224,,,#3252,3252,main_plot_img_wild,19,208#2,223,144,3
225,,,#3277###3312,3277|||3312,main_plot_img_7,19,208#2,224,145,3
226,,,#3331,3331,main_plot_img_volcano_erupt,19,208#2,225,146,3
227,,,#3361,3361,main_plot_img_volcano_erupt,19,208#2,226,147,3
228,,,#3404#3417##3419,3404|3417||3419,main_plot_img_volcano_erupt,19,208#2,227,148,3
229,,,#3468,3468,main_plot_img_wild_night,19,208#2,228,149,3
230,,,#3537,3537,main_plot_img_wild_night,19,208#2,229,150,3
