id,name,lv,show_id,server,avatar_id,partner_ids,power,score
35,Jamaal,134,1019120135,273,930130,75002|74005|73003|70401|73013|74013,217177,0
36,Myeong,122,1019120136,300,930193,70302|71010|70102|76005|73012|74001,182690,0
37,Rusul,131,1019120137,294,930153,72014|72007|71002|75009|73006|75006,187502,0
38,Nima,111,1019120138,119,930155,74014|76006|70501|72015|73013|73004,204703,0
39,Ingo,101,1019120139,184,930126,74006|76005|71010|72013|70501|75004,202909,0
40,Ludde,126,1019120140,338,930177,71009|72012|70303|74013|72016|71006,208583,0
41,Nooa,142,1019120141,187,930103,71015|72009|70302|71002|74005|76006,209183,0
42,Santtu,108,1019120142,350,930199,72009|76003|73014|70501|72002|73007,184473,0
43,Altti,119,1019120143,148,930107,76006|72014|73003|72014|74010|73015,214498,0
44,Mathias,121,1019120144,300,930133,75008|74012|70402|71003|71009|76001,206825,0
45,Henning,113,1019120145,376,930089,71012|71014|73004|74009|72006|70103,186829,0
46,Roni,113,1019120146,353,930118,74009|76007|74012|75008|71011|74009,200545,0
47,Bennett,144,1019120147,292,930186,72008|75008|74008|71005|74013|70303,195717,0
48,Ashton,123,1019120148,222,930086,72010|71008|74004|76007|72015|72007,210682,0
49,Tiesha,133,1019120149,131,930182,74007|72014|71002|72002|72016|76004,198036,0
50,Delpha,125,1019120150,229,930206,71009|72015|71003|72010|76005|74007,197891,0
51,Kelly,104,1019120151,146,930118,70403|73010|75009|74006|74004|74016,212364,0
52,Wm,117,1019120152,264,930208,71011|70601|74009|73002|75004|75009,197794,0
53,Tuyet,129,1019120153,368,930180,76007|73003|71003|72013|75005|73015,205680,0
54,Brendan,131,1019120154,238,930126,70103|72016|70501|72008|73002|76001,183962,0
55,Wilhelmina,100,1019120155,381,930191,72015|73006|72013|72008|71010|71006,200388,0
56,Beckie,108,1019120156,170,930188,70601|70501|70203|71014|70103|70204,195925,0
57,Trudie,111,1019120157,238,930181,72013|74006|74014|74002|72005|71010,183117,0
58,Marvel,113,1019120158,250,930097,72001|74003|74011|71005|70402|70302,203499,0
59,Hope,146,1019120159,130,930130,75009|72014|73001|72007|71008|74004,187841,0
60,Vania,150,1019120160,174,930144,76008|71010|71014|74001|76002|73012,201298,0
61,Lien,149,1019120161,359,930167,71003|75004|72011|72008|70601|71012,214696,0
62,Elwood,112,1019120162,126,930208,71003|71008|71010|71002|70501|71003,209974,0
63,Shera,136,1019120163,125,930078,70301|73007|73008|75002|73008|76002,197439,0
64,Aubrey,129,1019120164,121,930089,72011|76005|74001|75003|73008|73002,215762,0
65,Ciara,137,1019120165,386,930170,75005|75003|72011|72006|72005|71008,189797,0
66,Jayme,139,1019120166,100,930094,72002|70101|70102|75006|75008|74005,204966,0
67,Alena,109,1019120167,301,930107,71008|76002|72002|73009|71011|73010,212720,0
68,Cleveland,119,1019120168,338,930104,72008|72007|73001|74013|71014|75007,212475,0
69,Dominica,100,1019120169,350,930169,74016|70501|70401|72012|71001|73004,198557,0
70,Paola,137,1019120170,311,930179,75002|71012|73001|75006|73015|74014,183055,0
71,Jenise,127,1019120171,261,930085,70501|73007|73007|71006|75005|75010,211375,0
72,Pamala,114,1019120172,118,930200,74007|75004|73015|72013|75004|76001,189700,0
73,Robbie,114,1019120173,193,930142,72008|73013|70501|71003|75009|75007,193051,0
74,Zofia,112,1019120174,379,930134,75005|73003|72010|74002|75005|76006,194018,0
75,Reva,107,1019120175,364,930197,73015|70303|70401|71013|70103|70301,200063,0
76,Aleen,101,1019120176,215,930118,70203|70203|72014|71005|74002|72007,195180,0
77,Apryl,127,1019120177,271,930091,73015|72009|74010|71013|73013|71012,187847,0
78,Shandi,148,1019120178,219,930135,71007|72002|74007|72010|75003|74002,186493,0
79,Bobbye,130,1019120179,326,930211,74010|71010|72015|72013|75004|72006,194505,0
80,Thao,140,1019120180,347,930116,71004|73001|75010|75006|74001|72015,210854,0
81,Kristan,100,1019120181,262,930142,70403|76001|75007|76005|75002|75004,180273,0
82,Jacqueline,117,1019120182,390,930159,73006|74009|74011|70501|76002|76005,216339,0
83,Margurite,103,1019120183,348,930128,74012|74009|76008|75004|71002|74015,208851,0
84,Dorine,136,1019120184,202,930086,74016|71015|72003|74004|76006|73003,203618,0
85,Griselda,130,1019120185,340,930130,73001|73001|71009|72013|70301|72004,188349,0
86,Sydney,121,1019120186,177,930190,73012|76002|72002|71003|74001|74012,199323,0
87,Solomon,106,1019120187,176,930087,71003|70102|72011|71004|74013|71007,189876,0
88,Twanda,140,1019120188,210,930144,74001|73014|73014|76003|74002|74002,199533,0
89,Norbert,101,1019120189,332,930163,74002|70103|73004|75003|72010|73013,195599,0
90,Beverlee,130,1019120190,268,930097,70103|74005|72016|74011|71012|73010,219202,0
91,Jackson,149,1019120191,284,930181,75008|71010|75003|70204|71003|74003,191629,0
92,Santiago,101,1019120192,143,930099,70303|71006|72015|73007|72002|73001,197437,0
93,Omar,127,1019120193,352,930089,72011|73008|70201|73004|74014|70101,202988,0
94,Yamashita,131,1019120194,133,930130,74001|72012|71003|71003|76001|76006,210645,0
95,Nakano,119,1019120195,265,930210,71007|75005|70302|75009|70301|75002,192026,0
96,Ishida,108,1019120196,316,930083,70301|74013|73007|71002|72008|74013,197333,0
97,Kaneko,144,1019120197,340,930093,74004|72001|72006|75002|70204|74013,194298,0
98,Takagi,133,1019120198,102,930092,74011|72016|74015|71012|76004|71012,186676,0
99,Nakayama,117,1019120199,146,930110,72001|74012|72002|74011|76001|71006,200437,0
100,Endo,124,1019120200,215,930176,70102|70403|71003|72015|76008|71005,191174,0
101,Miura,150,1019120201,222,930149,73006|74012|74002|73003|76008|73014,204914,0
102,Shibata,128,1019120202,261,930187,74014|71014|75004|73002|71007|71005,211244,0
103,Ueda,136,1019120203,379,930167,75003|72013|73010|70101|72006|71008,186668,0
104,Nomura,140,1019120204,115,930090,75005|71002|75004|72003|73015|74016,219879,0
105,Sakai,112,1019120205,206,930138,73007|72001|71005|73004|72008|70201,187091,0
106,Imai,114,1019120206,265,930095,71014|72016|71006|75007|72011|70303,184318,0
107,Ando,132,1019120207,176,930211,70302|72008|75009|73003|70203|70103,193768,0
108,Sakamoto,130,1019120208,143,930181,73003|71004|73004|71007|70303|71005,214178,0
109,Yokoyama,105,1019120209,228,930094,72010|73014|72001|71014|74004|76004,200524,0
110,Uchida,126,1019120210,226,930098,73004|75006|74003|74013|76008|76002,180234,0
111,Ohno,102,1019120211,268,930099,72001|74003|72006|72014|70403|74001,216953,0
112,Miyazaki,127,1019120212,309,930106,72003|72004|71010|76004|74003|73004,203107,0
113,Morita,108,1019120213,266,930119,74014|75003|70402|71013|75010|72016,217060,0
114,Ichikawa,122,1019120214,354,930161,70501|72003|74012|73002|75006|73004,182981,0
115,Fujiwara,132,1019120215,391,930110,73013|72016|70402|75005|73014|71012,187846,0
116,Saito,140,1019120216,161,930199,74004|72010|75002|72008|72006|73004,183554,0
117,Kojima,142,1019120217,371,930172,70101|74005|73015|72004|73003|75009,184197,0
118,Matsui,122,1019120218,131,930123,72007|74016|70403|73007|76005|71004,184907,0
119,Sakurai,119,1019120219,370,930167,73005|76005|72010|76001|74012|72012,210441,0
120,Murata,145,1019120220,207,930163,76008|73013|70201|72001|74012|72015,218520,0
121,Mizuno,140,1019120221,139,930134,73006|74005|73004|76003|71004|72011,210162,0
122,Heiya,149,1019120222,202,930142,73001|71010|74010|73014|71005|74002,182079,0
123,Shimada,114,1019120223,115,930118,73015|71006|74010|70204|70601|74004,216489,0
124,Hattori,103,1019120224,351,930142,76006|70303|74008|73008|75007|72015,180632,0
125,Miyamoto,143,1019120225,383,930094,72002|72003|72002|73012|70301|73006,204745,0
126,Ueno,125,1019120226,219,930129,74012|76003|70103|74014|73005|73004,203084,0
127,Kitamura,133,1019120227,150,930112,76003|70601|76006|75007|75006|72007,214325,0
128,Kono,128,1019120228,314,930207,71005|72015|75002|70302|71002|70402,218831,0
129,Nagai,116,1019120229,117,930149,70601|71004|73004|73003|76005|70402,191142,0
130,Sugiyama,111,1019120230,188,930197,74013|72013|74011|72004|71008|74016,202969,0
131,Noguchi,124,1019120231,314,930196,74009|71009|72012|72008|73007|72004,192292,0
132,Otsuka,117,1019120232,298,930134,73015|72008|74012|71010|75002|72014,204815,0
133,Kinoshita,138,1019120233,352,930199,72013|72008|72016|70402|72004|74009,199320,0
134,Maruyama,110,1019120234,207,930100,70201|73004|71008|72016|74002|75004,212497,0
135,Matsuo,106,1019120235,185,930133,76004|72016|76008|76005|74012|71013,213259,0
136,Koyama,106,1019120236,269,930120,76005|73001|70203|73007|72012|76005,200896,0
137,Kansai,148,1019120237,265,930132,74012|71007|74007|73013|74005|76003,216750,0
138,Takada,142,1019120238,372,930161,71004|76007|76003|72008|74013|75003,210434,0
139,No,112,1019120239,391,930161,72011|72016|76003|70501|73003|74014,193379,0
140,Iwasaki,119,1019120240,257,930125,75004|73014|72003|74001|73013|73015,196144,0
141,Kudo,134,1019120241,109,930155,71001|72007|72001|75007|74012|74001,197217,0
142,Akiyama,115,1019120242,387,930210,70302|76004|71010|73010|73013|75010,198331,0
143,Oshima,111,1019120243,385,930209,72016|74001|71010|70201|76001|72015,193293,0
144,Fujimoto,110,1019120244,367,930198,76006|70101|73015|72008|71013|76003,218533,0
145,Naito,102,1019120245,298,930116,74011|76006|71005|75010|70101|73015,215099,0
146,Masuda,139,1019120246,329,930175,71012|70201|73004|74006|73014|72016,182624,0
147,Kikuchi,147,1019120247,321,930085,70402|73003|74006|75002|74004|72010,188313,0
148,Lida,149,1019120248,168,930097,74012|73009|74015|72013|70301|74014,203852,0
149,Yoshimura,145,1019120249,293,930198,73009|70102|72002|71011|74008|73015,189709,0
150,Hori,122,1019120250,121,930079,72004|75002|75010|73009|76005|70101,210385,0
151,Nishikawa,112,1019120251,253,930153,76003|73014|72009|70301|74015|76006,199343,0
152,Tsuji,125,1019120252,112,930208,71007|71003|71008|73005|71004|71010,214760,0
153,Kuroda,121,1019120253,179,930131,76001|73001|72003|71008|75005|71002,216209,0
154,Taniguchi,138,1019120254,130,930167,71009|70501|72012|73008|74005|73010,185573,0
155,Ho,106,1019120255,206,930158,72013|73005|75009|72008|76005|76002,191565,0
156,Ito,144,1019120256,271,930119,74008|74014|74007|70401|74005|74007,186348,0
157,Ohashi,110,1019120257,127,930117,76006|75007|76005|71013|74006|75004,194919,0
158,Hirose,129,1019120258,337,930109,74014|72007|72015|70101|75003|75006,192103,0
159,Onishi,116,1019120259,326,930099,72015|75005|71014|70601|73005|75006,206180,0
160,Asano,142,1019120260,252,930125,73006|73010|71013|71013|72001|72016,210825,0
161,Ishihara,127,1019120261,340,930142,71013|74011|75007|75007|70501|71014,190376,0
162,Matsumura,117,1019120262,198,930109,76001|71011|72003|70204|72007|70301,181933,0
163,Yasuda,126,1019120263,382,930087,71010|72011|71012|74009|74002|74014,209849,0
164,Sawada,149,1019120264,391,930106,74005|73013|74014|70103|73003|74010,184443,0
165,Yoshikawa,137,1019120265,163,930185,74007|72004|75007|72003|74003|72001,183924,0
166,Miyake,126,1019120266,349,930190,71011|71015|72014|74004|74007|75009,210594,0
167,Tsuchiya,106,1019120267,158,930163,74006|76003|72007|71001|71006|76007,210849,0
168,Yano,104,1019120268,235,930135,74005|71002|71015|74007|74006|75009,212419,0
169,Kawasaki,140,1019120269,299,930161,71010|70303|72003|72002|73004|74006,189920,0
170,Nakanishi,150,1019120270,171,930198,73012|70601|72016|75005|76002|70303,198818,0
171,Iwata,129,1019120271,198,930150,75003|73010|74012|70402|72004|71004,214881,0
172,Nishida,134,1019120272,286,930207,75002|72009|76006|72013|71007|72007,205745,0
173,Hamada,148,1019120273,294,930191,74006|75010|75005|72003|74002|70401,187214,0
174,Fukushima,105,1019120274,260,930129,72010|76003|73010|72004|72001|75005,195176,0
175,Komatsu,139,1019120275,282,930136,71013|74005|72011|75005|72006|74004,216268,0
176,Araki,133,1019120276,256,930107,70101|71010|76008|74015|70601|74010,185856,0
177,Tanabe,119,1019120277,246,930164,74001|73002|72014|76002|74005|75004,189221,0
178,Furukawa,133,1019120278,200,930166,72011|70204|72009|71001|71010|72014,191669,0
179,Sugimoto,116,1019120279,205,930147,72013|76008|76003|72011|71005|72006,188406,0
180,Ozawa,103,1019120280,117,930191,70403|73002|70403|70302|74005|76003,214209,0
181,Kawamura,115,1019120281,174,930187,70101|71003|75005|75004|73001|73013,196600,0
182,Gang,139,1019120282,153,930135,71003|74009|73010|73001|76007|73013,213168,0
183,Katayama,136,1019120283,149,930176,76001|73003|71014|73002|72003|71001,188631,0
184,Hirai,134,1019120284,136,930079,70303|71006|72008|73005|73003|70103,210810,0
185,Hoshino,134,1019120285,159,930151,73002|72013|75004|72012|73004|72003,199415,0
186,Chiba,102,1019120286,340,930166,76005|71010|72002|72006|74004|72014,194670,0
187,Okubo,137,1019120287,255,930209,73013|71003|75002|75007|71005|70203,180423,0
188,Otani,140,1019120288,317,930188,72015|71010|70501|72004|72011|73004,196920,0
189,Kawakami,102,1019120289,190,930132,71002|72011|71003|72010|70501|73011,181447,0
190,Matsuoka,142,1019120290,386,930171,75010|72003|72010|71004|72013|71014,181629,0
191,Igarashi,146,1019120291,173,930145,75009|70303|72016|70103|74004|75010,197493,0
192,Takano,147,1019120292,353,930140,70301|75004|75003|70201|72008|76003,209009,0
193,Higuchi,137,1019120293,136,930154,76008|70301|74011|74015|71005|70201,198416,0
194,Omori,148,1019120294,398,930148,74012|71002|74016|73015|76002|70501,200512,0
195,Kubota,106,1019120295,134,930185,73004|72014|71004|70102|70204|71014,191319,0
196,Yamashita,142,1019120296,122,930202,71003|72007|70101|70303|76008|73015,201271,0
197,Nakano,109,1019120297,364,930089,71014|75004|71001|73006|73008|74012,211295,0
198,Ishida,119,1019120298,115,930153,76002|70403|74012|74005|72006|74007,194574,0
199,Kaneko,112,1019120299,204,930198,72010|73005|74005|71003|70301|70601,210086,0
200,Takagi,108,1019120300,347,930158,74002|75010|70301|76001|71014|76004,214451,0
201,Nakayama,117,1019120301,169,930151,71001|76002|74004|73005|72003|73012,198347,100
202,Endo,107,1019120302,166,930116,71015|73001|72001|70401|72001|73005,215691,100
203,Miura,130,1019120303,209,930107,74009|74012|75009|76005|73008|76006,210478,100
204,Shibata,109,1019120304,166,930092,70601|75002|71015|73001|75008|72014,198330,100
205,Ueda,138,1019120305,169,930160,70101|71015|75009|72004|72001|74007,217928,100
206,Nomura,112,1019120306,131,930139,71002|73011|71011|74005|74005|75008,204631,100
207,Sakai,137,1019120307,327,930090,74014|71001|73002|70403|72013|71010,215431,100
208,Imai,132,1019120308,299,930089,74008|70601|70301|74008|70501|73010,209069,100
209,Ando,114,1019120309,332,930194,70401|74008|70103|74014|70102|72015,203779,100
210,Sakamoto,107,1019120310,281,930209,71012|74003|71004|75003|70302|76008,205630,100
211,Yokoyama,124,1019120311,303,930128,71001|73006|74014|74002|73013|72016,205947,100
212,Uchida,147,1019120312,346,930094,73006|71002|72003|75010|74010|76007,214026,100
213,Ohno,126,1019120313,108,930207,74015|73014|74003|72010|72010|74005,203428,100
214,Miyazaki,117,1019120314,358,930116,74006|71013|71009|70601|72008|72008,186517,100
215,Morita,114,1019120315,132,930116,72007|72003|76004|71002|74011|72012,219253,100
216,Ichikawa,132,1019120316,290,930207,76003|71006|74008|73001|76008|71006,202424,100
217,Fujiwara,121,1019120317,395,930181,76004|74008|71003|76005|71010|71010,210656,100
218,Saito,101,1019120318,381,930123,73015|70103|72010|74010|73013|72012,191164,100
219,Kojima,107,1019120319,308,930126,71011|73002|73012|73010|71008|74004,218145,100
220,Matsui,136,1019120320,274,930207,71009|73006|71006|73003|70103|74001,212522,100
221,Sakurai,124,1019120321,269,930114,73012|74002|72006|76004|74015|71009,207315,100
222,Murata,135,1019120322,311,930193,73005|76003|71007|74007|76004|73007,185814,100
223,Mizuno,100,1019120323,141,930097,70102|73001|70201|72008|73013|71005,217235,100
224,Heiya,148,1019120324,101,930112,72010|75008|75010|70103|74005|72011,219957,100
225,Shimada,144,1019120325,331,930157,73013|74003|70204|72015|72003|70601,199417,100
226,Hattori,105,1019120326,140,930103,72009|72011|73012|72005|72002|72005,200192,100
227,Miyamoto,131,1019120327,156,930158,72007|76003|71004|72015|71007|76008,208628,100
228,Ueno,134,1019120328,126,930135,72014|70102|75002|75002|74013|74009,208604,100
229,Kitamura,107,1019120329,129,930160,73006|75002|71003|73010|71005|71015,180650,100
230,Kono,107,1019120330,271,930118,75006|75002|74007|71010|74010|72006,205759,100
231,Nagai,110,1019120331,115,930150,72014|74016|76008|73011|70102|76005,202791,100
232,Sugiyama,115,1019120332,117,930192,74002|70103|70201|74007|75006|72009,204664,100
233,Noguchi,114,1019120333,231,930110,72002|74011|73015|74007|74002|74013,186617,100
234,Otsuka,121,1019120334,107,930083,75007|70402|72010|70302|73006|70301,185777,100
235,Kinoshita,150,1019120335,364,930120,70204|70403|73012|70203|73013|74004,190175,100
236,Maruyama,138,1019120336,120,930189,72016|71005|70301|72016|71001|73015,188823,100
237,Matsuo,100,1019120337,172,930132,72011|73011|72002|73002|71005|74012,212657,100
238,Koyama,101,1019120338,106,930198,75005|70101|73008|74009|74012|73011,188772,100
239,Kansai,109,1019120339,358,930209,71008|72004|72006|74002|76007|75006,180130,100
240,Takada,104,1019120340,182,930099,72014|75003|75008|72008|72008|71007,185169,100
241,No,140,1019120341,258,930089,76008|75010|71005|71010|70403|71007,191200,100
242,Iwasaki,104,1019120342,195,930112,70303|76004|72007|70601|75010|71002,210057,100
243,Kudo,139,1019120343,181,930101,72014|71015|76004|71008|76001|74001,181109,100
244,Akiyama,143,1019120344,350,930147,71010|72009|75010|73014|72010|74013,188316,100
245,Oshima,144,1019120345,235,930144,74008|75006|75008|70601|73008|75006,219135,100
246,Fujimoto,103,1019120346,154,930205,74003|72010|73012|71005|74009|70102,193987,100
247,Naito,120,1019120347,103,930107,74011|70501|74006|74013|70103|71002,184090,100
248,Masuda,128,1019120348,252,930110,70401|75002|76003|71007|72013|75007,182247,100
249,Kikuchi,122,1019120349,307,930145,71007|71012|70103|75009|76003|71005,187384,100
250,Lida,116,1019120350,398,930090,73015|76005|75005|71005|74011|73012,201420,100
251,Yoshimura,121,1019120351,184,930174,71004|76008|74016|74004|73010|70101,192197,100
252,Hori,115,1019120352,245,930093,71013|73015|72003|71009|74008|71015,215211,100
253,Nishikawa,147,1019120353,202,930111,76006|76003|72006|73012|74012|76001,213022,100
254,Tsuji,111,1019120354,106,930190,71015|74016|71010|71006|74001|73009,205769,100
255,Kuroda,125,1019120355,337,930147,74012|72010|73014|74014|70403|71014,201340,100
256,Taniguchi,120,1019120356,329,930198,70402|75005|70501|75005|74014|73007,219518,100
257,Ho,101,1019120357,366,930117,72009|70302|74001|71002|75002|70403,193041,100
258,Ito,126,1019120358,311,930153,75005|74004|75003|71004|73006|71001,188941,100
259,Ohashi,133,1019120359,280,930081,71004|70101|74012|74011|70501|73015,216320,100
260,Hirose,123,1019120360,191,930202,70601|72005|74003|74004|70402|71004,203387,100
261,Onishi,139,1019120361,326,930113,70102|74010|75002|76005|71011|74008,192935,100
262,Asano,104,1019120362,399,930192,71015|73002|70401|70303|71006|76002,219254,100
263,Ishihara,110,1019120363,286,930164,74016|73013|72005|73015|75002|72010,215525,100
264,Matsumura,139,1019120364,325,930173,70102|72014|72015|71008|76007|74005,216487,100
265,Yasuda,129,1019120365,386,930104,73015|70401|72011|70402|71010|74014,187171,100
266,Sawada,141,1019120366,318,930123,70103|70301|72009|73013|76004|74008,196775,100
267,Yoshikawa,149,1019120367,351,930108,76002|71007|76003|75003|76005|71013,188570,100
268,Miyake,130,1019120368,119,930137,70302|74012|73002|73009|73014|70301,212536,100
269,Tsuchiya,134,1019120369,108,930160,76005|71007|73003|75003|70101|73005,200651,100
270,Yano,103,1019120370,357,930096,75006|73015|71008|75009|74003|74016,209385,100
271,Kawasaki,106,1019120371,239,930112,73014|73003|72004|70402|71004|74001,205085,100
272,Nakanishi,119,1019120372,128,930162,75006|70204|71010|74014|73002|70302,180665,100
273,Iwata,143,1019120373,183,930133,72013|70403|74009|75003|75007|75002,209659,100
274,Nishida,122,1019120374,312,930081,70302|72007|73001|70201|73010|71009,187196,100
275,Hamada,130,1019120375,279,930190,72010|71007|74016|71013|75009|74011,219535,100
276,Fukushima,104,1019120376,218,930154,72010|72008|70401|70204|70302|74003,195205,100
277,Komatsu,117,1019120377,141,930182,74014|74007|70102|72004|71005|75008,215914,100
278,Araki,146,1019120378,358,930149,71010|70101|72013|74006|72008|72009,209873,100
279,Tanabe,108,1019120379,124,930105,72005|71013|73013|75003|70302|70302,194807,100
280,Furukawa,103,1019120380,151,930144,72009|75003|72002|70301|73005|74012,212468,100
281,Sugimoto,132,1019120381,157,930128,71007|72001|72015|74014|74009|70501,184341,100
282,Ozawa,139,1019120382,269,930080,74007|71013|71005|72006|72001|70101,204477,100
283,Kawamura,112,1019120383,229,930153,71002|71001|70101|72003|74010|71001,213541,100
284,Gang,115,1019120384,120,930142,72011|70401|73014|70101|72001|74003,205674,100
285,Katayama,101,1019120385,327,930081,72016|71014|72007|72016|74005|70303,211590,100
286,Hirai,135,1019120386,159,930155,73001|72003|75002|70302|74015|70302,195498,100
287,Hoshino,135,1019120387,358,930181,71010|76004|75005|74005|75009|74003,198724,100
288,Chiba,131,1019120388,333,930105,72007|72016|73007|71005|71011|71015,210084,100
289,Okubo,148,1019120389,257,930154,71014|71014|72014|72007|70101|75002,181236,100
290,Otani,103,1019120390,209,930207,71009|76003|74012|74008|73002|76007,213581,100
291,Kawakami,129,1019120391,394,930153,71012|72004|75006|72010|75005|72015,206429,100
292,Matsuoka,104,1019120392,368,930159,71008|74005|75006|72010|71002|70402,207864,100
293,Igarashi,101,1019120393,353,930156,75005|71012|73008|73003|75007|76006,199199,100
294,Takano,139,1019120394,229,930094,74009|74004|71009|73002|74013|71009,180720,100
295,Higuchi,137,1019120395,397,930155,70102|70501|74009|73007|70403|73012,196190,100
296,Omori,126,1019120396,171,930165,72014|73003|76008|76003|73002|73006,219336,100
297,Kubota,107,1019120397,187,930079,70501|70401|71013|72004|71004|74007,185482,100
298,Chippendale,116,1019120398,143,930148,75003|72016|72016|76006|74001|72011,185434,100
299,Guillermo,115,1019120399,390,930209,75003|75003|76004|70501|72012|71001,218516,100
300,Delmo,116,1019120400,208,930183,72010|74011|73013|71009|73012|74015,200758,100
301,Demeter,150,1019120401,240,930159,75005|71002|71008|70103|73010|72005,215822,100
302,Aihum,142,1019120402,233,930131,76007|72009|76007|71007|73014|76005,202357,100
303,Emillian,103,1019120403,178,930174,76005|70102|70102|71013|74013|75008,188499,100
304,Enolan,118,1019120404,102,930178,70601|74008|70501|75007|76008|71006,194656,100
305,Esper,112,1019120405,149,930101,75007|75007|74002|74015|74016|73005,182455,100
306,Ashun,110,1019120406,369,930205,73004|75002|75007|72003|74008|74003,185117,100
307,Fayeller,140,1019120407,171,930122,71015|72004|74013|72002|72015|73013,189663,100
308,Famille,126,1019120408,256,930168,75008|73008|71004|71004|73002|74003,205828,100
309,Feisan,141,1019120409,369,930147,72011|76006|73003|74011|70204|74002,219000,100
310,Phillopat,146,1019120410,364,930098,73010|73005|73010|72010|74009|72014,185965,100
311,Feshkan,119,1019120411,277,930172,70301|73003|72004|72013|74006|71015,198113,100
312,Flewgyor,100,1019120412,182,930176,74008|75009|76006|74003|74004|74004,207594,100
313,Garland,127,1019120413,376,930209,74002|71002|72008|73007|73008|74012,193710,100
314,Gelaran,102,1019120414,317,930106,70203|74005|75003|72002|72006|74014,200197,100
315,Demek,111,1019120415,393,930144,72008|72006|73001|72008|72013|72014,183816,100
316,Glewen,142,1019120416,300,930174,75005|70501|70601|76008|74011|74007,213840,100
317,Gellenbretch,146,1019120417,238,930170,72013|73012|73003|71009|74001|73015,197772,100
318,Gusteau,126,1019120418,391,930100,71008|74011|74015|74008|71001|72016,199274,100
319,Zordon,145,1019120419,364,930196,74002|74016|76004|73002|74010|73002,216795,100
320,Hedger,114,1019120420,124,930147,71011|71004|71004|76002|71003|70203,217685,100
321,Jarque,142,1019120421,327,930107,70501|75009|70101|70303|74013|71013,191666,100
322,Hashka,111,1019120422,133,930153,75004|71014|75006|70401|74011|74014,180865,100
323,Hardan,102,1019120423,204,930114,75003|74011|70203|70201|74009|72007,187403,100
324,Herb,108,1019120424,317,930131,72015|75006|73006|73001|72014|73013,215944,100
325,Homer,128,1019120425,111,930088,75008|76001|75009|72008|75009|74015,208533,100
326,Holbeck,146,1019120426,397,930186,70403|72005|73006|73015|76002|74010,189304,100
327,Rômulo,149,1019120427,243,930189,71010|76008|75002|76006|74004|75002,217276,100
328,Enke,105,1019120428,118,930145,76006|72008|75003|70302|74009|70303,189382,100
329,Yiddless,112,1019120429,316,930139,70203|74010|73015|74008|76008|74001,206850,100
330,Yerlan,100,1019120430,221,930169,73011|73006|73006|72008|70601|70203,207448,100
